,Datetime,Horse,Type,Location,Price,Midpoint Price,Venue,Midpoint Percentage,SELECTION_NAME,WIN_LOSE,BSP,Turnover
189,15-12-2022,Ginger Rock,RaceType.HORSE_RACE,AUS,4.6,4.552564102564102,Ipswich,0.9896878483835005,Ginger Rock,0,4.563764923623674,100.79397333085144
190,15-12-2022,I Came To Dance,RaceType.HORSE_RACE,USA,5.5,4.54,Penn National,0.8254545454545454,I Came To Dance,0,4.380347980749793,125.56080074392979
191,15-12-2022,Jackies Irishdream,RaceType.HORSE_RACE,USA,5.5,4.733333333333333,Delta Downs,0.8606060606060606,Jackies Irishdream,0,3.7,148.64864864864865
192,15-12-2022,Juliard Honor,RaceType.HORSE_RACE,USA,4.0,3.857692307692308,Remington Park,0.964423076923077,Juliard Honor,0,3.35,119.40298507462686
193,15-12-2022,Kickstarter,RaceType.HORSE_RACE,USA,6.5,5.826086956521739,Mountaineer Park,0.8963210702341138,Kickstarter,0,5.606585782667023,115.9350851296167
194,15-12-2022,Mac Stubborn,RaceType.TROT_RACE,AUS,10.0,9.484615384615385,Tamworth,0.9484615384615385,Mac Stubborn,0,8.893035780116069,112.44754038164326
195,15-12-2022,Mission Belle,RaceType.HORSE_RACE,USA,6.5,6.5,Delta Downs,1.0,Mission Belle,1,7.193559030354954,90.3586107039879
196,15-12-2022,Reliant,RaceType.HORSE_RACE,USA,6.5,4.95,Remington Park,0.7615384615384616,Reliant,0,3.55,183.09859154929578
197,15-12-2022,Samaronti,RaceType.HORSE_RACE,USA,4.2,4.822033898305085,Penn National,1.1481033091202582,Samaronti,0,4.3,97.67441860465117
198,15-12-2022,Scatamaran,RaceType.HORSE_RACE,USA,5.0,99995.0,Delta Downs,19999.0,Scatamaran,0,6.726197056,74.3362104673967
199,15-12-2022,Spirit Of Windsor,RaceType.HORSE_RACE,USA,2.25,2.236923076923077,Mountaineer Park,0.9941880341880341,Spirit Of Windsor,0,2.939879697733557,76.5337439397467
200,15-12-2022,Stay Humble,RaceType.GREYHOUND_RACE,AUS,4.4,4.292105263157895,Gunnedah,0.9754784688995215,Stay Humble,0,4.4,100.0
201,15-12-2022,Stella G,RaceType.HORSE_RACE,USA,3.8,99995.0,Remington Park,26314.473684210527,Stella G,0,2.36,161.01694915254237
202,15-12-2022,Sweet Laura,RaceType.HORSE_RACE,USA,6.0,5.726315789473684,Delta Downs,0.9543859649122807,Sweet Laura,0,5.038591525559896,119.08089730161784
203,15-12-2022,Tat Yap,RaceType.GREYHOUND_RACE,AUS,2.25,2.3514285714285714,Shepparton,1.045079365079365,Tat Yap,1,2.4549064243844256,91.6531879851263
204,15-12-2022,Voodoo Fella,RaceType.TROT_RACE,AUS,8.5,8.17222222222222,Redcliffe,0.9614379084967318,Voodoo Fella,0,10.252900256,82.90337160966526
205,15-12-2022,War Knee,RaceType.GREYHOUND_RACE,AUS,1.85,1.7655555555555555,Warragul,0.9543543543543543,War Knee,1,2.076990089,89.07120018520223
206,16-12-2022,Amuri Andy,RaceType.GREYHOUND_RACE,AUS,1.9,1.8903305785123967,Addington,0.9949108307959983,Amuri Andy,0,1.95,97.43589743589743
207,16-12-2022,Art By Concorde,RaceType.HORSE_RACE,AUS,6.0,5.81766704416761,Rockhampton,0.9696111740279351,Art By Concorde,1,7.2,83.33333333333333
208,16-12-2022,Bangkok Deejay,RaceType.TROT_RACE,AUS,5.0,4.506845238095238,Albion Park,0.9013690476190476,Bangkok Deejay,0,5.364193704,93.21065337874683
209,16-12-2022,Bernardo Bowl,RaceType.GREYHOUND_RACE,AUS,4.2,4.10625,Murray Bridge,0.9776785714285714,Bernardo Bowl,0,3.8693937561909113,108.54413545481457
210,16-12-2022,Canya Razor,RaceType.GREYHOUND_RACE,AUS,1.75,1.758,Murray Bridge,1.0045714285714287,Canya Razor,0,1.7417655641191234,100.47276373184246
211,16-12-2022,Cousin Winnie,RaceType.HORSE_RACE,USA,3.0,2.85,Charles Town,0.9500000000000001,Cousin Winnie,1,3.475404398366809,86.32088977644688
212,16-12-2022,Dried Pepper,RaceType.HORSE_RACE,USA,3.0,2.9754545454545456,Delta Downs,0.9918181818181818,Dried Pepper,0,3.0572637011483312,98.12696231840182
213,16-12-2022,Festival Dancer,RaceType.GREYHOUND_RACE,AUS,6.0,5.863636363636364,Murray Bridge,0.9772727272727274,Festival Dancer,0,5.97388822678302,100.43709845624349
214,16-12-2022,Fort Knox,RaceType.HORSE_RACE,USA,9.0,99995.0,Remington Park,11110.555555555555,Fort Knox,0,12.0,75.0
215,16-12-2022,French Wish,RaceType.GREYHOUND_RACE,AUS,1.95,1.9361818181818184,Murray Bridge,0.9929137529137531,French Wish,1,2.24,87.05357142857142
216,16-12-2022,Goldies A Delight,RaceType.TROT_RACE,AUS,4.6,4.400531914893618,Albion Park,0.9566373728029605,Goldies A Delight,1,3.6874154274007376,124.74862381433773
217,16-12-2022,Grab The Pizzas,RaceType.GREYHOUND_RACE,AUS,4.4,4.057142857142857,Murray Bridge,0.9220779220779219,Grab The Pizzas,0,4.4,100.0
218,16-12-2022,Las Vegas Blvd,RaceType.HORSE_RACE,USA,10.0,7.514285714285714,Charles Town,0.7514285714285714,Las Vegas Blvd,0,10.925062528,91.53265690123838
219,16-12-2022,Laughintothebank,RaceType.HORSE_RACE,USA,1.65,1.6328571428571428,Charles Town,0.9896103896103896,Laughintothebank,0,1.496258493,110.27506328079369
220,16-12-2022,Little Nosey,RaceType.GREYHOUND_RACE,AUS,5.5,5.235460992907802,Addington,0.9519019987105094,Little Nosey,0,5.330229784,103.18504497704033
221,16-12-2022,Mister Wayside,RaceType.HORSE_RACE,USA,2.35,2.3401785714285714,Remington Park,0.9958206686930091,Mister Wayside,0,3.034275669135703,77.44846731969429
222,16-12-2022,Old Malt,RaceType.GREYHOUND_RACE,AUS,2.05,2.0966666666666667,Addington,1.0227642276422766,Old Malt,0,2.0972791808421967,97.74568968814104
223,16-12-2022,Orrong Road,RaceType.HORSE_RACE,AUS,4.6,4.442465753424658,Geelong,0.9657534246575344,Orrong Road,0,4.4,104.54545454545452
224,16-12-2022,Piazza Minerva,RaceType.GREYHOUND_RACE,AUS,2.7,2.659148936170213,Townsville,0.984869976359338,Piazza Minerva,0,3.1,87.09677419354838
225,16-12-2022,Rons Brother,RaceType.GREYHOUND_RACE,AUS,5.0,4.825,Ipswich,0.9650000000000001,Rons Brother,0,5.1,98.03921568627452
226,16-12-2022,Rowdy River,RaceType.HORSE_RACE,USA,4.4,4.216666666666667,Remington Park,0.9583333333333333,Rowdy River,1,4.3,102.32558139534885
227,16-12-2022,Ryan Express,RaceType.HORSE_RACE,USA,6.5,6.2,Remington Park,0.9538461538461539,Ryan Express,0,7.613874173,85.37046781059276
228,16-12-2022,Side Kick,RaceType.GREYHOUND_RACE,AUS,2.5,2.465,Ipswich,0.986,Side Kick,1,2.34,106.83760683760684
229,16-12-2022,Stopped Short,RaceType.GREYHOUND_RACE,AUS,10.0,9.488888888888887,Ballarat,0.9488888888888887,Stopped Short,0,10.0,100.0
230,16-12-2022,Sweet Dynasty,RaceType.HORSE_RACE,USA,4.2,3.928571428571429,Remington Park,0.935374149659864,Sweet Dynasty,0,4.128401902106127,101.73428119625048
231,16-12-2022,Tashkent,RaceType.HORSE_RACE,USA,3.0,99995.0,Remington Park,33331.666666666664,Tashkent,1,1.730919563,173.31827914640076
232,16-12-2022,Whiskey Reef,RaceType.GREYHOUND_RACE,AUS,3.0,2.9753846153846157,Ballarat,0.9917948717948719,Whiskey Reef,0,2.814156162733562,106.60389212679358
233,16-12-2022,Whisky Nip,RaceType.GREYHOUND_RACE,AUS,4.2,4.233333333333333,Ballarat,1.007936507936508,Whisky Nip,1,3.6,116.66666666666667
234,16-12-2022,Yankee Indian,RaceType.HORSE_RACE,USA,2.45,2.340506329113924,Remington Park,0.9553087057607853,Yankee Indian,0,2.58,94.96124031007753
