,Way Too Soft,Frankys Dream,Mississippi Blue,Terrific Molly,Diplomatic Man,Influencer,Agent Eleven,Irene
06-01-2023 12:25:47.448640,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:48.649515,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:49.808359,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:50.994576,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:52.210012,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.957894736842105)"
06-01-2023 12:25:53.414703,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:25:54.509529,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:25:55.632357,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:25:56.792067,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:25:58.043488,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:25:59.297903,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:26:00.562783,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:26:01.703870,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:26:02.847434,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:26:03.952919,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
06-01-2023 12:26:05.086376,"(7.0, 12.5, 10.2875)","(10.0, 19.0, 17.16)","(31.0, 230.0, 101.42857142857143)","(7.5, 16.5, 13.466666666666667)","(9.0, 24.0, 15.777777777777779)","(4.2, 6.6, 4.725)","(5.0, 7.6, 5.3500000000000005)","(2.6, 4.3, 2.8615384615384616)"
