,Free To Move,Beaufort Park,Blesk,Comanche Brave,Saucey Horsey,Kiss Me If You Can,Lovin Laughs,Lafargue,Standoff,Ceasar,Marketing,Worsfold
07-12-2022 18:21:06.343519,"(20.0, 99999, 99990)","(10.0, 11.5, 11.325396825396826)","(21.0, 29.0, 28.322033898305087)","(20.0, 38.0, 36.35294117647059)","(5.5, 7.0, 6.826976744186046)","(31.0, 55.0, 50.833333333333336)","(26.0, 36.0, 35.75)","(7.5, 9.4, 9.33053892215569)","(26.0, 38.0, 37.166666666666664)","(3.7, 4.0, 3.9422535211267604)","(41.0, 55.0, 52.666666666666664)","(4.4, 5.0, 4.982105263157894)"
07-12-2022 18:21:07.982342,"(20.0, 99999, 99990)","(10.0, 11.5, 11.366379310344827)","(21.0, 29.0, 28.423728813559322)","(20.0, 38.0, 36.35294117647059)","(5.5, 7.0, 6.773611111111111)","(31.0, 55.0, 50.833333333333336)","(26.0, 36.0, 35.75)","(7.5, 9.4, 9.345)","(26.0, 38.0, 37.166666666666664)","(3.7, 4.0, 3.986514522821577)","(41.0, 55.0, 52.666666666666664)","(4.4, 5.0, 4.982105263157894)"
07-12-2022 18:21:09.655128,"(20.0, 99999, 99990)","(10.0, 11.5, 11.366379310344827)","(21.0, 29.0, 28.423728813559322)","(20.0, 38.0, 36.35294117647059)","(5.5, 6.8, 6.773611111111111)","(31.0, 55.0, 50.833333333333336)","(26.0, 36.0, 35.75)","(7.5, 9.4, 9.345)","(26.0, 38.0, 37.166666666666664)","(3.6, 4.0, 3.990327380952381)","(41.0, 55.0, 52.666666666666664)","(4.6, 5.0, 4.982105263157894)"
07-12-2022 18:21:11.272049,"(20.0, 99999, 99990)","(10.0, 11.5, 11.366379310344827)","(21.0, 29.0, 28.433333333333334)","(20.0, 38.0, 37.07692307692308)","(5.5, 6.8, 6.347916666666667)","(31.0, 55.0, 51.0)","(26.0, 36.0, 36.666666666666664)","(7.5, 9.4, 9.242105263157894)","(26.0, 38.0, 37.166666666666664)","(3.6, 4.0, 4.016801619433198)","(41.0, 55.0, 52.666666666666664)","(4.6, 5.0, 5.036094674556213)"
07-12-2022 18:21:12.859968,"(20.0, 99999, 99990)","(10.0, 11.5, 11.333333333333334)","(21.0, 29.0, 28.433333333333334)","(20.0, 38.0, 37.07692307692308)","(5.5, 6.4, 6.344897959183673)","(31.0, 55.0, 51.0)","(26.0, 38.0, 36.666666666666664)","(7.5, 9.4, 9.242105263157894)","(26.0, 38.0, 37.166666666666664)","(3.6, 4.1, 4.016801619433198)","(41.0, 55.0, 52.666666666666664)","(4.6, 5.1, 4.981318681318681)"
07-12-2022 18:21:14.346683,"(20.0, 99999, 99990)","(10.0, 11.5, 11.328125)","(21.0, 29.0, 28.433333333333334)","(20.0, 38.0, 37.07692307692308)","(5.5, 6.4, 6.337931034482759)","(31.0, 55.0, 51.0)","(26.0, 38.0, 36.604651162790695)","(7.5, 9.4, 9.242105263157894)","(26.0, 38.0, 37.166666666666664)","(3.6, 4.1, 4.009480812641083)","(41.0, 55.0, 53.25)","(4.6, 5.1, 4.981318681318681)"
07-12-2022 18:21:15.795416,"(20.0, 99999, 99990)","(10.0, 11.5, 11.328125)","(21.0, 29.0, 28.433333333333334)","(20.0, 38.0, 37.07692307692308)","(5.5, 6.4, 6.337931034482759)","(31.0, 55.0, 51.0)","(26.0, 38.0, 36.604651162790695)","(7.5, 9.4, 9.242105263157894)","(26.0, 38.0, 37.166666666666664)","(3.6, 4.1, 4.009480812641083)","(41.0, 55.0, 53.25)","(4.6, 5.1, 4.981318681318681)"
07-12-2022 18:21:17.364333,"(20.0, 99999, 99990)","(10.0, 11.5, 11.328125)","(21.0, 29.0, 28.055555555555557)","(20.0, 38.0, 37.333333333333336)","(5.5, 6.4, 6.290582959641256)","(31.0, 55.0, 51.0)","(26.0, 38.0, 36.87179487179487)","(7.5, 9.4, 9.223529411764705)","(26.0, 38.0, 37.166666666666664)","(3.6, 4.1, 4.009480812641083)","(41.0, 55.0, 53.25)","(4.6, 5.1, 4.992753623188406)"
07-12-2022 18:21:19.020003,"(20.0, 99999, 99990)","(10.0, 11.5, 11.328125)","(21.0, 28.0, 27.97674418604651)","(20.0, 38.0, 37.2)","(5.5, 6.4, 6.286206896551724)","(31.0, 55.0, 51.0)","(26.0, 38.0, 37.333333333333336)","(7.5, 9.4, 9.24375)","(26.0, 38.0, 37.166666666666664)","(3.6, 4.1, 3.9541866028708137)","(41.0, 55.0, 54.34782608695652)","(4.6, 5.1, 5.0120481927710845)"
07-12-2022 18:21:20.657148,"(20.0, 99999, 99990)","(10.0, 11.5, 11.679775280898877)","(21.0, 28.0, 27.97674418604651)","(20.0, 38.0, 37.5)","(5.5, 6.4, 6.25)","(31.0, 55.0, 51.0)","(26.0, 38.0, 38.4)","(7.5, 9.4, 9.24375)","(26.0, 38.0, 37.166666666666664)","(3.6, 4.0, 3.9560779816513763)","(41.0, 55.0, 54.73684210526316)","(4.6, 5.1, 5.012658227848101)"
07-12-2022 18:21:22.366039,"(20.0, 99999, 99990)","(10.0, 12.0, 11.683908045977011)","(21.0, 28.0, 27.97674418604651)","(20.0, 38.0, 37.5)","(5.5, 6.4, 6.297313432835821)","(31.0, 55.0, 51.0)","(26.0, 40.0, 38.4)","(7.5, 9.4, 9.24375)","(26.0, 38.0, 37.166666666666664)","(3.6, 4.0, 3.9130291005291005)","(41.0, 60.0, 54.73684210526316)","(4.6, 5.1, 5.012658227848101)"
07-12-2022 18:21:24.072469,"(20.0, 99999, 99990)","(10.0, 12.0, 11.697530864197532)","(21.0, 28.0, 27.97674418604651)","(20.0, 38.0, 36.4)","(5.5, 6.4, 6.297313432835821)","(31.0, 55.0, 51.0)","(26.0, 40.0, 38.58064516129032)","(7.5, 9.4, 9.235164835164834)","(26.0, 38.0, 37.166666666666664)","(3.6, 3.95, 3.908753709198813)","(41.0, 60.0, 54.73684210526316)","(4.6, 5.1, 5.017543859649122)"
07-12-2022 18:21:25.727710,"(20.0, 99999, 99990)","(10.0, 12.0, 11.697530864197532)","(21.0, 28.0, 27.97674418604651)","(20.0, 38.0, 36.4)","(5.5, 6.4, 6.297313432835821)","(31.0, 55.0, 51.0)","(26.0, 40.0, 38.30769230769231)","(7.5, 9.4, 9.197142857142856)","(26.0, 38.0, 37.166666666666664)","(3.6, 3.95, 3.910228898426323)","(41.0, 60.0, 55.08196721311475)","(4.6, 5.1, 5.016071428571428)"
07-12-2022 18:21:27.413196,"(20.0, 99999, 99990)","(10.0, 12.0, 11.857843137254902)","(21.0, 29.0, 28.347826086956523)","(20.0, 38.0, 36.666666666666664)","(5.5, 6.2, 6.195384615384616)","(31.0, 55.0, 51.20253164556962)","(26.0, 40.0, 39.5)","(7.5, 9.2, 9.195652173913043)","(26.0, 38.0, 37.21568627450981)","(3.6, 3.95, 3.9212485681557845)","(41.0, 60.0, 55.08196721311475)","(4.4, 5.0, 4.902906071613908)"
07-12-2022 18:21:29.253721,"(20.0, 99999, 99990)","(10.0, 12.0, 11.809322033898304)","(21.0, 29.0, 28.5)","(20.0, 38.0, 38.666666666666664)","(5.5, 6.2, 6.2629629629629635)","(31.0, 55.0, 51.20253164556962)","(26.0, 40.0, 40.93333333333333)","(7.5, 9.2, 9.195652173913043)","(26.0, 38.0, 35.76271186440678)","(3.6, 3.95, 3.9226495726495725)","(41.0, 60.0, 48.0)","(4.4, 5.0, 4.90277920741122)"
07-12-2022 18:21:30.803048,"(20.0, 99999, 99990)","(10.0, 12.0, 11.809322033898304)","(21.0, 29.0, 28.64516129032258)","(20.0, 40.0, 38.666666666666664)","(5.5, 6.4, 6.286033519553073)","(31.0, 55.0, 51.20253164556962)","(26.0, 42.0, 41.46666666666667)","(7.5, 9.2, 9.195652173913043)","(26.0, 36.0, 36.73684210526316)","(3.6, 3.95, 3.9226495726495725)","(41.0, 60.0, 50.114285714285714)","(4.4, 5.0, 4.903128205128206)"
07-12-2022 18:21:32.325272,"(20.0, 99999, 99990)","(10.0, 12.0, 11.725609756097562)","(21.0, 29.0, 29.228571428571428)","(20.0, 40.0, 41.333333333333336)","(5.5, 6.4, 6.296969696969697)","(31.0, 55.0, 51.20253164556962)","(26.0, 42.0, 41.27272727272727)","(7.5, 9.2, 9.196190476190475)","(26.0, 38.0, 36.97142857142857)","(3.6, 3.95, 3.9246319365798414)","(41.0, 55.0, 48.35)","(4.4, 5.0, 4.887155963302752)"
07-12-2022 18:21:33.826062,"(20.0, 99999, 99990)","(10.0, 12.0, 11.725609756097562)","(21.0, 30.0, 29.228571428571428)","(20.0, 44.0, 40.0)","(5.5, 6.4, 6.296969696969697)","(31.0, 55.0, 51.20253164556962)","(26.0, 42.0, 41.368421052631575)","(7.5, 9.2, 9.196190476190475)","(26.0, 38.0, 36.97142857142857)","(3.6, 3.95, 3.9160979228486648)","(41.0, 55.0, 48.95454545454545)","(4.4, 4.9, 4.9043602983362025)"
07-12-2022 18:21:35.517996,"(20.0, 99999, 99990)","(10.0, 12.0, 11.725609756097562)","(21.0, 30.0, 28.925925925925927)","(20.0, 44.0, 40.0)","(5.5, 6.4, 6.296969696969697)","(31.0, 55.0, 51.20253164556962)","(26.0, 44.0, 41.368421052631575)","(7.5, 9.2, 9.196153846153845)","(26.0, 38.0, 36.97142857142857)","(3.6, 3.95, 3.916835994194485)","(41.0, 55.0, 48.95454545454545)","(4.4, 5.0, 4.9043602983362025)"
07-12-2022 18:21:37.418609,"(20.0, 99999, 99990)","(10.0, 12.0, 11.725609756097562)","(21.0, 30.0, 29.041666666666668)","(20.0, 44.0, 37.42857142857143)","(5.5, 6.4, 6.296969696969697)","(31.0, 55.0, 51.20253164556962)","(26.0, 44.0, 42.113207547169814)","(7.5, 9.2, 9.196153846153845)","(26.0, 38.0, 36.97142857142857)","(3.6, 3.95, 3.916835994194485)","(41.0, 55.0, 48.95454545454545)","(4.4, 5.0, 4.9043602983362025)"
07-12-2022 18:21:39.080459,"(20.0, 99999, 99990)","(10.0, 12.0, 11.725609756097562)","(21.0, 30.0, 29.041666666666668)","(20.0, 38.0, 37.42857142857143)","(5.5, 6.4, 6.280975609756098)","(31.0, 55.0, 51.20253164556962)","(26.0, 44.0, 42.113207547169814)","(7.5, 9.2, 9.131645569620252)","(26.0, 38.0, 36.97142857142857)","(3.6, 3.95, 3.9227825030376673)","(41.0, 55.0, 48.80769230769231)","(4.4, 5.0, 4.906767337807606)"
07-12-2022 18:21:40.834799,"(20.0, 99999, 99990)","(10.0, 12.0, 11.725609756097562)","(21.0, 30.0, 29.041666666666668)","(20.0, 38.0, 37.42857142857143)","(5.5, 6.4, 6.280975609756098)","(31.0, 55.0, 51.20253164556962)","(26.0, 44.0, 42.275862068965516)","(7.5, 9.2, 9.131645569620252)","(26.0, 38.0, 36.97142857142857)","(3.6, 3.95, 3.9227825030376673)","(41.0, 55.0, 48.80769230769231)","(4.4, 5.0, 4.906767337807606)"
07-12-2022 18:21:42.515886,"(20.0, 99999, 99990)","(10.0, 12.0, 11.725609756097562)","(21.0, 30.0, 29.21951219512195)","(20.0, 38.0, 37.42857142857143)","(5.5, 6.4, 6.280975609756098)","(31.0, 55.0, 51.20253164556962)","(26.0, 44.0, 42.275862068965516)","(7.5, 9.2, 9.131645569620252)","(26.0, 38.0, 36.97142857142857)","(3.6, 3.95, 3.9277453271028038)","(41.0, 55.0, 48.80769230769231)","(4.4, 5.0, 4.906767337807606)"
07-12-2022 18:21:44.209754,"(20.0, 99999, 99990)","(10.0, 12.0, 11.645522388059701)","(21.0, 30.0, 29.304347826086957)","(20.0, 38.0, 37.42857142857143)","(5.5, 6.4, 6.283253588516747)","(31.0, 55.0, 51.20253164556962)","(26.0, 44.0, 42.3)","(7.5, 9.2, 9.194871794871794)","(26.0, 38.0, 37.16279069767442)","(3.6, 3.95, 3.906949152542373)","(41.0, 55.0, 48.80769230769231)","(4.4, 5.0, 4.757528957528957)"
07-12-2022 18:21:45.932803,"(20.0, 99999, 99990)","(10.0, 12.0, 11.645522388059701)","(21.0, 30.0, 29.304347826086957)","(21.0, 38.0, 37.42857142857143)","(5.5, 6.4, 6.283253588516747)","(31.0, 55.0, 51.25)","(26.0, 44.0, 42.48888888888889)","(7.5, 9.2, 9.194871794871794)","(26.0, 38.0, 37.16279069767442)","(3.6, 3.95, 3.906949152542373)","(41.0, 55.0, 48.80769230769231)","(4.4, 4.8, 4.79390243902439)"
07-12-2022 18:21:47.715045,"(20.0, 99999, 99990)","(10.0, 12.0, 11.674657534246576)","(21.0, 32.0, 31.022222222222222)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.293913043478261)","(31.0, 55.0, 51.392405063291136)","(26.0, 44.0, 43.27272727272727)","(7.5, 9.2, 9.216)","(26.0, 38.0, 37.38181818181818)","(3.6, 3.95, 3.9115151515151516)","(41.0, 55.0, 51.714285714285715)","(4.6, 4.8, 4.79685534591195)"
07-12-2022 18:21:49.422649,"(20.0, 99999, 99990)","(10.0, 12.0, 11.660714285714286)","(21.0, 32.0, 31.022222222222222)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.281545064377682)","(31.0, 55.0, 51.392405063291136)","(26.0, 44.0, 42.666666666666664)","(7.5, 9.4, 9.216)","(26.0, 38.0, 37.43333333333333)","(3.6, 3.95, 3.91848635235732)","(41.0, 55.0, 51.714285714285715)","(4.6, 4.8, 4.797499999999999)"
07-12-2022 18:21:51.051600,"(20.0, 99999, 99990)","(10.0, 12.0, 11.660714285714286)","(21.0, 32.0, 31.022222222222222)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.281545064377682)","(31.0, 55.0, 51.392405063291136)","(26.0, 44.0, 42.666666666666664)","(7.5, 9.4, 9.216)","(26.0, 38.0, 37.43333333333333)","(3.6, 3.95, 3.919098143236074)","(41.0, 55.0, 51.714285714285715)","(4.6, 4.8, 4.797560975609756)"
07-12-2022 18:21:52.684826,"(20.0, 99999, 99990)","(10.0, 12.0, 11.660714285714286)","(21.0, 32.0, 31.12)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.281545064377682)","(31.0, 55.0, 51.392405063291136)","(26.0, 44.0, 42.666666666666664)","(7.5, 9.4, 9.216)","(26.0, 38.0, 37.43333333333333)","(3.6, 3.95, 3.9197333333333333)","(41.0, 55.0, 51.714285714285715)","(4.6, 4.8, 4.797560975609756)"
07-12-2022 18:21:54.291092,"(20.0, 99999, 99990)","(10.0, 12.0, 11.660714285714286)","(21.0, 32.0, 31.217391304347828)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.281545064377682)","(31.0, 55.0, 51.392405063291136)","(26.0, 44.0, 42.666666666666664)","(7.5, 9.4, 9.216)","(26.0, 38.0, 37.43333333333333)","(3.6, 3.95, 3.921750321750322)","(41.0, 55.0, 48.2)","(4.6, 4.8, 4.737802197802198)"
07-12-2022 18:21:55.918714,"(20.0, 99999, 99990)","(10.0, 12.0, 11.660714285714286)","(21.0, 32.0, 31.217391304347828)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.303630363036304)","(31.0, 55.0, 51.392405063291136)","(26.0, 44.0, 42.666666666666664)","(7.5, 9.4, 9.216)","(26.0, 38.0, 37.43333333333333)","(3.6, 3.95, 3.921750321750322)","(41.0, 50.0, 48.2)","(4.6, 4.8, 4.737802197802198)"
07-12-2022 18:21:57.472325,"(20.0, 99999, 99990)","(10.0, 12.0, 11.660714285714286)","(21.0, 32.0, 31.217391304347828)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.2907514450867055)","(31.0, 55.0, 51.392405063291136)","(26.0, 44.0, 42.666666666666664)","(7.5, 9.4, 9.219999999999999)","(26.0, 38.0, 37.43333333333333)","(3.6, 3.95, 3.921750321750322)","(41.0, 50.0, 48.44444444444444)","(4.6, 4.8, 4.7365957446808515)"
07-12-2022 18:22:03.327256,"(20.0, 99999, 99990)","(10.0, 12.0, 11.658450704225352)","(21.0, 32.0, 30.982456140350877)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.291812865497076)","(31.0, 55.0, 51.34615384615385)","(26.0, 44.0, 42.15384615384615)","(7.5, 9.4, 9.241176470588234)","(26.0, 38.0, 37.43333333333333)","(3.6, 3.95, 3.921750321750322)","(41.0, 50.0, 48.6)","(4.6, 4.8, 4.735913978494624)"
07-12-2022 18:22:05.265634,"(20.0, 99999, 99990)","(10.0, 12.0, 11.658450704225352)","(21.0, 32.0, 30.488888888888887)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.281524926686218)","(31.0, 55.0, 51.76136363636363)","(26.0, 44.0, 43.523809523809526)","(7.5, 9.4, 9.24375)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.9210280373831776)","(41.0, 50.0, 48.6)","(4.6, 4.8, 4.732150776053215)"
07-12-2022 18:22:07.269931,"(20.0, 99999, 99990)","(10.0, 12.0, 11.683006535947712)","(21.0, 32.0, 30.392857142857142)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.282258064516129)","(31.0, 55.0, 51.7032967032967)","(26.0, 44.0, 43.523809523809526)","(7.5, 9.4, 9.224561403508773)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.9211436170212766)","(41.0, 50.0, 48.6)","(4.4, 5.0, 4.901302545885139)"
07-12-2022 18:22:09.039499,"(19.0, 99999, 99990)","(10.0, 12.0, 11.683006535947712)","(26.0, 32.0, 30.392857142857142)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.282258064516129)","(31.0, 55.0, 51.7032967032967)","(26.0, 44.0, 43.523809523809526)","(7.5, 9.4, 9.076923076923077)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.9211436170212766)","(41.0, 50.0, 48.6)","(4.4, 5.0, 4.906758241758242)"
07-12-2022 18:22:10.756210,"(19.0, 99999, 99990)","(10.0, 12.0, 11.683006535947712)","(26.0, 32.0, 30.392857142857142)","(21.0, 38.0, 37.64705882352941)","(5.5, 6.4, 6.278333333333333)","(31.0, 55.0, 51.7032967032967)","(26.0, 44.0, 43.294117647058826)","(7.5, 9.2, 9.089285714285714)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.9211436170212766)","(41.0, 50.0, 48.705882352941174)","(4.4, 5.0, 4.906501377410469)"
07-12-2022 18:22:12.298946,"(19.0, 99999, 99990)","(10.0, 12.0, 11.672297297297296)","(26.0, 32.0, 30.35483870967742)","(21.0, 38.0, 38.666666666666664)","(5.5, 6.4, 6.271176470588236)","(31.0, 55.0, 51.7032967032967)","(26.0, 44.0, 43.77777777777778)","(7.5, 9.2, 9.134736842105262)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.9211436170212766)","(41.0, 50.0, 48.6)","(4.4, 5.0, 4.902862049227247)"
07-12-2022 18:22:13.791642,"(19.0, 99999, 99990)","(10.0, 12.0, 11.672297297297296)","(26.0, 32.0, 30.01298701298701)","(21.0, 40.0, 39.130434782608695)","(5.5, 6.4, 6.274922600619195)","(31.0, 55.0, 51.76136363636363)","(26.0, 44.0, 43.77777777777778)","(7.5, 9.2, 9.173333333333332)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.92253164556962)","(41.0, 50.0, 51.666666666666664)","(4.4, 5.0, 4.752230971128609)"
07-12-2022 18:22:15.216459,"(19.0, 99999, 99990)","(10.0, 12.0, 11.672297297297296)","(26.0, 32.0, 30.553846153846155)","(21.0, 40.0, 39.130434782608695)","(5.5, 6.4, 6.274922600619195)","(31.0, 55.0, 51.76136363636363)","(26.0, 44.0, 43.77777777777778)","(7.5, 9.2, 9.177272727272726)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.92253164556962)","(41.0, 55.0, 51.48148148148148)","(4.4, 4.8, 4.752230971128609)"
07-12-2022 18:22:16.677858,"(19.0, 99999, 99990)","(10.0, 12.0, 11.672297297297296)","(26.0, 32.0, 30.553846153846155)","(21.0, 40.0, 39.0)","(5.5, 6.4, 6.274922600619195)","(31.0, 55.0, 51.724137931034484)","(26.0, 44.0, 43.77777777777778)","(7.5, 9.2, 9.177272727272726)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.9240119760479044)","(41.0, 55.0, 51.48148148148148)","(4.4, 4.8, 4.752230971128609)"
07-12-2022 18:22:18.206361,"(19.0, 99999, 99990)","(10.0, 12.0, 11.672297297297296)","(26.0, 32.0, 30.553846153846155)","(21.0, 40.0, 38.8)","(5.5, 6.4, 6.274922600619195)","(31.0, 55.0, 51.724137931034484)","(26.0, 44.0, 43.77777777777778)","(7.5, 9.2, 9.125581395348837)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.9235365853658535)","(41.0, 55.0, 51.48148148148148)","(4.4, 4.8, 4.752230971128609)"
07-12-2022 18:22:19.713787,"(19.0, 99999, 99990)","(10.0, 12.0, 11.672297297297296)","(26.0, 32.0, 30.553846153846155)","(21.0, 40.0, 39.368421052631575)","(5.5, 6.4, 6.274922600619195)","(31.0, 55.0, 51.724137931034484)","(26.0, 44.0, 43.77777777777778)","(7.5, 9.2, 9.125581395348837)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.9235365853658535)","(41.0, 55.0, 51.48148148148148)","(4.4, 4.8, 4.752230971128609)"
07-12-2022 18:22:21.172562,"(19.0, 99999, 99990)","(10.0, 12.0, 11.557522123893806)","(26.0, 32.0, 30.553846153846155)","(21.0, 40.0, 39.368421052631575)","(5.5, 6.4, 6.274922600619195)","(31.0, 55.0, 51.724137931034484)","(26.0, 44.0, 43.77777777777778)","(7.5, 9.2, 9.125581395348837)","(26.0, 38.0, 37.521126760563384)","(3.6, 3.95, 3.9235365853658535)","(41.0, 55.0, 51.48148148148148)","(4.4, 4.8, 4.752230971128609)"
07-12-2022 18:22:22.750386,"(19.0, 99999, 99990)","(10.0, 12.0, 11.68944099378882)","(26.0, 32.0, 30.553846153846155)","(21.0, 40.0, 39.44444444444444)","(5.5, 6.4, 6.274922600619195)","(31.0, 55.0, 51.98717948717949)","(26.0, 44.0, 43.857142857142854)","(7.5, 9.2, 9.073684210526315)","(26.0, 38.0, 37.484848484848484)","(3.6, 3.95, 3.9235365853658535)","(41.0, 55.0, 51.48148148148148)","(4.4, 4.8, 4.752230971128609)"
07-12-2022 18:22:24.277421,"(19.0, 99999, 99990)","(10.0, 12.0, 11.68944099378882)","(26.0, 32.0, 30.553846153846155)","(21.0, 40.0, 38.8)","(5.5, 6.4, 6.265084745762712)","(31.0, 55.0, 51.86666666666667)","(26.0, 44.0, 42.666666666666664)","(7.5, 9.2, 9.073684210526315)","(26.0, 38.0, 37.46031746031746)","(3.6, 3.95, 3.9232445520581116)","(41.0, 55.0, 51.607142857142854)","(4.4, 4.8, 4.7106941838649155)"
07-12-2022 18:22:26.136066,"(19.0, 99999, 99990)","(10.0, 12.0, 11.714285714285714)","(26.0, 32.0, 30.553846153846155)","(21.0, 40.0, 38.8)","(5.5, 6.4, 6.282666666666667)","(31.0, 55.0, 51.484375)","(26.0, 44.0, 42.5)","(7.5, 9.2, 9.073684210526315)","(26.0, 38.0, 37.56666666666667)","(3.6, 3.95, 3.9233009708737865)","(41.0, 55.0, 51.607142857142854)","(4.4, 4.8, 4.7184)"
07-12-2022 18:22:27.904624,"(19.0, 99999, 99990)","(10.0, 12.0, 11.735449735449736)","(26.0, 32.0, 30.65714285714286)","(21.0, 40.0, 39.473684210526315)","(5.5, 6.4, 6.282666666666667)","(31.0, 55.0, 52.077922077922075)","(26.0, 44.0, 43.53846153846154)","(7.5, 9.2, 9.141007194244605)","(26.0, 38.0, 37.542857142857144)","(3.6, 3.95, 3.924537037037037)","(41.0, 55.0, 52.5)","(4.4, 4.8, 4.714521452145215)"
07-12-2022 18:22:29.473295,"(19.0, 99999, 99990)","(10.0, 12.0, 11.735449735449736)","(26.0, 32.0, 30.65714285714286)","(21.0, 40.0, 39.473684210526315)","(5.5, 6.4, 6.28)","(31.0, 55.0, 52.077922077922075)","(26.0, 44.0, 43.53846153846154)","(7.5, 9.2, 9.149999999999999)","(26.0, 38.0, 37.542857142857144)","(3.6, 3.95, 3.924537037037037)","(41.0, 55.0, 52.5)","(4.4, 4.8, 4.714521452145215)"
07-12-2022 18:22:31.142078,"(19.0, 99999, 99990)","(10.0, 12.0, 11.735449735449736)","(26.0, 32.0, 30.65714285714286)","(21.0, 40.0, 39.473684210526315)","(5.5, 6.4, 6.289940828402367)","(31.0, 55.0, 52.077922077922075)","(26.0, 44.0, 43.53846153846154)","(7.5, 9.2, 9.149999999999999)","(26.0, 38.0, 37.542857142857144)","(3.6, 3.95, 3.924537037037037)","(41.0, 55.0, 52.5)","(4.4, 4.8, 4.714521452145215)"
07-12-2022 18:22:33.048327,"(19.0, 99999, 99990)","(10.0, 12.0, 11.735449735449736)","(26.0, 32.0, 30.65714285714286)","(21.0, 40.0, 39.473684210526315)","(5.5, 6.4, 6.289940828402367)","(31.0, 55.0, 52.28915662650603)","(26.0, 44.0, 43.53846153846154)","(7.5, 9.2, 9.107246376811593)","(26.0, 38.0, 37.542857142857144)","(3.6, 3.95, 3.9561501942166597)","(41.0, 55.0, 52.5)","(4.4, 4.8, 4.714521452145215)"
07-12-2022 18:22:34.916231,"(19.0, 99999, 99990)","(10.0, 12.0, 11.747474747474747)","(26.0, 32.0, 30.65714285714286)","(21.0, 40.0, 39.473684210526315)","(5.5, 6.4, 6.288888888888889)","(31.0, 55.0, 52.28915662650603)","(26.0, 44.0, 43.53846153846154)","(7.5, 9.2, 8.971428571428572)","(26.0, 38.0, 37.542857142857144)","(3.6, 4.0, 3.956920783645656)","(41.0, 55.0, 52.68292682926829)","(4.4, 4.8, 4.714521452145215)"
07-12-2022 18:22:36.709427,"(19.0, 99999, 99990)","(10.0, 12.0, 11.735449735449736)","(26.0, 32.0, 30.65714285714286)","(21.0, 40.0, 39.473684210526315)","(5.5, 6.4, 6.285889570552148)","(31.0, 55.0, 52.28915662650603)","(26.0, 44.0, 43.53846153846154)","(7.5, 9.2, 8.963546798029556)","(26.0, 38.0, 37.542857142857144)","(3.6, 4.0, 3.9205673758865247)","(41.0, 55.0, 52.68292682926829)","(4.4, 4.8, 4.725795053003534)"
07-12-2022 18:22:38.374960,"(19.0, 99999, 99990)","(10.0, 12.0, 11.76958525345622)","(26.0, 32.0, 30.65714285714286)","(21.0, 40.0, 39.06666666666667)","(5.5, 6.4, 6.2801261829653)","(31.0, 55.0, 52.28915662650603)","(26.0, 44.0, 43.53846153846154)","(7.5, 9.2, 8.981420765027323)","(26.0, 38.0, 37.542857142857144)","(3.6, 3.95, 3.9205673758865247)","(41.0, 55.0, 52.68292682926829)","(4.4, 4.8, 4.729194630872484)"
07-12-2022 18:22:40.000371,"(19.0, 99999, 99990)","(10.0, 12.0, 11.76958525345622)","(26.0, 32.0, 31.483870967741936)","(21.0, 40.0, 39.06666666666667)","(5.5, 6.4, 6.30392749244713)","(31.0, 55.0, 52.28915662650603)","(26.0, 44.0, 43.53846153846154)","(7.5, 9.2, 9.035390946502057)","(26.0, 38.0, 37.542857142857144)","(3.6, 3.95, 3.9205673758865247)","(41.0, 55.0, 52.68292682926829)","(4.4, 4.8, 4.729194630872484)"
07-12-2022 18:22:41.706761,"(19.0, 99999, 99990)","(10.0, 12.0, 11.76958525345622)","(26.0, 32.0, 31.904761904761905)","(21.0, 40.0, 39.4)","(5.5, 6.4, 6.311420612813371)","(31.0, 55.0, 52.28915662650603)","(26.0, 44.0, 43.53846153846154)","(7.5, 9.2, 9.040336134453781)","(26.0, 38.0, 37.542857142857144)","(3.6, 3.95, 3.9203268641470888)","(41.0, 55.0, 52.68292682926829)","(4.4, 4.8, 4.7340625)"
