,Aston Charlie,Chilli On Ice,Fizzy Crest,Gable,Woodside Gracie,Stella Star
04-01-2023 10:09:39.209481,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.194444444444445)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:40.080491,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.194444444444445)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:40.951846,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:41.865406,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:42.736861,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:43.668891,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:44.513639,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:45.381233,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:46.246757,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:47.127052,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:47.954556,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:48.803795,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:49.688661,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:50.613406,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:51.523915,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:52.406498,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:53.305344,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:54.192414,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:55.083260,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:55.949278,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:56.826138,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:57.720215,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:58.553849,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:09:59.447242,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:00.298004,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:01.127725,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:02.021121,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:02.885326,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:03.722388,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:04.616653,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:05.500064,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:06.433154,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:07.342515,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:08.237002,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:09.127724,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:09.999418,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
04-01-2023 10:10:10.905861,"(3.1, 5.0, 3.5)","(6.0, 14.5, 12.155172413793103)","(3.1, 6.2, 4.556666666666667)","(8.0, 16.5, 13.0)","(3.4, 6.8, 4.730882352941176)","(9.0, 19.5, 15.3375)"
