,Frankntank,Yoursnmine,Mytime,Spring Delight,Hes A Modern Boy,Amphijet,Micton Mouse,Filcarlo
10-01-2023 17:38:58.208297,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:38:59.469226,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:00.710018,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:01.914586,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:03.249993,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:04.626142,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:06.042171,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:07.387062,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:08.738056,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:10.082449,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:11.340343,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:12.579619,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:13.753596,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:14.886508,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:16.111435,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:17.266638,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:18.463240,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:19.722574,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:21.011416,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:22.239729,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:23.457770,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:24.630428,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:25.745541,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
10-01-2023 17:39:26.795566,"(21.0, 44.0, 27.0)","(4.8, 7.4, 6.733333333333333)","(6.0, 9.6, 7.92)","(2.4, 3.4, 2.7199999999999998)","(61.0, 200.0, 157.14285714285714)","(3.1, 4.6, 4.39)","(8.5, 15.0, 12.0)","(101.0, 170.0, 147.5)"
