,Bella Rouge,Coco Rox,Vaccine,Very Intoxicating,Amathuba,Carartie,Olentia,Hellavadancer,Xtra Gear,Parisian Lady,Latakia
07-01-2023 15:38:09.802314,"(3.9, 4.7, 4.623952095808383)","(14.0, 17.0, 16.87)","(26.0, 32.0, 30.89855072463768)","(26.0, 50.0, 50.625)","(13.0, 21.0, 20.41025641025641)","(61.0, 85.0, 77.72727272727273)","(1.95, 2.08, 2.0605150214592274)","(21.0, 42.0, 39.333333333333336)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.278947368421052)"
07-01-2023 15:38:11.311155,"(3.9, 4.7, 4.624922118380062)","(14.0, 17.0, 16.87)","(26.0, 32.0, 30.89855072463768)","(26.0, 55.0, 50.625)","(13.0, 21.0, 20.41025641025641)","(61.0, 85.0, 77.72727272727273)","(1.95, 2.08, 2.0605150214592274)","(21.0, 42.0, 38.266666666666666)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.25294117647059)"
07-01-2023 15:38:12.838968,"(3.9, 4.7, 4.626747720364741)","(14.0, 17.0, 16.875)","(26.0, 32.0, 30.929577464788732)","(26.0, 55.0, 51.111111111111114)","(13.0, 21.0, 20.4390243902439)","(61.0, 85.0, 77.72727272727273)","(1.95, 2.08, 2.061984126984127)","(21.0, 42.0, 38.266666666666666)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.264044943820224)"
07-01-2023 15:38:14.454818,"(3.9, 4.7, 4.621621621621621)","(14.0, 17.0, 16.875)","(26.0, 32.0, 30.929577464788732)","(26.0, 55.0, 51.111111111111114)","(13.0, 21.0, 20.4390243902439)","(61.0, 85.0, 78.04347826086956)","(1.95, 2.08, 2.0618587360594796)","(21.0, 42.0, 38.4)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.24390243902439)"
07-01-2023 15:38:16.103454,"(3.9, 4.7, 4.621621621621621)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.32)","(26.0, 55.0, 51.578947368421055)","(13.0, 21.0, 20.620689655172413)","(61.0, 85.0, 78.04347826086956)","(1.95, 2.08, 2.0618587360594796)","(21.0, 40.0, 39.0)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.285714285714286)"
07-01-2023 15:38:17.713250,"(3.9, 4.7, 4.621621621621621)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 51.30434782608695)","(13.0, 21.0, 20.620689655172413)","(61.0, 85.0, 78.04347826086956)","(1.95, 2.08, 2.0616077170418006)","(21.0, 40.0, 39.0)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.305555555555555)"
07-01-2023 15:38:19.208238,"(3.9, 4.7, 4.621621621621621)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 51.30434782608695)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.04347826086956)","(1.95, 2.08, 2.06187265917603)","(21.0, 40.0, 39.0)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:20.713274,"(3.9, 4.7, 4.621621621621621)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.04347826086956)","(1.95, 2.08, 2.062906976744186)","(21.0, 40.0, 39.0)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.266666666666667)"
07-01-2023 15:38:22.270551,"(3.9, 4.7, 4.621621621621621)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.04347826086956)","(1.95, 2.08, 2.0615873015873016)","(21.0, 40.0, 39.0)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:23.696050,"(3.9, 4.7, 4.621621621621621)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.04347826086956)","(1.95, 2.08, 2.060380228136882)","(21.0, 40.0, 39.666666666666664)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:25.238028,"(3.9, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.04347826086956)","(1.95, 2.08, 2.0488515406162464)","(21.0, 40.0, 39.111111111111114)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:26.740846,"(3.9, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0488515406162464)","(21.0, 42.0, 39.73913043478261)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:28.323025,"(3.9, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0488515406162464)","(21.0, 42.0, 39.73913043478261)","(61.0, 170.0, 150.9090909090909)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:29.798133,"(3.9, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0488515406162464)","(21.0, 42.0, 39.111111111111114)","(61.0, 170.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:31.288992,"(3.9, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 77.91666666666667)","(1.95, 2.06, 2.0488515406162464)","(21.0, 42.0, 40.22222222222222)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:32.872439,"(3.9, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(26.0, 32.0, 31.178571428571427)","(26.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 77.91666666666667)","(1.95, 2.06, 2.0488515406162464)","(21.0, 42.0, 41.111111111111114)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:34.357464,"(4.0, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(21.0, 32.0, 31.178571428571427)","(31.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 77.91666666666667)","(1.95, 2.06, 2.047919799498747)","(21.0, 42.0, 41.111111111111114)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.29)"
07-01-2023 15:38:35.970109,"(4.0, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(21.0, 32.0, 31.178571428571427)","(31.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 77.91666666666667)","(1.95, 2.06, 2.047919799498747)","(21.0, 42.0, 41.111111111111114)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.266666666666667)"
07-01-2023 15:38:37.531788,"(4.0, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(21.0, 32.0, 31.178571428571427)","(31.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 77.91666666666667)","(1.95, 2.06, 2.047919799498747)","(21.0, 42.0, 41.111111111111114)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.266666666666667)"
07-01-2023 15:38:39.066089,"(4.0, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(21.0, 32.0, 31.178571428571427)","(31.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 77.91666666666667)","(1.95, 2.06, 2.047919799498747)","(21.0, 42.0, 39.77777777777778)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.266666666666667)"
07-01-2023 15:38:40.624478,"(4.0, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(21.0, 32.0, 31.178571428571427)","(31.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 77.91666666666667)","(1.95, 2.06, 2.047577319587629)","(21.0, 40.0, 39.86666666666667)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.266666666666667)"
07-01-2023 15:38:42.913123,"(4.0, 4.7, 4.60253164556962)","(14.0, 17.0, 16.885964912280702)","(21.0, 32.0, 31.178571428571427)","(31.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.047577319587629)","(21.0, 40.0, 39.77777777777778)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.266666666666667)"
07-01-2023 15:38:44.496271,"(4.0, 4.7, 4.524683544303797)","(14.0, 17.0, 16.885964912280702)","(21.0, 32.0, 31.178571428571427)","(31.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.04495164410058)","(21.0, 40.0, 39.77777777777778)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.413333333333334)"
07-01-2023 15:38:46.064864,"(4.0, 4.6, 4.524683544303797)","(14.0, 17.0, 16.885964912280702)","(21.0, 32.0, 31.22222222222222)","(31.0, 60.0, 52.857142857142854)","(13.0, 21.0, 20.545454545454547)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.08, 2.0444885496183205)","(21.0, 40.0, 39.77777777777778)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 10.5, 10.228464419475655)"
07-01-2023 15:38:47.650678,"(4.0, 4.6, 4.513768115942029)","(14.0, 17.0, 16.723684210526315)","(21.0, 32.0, 31.22222222222222)","(31.0, 60.0, 52.857142857142854)","(13.0, 21.0, 21.17391304347826)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0443555555555557)","(21.0, 40.0, 39.77777777777778)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 11.0, 10.23134328358209)"
07-01-2023 15:38:49.105843,"(4.0, 4.6, 4.513768115942029)","(14.0, 17.0, 16.723684210526315)","(21.0, 32.0, 31.22222222222222)","(31.0, 60.0, 52.857142857142854)","(13.0, 22.0, 21.181818181818183)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.045222024866785)","(21.0, 40.0, 39.86666666666667)","(61.0, 180.0, 140.0)","(101.0, 620.0, 360.0)","(8.5, 11.0, 10.23134328358209)"
07-01-2023 15:38:50.553046,"(4.0, 4.6, 4.519594594594595)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.236363636363635)","(31.0, 60.0, 53.10344827586207)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 180.0, 142.35294117647058)","(101.0, 620.0, 360.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:38:52.303632,"(4.0, 4.6, 4.519594594594595)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.236363636363635)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 180.0, 142.35294117647058)","(101.0, 620.0, 360.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:38:53.901208,"(4.0, 4.6, 4.519594594594595)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.236363636363635)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 180.0, 157.27272727272725)","(101.0, 620.0, 360.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:38:55.571778,"(4.0, 4.6, 4.519594594594595)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.236363636363635)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 170.0, 157.27272727272725)","(101.0, 620.0, 430.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:38:57.009683,"(4.0, 4.6, 4.519594594594595)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.19298245614035)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:38:58.479861,"(4.0, 4.6, 4.530813953488372)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.19298245614035)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:39:00.127912,"(4.0, 4.6, 4.530813953488372)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.19298245614035)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:39:01.709739,"(4.0, 4.6, 4.530813953488372)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.19298245614035)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:39:03.253366,"(4.0, 4.6, 4.530813953488372)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.19298245614035)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:39:05.333056,"(4.0, 4.6, 4.530813953488372)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.19298245614035)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:39:06.822752,"(4.0, 4.6, 4.530813953488372)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.19298245614035)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:39:08.269582,"(4.0, 4.6, 4.530813953488372)","(14.0, 17.0, 16.74390243902439)","(21.0, 32.0, 31.19298245614035)","(31.0, 60.0, 51.666666666666664)","(13.0, 22.0, 21.25)","(61.0, 85.0, 78.6842105263158)","(1.95, 2.06, 2.0457534246575344)","(21.0, 40.0, 39.875)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.242647058823529)"
07-01-2023 15:39:09.834975,"(4.0, 4.6, 4.535675675675676)","(14.0, 17.0, 16.766666666666666)","(21.0, 32.0, 31.220338983050848)","(31.0, 60.0, 52.0)","(13.0, 22.0, 21.333333333333332)","(61.0, 85.0, 79.0)","(1.95, 2.06, 2.046427406199021)","(21.0, 40.0, 39.88235294117647)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.258992805755396)"
07-01-2023 15:39:11.283903,"(4.0, 4.6, 4.535675675675676)","(14.0, 17.0, 16.766666666666666)","(21.0, 32.0, 31.220338983050848)","(31.0, 60.0, 52.0)","(13.0, 22.0, 21.333333333333332)","(61.0, 85.0, 79.0)","(1.95, 2.06, 2.046427406199021)","(21.0, 40.0, 39.88235294117647)","(61.0, 170.0, 157.27272727272725)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.258992805755396)"
07-01-2023 15:39:13.179148,"(4.0, 4.6, 4.539898989898989)","(14.0, 17.0, 16.785714285714285)","(21.0, 32.0, 31.24590163934426)","(31.0, 60.0, 52.30769230769231)","(13.0, 22.0, 21.6)","(61.0, 85.0, 79.28571428571429)","(1.95, 2.06, 2.047871720116618)","(21.0, 40.0, 39.89473684210526)","(61.0, 170.0, 158.33333333333331)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.274647887323944)"
07-01-2023 15:39:14.747442,"(4.0, 4.6, 4.539898989898989)","(14.0, 17.0, 16.785714285714285)","(21.0, 32.0, 31.24590163934426)","(31.0, 60.0, 52.30769230769231)","(13.0, 22.0, 21.6)","(61.0, 85.0, 79.28571428571429)","(1.95, 2.06, 2.047871720116618)","(21.0, 40.0, 39.89473684210526)","(61.0, 170.0, 158.33333333333331)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.274647887323944)"
07-01-2023 15:39:16.189700,"(4.0, 4.6, 4.539898989898989)","(14.0, 17.0, 16.785714285714285)","(21.0, 32.0, 31.24590163934426)","(31.0, 60.0, 52.30769230769231)","(13.0, 22.0, 21.6)","(61.0, 85.0, 79.28571428571429)","(1.95, 2.06, 2.047871720116618)","(21.0, 40.0, 39.89473684210526)","(61.0, 170.0, 158.33333333333331)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.274647887323944)"
07-01-2023 15:39:17.862557,"(4.0, 4.6, 4.539898989898989)","(14.0, 17.0, 16.785714285714285)","(21.0, 32.0, 31.24590163934426)","(31.0, 60.0, 52.30769230769231)","(13.0, 22.0, 21.6)","(61.0, 85.0, 79.28571428571429)","(1.95, 2.06, 2.047871720116618)","(21.0, 40.0, 39.89473684210526)","(61.0, 170.0, 158.33333333333331)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.274647887323944)"
07-01-2023 15:39:19.657132,"(4.0, 4.6, 4.539898989898989)","(14.0, 17.0, 16.785714285714285)","(21.0, 32.0, 31.24590163934426)","(31.0, 60.0, 52.30769230769231)","(13.0, 22.0, 21.6)","(61.0, 85.0, 79.28571428571429)","(1.95, 2.06, 2.047871720116618)","(21.0, 40.0, 39.89473684210526)","(61.0, 170.0, 158.33333333333331)","(101.0, 630.0, 430.0)","(8.5, 11.0, 10.274647887323944)"
07-01-2023 15:39:21.277017,"(4.0, 4.6, 4.539898989898989)","(14.0, 17.0, 16.785714285714285)","(21.0, 32.0, 31.24590163934426)","(31.0, 60.0, 52.30769230769231)","(13.0, 22.0, 21.782608695652172)","(61.0, 85.0, 79.28571428571429)","(1.95, 2.06, 2.047871720116618)","(21.0, 40.0, 39.89473684210526)","(61.0, 170.0, 158.33333333333331)","(101.0, 630.0, 480.0)","(8.5, 11.0, 10.274647887323944)"
07-01-2023 15:39:23.104929,"(4.0, 4.6, 4.57304964539007)","(14.0, 17.0, 16.825757575757574)","(21.0, 32.0, 31.464285714285715)","(31.0, 60.0, 56.0)","(13.0, 22.0, 22.52)","(61.0, 85.0, 79.76190476190476)","(1.95, 2.06, 2.0033136094674555)","(21.0, 40.0, 44.72)","(61.0, 170.0, 130.0)","(101.0, 730.0, 480.0)","(8.5, 11.0, 10.61587982832618)"
07-01-2023 15:39:25.029955,"(4.0, 4.6, 4.581617647058823)","(14.0, 17.5, 16.825757575757574)","(21.0, 32.0, 31.464285714285715)","(31.0, 60.0, 56.0)","(13.0, 23.0, 22.52)","(61.0, 85.0, 79.76190476190476)","(1.95, 2.02, 2.00325625)","(21.0, 46.0, 44.72)","(61.0, 170.0, 130.0)","(101.0, 730.0, 480.0)","(8.5, 11.0, 10.61587982832618)"
07-01-2023 15:39:26.863758,"(4.0, 4.6, 4.581617647058823)","(14.0, 17.5, 16.825757575757574)","(21.0, 32.0, 31.464285714285715)","(31.0, 60.0, 56.0)","(13.0, 23.0, 22.53846153846154)","(61.0, 85.0, 79.76190476190476)","(1.95, 2.02, 2.003203761755486)","(21.0, 46.0, 44.72)","(61.0, 170.0, 130.0)","(101.0, 730.0, 480.0)","(8.5, 11.0, 10.61587982832618)"
07-01-2023 15:39:28.648995,"(4.0, 4.6, 4.581617647058823)","(14.0, 17.5, 16.825757575757574)","(21.0, 32.0, 31.464285714285715)","(31.0, 60.0, 56.0)","(13.0, 23.0, 22.53846153846154)","(61.0, 85.0, 79.76190476190476)","(1.95, 2.02, 2.003203761755486)","(21.0, 46.0, 44.72)","(61.0, 170.0, 130.0)","(101.0, 730.0, 363.33333333333337)","(8.5, 11.0, 10.61587982832618)"
07-01-2023 15:39:30.329405,"(4.0, 4.6, 4.581617647058823)","(14.0, 17.5, 16.825757575757574)","(21.0, 32.0, 31.464285714285715)","(31.0, 60.0, 56.0)","(13.0, 23.0, 22.53846153846154)","(61.0, 85.0, 79.76190476190476)","(1.95, 2.02, 2.003203761755486)","(21.0, 46.0, 44.72)","(61.0, 170.0, 130.0)","(101.0, 630.0, 363.33333333333337)","(8.5, 11.0, 10.61587982832618)"
07-01-2023 15:39:31.910072,"(4.0, 4.6, 4.581617647058823)","(14.0, 17.5, 16.825757575757574)","(21.0, 32.0, 31.464285714285715)","(31.0, 60.0, 56.0)","(13.0, 23.0, 22.53846153846154)","(61.0, 85.0, 79.76190476190476)","(1.95, 2.02, 2.003203761755486)","(21.0, 46.0, 44.72)","(61.0, 170.0, 130.0)","(101.0, 630.0, 363.33333333333337)","(8.5, 11.0, 10.61587982832618)"
07-01-2023 15:39:33.524261,"(4.0, 4.6, 4.500486618004866)","(14.0, 17.5, 17.02659574468085)","(21.0, 32.0, 31.34426229508197)","(31.0, 60.0, 58.18181818181818)","(13.0, 23.0, 22.785714285714285)","(61.0, 85.0, 82.63157894736842)","(1.95, 2.02, 1.995184331797235)","(21.0, 46.0, 44.72)","(61.0, 170.0, 161.42857142857142)","(101.0, 630.0, 363.33333333333337)","(8.5, 11.0, 10.61587982832618)"
07-01-2023 15:39:35.204258,"(4.0, 4.7, 4.556392294220665)","(14.0, 17.5, 17.02659574468085)","(21.0, 32.0, 31.34426229508197)","(31.0, 60.0, 58.18181818181818)","(13.0, 23.0, 23.5)","(61.0, 85.0, 82.63157894736842)","(1.95, 2.0, 2.0004766768811715)","(21.0, 46.0, 44.72)","(61.0, 170.0, 161.42857142857142)","(101.0, 630.0, 363.33333333333337)","(8.5, 11.0, 10.593181818181819)"
07-01-2023 15:39:36.883417,"(4.0, 4.7, 4.556392294220665)","(14.0, 17.5, 17.01098901098901)","(21.0, 32.0, 31.365079365079364)","(31.0, 60.0, 58.26086956521739)","(13.0, 26.0, 24.428571428571427)","(61.0, 85.0, 82.63157894736842)","(1.95, 2.02, 2.000667565745111)","(21.0, 46.0, 44.4)","(61.0, 170.0, 161.42857142857142)","(101.0, 630.0, 363.33333333333337)","(8.5, 11.0, 11.273809523809524)"
07-01-2023 15:39:38.525040,"(4.0, 4.6, 4.5449541284403665)","(14.0, 17.5, 17.01098901098901)","(21.0, 32.0, 31.365079365079364)","(31.0, 60.0, 58.26086956521739)","(13.0, 26.0, 24.428571428571427)","(61.0, 85.0, 82.63157894736842)","(1.95, 2.02, 2.000667565745111)","(21.0, 46.0, 44.4)","(61.0, 170.0, 161.42857142857142)","(101.0, 630.0, 363.33333333333337)","(8.5, 11.5, 11.273809523809524)"
07-01-2023 15:39:40.184640,"(4.0, 4.6, 4.55505617977528)","(14.0, 17.5, 17.01098901098901)","(21.0, 32.0, 31.365079365079364)","(31.0, 60.0, 58.26086956521739)","(13.0, 26.0, 24.25)","(61.0, 85.0, 80.0)","(1.9, 2.02, 2.0020221870047545)","(26.0, 46.0, 44.4)","(61.0, 170.0, 161.42857142857142)","(101.0, 630.0, 363.33333333333337)","(8.5, 11.5, 11.201754385964913)"
07-01-2023 15:39:41.816585,"(4.0, 4.6, 4.55505617977528)","(14.0, 17.5, 17.01098901098901)","(21.0, 32.0, 31.79591836734694)","(31.0, 60.0, 58.26086956521739)","(13.0, 26.0, 24.25)","(61.0, 85.0, 80.0)","(1.9, 2.02, 2.0020221870047545)","(26.0, 46.0, 44.4)","(61.0, 170.0, 161.42857142857142)","(101.0, 630.0, 363.33333333333337)","(8.5, 11.5, 11.201754385964913)"
07-01-2023 15:39:43.409483,"(4.0, 4.6, 4.55505617977528)","(14.0, 17.5, 17.01098901098901)","(21.0, 32.0, 31.79591836734694)","(31.0, 60.0, 58.26086956521739)","(13.0, 26.0, 24.25)","(61.0, 85.0, 80.0)","(1.9, 2.02, 2.001614262560778)","(26.0, 46.0, 44.4)","(61.0, 170.0, 155.3846153846154)","(101.0, 630.0, 360.0)","(8.5, 11.5, 11.201754385964913)"
07-01-2023 15:39:45.004174,"(4.0, 4.6, 4.585321100917431)","(14.0, 17.5, 17.01098901098901)","(21.0, 32.0, 31.62962962962963)","(31.0, 60.0, 58.26086956521739)","(13.0, 26.0, 24.25)","(61.0, 85.0, 79.54545454545455)","(1.9, 2.02, 2.001718440185063)","(26.0, 46.0, 44.4)","(61.0, 180.0, 155.3846153846154)","(101.0, 620.0, 360.0)","(8.5, 11.5, 11.201754385964913)"
07-01-2023 15:39:46.613757,"(4.0, 4.6, 4.559235668789809)","(14.0, 17.5, 16.872093023255815)","(21.0, 32.0, 31.62962962962963)","(31.0, 60.0, 67.12121212121212)","(13.0, 26.0, 24.25)","(61.0, 85.0, 79.54545454545455)","(1.9, 2.02, 2.001718440185063)","(26.0, 46.0, 44.769230769230774)","(61.0, 180.0, 155.3846153846154)","(101.0, 620.0, 360.0)","(8.5, 11.5, 11.201754385964913)"
