,Eagles Forever,Getouttheway,Max Fire,Im Kenny,Diamonds Are,Festival Of Light,Bunjil,Shema,Spy Colonel
07-01-2023 14:02:46.120578,"(7.0, 8.8, 8.341176470588234)","(5.5, 5.8, 5.688888888888889)","(3.1, 3.55, 3.4633333333333334)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 48.0, 47.6)","(4.0, 5.8, 5.533333333333333)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.23469387755102)"
07-01-2023 14:02:47.320016,"(7.0, 8.8, 8.341176470588234)","(5.5, 5.8, 5.7)","(3.1, 3.55, 3.4633333333333334)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 48.0, 47.6)","(4.0, 5.8, 5.527272727272727)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.23469387755102)"
07-01-2023 14:02:48.444795,"(7.0, 8.8, 8.309090909090909)","(5.5, 5.9, 5.8090909090909095)","(3.1, 3.55, 3.4633333333333334)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 48.0, 47.6)","(4.0, 5.8, 5.521428571428571)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.23469387755102)"
07-01-2023 14:02:49.528217,"(7.0, 8.8, 8.341176470588234)","(5.5, 5.9, 5.785714285714286)","(3.1, 3.55, 3.4633333333333334)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 48.0, 47.6)","(4.0, 5.8, 5.521428571428571)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.23469387755102)"
07-01-2023 14:02:50.699432,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.785714285714286)","(3.1, 3.55, 3.414814814814815)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 48.0, 47.6)","(4.0, 5.8, 5.521428571428571)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.23469387755102)"
07-01-2023 14:02:51.934100,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.785714285714286)","(3.1, 3.45, 3.414814814814815)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 48.0, 48.666666666666664)","(4.0, 5.8, 5.623529411764705)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.23469387755102)"
07-01-2023 14:02:53.047888,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.785714285714286)","(3.1, 3.45, 3.4075342465753424)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 50.0, 48.666666666666664)","(4.0, 5.8, 5.623529411764705)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.23469387755102)"
07-01-2023 14:02:54.126164,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.8090909090909095)","(3.1, 3.45, 3.405072463768116)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 55.0, 53.875)","(4.0, 5.8, 5.623529411764705)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.23469387755102)"
07-01-2023 14:02:55.317169,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.785714285714286)","(3.1, 3.45, 3.405072463768116)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 55.0, 53.875)","(4.0, 5.8, 5.623529411764705)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.23469387755102)"
07-01-2023 14:02:56.582236,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.785714285714286)","(3.1, 3.45, 3.3892156862745098)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 55.0, 53.875)","(4.0, 5.8, 5.623529411764705)","(26.0, 44.0, 40.8)","(10.0, 12.5, 12.192307692307692)"
07-01-2023 14:02:57.805548,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.785714285714286)","(3.1, 3.45, 3.3892156862745098)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 55.0, 53.875)","(4.0, 5.8, 5.623529411764705)","(26.0, 44.0, 41.333333333333336)","(10.0, 12.5, 12.192307692307692)"
07-01-2023 14:02:59.043926,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.785714285714286)","(3.1, 3.45, 3.3892156862745098)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 55.0, 53.875)","(4.0, 5.8, 5.623529411764705)","(26.0, 44.0, 40.0)","(10.0, 12.5, 12.192307692307692)"
07-01-2023 14:03:00.360578,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.82)","(3.1, 3.45, 3.3892156862745098)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 55.0, 53.875)","(4.0, 5.8, 5.623529411764705)","(26.0, 44.0, 40.0)","(10.0, 12.5, 12.192307692307692)"
07-01-2023 14:03:01.584882,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.889285714285714)","(3.1, 3.45, 3.3840425531914895)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 55.0, 53.875)","(4.0, 5.8, 5.623529411764705)","(26.0, 44.0, 40.0)","(10.0, 12.5, 11.714285714285714)"
07-01-2023 14:03:02.740471,"(7.0, 8.8, 8.384615384615385)","(5.5, 5.9, 5.889285714285714)","(3.1, 3.45, 3.380188679245283)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 55.0, 53.875)","(4.0, 5.8, 5.675)","(26.0, 44.0, 40.0)","(10.0, 12.0, 11.75)"
07-01-2023 14:03:03.974359,"(7.0, 8.8, 8.384615384615385)","(5.5, 6.0, 5.945454545454545)","(3.1, 3.45, 3.380188679245283)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.95)","(41.0, 55.0, 52.75)","(4.0, 5.8, 5.699999999999999)","(26.0, 44.0, 40.0)","(10.0, 12.5, 11.75)"
07-01-2023 14:03:05.166923,"(7.0, 8.8, 8.384615384615385)","(5.5, 6.0, 5.957746478873239)","(3.1, 3.45, 3.380188679245283)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.0, 13.928571428571429)","(41.0, 55.0, 49.0)","(4.0, 5.8, 5.661538461538462)","(26.0, 44.0, 40.0)","(10.0, 12.0, 11.75)"
07-01-2023 14:03:06.269454,"(7.0, 8.8, 8.2)","(5.5, 6.0, 5.974137931034483)","(3.1, 3.45, 3.380188679245283)","(20.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.928571428571429)","(41.0, 50.0, 49.0)","(4.0, 5.8, 5.6875)","(26.0, 44.0, 40.0)","(10.0, 12.0, 11.785714285714286)"
07-01-2023 14:03:07.379626,"(7.0, 8.8, 8.2)","(5.5, 6.0, 5.974137931034483)","(3.2, 3.45, 3.3760000000000003)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.928571428571429)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.661538461538462)","(31.0, 44.0, 41.6)","(10.0, 12.0, 12.1)"
07-01-2023 14:03:08.605039,"(7.0, 8.8, 8.5)","(5.5, 6.0, 5.974137931034483)","(3.2, 3.45, 3.38265306122449)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.928571428571429)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.684615384615385)","(31.0, 44.0, 41.0)","(10.0, 12.5, 12.0625)"
07-01-2023 14:03:09.871381,"(7.0, 8.8, 8.5)","(5.5, 6.0, 5.954545454545454)","(3.2, 3.45, 3.38265306122449)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.928571428571429)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.684615384615385)","(31.0, 42.0, 44.857142857142854)","(10.0, 12.5, 11.95)"
07-01-2023 14:03:11.010465,"(7.0, 8.8, 8.5)","(5.5, 6.0, 5.983333333333333)","(3.2, 3.45, 3.38265306122449)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.928571428571429)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.684615384615385)","(31.0, 46.0, 44.857142857142854)","(10.0, 12.5, 11.95)"
07-01-2023 14:03:12.154752,"(7.0, 8.8, 8.5)","(5.5, 6.0, 5.98135593220339)","(3.2, 3.55, 3.469230769230769)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.875)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.684615384615385)","(31.0, 46.0, 44.0)","(10.0, 12.5, 11.95)"
07-01-2023 14:03:13.409808,"(7.0, 8.8, 8.5)","(5.5, 6.0, 5.983333333333333)","(3.2, 3.55, 3.469230769230769)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.875)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.684615384615385)","(31.0, 46.0, 42.36363636363636)","(10.0, 12.5, 11.95)"
07-01-2023 14:03:14.711164,"(7.0, 8.8, 8.5)","(5.5, 6.0, 5.98135593220339)","(3.2, 3.55, 3.5338461538461536)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.821428571428571)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.684615384615385)","(31.0, 46.0, 42.36363636363636)","(10.0, 12.5, 11.833333333333334)"
07-01-2023 14:03:16.012904,"(7.0, 8.8, 8.414285714285715)","(5.5, 6.0, 5.98135593220339)","(3.2, 3.55, 3.5338461538461536)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.821428571428571)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.684615384615385)","(31.0, 46.0, 42.36363636363636)","(10.0, 12.0, 11.833333333333334)"
07-01-2023 14:03:17.177412,"(7.0, 8.8, 8.414285714285715)","(5.5, 6.0, 5.98135593220339)","(3.2, 3.55, 3.5338461538461536)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.821428571428571)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.684615384615385)","(31.0, 46.0, 42.36363636363636)","(10.0, 12.0, 11.833333333333334)"
07-01-2023 14:03:18.312197,"(7.0, 8.8, 8.414285714285715)","(5.5, 6.0, 5.97741935483871)","(3.2, 3.55, 3.5338461538461536)","(21.0, 26.0, 24.77777777777778)","(12.0, 14.5, 13.821428571428571)","(31.0, 50.0, 49.6)","(4.0, 5.8, 5.684615384615385)","(31.0, 46.0, 42.36363636363636)","(10.0, 12.0, 11.833333333333334)"
07-01-2023 14:03:19.481313,"(7.0, 8.8, 8.414285714285715)","(5.5, 6.0, 5.97741935483871)","(3.2, 3.55, 3.5385245901639344)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 13.821428571428571)","(31.0, 50.0, 49.666666666666664)","(4.0, 5.8, 5.716)","(31.0, 46.0, 42.36363636363636)","(10.0, 12.0, 11.545454545454545)"
07-01-2023 14:03:20.693945,"(7.0, 9.0, 8.533333333333333)","(5.5, 5.8, 5.774193548387097)","(3.2, 3.55, 3.544736842105263)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 13.821428571428571)","(31.0, 50.0, 49.77777777777778)","(4.0, 5.8, 5.745454545454545)","(31.0, 46.0, 42.36363636363636)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:21.841373,"(7.0, 9.0, 8.692307692307692)","(5.5, 5.8, 5.771428571428571)","(3.2, 3.55, 3.544736842105263)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 13.821428571428571)","(31.0, 50.0, 49.77777777777778)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 40.57142857142857)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:22.973126,"(7.0, 9.0, 8.63076923076923)","(5.5, 5.9, 5.823809523809524)","(3.2, 3.55, 3.5385245901639344)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 13.821428571428571)","(31.0, 50.0, 49.77777777777778)","(4.0, 5.8, 5.7555555555555555)","(31.0, 44.0, 40.4)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:24.115417,"(7.0, 9.0, 8.63076923076923)","(5.5, 5.8, 5.725)","(3.2, 3.55, 3.543103448275862)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 13.821428571428571)","(31.0, 50.0, 49.77777777777778)","(4.0, 5.8, 5.7555555555555555)","(31.0, 42.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:25.304994,"(7.0, 9.0, 8.63076923076923)","(5.5, 5.8, 5.766666666666667)","(3.2, 3.4, 3.3666666666666667)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 13.875)","(31.0, 50.0, 49.833333333333336)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.857142857142854)","(10.0, 12.0, 11.565217391304348)"
07-01-2023 14:03:26.436011,"(7.0, 9.0, 8.815384615384616)","(5.5, 5.8, 5.766666666666667)","(3.2, 3.4, 3.3666666666666667)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 13.875)","(31.0, 50.0, 49.833333333333336)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.857142857142854)","(10.0, 12.0, 11.565217391304348)"
07-01-2023 14:03:27.598117,"(7.0, 9.0, 8.815384615384616)","(5.5, 5.8, 5.766666666666667)","(3.2, 3.4, 3.3666666666666667)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 13.875)","(31.0, 50.0, 49.833333333333336)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.565217391304348)"
07-01-2023 14:03:28.824237,"(7.0, 9.0, 8.815384615384616)","(5.5, 5.8, 5.757142857142857)","(3.2, 3.5, 3.4071428571428575)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 13.875)","(31.0, 50.0, 56.57142857142857)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:30.045900,"(7.0, 9.0, 8.733333333333334)","(5.5, 5.8, 5.757142857142857)","(3.2, 3.45, 3.4071428571428575)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 14.166666666666666)","(31.0, 60.0, 56.57142857142857)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:31.294274,"(7.0, 9.0, 8.733333333333334)","(5.5, 5.8, 5.757142857142857)","(3.2, 3.45, 3.4071428571428575)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 14.166666666666666)","(31.0, 60.0, 56.57142857142857)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:32.574181,"(7.0, 9.0, 8.733333333333334)","(5.5, 5.8, 5.757142857142857)","(3.2, 3.45, 3.4071428571428575)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 14.166666666666666)","(31.0, 60.0, 56.57142857142857)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:33.791902,"(7.0, 9.0, 8.63076923076923)","(5.5, 5.8, 5.7)","(3.2, 3.45, 3.45)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 14.166666666666666)","(31.0, 60.0, 56.57142857142857)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:34.925380,"(7.0, 9.0, 8.63076923076923)","(5.5, 5.7, 5.658333333333333)","(3.2, 3.5, 3.45)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 14.166666666666666)","(31.0, 60.0, 56.57142857142857)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 42.8)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:36.056324,"(7.0, 9.0, 8.775)","(5.5, 5.7, 5.644444444444444)","(3.2, 3.5, 3.444)","(21.0, 26.0, 24.842105263157894)","(12.0, 14.5, 14.166666666666666)","(31.0, 60.0, 56.57142857142857)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:37.254800,"(7.0, 9.0, 8.85)","(5.5, 5.7, 5.628571428571428)","(3.2, 3.5, 3.444)","(21.0, 26.0, 24.516129032258064)","(12.0, 14.5, 14.166666666666666)","(31.0, 60.0, 56.57142857142857)","(4.0, 5.8, 5.7555555555555555)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:38.435179,"(7.0, 9.2, 8.75)","(5.0, 5.7, 5.628571428571428)","(3.2, 3.5, 3.444)","(21.0, 27.0, 25.756756756756758)","(12.0, 14.5, 14.1)","(31.0, 60.0, 56.8)","(4.2, 5.8, 5.761290322580645)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:39.636874,"(7.0, 9.2, 8.719999999999999)","(5.0, 5.7, 5.628571428571428)","(3.2, 3.5, 3.444)","(21.0, 27.0, 25.878048780487806)","(12.0, 14.5, 13.973684210526315)","(31.0, 60.0, 54.68181818181818)","(4.2, 5.8, 5.761290322580645)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:40.750549,"(7.0, 9.2, 8.84)","(5.0, 5.7, 5.633333333333333)","(3.2, 3.5, 3.444)","(21.0, 27.0, 25.878048780487806)","(12.0, 14.5, 13.973684210526315)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.8, 5.761290322580645)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.5)"
07-01-2023 14:03:41.881062,"(7.0, 9.2, 8.942857142857143)","(5.0, 5.6, 5.571428571428571)","(3.2, 3.5, 3.444)","(21.0, 27.0, 25.878048780487806)","(12.0, 14.5, 14.1)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.8, 5.761290322580645)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.583333333333334)"
07-01-2023 14:03:43.111928,"(7.0, 9.2, 9.02)","(5.0, 5.6, 5.571428571428571)","(3.2, 3.5, 3.444)","(21.0, 27.0, 25.878048780487806)","(12.0, 14.5, 14.1)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.8, 5.752941176470588)","(31.0, 46.0, 44.0)","(10.0, 12.0, 11.583333333333334)"
07-01-2023 14:03:44.367724,"(7.0, 9.2, 9.02)","(5.0, 5.6, 5.571428571428571)","(3.2, 3.5, 3.444)","(21.0, 27.0, 25.878048780487806)","(12.0, 14.5, 13.973684210526315)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.8, 5.7299999999999995)","(31.0, 46.0, 41.6)","(10.0, 12.0, 11.583333333333334)"
07-01-2023 14:03:45.531392,"(7.0, 9.2, 8.942857142857143)","(5.0, 5.6, 5.5636363636363635)","(3.2, 3.55, 3.5088235294117647)","(21.0, 27.0, 25.878048780487806)","(12.0, 14.5, 13.973684210526315)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.8, 5.7299999999999995)","(31.0, 44.0, 41.6)","(10.0, 12.0, 11.583333333333334)"
07-01-2023 14:03:46.777700,"(7.0, 9.2, 8.942857142857143)","(5.0, 5.6, 5.5636363636363635)","(3.2, 3.55, 3.5088235294117647)","(21.0, 27.0, 25.878048780487806)","(12.0, 14.5, 13.909090909090908)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.8, 5.7299999999999995)","(31.0, 44.0, 41.6)","(10.0, 12.0, 11.583333333333334)"
07-01-2023 14:03:47.973272,"(7.0, 9.2, 8.942857142857143)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.55, 3.5088235294117647)","(21.0, 27.0, 25.878048780487806)","(12.0, 14.5, 13.909090909090908)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.8, 5.7299999999999995)","(31.0, 44.0, 41.6)","(10.0, 12.0, 11.583333333333334)"
07-01-2023 14:03:49.185697,"(7.0, 9.2, 8.942857142857143)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.55, 3.5214285714285714)","(21.0, 27.0, 25.977777777777778)","(12.0, 14.5, 13.909090909090908)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.8, 5.875438596491229)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.482758620689655)"
07-01-2023 14:03:50.364725,"(7.0, 9.0, 8.733333333333334)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.6, 3.55)","(21.0, 27.0, 25.977777777777778)","(12.0, 14.5, 13.909090909090908)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.9, 5.896078431372549)","(31.0, 42.0, 39.714285714285715)","(10.0, 12.0, 11.482758620689655)"
07-01-2023 14:03:51.513523,"(7.0, 9.0, 8.815384615384616)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.6, 3.55)","(21.0, 27.0, 25.977777777777778)","(12.0, 14.5, 13.909090909090908)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.9, 5.896078431372549)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.482758620689655)"
07-01-2023 14:03:52.671679,"(7.0, 9.0, 8.815384615384616)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.6, 3.55)","(21.0, 27.0, 25.977777777777778)","(12.0, 14.5, 13.909090909090908)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.9, 5.896078431372549)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.482758620689655)"
07-01-2023 14:03:53.772307,"(7.0, 9.0, 8.815384615384616)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.6, 3.5382352941176474)","(21.0, 27.0, 25.977777777777778)","(12.0, 14.5, 13.909090909090908)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.9, 5.896078431372549)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.482758620689655)"
07-01-2023 14:03:55.015279,"(7.0, 9.0, 8.815384615384616)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.6, 3.5700000000000003)","(21.0, 27.0, 25.977777777777778)","(12.0, 14.5, 13.909090909090908)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.9, 5.896078431372549)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.482758620689655)"
07-01-2023 14:03:56.178123,"(7.0, 9.0, 8.815384615384616)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.6, 3.5700000000000003)","(21.0, 27.0, 25.878048780487806)","(12.0, 14.5, 13.909090909090908)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.9, 5.896078431372549)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.4)"
07-01-2023 14:03:57.333557,"(7.0, 9.0, 8.815384615384616)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.6, 3.5700000000000003)","(21.0, 27.0, 25.296296296296298)","(12.0, 14.5, 13.725)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.9, 5.896078431372549)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.4)"
07-01-2023 14:03:58.406614,"(7.0, 9.0, 8.815384615384616)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.6, 3.5700000000000003)","(21.0, 27.0, 25.296296296296298)","(12.0, 14.5, 13.7)","(31.0, 55.0, 54.758620689655174)","(4.2, 5.9, 5.896078431372549)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.4)"
07-01-2023 14:03:59.611445,"(7.0, 9.0, 8.733333333333334)","(5.0, 5.6, 5.515384615384615)","(3.2, 3.5, 3.4443298969072162)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 13.7)","(41.0, 55.0, 58.18181818181818)","(4.2, 5.9, 5.8933333333333335)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.4)"
07-01-2023 14:04:00.899011,"(7.0, 9.0, 8.815384615384616)","(5.0, 5.5, 5.4350000000000005)","(3.2, 3.5, 3.4443298969072162)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 13.65)","(41.0, 60.0, 58.18181818181818)","(4.2, 5.9, 5.8933333333333335)","(31.0, 42.0, 40.4)","(10.0, 12.0, 11.4)"
07-01-2023 14:04:02.190050,"(7.0, 9.0, 8.815384615384616)","(5.0, 5.5, 5.445833333333334)","(3.2, 3.5, 3.414457831325301)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 14.015463917525773)","(41.0, 60.0, 58.18181818181818)","(4.2, 5.9, 5.895238095238096)","(31.0, 42.0, 39.714285714285715)","(10.0, 12.0, 12.344444444444445)"
07-01-2023 14:04:03.439135,"(7.0, 9.2, 8.799999999999999)","(5.0, 5.5, 5.445833333333334)","(3.2, 3.45, 3.414457831325301)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 14.025252525252526)","(41.0, 60.0, 55.0)","(4.2, 5.9, 5.8933333333333335)","(31.0, 42.0, 44.666666666666664)","(10.0, 12.5, 12.107142857142858)"
07-01-2023 14:04:04.622808,"(7.0, 9.2, 8.75)","(5.0, 5.5, 5.438095238095238)","(3.2, 3.4, 3.4429648241206032)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 14.004854368932039)","(41.0, 60.0, 55.0)","(4.2, 5.9, 5.8933333333333335)","(31.0, 46.0, 41.55555555555556)","(10.0, 12.5, 12.107142857142858)"
07-01-2023 14:04:05.785904,"(7.0, 9.2, 8.75)","(5.0, 5.5, 5.438095238095238)","(3.2, 3.45, 3.4429648241206032)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 14.004854368932039)","(41.0, 60.0, 54.54545454545455)","(4.2, 5.9, 5.8933333333333335)","(31.0, 42.0, 40.666666666666664)","(10.0, 12.5, 12.107142857142858)"
07-01-2023 14:04:06.915325,"(7.0, 9.2, 8.714285714285714)","(5.0, 5.5, 5.438095238095238)","(3.2, 3.5, 3.4664835164835166)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 14.004854368932039)","(41.0, 60.0, 54.54545454545455)","(4.2, 5.9, 5.8933333333333335)","(31.0, 42.0, 40.666666666666664)","(10.0, 12.5, 12.107142857142858)"
07-01-2023 14:04:08.096818,"(7.0, 9.2, 8.727272727272727)","(5.0, 5.5, 5.438095238095238)","(3.2, 3.45, 3.4291666666666667)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 14.004854368932039)","(41.0, 60.0, 54.54545454545455)","(4.2, 5.9, 5.8933333333333335)","(31.0, 42.0, 40.666666666666664)","(10.0, 12.5, 12.107142857142858)"
07-01-2023 14:04:09.334840,"(7.0, 9.2, 8.727272727272727)","(5.0, 5.5, 5.448)","(3.2, 3.45, 3.4291666666666667)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 14.004854368932039)","(41.0, 60.0, 54.54545454545455)","(4.2, 5.9, 5.8933333333333335)","(31.0, 42.0, 40.666666666666664)","(10.0, 12.5, 12.210526315789474)"
07-01-2023 14:04:10.516234,"(7.0, 9.2, 8.727272727272727)","(5.0, 5.5, 5.424242424242425)","(3.2, 3.45, 3.4)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 14.004854368932039)","(41.0, 60.0, 55.714285714285715)","(4.2, 5.9, 5.8933333333333335)","(31.0, 42.0, 40.666666666666664)","(10.0, 12.5, 12.588235294117647)"
07-01-2023 14:04:11.641115,"(7.0, 9.2, 8.727272727272727)","(5.0, 5.5, 5.42)","(3.2, 3.4, 3.3946428571428573)","(21.0, 27.0, 25.516129032258064)","(12.0, 14.5, 14.004854368932039)","(41.0, 60.0, 54.44444444444444)","(4.2, 5.9, 5.8933333333333335)","(31.0, 42.0, 40.666666666666664)","(10.0, 13.0, 12.5)"
