,Hurricane Gypsy,Sweet Life,Adonis Sands,Gai Water Star,Tangerine Sands,Not Guilty,Uforo Bale,Whippy Flash
30,"[datetime.datetime(2022, 11, 28, 16, 47, 49, 121088), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 49, 121088), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 49, 121088), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 49, 121088), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 49, 121088), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 49, 121088), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 49, 121088), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 49, 121088), 3.4, 3.8]"
31,"[datetime.datetime(2022, 11, 28, 16, 47, 50, 258411), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 50, 258411), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 50, 258411), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 50, 258411), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 50, 258411), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 50, 258411), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 50, 258411), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 50, 258411), 3.4, 3.8]"
32,"[datetime.datetime(2022, 11, 28, 16, 47, 51, 403984), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 51, 403984), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 51, 403984), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 51, 403984), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 51, 403984), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 51, 403984), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 51, 403984), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 51, 403984), 3.4, 3.8]"
33,"[datetime.datetime(2022, 11, 28, 16, 47, 52, 532783), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 52, 532783), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 52, 532783), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 52, 532783), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 52, 532783), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 52, 532783), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 52, 532783), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 52, 532783), 3.4, 3.8]"
34,"[datetime.datetime(2022, 11, 28, 16, 47, 53, 664862), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 53, 664862), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 53, 664862), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 53, 664862), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 53, 664862), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 53, 664862), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 53, 664862), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 53, 664862), 3.4, 3.8]"
35,"[datetime.datetime(2022, 11, 28, 16, 47, 54, 791226), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 54, 791226), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 54, 791226), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 54, 791226), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 54, 791226), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 54, 791226), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 54, 791226), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 54, 791226), 3.4, 3.8]"
36,"[datetime.datetime(2022, 11, 28, 16, 47, 55, 925841), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 55, 925841), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 55, 925841), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 55, 925841), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 55, 925841), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 55, 925841), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 55, 925841), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 55, 925841), 3.4, 3.8]"
37,"[datetime.datetime(2022, 11, 28, 16, 47, 57, 54480), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 57, 54480), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 57, 54480), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 57, 54480), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 57, 54480), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 57, 54480), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 57, 54480), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 57, 54480), 3.4, 3.8]"
38,"[datetime.datetime(2022, 11, 28, 16, 47, 58, 215802), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 58, 215802), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 58, 215802), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 58, 215802), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 58, 215802), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 58, 215802), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 58, 215802), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 58, 215802), 3.4, 3.8]"
39,"[datetime.datetime(2022, 11, 28, 16, 47, 59, 357087), 12.0, 34.0]","[datetime.datetime(2022, 11, 28, 16, 47, 59, 357087), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 47, 59, 357087), 5.5, 11.0]","[datetime.datetime(2022, 11, 28, 16, 47, 59, 357087), 4.8, 10.5]","[datetime.datetime(2022, 11, 28, 16, 47, 59, 357087), 5.5, 12.5]","[datetime.datetime(2022, 11, 28, 16, 47, 59, 357087), 12.0, 40.0]","[datetime.datetime(2022, 11, 28, 16, 47, 59, 357087), 5.0, 7.2]","[datetime.datetime(2022, 11, 28, 16, 47, 59, 357087), 3.4, 3.8]"
