,Maddys Girl,Andos A Thief,Miss Mel,Cashmere Kaos,Book Of Love,Deep Sapphire,Shes A Sully
04-01-2023 14:28:25.082476,"(14.0, 34.0, 30.5)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:26.281527,"(14.0, 34.0, 30.5)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:27.464577,"(14.0, 34.0, 32.14285714285714)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:28.584054,"(14.0, 34.0, 32.14285714285714)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:29.719730,"(14.0, 34.0, 32.14285714285714)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:30.854493,"(14.0, 34.0, 32.14285714285714)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:32.034275,"(14.0, 34.0, 32.14285714285714)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:33.235498,"(14.0, 34.0, 32.14285714285714)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:34.397160,"(14.0, 34.0, 32.14285714285714)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:35.498418,"(14.0, 34.0, 32.14285714285714)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:36.615598,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:37.721172,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:38.893505,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 147.33333333333331)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.0454545454545454)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:40.154851,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3714285714285714)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:41.562847,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3714285714285714)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:42.836902,"(14.0, 34.0, 29.9)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:44.051103,"(14.0, 34.0, 30.666666666666668)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:45.546189,"(14.0, 34.0, 30.666666666666668)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
04-01-2023 14:28:46.867610,"(14.0, 34.0, 30.666666666666668)","(1.85, 2.34, 1.9158536585365855)","(51.0, 350.0, 249.33333333333334)","(7.5, 15.5, 8.833333333333334)","(2.9, 4.5, 3.3)","(71.0, 580.0, 493.33333333333337)","(5.5, 10.0, 6.866666666666666)"
