,Akatino,Moenave,Breton,Dollar Dollar,Commanders Watch,Divine Purpose,Craiglea Agena
10-01-2023 14:43:36.975864,"(4.6, 7.6, 7.3538461538461535)","(10.0, 14.0, 12.909090909090908)","(21.0, 55.0, 46.5625)","(7.0, 12.5, 11.65625)","(101.0, 200.0, 174.28571428571428)","(1.6, 1.63, 1.603)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:38.251675,"(4.6, 7.6, 7.3538461538461535)","(10.0, 14.0, 12.909090909090908)","(21.0, 55.0, 46.5625)","(7.0, 12.5, 12.05)","(101.0, 200.0, 174.28571428571428)","(1.6, 1.63, 1.603)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:39.530332,"(4.6, 7.6, 7.3538461538461535)","(10.0, 14.0, 12.909090909090908)","(21.0, 55.0, 46.5625)","(7.0, 12.5, 12.05)","(101.0, 200.0, 174.28571428571428)","(1.55, 1.63, 1.6026562500000001)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:40.854509,"(4.6, 7.6, 7.3538461538461535)","(10.0, 14.0, 12.909090909090908)","(21.0, 55.0, 46.5625)","(7.0, 12.5, 12.153846153846153)","(101.0, 200.0, 174.28571428571428)","(1.55, 1.62, 1.6011864406779661)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:42.079914,"(4.6, 7.6, 7.4222222222222225)","(10.0, 14.0, 13.142857142857142)","(21.0, 55.0, 46.5625)","(7.0, 12.5, 12.153846153846153)","(101.0, 200.0, 174.28571428571428)","(1.55, 1.62, 1.6011864406779661)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:43.337764,"(4.6, 7.6, 7.4222222222222225)","(10.0, 14.0, 13.4)","(21.0, 55.0, 48.4375)","(7.0, 12.5, 12.153846153846153)","(101.0, 200.0, 174.28571428571428)","(1.55, 1.62, 1.6011864406779661)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:44.775478,"(4.6, 7.6, 7.3538461538461535)","(10.0, 14.0, 13.428571428571429)","(21.0, 55.0, 48.4375)","(7.0, 12.5, 12.375)","(101.0, 200.0, 174.28571428571428)","(1.55, 1.62, 1.6013953488372095)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:46.086940,"(4.6, 7.6, 7.431578947368421)","(10.0, 14.0, 13.6)","(21.0, 55.0, 48.4375)","(7.0, 13.0, 12.75)","(101.0, 200.0, 162.5)","(1.55, 1.62, 1.5809275362318842)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:47.340378,"(4.6, 7.6, 7.533333333333333)","(10.0, 14.0, 13.6)","(21.0, 55.0, 49.07692307692308)","(7.0, 13.0, 12.75)","(101.0, 200.0, 177.5)","(1.55, 1.6, 1.5809275362318842)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:48.773490,"(4.6, 7.6, 7.533333333333333)","(10.0, 14.0, 13.6)","(21.0, 55.0, 51.9375)","(7.0, 13.0, 12.75)","(101.0, 200.0, 170.0)","(1.55, 1.6, 1.5813839891451833)","(9.0, 15.0, 14.470588235294118)"
10-01-2023 14:43:50.273528,"(4.6, 7.6, 7.733333333333333)","(10.0, 14.0, 14.125)","(21.0, 55.0, 58.0)","(7.0, 13.0, 13.0)","(101.0, 200.0, 180.0)","(1.55, 1.6, 1.57)","(9.0, 15.5, 15.0)"
10-01-2023 14:43:51.941781,"(4.6, 8.0, 7.808)","(10.0, 14.5, 14.125)","(21.0, 60.0, 59.0)","(7.0, 14.0, 12.88888888888889)","(101.0, 200.0, 190.0)","(1.55, 1.58, 1.57)","(9.0, 15.5, 15.0)"
10-01-2023 14:43:53.240248,"(4.6, 8.0, 7.808)","(10.0, 14.5, 14.125)","(21.0, 60.0, 59.0)","(7.0, 14.0, 12.88888888888889)","(101.0, 200.0, 204.28571428571428)","(1.55, 1.58, 1.5718018018018018)","(9.0, 15.5, 15.0)"
10-01-2023 14:43:54.512400,"(4.6, 8.0, 7.808)","(10.0, 14.5, 14.125)","(21.0, 60.0, 59.0)","(7.0, 14.0, 13.5)","(101.0, 230.0, 204.28571428571428)","(1.55, 1.58, 1.5718018018018018)","(9.0, 15.5, 15.0)"
10-01-2023 14:43:55.828178,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.125)","(21.0, 65.0, 56.0)","(7.0, 14.0, 13.5)","(101.0, 230.0, 204.28571428571428)","(1.55, 1.58, 1.5718018018018018)","(9.0, 15.5, 15.0)"
10-01-2023 14:43:57.046954,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.125)","(21.0, 65.0, 58.7)","(7.0, 14.0, 13.5)","(101.0, 230.0, 204.28571428571428)","(1.55, 1.58, 1.5671875)","(9.0, 15.5, 15.0)"
10-01-2023 14:43:58.391513,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.125)","(21.0, 65.0, 52.25)","(7.0, 14.0, 13.5)","(101.0, 230.0, 204.28571428571428)","(1.55, 1.58, 1.5671875)","(9.0, 15.5, 15.0)"
10-01-2023 14:43:59.713430,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.125)","(21.0, 65.0, 52.25)","(7.0, 14.0, 13.636363636363637)","(101.0, 230.0, 204.28571428571428)","(1.55, 1.58, 1.5662857142857143)","(9.0, 15.5, 15.071428571428571)"
10-01-2023 14:44:00.986791,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.125)","(21.0, 65.0, 52.25)","(7.0, 14.0, 13.636363636363637)","(101.0, 230.0, 204.28571428571428)","(1.55, 1.58, 1.5662857142857143)","(9.0, 15.5, 14.833333333333334)"
10-01-2023 14:44:02.282048,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.125)","(21.0, 65.0, 52.25)","(7.0, 14.0, 13.333333333333334)","(101.0, 230.0, 204.28571428571428)","(1.55, 1.58, 1.5598461538461539)","(9.0, 15.5, 15.071428571428571)"
10-01-2023 14:44:03.489561,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.333333333333334)","(21.0, 65.0, 49.09090909090909)","(7.0, 14.0, 12.647058823529411)","(101.0, 230.0, 200.0)","(1.55, 1.57, 1.5598461538461539)","(9.0, 15.5, 15.055555555555555)"
10-01-2023 14:44:04.764583,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.471428571428572)","(21.0, 60.0, 49.09090909090909)","(7.0, 13.5, 12.647058823529411)","(101.0, 230.0, 205.0)","(1.55, 1.57, 1.5598461538461539)","(9.0, 15.5, 15.055555555555555)"
10-01-2023 14:44:05.968011,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.471428571428572)","(21.0, 60.0, 49.09090909090909)","(7.0, 13.5, 12.647058823529411)","(101.0, 230.0, 205.0)","(1.55, 1.57, 1.5462626262626262)","(9.0, 15.5, 14.96875)"
10-01-2023 14:44:07.288263,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.471428571428572)","(21.0, 60.0, 49.09090909090909)","(7.0, 13.5, 12.716216216216216)","(101.0, 230.0, 205.0)","(1.55, 1.56, 1.5572832369942198)","(9.0, 16.0, 14.96875)"
10-01-2023 14:44:08.663795,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.471428571428572)","(21.0, 60.0, 49.09090909090909)","(7.0, 13.5, 12.716216216216216)","(101.0, 230.0, 205.0)","(1.55, 1.56, 1.5526605504587156)","(9.0, 16.0, 14.96875)"
10-01-2023 14:44:09.948668,"(4.6, 8.0, 7.8)","(10.0, 14.5, 14.471428571428572)","(21.0, 60.0, 49.09090909090909)","(7.0, 13.5, 12.716216216216216)","(101.0, 230.0, 205.0)","(1.55, 1.56, 1.552265625)","(9.0, 16.0, 15.274193548387096)"
10-01-2023 14:44:11.194442,"(4.6, 8.2, 8.04)","(10.0, 14.5, 14.471428571428572)","(21.0, 60.0, 52.5)","(7.0, 13.5, 12.716216216216216)","(101.0, 230.0, 213.33333333333334)","(1.55, 1.56, 1.5424242424242425)","(9.0, 16.0, 14.772727272727273)"
10-01-2023 14:44:12.463484,"(4.6, 9.6, 9.09090909090909)","(10.0, 14.5, 14.471428571428572)","(21.0, 60.0, 52.5)","(7.0, 13.5, 12.716216216216216)","(101.0, 230.0, 213.33333333333334)","(1.55, 1.55, 1.5409756097560976)","(9.0, 16.0, 14.772727272727273)"
10-01-2023 14:44:13.763741,"(4.6, 9.4, 8.76)","(10.0, 14.5, 14.471428571428572)","(21.0, 60.0, 55.38461538461539)","(7.0, 13.5, 12.716216216216216)","(101.0, 230.0, 213.33333333333334)","(1.55, 1.55, 1.5602857142857143)","(9.0, 16.0, 15.1)"
10-01-2023 14:44:14.991275,"(4.6, 9.4, 8.76)","(10.0, 14.5, 14.471428571428572)","(21.0, 60.0, 53.333333333333336)","(7.0, 13.5, 12.590909090909092)","(101.0, 230.0, 216.66666666666666)","(1.55, 1.57, 1.6096992481203007)","(9.0, 15.5, 13.75)"
10-01-2023 14:44:16.235063,"(4.6, 8.4, 8.36)","(10.0, 14.5, 14.466666666666667)","(21.0, 60.0, 53.333333333333336)","(7.0, 13.5, 12.590909090909092)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.61, 1.5835000000000001)","(9.0, 14.5, 14.238095238095237)"
10-01-2023 14:44:17.612461,"(5.0, 9.4, 8.525)","(10.0, 14.5, 14.46875)","(21.0, 60.0, 52.30769230769231)","(7.0, 13.0, 12.791666666666666)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.581891891891892)","(9.0, 15.0, 14.058823529411764)"
10-01-2023 14:44:18.872072,"(5.0, 9.4, 8.525)","(10.0, 14.5, 14.46875)","(21.0, 60.0, 52.30769230769231)","(7.0, 13.0, 12.791666666666666)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.581891891891892)","(9.0, 15.0, 14.058823529411764)"
10-01-2023 14:44:20.015154,"(4.8, 9.4, 8.525)","(10.0, 14.5, 14.46875)","(21.0, 60.0, 52.30769230769231)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.581891891891892)","(9.0, 15.0, 13.666666666666666)"
10-01-2023 14:44:21.209254,"(4.8, 9.4, 8.466666666666667)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 52.30769230769231)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5830434782608696)","(9.0, 15.0, 13.666666666666666)"
10-01-2023 14:44:22.683456,"(4.8, 9.4, 8.466666666666667)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 52.30769230769231)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5836842105263158)","(9.0, 15.0, 13.666666666666666)"
10-01-2023 14:44:23.923345,"(4.8, 9.4, 8.466666666666667)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 50.90909090909091)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5836842105263158)","(9.0, 15.0, 13.9375)"
10-01-2023 14:44:25.199179,"(4.8, 9.4, 8.466666666666667)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 50.90909090909091)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5836842105263158)","(9.0, 14.5, 14.125)"
10-01-2023 14:44:26.672842,"(4.8, 9.4, 8.466666666666667)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 50.0)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5836842105263158)","(9.0, 14.5, 14.125)"
10-01-2023 14:44:27.952434,"(4.8, 9.2, 8.461538461538462)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 50.0)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5836842105263158)","(9.0, 14.5, 14.125)"
10-01-2023 14:44:29.436850,"(4.8, 9.2, 8.763636363636364)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 48.333333333333336)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5766666666666667)","(9.0, 14.5, 14.071428571428571)"
10-01-2023 14:44:30.762418,"(4.8, 9.2, 8.763636363636364)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 48.333333333333336)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5818518518518518)","(9.0, 14.5, 14.227272727272727)"
10-01-2023 14:44:32.108800,"(4.8, 9.2, 8.635294117647058)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 48.333333333333336)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5818518518518518)","(9.0, 14.5, 14.227272727272727)"
10-01-2023 14:44:33.471404,"(4.8, 9.0, 8.307692307692308)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 47.69230769230769)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5818518518518518)","(9.0, 14.5, 14.227272727272727)"
10-01-2023 14:44:34.787031,"(4.8, 9.0, 8.307692307692308)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 50.588235294117645)","(7.0, 13.0, 12.705882352941176)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5818518518518518)","(9.0, 14.5, 14.227272727272727)"
10-01-2023 14:44:36.120525,"(4.8, 8.8, 8.355555555555556)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 50.588235294117645)","(7.0, 13.0, 12.857142857142858)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5735000000000001)","(9.0, 14.5, 14.227272727272727)"
10-01-2023 14:44:37.698686,"(4.8, 8.8, 8.16)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 50.588235294117645)","(7.0, 13.0, 12.4)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.578421052631579)","(9.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:39.021537,"(4.8, 8.6, 8.16)","(10.0, 14.5, 14.423076923076923)","(21.0, 60.0, 50.588235294117645)","(7.0, 13.0, 12.333333333333334)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5815384615384616)","(9.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:40.346156,"(4.8, 8.6, 8.105882352941176)","(10.0, 14.5, 14.441176470588236)","(21.0, 60.0, 53.77777777777778)","(7.0, 13.0, 12.333333333333334)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5815384615384616)","(9.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:41.723191,"(4.8, 8.6, 8.105882352941176)","(10.0, 14.5, 14.441176470588236)","(21.0, 55.0, 53.77777777777778)","(7.0, 13.0, 12.23076923076923)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.5815384615384616)","(9.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:43.005934,"(4.8, 8.6, 8.105882352941176)","(10.0, 14.5, 14.441176470588236)","(21.0, 55.0, 53.77777777777778)","(7.0, 13.0, 12.23076923076923)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.585925925925926)","(9.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:44.302390,"(4.8, 8.6, 8.105882352941176)","(10.0, 14.5, 14.441176470588236)","(21.0, 55.0, 53.77777777777778)","(7.0, 13.0, 12.23076923076923)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.6, 1.583235294117647)","(9.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:45.612741,"(4.8, 8.6, 8.105882352941176)","(10.0, 14.5, 14.441176470588236)","(21.0, 55.0, 53.77777777777778)","(7.0, 13.0, 12.23076923076923)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.6, 1.578888888888889)","(9.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:46.853085,"(4.8, 8.6, 8.105882352941176)","(10.0, 14.5, 14.441176470588236)","(21.0, 55.0, 50.5)","(7.0, 13.0, 12.23076923076923)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.6, 1.578888888888889)","(9.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:48.006687,"(5.0, 8.6, 8.105882352941176)","(11.0, 14.5, 14.4)","(26.0, 55.0, 50.5)","(7.5, 13.0, 12.5)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.6, 1.578888888888889)","(10.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:49.264325,"(5.0, 8.6, 8.105882352941176)","(11.0, 14.5, 14.4)","(26.0, 55.0, 50.5)","(7.5, 13.0, 12.5)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.6, 1.5775000000000001)","(10.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:50.549820,"(5.0, 8.6, 8.105882352941176)","(11.0, 14.5, 14.4)","(26.0, 55.0, 50.5)","(7.5, 13.0, 12.636363636363637)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.6, 1.5775000000000001)","(10.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:51.762545,"(5.0, 8.6, 8.105882352941176)","(11.0, 14.5, 14.4)","(26.0, 55.0, 50.5)","(7.5, 13.0, 12.636363636363637)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.6, 1.5775000000000001)","(10.0, 14.5, 14.166666666666666)"
10-01-2023 14:44:53.026581,"(5.0, 8.6, 8.1)","(11.0, 14.5, 14.4)","(26.0, 55.0, 50.5)","(7.5, 13.0, 12.636363636363637)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.578421052631579)","(10.0, 14.5, 14.351851851851851)"
10-01-2023 14:44:54.370741,"(5.0, 8.6, 8.1)","(11.0, 14.5, 14.4)","(26.0, 55.0, 50.5)","(7.5, 13.0, 12.636363636363637)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.59, 1.565)","(10.0, 14.5, 14.555555555555555)"
10-01-2023 14:44:55.651251,"(5.0, 8.6, 8.1)","(11.0, 14.5, 14.5)","(26.0, 55.0, 50.5)","(7.5, 13.0, 12.75)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.58, 1.565)","(10.0, 15.0, 14.727272727272727)"
10-01-2023 14:44:56.960841,"(5.0, 8.6, 8.128571428571428)","(11.0, 15.0, 14.5)","(26.0, 55.0, 50.5)","(7.5, 13.0, 12.75)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.57, 1.5658333333333334)","(10.0, 15.0, 14.727272727272727)"
10-01-2023 14:44:58.376337,"(5.0, 8.6, 8.128571428571428)","(11.0, 15.0, 13.545454545454545)","(26.0, 55.0, 50.5)","(7.5, 13.0, 13.166666666666666)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.57, 1.5668181818181819)","(10.0, 15.0, 14.727272727272727)"
10-01-2023 14:44:59.849390,"(5.0, 8.6, 8.2)","(11.0, 14.0, 13.545454545454545)","(26.0, 55.0, 50.5)","(7.5, 14.0, 13.076923076923077)","(101.0, 230.0, 201.42857142857142)","(1.55, 1.57, 1.5642857142857143)","(10.0, 15.0, 14.727272727272727)"
10-01-2023 14:45:01.144051,"(5.0, 8.6, 8.2)","(11.0, 14.0, 13.521739130434783)","(26.0, 55.0, 50.5)","(7.5, 14.0, 13.076923076923077)","(101.0, 230.0, 205.0)","(1.55, 1.57, 1.570967741935484)","(10.0, 15.0, 14.3)"
10-01-2023 14:45:02.476762,"(5.0, 8.6, 8.16)","(11.0, 14.0, 13.5)","(26.0, 55.0, 47.285714285714285)","(7.5, 14.0, 13.0)","(101.0, 230.0, 203.33333333333334)","(1.55, 1.58, 1.5692307692307692)","(10.0, 15.0, 14.1875)"
10-01-2023 14:45:03.781233,"(5.0, 8.6, 8.16)","(11.0, 14.0, 13.5)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.884615384615385)","(101.0, 230.0, 203.33333333333334)","(1.55, 1.58, 1.5670588235294118)","(10.0, 15.0, 14.1875)"
10-01-2023 14:45:04.944086,"(5.0, 8.6, 8.126315789473685)","(11.0, 14.0, 13.5)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.884615384615385)","(101.0, 230.0, 203.33333333333334)","(1.55, 1.58, 1.5670588235294118)","(10.0, 15.0, 14.1875)"
10-01-2023 14:45:06.113156,"(5.0, 8.6, 8.16)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 230.0, 203.33333333333334)","(1.55, 1.58, 1.568421052631579)","(10.0, 15.0, 14.1875)"
10-01-2023 14:45:07.255920,"(5.0, 8.6, 8.16)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 230.0, 200.0)","(1.55, 1.58, 1.5670588235294118)","(10.0, 15.0, 14.391304347826086)"
10-01-2023 14:45:08.390060,"(5.0, 8.6, 8.2)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 230.0, 210.0)","(1.55, 1.58, 1.5670588235294118)","(10.0, 15.0, 14.473684210526315)"
10-01-2023 14:45:09.479135,"(5.0, 8.6, 8.2)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 210.0)","(1.55, 1.58, 1.5674285714285714)","(10.0, 15.0, 14.321428571428571)"
10-01-2023 14:45:10.577449,"(5.0, 8.6, 8.2)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 210.0)","(1.55, 1.58, 1.5703225806451613)","(10.0, 14.5, 14.321428571428571)"
10-01-2023 14:45:11.651922,"(5.0, 8.6, 8.2)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 210.0)","(1.55, 1.58, 1.5703225806451613)","(10.0, 14.5, 14.321428571428571)"
10-01-2023 14:45:12.741979,"(5.0, 8.6, 8.2)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 210.0)","(1.55, 1.58, 1.5737037037037038)","(10.0, 14.5, 14.272727272727273)"
10-01-2023 14:45:13.831833,"(5.0, 8.6, 8.2)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 210.0)","(1.55, 1.59, 1.5737037037037038)","(10.0, 14.5, 14.272727272727273)"
10-01-2023 14:45:14.888491,"(5.0, 8.6, 8.2)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 210.0)","(1.55, 1.59, 1.585217391304348)","(10.0, 14.5, 14.272727272727273)"
10-01-2023 14:45:16.518276,"(5.0, 8.6, 8.126315789473685)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 210.0)","(1.55, 1.59, 1.5864285714285715)","(10.0, 14.5, 14.272727272727273)"
10-01-2023 14:45:17.557168,"(5.0, 8.6, 8.126315789473685)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 205.0)","(1.55, 1.59, 1.5864285714285715)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:18.586891,"(5.0, 8.6, 8.126315789473685)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 205.0)","(1.55, 1.59, 1.5864285714285715)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:19.637275,"(5.0, 8.6, 8.10909090909091)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.7)","(101.0, 220.0, 200.0)","(1.55, 1.59, 1.5945882352941176)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:20.603798,"(5.0, 8.6, 8.10909090909091)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.5, 12.642857142857142)","(101.0, 220.0, 200.0)","(1.55, 1.6, 1.5972222222222223)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:21.553482,"(5.0, 8.6, 8.10909090909091)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.0, 12.857142857142858)","(101.0, 220.0, 210.0)","(1.55, 1.6, 1.5984615384615386)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:22.546867,"(5.0, 8.6, 8.10909090909091)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.0, 12.5)","(101.0, 220.0, 203.33333333333334)","(1.55, 1.6, 1.5984615384615386)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:23.496198,"(5.0, 8.6, 8.10909090909091)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.0, 12.482758620689655)","(101.0, 220.0, 203.33333333333334)","(1.55, 1.6, 1.5984615384615386)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:24.432874,"(5.0, 8.6, 8.10909090909091)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.0, 12.482758620689655)","(101.0, 220.0, 212.85714285714286)","(1.55, 1.6, 1.5984615384615386)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:25.365191,"(5.0, 8.6, 8.10909090909091)","(11.0, 14.0, 13.368421052631579)","(26.0, 55.0, 46.9)","(7.5, 13.0, 12.4375)","(101.0, 220.0, 212.85714285714286)","(1.5, 1.6, 1.5984615384615386)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:26.363586,"(5.5, 8.6, 8.10909090909091)","(11.0, 14.0, 13.318181818181818)","(26.0, 55.0, 47.285714285714285)","(8.0, 13.0, 12.318181818181818)","(101.0, 220.0, 212.85714285714286)","(1.5, 1.61, 1.5989795918367349)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:27.356006,"(5.5, 8.6, 8.10909090909091)","(11.0, 14.0, 13.318181818181818)","(26.0, 55.0, 47.285714285714285)","(8.0, 13.0, 12.605263157894736)","(101.0, 220.0, 212.85714285714286)","(1.5, 1.61, 1.5989795918367349)","(10.0, 14.5, 14.076923076923077)"
10-01-2023 14:45:28.331167,"(5.5, 8.6, 8.10909090909091)","(11.0, 14.0, 13.318181818181818)","(26.0, 55.0, 47.285714285714285)","(8.0, 13.0, 12.605263157894736)","(101.0, 220.0, 212.85714285714286)","(1.5, 1.61, 1.5984615384615386)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:29.270962,"(5.5, 8.6, 8.10909090909091)","(11.0, 14.0, 13.318181818181818)","(26.0, 55.0, 47.285714285714285)","(8.0, 13.0, 12.605263157894736)","(101.0, 220.0, 212.85714285714286)","(1.5, 1.61, 1.5984615384615386)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:30.196018,"(5.5, 8.6, 8.10909090909091)","(11.0, 14.0, 13.318181818181818)","(26.0, 55.0, 47.285714285714285)","(8.0, 13.0, 12.605263157894736)","(101.0, 220.0, 212.85714285714286)","(1.5, 1.61, 1.598)","(10.0, 14.5, 14.107142857142858)"
10-01-2023 14:45:31.112040,"(5.5, 8.6, 8.10909090909091)","(11.0, 14.0, 13.318181818181818)","(26.0, 55.0, 47.285714285714285)","(8.0, 13.0, 12.605263157894736)","(101.0, 220.0, 212.85714285714286)","(1.5, 1.6, 1.5987878787878789)","(10.0, 14.5, 14.107142857142858)"
