,Victa Mikey,Impress Raja,Little Purpose,Canya Razor,Neangar Boy,Sandave Diamond,Allinga Grin
16-12-2022 12:07:07.161074,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:08.330808,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:09.532965,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:10.767554,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:11.969860,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:13.146385,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:14.288912,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:15.352726,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:16.542680,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:17.694643,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:18.860866,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:20.072419,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 12.283333333333333)","(6.5, 16.0, 9.82857142857143)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:21.303006,"(4.6, 9.6, 5.3533333333333335)","(7.0, 17.0, 9.65)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:22.671979,"(4.6, 9.6, 5.78125)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:23.851940,"(4.6, 9.6, 5.78125)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:25.019017,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:26.150619,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:27.435926,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:28.622759,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:29.936428,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:31.222156,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:32.434416,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:33.783730,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:35.008015,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:36.203047,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:37.827005,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:39.043206,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:40.241127,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:41.431069,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:42.675649,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:43.913597,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
16-12-2022 12:07:45.161806,"(4.6, 9.6, 5.613333333333333)","(7.0, 17.0, 11.24)","(21.0, 110.0, 67.0)","(1.75, 1.8, 1.7494736842105263)","(6.0, 13.5, 11.133333333333333)","(6.5, 16.0, 8.309090909090909)","(71.0, 570.0, 486.66666666666663)"
