,Areyougonnakissme,Pinnacle Reef,Xcellent Start,Sparked A Notion,Colt Rock,No Love For Juba,Neverpopthecork,Jubas Notion,Lord Of Cork
08-01-2023 12:58:57.848739,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 35.4)","(8.5, 17.0, 14.6)","(7.5, 25.0, 19.866666666666667)","(17.0, 220.0, 140.8)","(4.0, 4.5, 4.42)","(19.0, 55.0, 24.166666666666668)","(1.95, 2.36, 2.2800000000000002)","(16.0, 34.0, 25.5)"
08-01-2023 12:58:59.296558,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 35.4)","(8.5, 17.0, 14.6)","(7.5, 25.0, 19.866666666666667)","(17.0, 220.0, 140.8)","(4.0, 4.5, 4.42)","(19.0, 55.0, 24.166666666666668)","(1.95, 2.36, 2.2800000000000002)","(16.0, 34.0, 25.5)"
08-01-2023 12:59:00.439303,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 35.4)","(8.5, 17.0, 14.6)","(7.5, 25.0, 19.866666666666667)","(17.0, 220.0, 140.8)","(4.0, 4.5, 4.42)","(19.0, 55.0, 24.166666666666668)","(1.95, 2.36, 2.2800000000000002)","(16.0, 34.0, 25.5)"
08-01-2023 12:59:01.647111,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 35.4)","(8.5, 17.0, 14.6)","(7.5, 25.0, 18.92)","(17.0, 220.0, 140.8)","(4.0, 4.5, 4.463636363636364)","(19.0, 55.0, 24.166666666666668)","(1.95, 2.36, 2.3)","(16.0, 34.0, 27.2)"
08-01-2023 12:59:02.907782,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 35.4)","(8.5, 17.0, 14.6)","(7.5, 25.0, 18.92)","(17.0, 220.0, 140.8)","(4.0, 4.5, 4.463636363636364)","(19.0, 55.0, 28.57142857142857)","(1.95, 2.36, 2.3)","(16.0, 34.0, 28.333333333333336)"
08-01-2023 12:59:04.127717,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(7.5, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.0, 4.5, 4.463636363636364)","(19.0, 55.0, 28.57142857142857)","(1.95, 2.36, 2.3)","(16.0, 34.0, 23.0)"
08-01-2023 12:59:05.340237,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(7.5, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.0, 4.5, 4.463636363636364)","(19.0, 55.0, 28.57142857142857)","(1.95, 2.36, 2.3)","(16.0, 34.0, 23.0)"
08-01-2023 12:59:06.538532,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(7.5, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.0, 4.5, 4.463636363636364)","(19.0, 55.0, 28.57142857142857)","(1.95, 2.36, 2.2800000000000002)","(16.0, 34.0, 24.75)"
08-01-2023 12:59:07.732427,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.57142857142857)","(1.85, 2.34, 2.2800000000000002)","(16.0, 32.0, 24.75)"
08-01-2023 12:59:08.912298,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.57142857142857)","(1.85, 2.34, 2.2800000000000002)","(16.0, 32.0, 22.666666666666668)"
08-01-2023 12:59:10.335973,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.57142857142857)","(1.85, 2.34, 2.2800000000000002)","(16.0, 32.0, 26.4)"
08-01-2023 12:59:11.601140,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.57142857142857)","(1.85, 2.34, 2.2800000000000002)","(16.0, 32.0, 26.4)"
08-01-2023 12:59:12.831924,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.57142857142857)","(1.85, 2.34, 2.2800000000000002)","(16.0, 32.0, 26.4)"
08-01-2023 12:59:14.211390,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.57142857142857)","(1.85, 2.34, 2.269090909090909)","(16.0, 32.0, 26.6)"
08-01-2023 12:59:15.494550,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.57142857142857)","(1.85, 2.32, 2.2003125000000003)","(16.0, 32.0, 26.6)"
08-01-2023 12:59:16.661854,"(26.0, 220.0, 131.8181818181818)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 17.75)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 36.5)","(1.85, 2.22, 2.2849999999999997)","(16.0, 32.0, 25.5)"
08-01-2023 12:59:17.821894,"(26.0, 220.0, 82.14285714285714)","(20.0, 46.0, 35.6)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 20.166666666666664)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 40.2)","(1.85, 2.32, 2.286060606060606)","(16.0, 32.0, 25.5)"
08-01-2023 12:59:18.958300,"(26.0, 220.0, 82.14285714285714)","(20.0, 46.0, 35.6)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 20.166666666666664)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 40.2)","(1.85, 2.32, 2.1834146341463416)","(16.0, 32.0, 23.333333333333332)"
08-01-2023 12:59:20.224921,"(26.0, 220.0, 82.14285714285714)","(20.0, 46.0, 39.5)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 20.166666666666664)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 40.2)","(1.85, 2.32, 2.1834146341463416)","(16.0, 32.0, 23.333333333333332)"
08-01-2023 12:59:21.429396,"(26.0, 220.0, 82.14285714285714)","(20.0, 46.0, 39.5)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 21.666666666666668)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 36.5)","(1.85, 2.32, 2.24)","(16.0, 32.0, 25.6)"
08-01-2023 12:59:22.724192,"(26.0, 220.0, 59.166666666666664)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 19.4)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 42.83333333333333)","(1.85, 2.3, 2.24)","(16.0, 30.0, 25.6)"
08-01-2023 12:59:24.073912,"(26.0, 220.0, 59.166666666666664)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 19.4)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 42.83333333333333)","(1.85, 2.3, 2.24)","(16.0, 30.0, 25.6)"
08-01-2023 12:59:25.459219,"(26.0, 220.0, 59.166666666666664)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 19.4)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 31.0)","(1.85, 2.3, 2.2375)","(15.0, 30.0, 27.25)"
08-01-2023 12:59:26.768566,"(26.0, 220.0, 59.166666666666664)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.285714285714285)","(8.0, 25.0, 16.0)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 37.0)","(1.85, 2.26, 2.2496551724137928)","(15.0, 30.0, 23.0)"
08-01-2023 12:59:27.997308,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.166666666666666)","(8.0, 25.0, 16.0)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 37.0)","(1.85, 2.26, 2.231724137931035)","(15.0, 30.0, 23.0)"
08-01-2023 12:59:29.247621,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.625)","(8.0, 25.0, 16.0)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 37.0)","(1.85, 2.24, 2.1500000000000004)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:30.486501,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.625)","(8.0, 25.0, 16.0)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 37.0)","(1.85, 2.24, 2.14)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:31.704541,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.625)","(8.0, 25.0, 16.0)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 37.0)","(1.85, 2.24, 2.217777777777778)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:32.899343,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 16.0)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 37.25)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:34.046135,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 16.0)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 43.16666666666667)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:35.188503,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 16.0)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 43.16666666666667)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:36.328130,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 23.41176470588235)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 43.16666666666667)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:37.444673,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 23.41176470588235)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 43.16666666666667)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:38.616987,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 23.714285714285715)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.75)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:39.751060,"(26.0, 220.0, 75.25)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 21.75)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.75)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:40.886673,"(26.0, 220.0, 75.25)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 21.75)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.75)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:42.020459,"(26.0, 220.0, 91.33333333333333)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 18.75)","(17.0, 220.0, 121.5)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 28.75)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 27.0)"
08-01-2023 12:59:43.151953,"(26.0, 220.0, 59.166666666666664)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 20.2)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 31.666666666666664)","(1.85, 2.24, 2.2206451612903226)","(15.0, 30.0, 25.8)"
08-01-2023 12:59:44.274468,"(26.0, 220.0, 59.166666666666664)","(20.0, 46.0, 33.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 20.2)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.463636363636364)","(17.0, 55.0, 31.666666666666664)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 25.8)"
08-01-2023 12:59:45.399627,"(26.0, 220.0, 59.166666666666664)","(20.0, 46.0, 39.5)","(8.5, 17.0, 15.0)","(8.0, 25.0, 18.75)","(17.0, 220.0, 140.8)","(4.2, 4.5, 4.5249999999999995)","(17.0, 55.0, 31.666666666666664)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 25.8)"
08-01-2023 12:59:46.538210,"(26.0, 220.0, 59.166666666666664)","(20.0, 46.0, 36.0)","(8.5, 17.0, 15.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.5249999999999995)","(17.0, 55.0, 37.5)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:47.716910,"(26.0, 220.0, 75.25)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.5249999999999995)","(17.0, 55.0, 34.0)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:48.916846,"(26.0, 220.0, 75.25)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.5249999999999995)","(17.0, 55.0, 34.0)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:50.159815,"(26.0, 200.0, 76.42857142857143)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.5249999999999995)","(17.0, 55.0, 34.0)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:51.362830,"(26.0, 200.0, 76.42857142857143)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.34)","(17.0, 55.0, 34.0)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:52.568262,"(26.0, 200.0, 76.42857142857143)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.4, 4.4799999999999995)","(17.0, 55.0, 27.77777777777778)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:53.832164,"(26.0, 200.0, 76.42857142857143)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 27.77777777777778)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:55.094117,"(26.0, 200.0, 76.42857142857143)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 27.77777777777778)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:56.302421,"(26.0, 200.0, 76.42857142857143)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 27.77777777777778)","(1.85, 2.24, 2.223448275862069)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:57.554665,"(26.0, 200.0, 91.875)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 27.77777777777778)","(1.85, 2.24, 2.206666666666667)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 12:59:58.785786,"(26.0, 200.0, 91.875)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 27.77777777777778)","(1.85, 2.24, 2.206666666666667)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 13:00:00.039922,"(26.0, 200.0, 103.88888888888889)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 121.5)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 27.77777777777778)","(1.85, 2.24, 2.206666666666667)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 13:00:01.353719,"(26.0, 200.0, 103.88888888888889)","(20.0, 46.0, 38.85714285714286)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 88.66666666666667)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 27.77777777777778)","(1.85, 2.24, 2.206666666666667)","(15.0, 30.0, 23.333333333333332)"
08-01-2023 13:00:02.583146,"(26.0, 200.0, 91.875)","(20.0, 46.0, 36.4)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 140.8)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.24, 2.2122222222222225)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:03.822728,"(26.0, 200.0, 76.42857142857143)","(20.0, 46.0, 36.0)","(8.5, 17.0, 14.0)","(8.0, 25.0, 17.0)","(17.0, 220.0, 140.8)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.24, 2.206666666666667)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:05.069642,"(26.0, 200.0, 55.83333333333333)","(20.0, 46.0, 34.4)","(8.5, 17.0, 14.0)","(8.0, 25.0, 21.0)","(17.0, 220.0, 140.8)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.24, 2.194545454545455)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:06.310173,"(26.0, 200.0, 55.83333333333333)","(20.0, 46.0, 34.4)","(8.5, 17.0, 14.0)","(8.0, 25.0, 21.0)","(17.0, 220.0, 176.66666666666669)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.24, 2.194545454545455)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:07.530290,"(26.0, 200.0, 55.83333333333333)","(20.0, 46.0, 36.5)","(8.5, 17.0, 14.0)","(8.0, 25.0, 21.0)","(17.0, 220.0, 164.57142857142858)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.24, 2.194545454545455)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:08.712132,"(26.0, 200.0, 103.33333333333333)","(20.0, 46.0, 36.5)","(8.5, 17.0, 14.0)","(8.0, 25.0, 21.0)","(17.0, 220.0, 164.57142857142858)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.24, 2.194545454545455)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:09.884675,"(26.0, 200.0, 103.33333333333333)","(20.0, 46.0, 36.5)","(8.5, 17.0, 14.0)","(8.0, 25.0, 21.0)","(17.0, 220.0, 164.57142857142858)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.24, 2.194545454545455)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:11.106919,"(26.0, 200.0, 103.33333333333333)","(20.0, 46.0, 36.5)","(8.5, 17.0, 14.0)","(8.0, 25.0, 20.4)","(17.0, 220.0, 164.57142857142858)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.24, 2.194545454545455)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:12.350810,"(26.0, 200.0, 103.33333333333333)","(20.0, 46.0, 36.5)","(8.5, 17.0, 14.0)","(8.0, 25.0, 20.4)","(17.0, 220.0, 164.57142857142858)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.24, 2.1364102564102567)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:13.561607,"(26.0, 200.0, 103.33333333333333)","(20.0, 46.0, 36.5)","(8.5, 17.0, 14.0)","(8.0, 25.0, 20.4)","(17.0, 220.0, 164.57142857142858)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.14, 2.136969696969697)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:14.803512,"(26.0, 200.0, 103.33333333333333)","(20.0, 46.0, 36.5)","(8.5, 17.0, 14.0)","(8.0, 25.0, 20.4)","(17.0, 220.0, 164.57142857142858)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 25.0)","(1.85, 2.14, 2.136969696969697)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:16.043857,"(26.0, 200.0, 103.33333333333333)","(20.0, 46.0, 36.5)","(8.5, 17.0, 14.0)","(8.0, 25.0, 20.4)","(17.0, 220.0, 164.57142857142858)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 30.0)","(1.85, 2.14, 2.136969696969697)","(15.0, 30.0, 26.5)"
08-01-2023 13:00:17.237271,"(26.0, 200.0, 103.33333333333333)","(20.0, 46.0, 32.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 91.33333333333333)","(4.2, 4.6, 4.4799999999999995)","(17.0, 55.0, 44.0)","(1.85, 2.14, 2.138666666666667)","(15.0, 30.0, 25.0)"
08-01-2023 13:00:18.403945,"(26.0, 200.0, 70.25)","(20.0, 46.0, 32.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 91.33333333333333)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 44.0)","(1.85, 2.14, 2.138666666666667)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:19.566948,"(26.0, 200.0, 70.25)","(20.0, 46.0, 38.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 91.33333333333333)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 44.0)","(1.85, 2.14, 2.138666666666667)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:20.693032,"(26.0, 200.0, 70.25)","(20.0, 46.0, 38.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 91.33333333333333)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 42.5)","(1.85, 2.14, 2.138666666666667)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:21.797162,"(26.0, 200.0, 70.25)","(20.0, 46.0, 38.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 91.33333333333333)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 42.5)","(1.85, 2.14, 2.138666666666667)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:22.925258,"(26.0, 200.0, 70.25)","(20.0, 46.0, 38.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 91.33333333333333)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 42.75)","(1.85, 2.14, 2.138666666666667)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:24.018951,"(26.0, 200.0, 70.25)","(20.0, 46.0, 38.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 91.33333333333333)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 36.0)","(1.85, 2.14, 2.138666666666667)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:25.154004,"(26.0, 200.0, 70.25)","(20.0, 46.0, 32.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 142.8)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 36.0)","(1.85, 2.14, 2.216)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:26.344829,"(26.0, 200.0, 70.25)","(20.0, 46.0, 32.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 142.8)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 36.0)","(1.85, 2.24, 2.216)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:27.481277,"(26.0, 200.0, 70.25)","(20.0, 46.0, 32.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 124.0)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 36.0)","(1.85, 2.24, 2.216)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:28.620156,"(26.0, 200.0, 70.25)","(20.0, 46.0, 32.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 124.0)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 36.0)","(1.85, 2.24, 2.216)","(15.0, 30.0, 24.0)"
08-01-2023 13:00:29.838278,"(26.0, 200.0, 70.25)","(20.0, 46.0, 32.0)","(8.5, 17.0, 14.75)","(8.0, 25.0, 17.666666666666668)","(17.0, 220.0, 124.0)","(4.2, 4.6, 4.4799999999999995)","(17.0, 50.0, 36.0)","(1.85, 2.24, 2.216)","(15.0, 30.0, 24.0)"
