,Electro Guru,My Maximus,Speedy Cashew,Tahitian Lily,Modest,Our Legacy,Master Shameem
34,"[datetime.datetime(2022, 11, 28, 16, 59, 1, 415194), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 1, 415194), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 1, 415194), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 1, 415194), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 1, 415194), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 1, 415194), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 1, 415194), 2.5, 3.45]"
35,"[datetime.datetime(2022, 11, 28, 16, 59, 2, 538184), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 2, 538184), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 2, 538184), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 2, 538184), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 2, 538184), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 2, 538184), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 2, 538184), 2.5, 3.45]"
36,"[datetime.datetime(2022, 11, 28, 16, 59, 3, 659032), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 3, 659032), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 3, 659032), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 3, 659032), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 3, 659032), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 3, 659032), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 3, 659032), 2.5, 3.4]"
37,"[datetime.datetime(2022, 11, 28, 16, 59, 4, 796118), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 4, 796118), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 4, 796118), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 4, 796118), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 4, 796118), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 4, 796118), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 4, 796118), 2.5, 3.4]"
38,"[datetime.datetime(2022, 11, 28, 16, 59, 5, 917669), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 5, 917669), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 5, 917669), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 5, 917669), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 5, 917669), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 5, 917669), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 5, 917669), 2.5, 3.4]"
39,"[datetime.datetime(2022, 11, 28, 16, 59, 7, 47460), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 7, 47460), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 7, 47460), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 7, 47460), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 7, 47460), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 7, 47460), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 7, 47460), 2.5, 3.4]"
40,"[datetime.datetime(2022, 11, 28, 16, 59, 8, 165580), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 8, 165580), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 8, 165580), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 8, 165580), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 8, 165580), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 8, 165580), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 8, 165580), 2.5, 3.4]"
41,"[datetime.datetime(2022, 11, 28, 16, 59, 9, 289410), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 9, 289410), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 9, 289410), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 9, 289410), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 9, 289410), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 9, 289410), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 9, 289410), 2.5, 3.4]"
42,"[datetime.datetime(2022, 11, 28, 16, 59, 10, 410533), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 10, 410533), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 10, 410533), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 10, 410533), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 10, 410533), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 10, 410533), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 10, 410533), 2.5, 3.4]"
43,"[datetime.datetime(2022, 11, 28, 16, 59, 11, 549639), 8.5, 32.0]","[datetime.datetime(2022, 11, 28, 16, 59, 11, 549639), 6.0, 10.0]","[datetime.datetime(2022, 11, 28, 16, 59, 11, 549639), 71.0, 420.0]","[datetime.datetime(2022, 11, 28, 16, 59, 11, 549639), 3.3, 5.5]","[datetime.datetime(2022, 11, 28, 16, 59, 11, 549639), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 16, 59, 11, 549639), 21.0, 85.0]","[datetime.datetime(2022, 11, 28, 16, 59, 11, 549639), 2.5, 3.4]"
