,Bettor My Dreamz Nz,The Last Drop,Brewery Lane,Ainsworth,Mission Glory,Belonero,Tradie,Make It Quick,Be On Guard,Dynamite Beach,The Party Boy
10-01-2023 20:44:58.089518,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:00.036970,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:02.196542,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:04.258491,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:06.156321,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:07.984411,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:09.734009,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:11.438225,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:13.147880,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:15.149462,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:16.993068,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:18.990318,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:20.941554,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:22.909616,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:24.793217,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:26.575668,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:28.373502,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:30.263377,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:32.229589,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
10-01-2023 20:45:33.912300,"(2.2, 99999, 99990)","(5.0, 8.0, 7.631578947368421)","(71.0, 190.0, 125.0)","(16.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(17.0, 32.0, 20.333333333333332)","(101.0, 210.0, 184.28571428571428)","(10.0, 18.5, 14.7)","(7.5, 12.5, 11.561538461538461)","(3.9, 5.7, 5.066666666666666)","(101.0, 210.0, 184.28571428571428)"
