,Barcelona Boy,Comical Mick,Brians Buster,One More Time,Aerobic Bella,Yumar,Craigs Cruisin
07-12-2022 14:24:39.866059,"(1.55, 1.75, 1.7348803827751196)","(4.2, 4.8, 4.684374999999999)","(16.0, 27.0, 25.56140350877193)","(20.0, 26.0, 25.029411764705884)","(13.0, 21.0, 19.85)","(7.5, 12.0, 11.925925925925926)","(91.0, 540.0, 472.5)"
07-12-2022 14:24:40.987030,"(1.55, 1.75, 1.7357657657657657)","(4.2, 4.8, 4.684374999999999)","(16.0, 27.0, 25.56140350877193)","(20.0, 26.0, 25.0188679245283)","(13.0, 21.0, 19.875)","(7.5, 12.0, 11.957446808510639)","(91.0, 540.0, 345.0)"
07-12-2022 14:24:42.180214,"(1.55, 1.75, 1.7360377358490566)","(4.2, 4.8, 4.698630136986301)","(16.0, 27.0, 25.581818181818182)","(20.0, 26.0, 25.022727272727273)","(13.0, 20.0, 19.846153846153847)","(7.5, 12.0, 11.957446808510639)","(91.0, 530.0, 283.33333333333337)"
07-12-2022 14:24:43.417810,"(1.55, 1.74, 1.73796875)","(4.2, 4.8, 4.732)","(16.0, 27.0, 25.581818181818182)","(20.0, 26.0, 25.022727272727273)","(13.0, 21.0, 19.846153846153847)","(7.5, 12.0, 11.953488372093023)","(91.0, 530.0, 283.33333333333337)"
07-12-2022 14:24:44.556545,"(1.55, 1.74, 1.7379032258064515)","(4.2, 4.9, 4.7444444444444445)","(16.0, 27.0, 25.56140350877193)","(20.0, 26.0, 25.020833333333332)","(13.0, 21.0, 19.846153846153847)","(7.5, 12.0, 11.953488372093023)","(91.0, 530.0, 283.33333333333337)"
07-12-2022 14:24:45.642624,"(1.55, 1.74, 1.7315)","(4.2, 4.9, 4.75)","(16.0, 27.0, 25.56140350877193)","(20.0, 26.0, 25.020833333333332)","(13.0, 21.0, 19.846153846153847)","(7.5, 12.0, 11.953488372093023)","(91.0, 530.0, 283.33333333333337)"
07-12-2022 14:24:46.732676,"(1.55, 1.74, 1.7346938775510203)","(4.2, 4.9, 4.753333333333334)","(16.0, 27.0, 25.581818181818182)","(20.0, 26.0, 25.022727272727273)","(13.0, 21.0, 19.846153846153847)","(7.5, 12.0, 11.953488372093023)","(91.0, 530.0, 283.33333333333337)"
07-12-2022 14:24:47.889359,"(1.55, 1.74, 1.7346938775510203)","(4.2, 4.9, 4.768000000000001)","(16.0, 27.0, 25.581818181818182)","(20.0, 26.0, 9998.5)","(13.0, 21.0, 9998.5)","(7.5, 12.0, 9998.5)","(91.0, 530.0, 9998.5)"
07-12-2022 14:24:49.029904,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
07-12-2022 14:24:50.100360,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
07-12-2022 14:24:51.267945,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
07-12-2022 14:24:52.634077,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
07-12-2022 14:24:53.825590,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
07-12-2022 14:24:55.031162,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
07-12-2022 14:24:56.553837,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
07-12-2022 14:24:57.704278,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
07-12-2022 14:24:58.827055,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
07-12-2022 14:24:59.914086,"(1.55, 99998, 9998.5)","(4.2, 99998, 9998.5)","(16.0, 99998, 9998.5)","(20.0, 99998, 9998.5)","(13.0, 99998, 9998.5)","(7.5, 99998, 9998.5)","(91.0, 99998, 9998.5)"
