,Unusual Culture,Defining,Intisar,Field Of Praise,Colorado Cruz,Girl,Little Miss Kubi
11-01-2023 17:47:34.460803,"(7.5, 8.8, 8.742857142857144)","(4.0, 5.2, 5.098245614035088)","(7.5, 9.0, 8.927272727272728)","(6.5, 8.4, 8.323809523809524)","(5.5, 7.0, 6.6376470588235295)","(7.5, 9.4, 9.483333333333334)","(4.2, 5.2, 5.174358974358975)"
11-01-2023 17:47:35.552176,"(7.5, 8.8, 8.741592920353982)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.24)","(6.5, 8.2, 8.063917525773196)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.174358974358975)"
11-01-2023 17:47:36.501198,"(7.5, 8.8, 8.741592920353982)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.24)","(6.5, 8.2, 8.063917525773196)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.174358974358975)"
11-01-2023 17:47:37.595760,"(7.5, 8.8, 8.741592920353982)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.2, 8.059574468085106)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.170588235294118)"
11-01-2023 17:47:38.671794,"(7.5, 8.8, 8.741592920353982)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.2, 8.059574468085106)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.170588235294118)"
11-01-2023 17:47:39.761050,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.2, 8.059574468085106)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.170588235294118)"
11-01-2023 17:47:40.769060,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.2, 8.059574468085106)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.170588235294118)"
11-01-2023 17:47:41.756262,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.2, 8.056521739130435)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.158536585365853)"
11-01-2023 17:47:42.789137,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.2, 8.056521739130435)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.158536585365853)"
11-01-2023 17:47:43.910321,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.2, 8.056521739130435)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.121428571428571)"
11-01-2023 17:47:45.036906,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.288)","(6.5, 8.2, 8.056521739130435)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.483333333333334)","(4.2, 5.2, 5.121428571428571)"
11-01-2023 17:47:46.119989,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.2, 8.056521739130435)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.515151515151516)","(4.2, 5.2, 5.121428571428571)"
11-01-2023 17:47:47.112629,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.2, 8.056521739130435)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.515151515151516)","(4.2, 5.2, 5.121428571428571)"
11-01-2023 17:47:48.225211,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.292307692307691)","(6.5, 8.2, 8.056521739130435)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.515151515151516)","(4.2, 5.2, 5.121428571428571)"
11-01-2023 17:47:49.277150,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.292307692307691)","(6.5, 8.2, 8.056521739130435)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.515151515151516)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:50.303165,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.292307692307691)","(6.5, 8.2, 8.056521739130435)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.515151515151516)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:51.336080,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.292307692307691)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.515151515151516)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:52.319233,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.292307692307691)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.515151515151516)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:53.316737,"(7.5, 8.8, 8.738888888888889)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.292307692307691)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.515151515151516)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:54.390849,"(7.5, 8.8, 8.729032258064516)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.292307692307691)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.515151515151516)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:55.500757,"(7.5, 8.8, 8.729032258064516)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.4, 9.292307692307691)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.51764705882353)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:56.681710,"(7.5, 8.8, 8.729032258064516)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.052173913043479)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.51764705882353)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:57.740989,"(7.5, 8.8, 8.729032258064516)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.052173913043479)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.51764705882353)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:58.768951,"(7.5, 8.8, 8.741176470588236)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.052173913043479)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.51764705882353)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:47:59.749781,"(7.5, 8.8, 8.741176470588236)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.052173913043479)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.492857142857142)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:48:00.805962,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.052173913043479)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.493617021276596)","(7.5, 9.6, 9.473333333333333)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:48:01.886535,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 8.2, 8.074285714285713)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.473333333333333)","(4.2, 5.2, 5.138888888888888)"
11-01-2023 17:48:02.966831,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 8.2, 7.9053571428571425)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.2, 5.275510204081632)"
11-01-2023 17:48:04.021826,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 8.0, 7.9053571428571425)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.3, 5.275510204081632)"
11-01-2023 17:48:05.061802,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 8.0, 7.9053571428571425)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:06.086088,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 8.0, 7.9053571428571425)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:07.037480,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 8.0, 7.9053571428571425)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.3, 5.28)"
11-01-2023 17:48:08.067372,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 8.0, 7.912396694214876)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.3, 5.28)"
11-01-2023 17:48:09.133353,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 8.0, 7.912396694214876)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.3, 5.28)"
11-01-2023 17:48:10.191016,"(7.5, 8.8, 8.769767441860466)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 8.0, 7.76734693877551)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.3, 5.282222222222222)"
11-01-2023 17:48:11.274574,"(7.5, 8.8, 8.770786516853933)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 7.8, 7.76734693877551)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.3, 5.282222222222222)"
11-01-2023 17:48:12.342806,"(7.5, 8.8, 8.770786516853933)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 7.8, 7.76734693877551)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.494444444444444)","(4.2, 5.3, 5.282222222222222)"
11-01-2023 17:48:13.305796,"(7.5, 8.8, 8.770786516853933)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 7.8, 7.76734693877551)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.502857142857142)","(4.2, 5.3, 5.282222222222222)"
11-01-2023 17:48:14.275602,"(7.5, 8.8, 8.770786516853933)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 7.8, 7.76734693877551)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.502857142857142)","(4.2, 5.3, 5.282222222222222)"
11-01-2023 17:48:15.337391,"(7.5, 8.8, 8.770786516853933)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 7.8, 7.76734693877551)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.502857142857142)","(4.2, 5.3, 5.282222222222222)"
11-01-2023 17:48:16.405741,"(7.5, 8.8, 8.770786516853933)","(4.0, 5.2, 5.094545454545455)","(7.5, 9.2, 9.075609756097561)","(6.5, 7.8, 7.846575342465753)","(5.5, 6.6, 6.515789473684211)","(7.5, 9.6, 9.502857142857142)","(4.2, 5.3, 5.282222222222222)"
11-01-2023 17:48:17.485496,"(7.5, 8.8, 8.750515463917527)","(4.0, 5.3, 5.172727272727273)","(7.5, 9.2, 9.069230769230769)","(6.5, 8.0, 7.846575342465753)","(5.5, 6.6, 6.566666666666666)","(7.5, 9.6, 9.414634146341463)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:18.474447,"(7.5, 8.8, 8.750515463917527)","(4.0, 5.3, 5.1421052631578945)","(7.5, 9.2, 9.069230769230769)","(6.5, 8.0, 7.846575342465753)","(5.5, 6.6, 6.566666666666666)","(7.5, 9.6, 9.414634146341463)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:19.499473,"(7.5, 8.8, 8.750515463917527)","(4.0, 5.3, 5.1421052631578945)","(7.5, 9.2, 9.095918367346938)","(6.5, 8.0, 7.846575342465753)","(5.5, 6.6, 6.566666666666666)","(7.5, 9.6, 9.414634146341463)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:20.565054,"(7.5, 8.8, 8.750515463917527)","(4.0, 5.3, 5.1421052631578945)","(7.5, 9.2, 9.095918367346938)","(6.5, 8.0, 7.846575342465753)","(5.5, 6.6, 6.598540145985401)","(7.5, 9.6, 9.414634146341463)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:21.546496,"(7.5, 9.0, 8.814084507042253)","(4.0, 5.3, 5.1421052631578945)","(7.5, 9.2, 9.095918367346938)","(6.5, 8.0, 7.846575342465753)","(5.5, 6.8, 6.581333333333333)","(7.5, 9.6, 9.329411764705883)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:22.557276,"(7.5, 9.0, 8.814084507042253)","(4.0, 5.3, 5.1421052631578945)","(7.5, 9.2, 9.095918367346938)","(6.5, 8.0, 7.842253521126761)","(5.5, 6.6, 6.598540145985401)","(7.5, 9.4, 9.346666666666666)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:23.522139,"(7.5, 9.0, 8.810071942446044)","(4.0, 5.3, 5.1421052631578945)","(7.5, 9.4, 9.272727272727272)","(6.5, 8.0, 7.842253521126761)","(5.5, 6.8, 6.598540145985401)","(7.5, 9.6, 9.346666666666666)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:24.524544,"(7.5, 9.0, 8.810071942446044)","(4.0, 5.3, 5.1421052631578945)","(7.5, 9.4, 9.329824561403509)","(6.5, 8.0, 7.870866141732283)","(5.5, 6.8, 6.594285714285714)","(7.5, 9.6, 9.346666666666666)","(4.2, 5.3, 5.2727272727272725)"
11-01-2023 17:48:25.613386,"(7.5, 9.0, 8.810071942446044)","(4.0, 5.3, 5.1421052631578945)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.0, 7.870866141732283)","(5.5, 6.8, 6.572151898734177)","(7.5, 9.6, 9.41)","(4.2, 5.3, 5.095967741935484)"
11-01-2023 17:48:26.715065,"(7.5, 9.0, 8.810071942446044)","(4.0, 5.3, 5.1421052631578945)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.0, 7.8549999999999995)","(5.5, 6.6, 6.581333333333333)","(7.5, 9.6, 9.41)","(4.2, 5.1, 5.095910020449898)"
11-01-2023 17:48:27.743645,"(7.5, 9.0, 8.814084507042253)","(4.0, 5.2, 5.1343749999999995)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.0, 7.8549999999999995)","(5.5, 6.6, 6.581333333333333)","(7.5, 9.6, 9.41)","(4.2, 5.1, 5.095910020449898)"
11-01-2023 17:48:28.741919,"(7.5, 9.0, 8.814084507042253)","(4.0, 5.2, 5.136666666666667)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.0, 7.8549999999999995)","(5.5, 6.6, 6.581333333333333)","(7.5, 9.6, 9.41)","(4.2, 5.1, 5.095910020449898)"
11-01-2023 17:48:29.732991,"(7.5, 9.0, 8.814084507042253)","(4.0, 5.2, 5.136666666666667)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.0, 7.8549999999999995)","(5.5, 6.6, 6.581333333333333)","(7.5, 9.6, 9.35)","(4.2, 5.1, 5.095910020449898)"
11-01-2023 17:48:30.753732,"(7.5, 9.0, 8.814084507042253)","(4.0, 5.2, 5.136666666666667)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.0, 7.8549999999999995)","(5.5, 6.6, 6.581333333333333)","(7.5, 9.4, 9.344)","(4.2, 5.1, 5.186547085201794)"
11-01-2023 17:48:31.890963,"(7.5, 9.0, 8.814084507042253)","(4.0, 5.2, 5.136666666666667)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.0, 7.8549999999999995)","(5.5, 6.6, 6.581333333333333)","(7.5, 9.4, 9.344)","(4.2, 5.2, 5.186547085201794)"
11-01-2023 17:48:32.999770,"(7.5, 9.0, 8.814084507042253)","(4.0, 5.2, 5.136666666666667)","(7.5, 9.4, 9.306666666666667)","(6.5, 8.0, 7.8549999999999995)","(5.5, 6.6, 6.332885906040269)","(7.5, 9.4, 9.96)","(4.2, 5.2, 5.183892617449665)"
11-01-2023 17:48:34.051598,"(7.5, 9.0, 8.87032967032967)","(4.0, 5.2, 5.141538461538461)","(7.5, 9.4, 9.326315789473684)","(6.5, 8.0, 7.962962962962963)","(5.5, 6.4, 6.480487804878049)","(7.5, 10.0, 9.618181818181819)","(4.2, 5.2, 5.36)"
11-01-2023 17:48:34.998113,"(7.5, 9.0, 8.844736842105263)","(4.0, 5.1, 5.008333333333333)","(7.5, 9.2, 9.182978723404254)","(6.5, 8.2, 7.971428571428571)","(5.5, 6.6, 6.491489361702127)","(7.5, 10.0, 9.533333333333333)","(4.2, 5.4, 5.257142857142857)"
11-01-2023 17:48:35.966253,"(7.5, 9.0, 8.844736842105263)","(4.0, 5.1, 5.008333333333333)","(7.5, 9.2, 9.09247311827957)","(6.5, 8.2, 7.8)","(5.5, 6.6, 6.491489361702127)","(7.5, 9.8, 9.533333333333333)","(4.2, 5.3, 5.248)"
11-01-2023 17:48:37.107101,"(7.5, 9.0, 8.844736842105263)","(4.0, 5.1, 5.008333333333333)","(7.5, 9.2, 9.085148514851484)","(6.5, 7.8, 7.783333333333333)","(5.5, 6.6, 6.491489361702127)","(7.5, 9.8, 9.533333333333333)","(4.2, 5.3, 5.257142857142857)"
11-01-2023 17:48:38.277075,"(7.5, 9.0, 8.844736842105263)","(4.0, 5.1, 4.994285714285715)","(7.5, 9.2, 9.085148514851484)","(6.5, 8.0, 7.891666666666667)","(5.5, 6.6, 6.491489361702127)","(7.5, 9.8, 9.586666666666668)","(4.4, 5.3, 5.285593220338983)"
11-01-2023 17:48:39.447170,"(7.5, 9.0, 8.844736842105263)","(4.0, 5.0, 4.994285714285715)","(7.5, 9.2, 9.085148514851484)","(6.5, 8.0, 8.0)","(5.5, 6.6, 6.491489361702127)","(7.5, 9.8, 9.586666666666668)","(4.4, 5.3, 5.285593220338983)"
11-01-2023 17:48:40.598216,"(7.5, 9.0, 8.844736842105263)","(4.0, 5.1, 5.057446808510638)","(7.5, 9.2, 9.171999999999999)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.485148514851486)","(7.5, 9.8, 9.586666666666668)","(4.4, 5.3, 5.285593220338983)"
11-01-2023 17:48:41.716041,"(7.5, 9.0, 8.844736842105263)","(4.0, 5.1, 5.053488372093023)","(7.5, 9.2, 9.171999999999999)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.485148514851486)","(7.5, 9.8, 9.586666666666668)","(4.4, 5.3, 5.255263157894737)"
11-01-2023 17:48:42.694705,"(7.5, 9.0, 8.844736842105263)","(4.0, 5.1, 5.05)","(7.5, 9.2, 9.174545454545454)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.485148514851486)","(7.5, 9.8, 9.586666666666668)","(4.4, 5.3, 5.25)"
11-01-2023 17:48:43.771975,"(7.5, 9.0, 8.81846153846154)","(4.0, 5.1, 5.05)","(7.5, 9.2, 9.170212765957446)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.491489361702127)","(7.5, 9.8, 9.523076923076923)","(4.4, 5.3, 5.25)"
11-01-2023 17:48:44.880944,"(7.5, 9.0, 8.81846153846154)","(4.0, 5.1, 5.05)","(7.5, 9.2, 9.177777777777777)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.491489361702127)","(7.5, 9.8, 9.533333333333333)","(4.4, 5.3, 5.25)"
11-01-2023 17:48:45.920815,"(7.5, 9.0, 8.81846153846154)","(4.0, 5.1, 5.05)","(7.5, 9.2, 9.177777777777777)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.491489361702127)","(7.5, 9.8, 9.533333333333333)","(4.4, 5.3, 5.25)"
11-01-2023 17:48:47.106916,"(7.5, 9.0, 8.81846153846154)","(4.0, 5.1, 5.06)","(7.5, 9.2, 9.177777777777777)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.491489361702127)","(7.5, 9.8, 9.68)","(4.4, 5.3, 5.255263157894737)"
11-01-2023 17:48:48.353521,"(7.5, 9.0, 8.81846153846154)","(4.0, 5.1, 5.06)","(7.5, 9.2, 9.186046511627906)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.491489361702127)","(7.5, 9.8, 9.68)","(4.4, 5.3, 5.239285714285714)"
11-01-2023 17:48:49.361912,"(7.5, 9.0, 8.81846153846154)","(4.0, 5.1, 5.06)","(7.5, 9.2, 9.186046511627906)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.485148514851486)","(7.5, 9.8, 9.68)","(4.4, 5.3, 5.285593220338983)"
11-01-2023 17:48:50.451031,"(7.5, 9.0, 8.842666666666668)","(4.0, 5.1, 5.053488372093023)","(7.5, 9.2, 9.186046511627906)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.495555555555556)","(7.5, 9.8, 9.68)","(4.4, 5.3, 5.26875)"
11-01-2023 17:48:51.566922,"(7.5, 9.0, 8.842666666666668)","(4.0, 5.1, 5.042307692307692)","(7.5, 9.2, 9.186046511627906)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.512820512820513)","(7.5, 9.8, 9.668292682926829)","(4.4, 5.3, 5.28326359832636)"
11-01-2023 17:48:52.732823,"(7.5, 9.0, 8.838356164383562)","(4.0, 5.1, 5.0375)","(7.5, 9.2, 9.186046511627906)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.512820512820513)","(7.5, 9.8, 9.668292682926829)","(4.4, 5.3, 5.28326359832636)"
11-01-2023 17:48:53.803729,"(7.5, 9.0, 8.812698412698413)","(4.0, 5.1, 5.0375)","(7.5, 9.2, 9.186046511627906)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.516814159292036)","(7.5, 9.8, 9.68)","(4.4, 5.3, 5.279310344827586)"
11-01-2023 17:48:54.821855,"(7.5, 9.0, 8.812698412698413)","(4.0, 5.1, 5.0375)","(7.5, 9.2, 9.186046511627906)","(6.5, 8.2, 8.0)","(5.5, 6.6, 6.522222222222222)","(7.5, 9.8, 9.68)","(4.4, 5.3, 5.193191489361702)"
11-01-2023 17:48:55.803982,"(7.5, 9.0, 8.836111111111112)","(4.0, 5.0, 4.908061002178649)","(7.5, 9.2, 9.1875)","(6.5, 8.2, 7.914285714285714)","(5.5, 6.6, 6.54)","(7.5, 9.8, 9.611764705882354)","(4.4, 5.2, 5.193846153846154)"
11-01-2023 17:48:56.807372,"(7.5, 9.0, 8.86279069767442)","(4.0, 5.0, 4.911111111111111)","(7.5, 9.2, 9.190624999999999)","(6.5, 8.2, 8.015384615384615)","(5.5, 6.6, 6.54)","(7.5, 9.8, 9.64)","(4.4, 5.2, 5.193846153846154)"
11-01-2023 17:48:57.880984,"(7.5, 9.0, 8.86279069767442)","(4.0, 5.0, 4.909243697478992)","(7.5, 9.2, 9.190624999999999)","(6.5, 8.2, 8.0125)","(5.5, 6.6, 6.533333333333333)","(7.5, 9.8, 9.64)","(4.4, 5.2, 5.193846153846154)"
11-01-2023 17:48:58.889818,"(7.5, 9.0, 8.86279069767442)","(4.0, 5.0, 4.909243697478992)","(7.5, 9.2, 9.190624999999999)","(6.5, 8.2, 8.0125)","(5.5, 6.6, 6.533333333333333)","(7.5, 9.8, 9.681481481481482)","(4.4, 5.2, 5.157894736842105)"
11-01-2023 17:48:59.995526,"(7.5, 9.0, 8.86279069767442)","(4.0, 5.0, 4.909243697478992)","(7.5, 9.2, 9.190624999999999)","(6.5, 8.2, 8.0125)","(5.5, 6.6, 6.533333333333333)","(7.5, 9.8, 9.681481481481482)","(4.4, 5.2, 5.157894736842105)"
11-01-2023 17:49:01.331509,"(7.5, 9.0, 8.826470588235296)","(4.0, 5.0, 4.909243697478992)","(7.5, 9.2, 9.190624999999999)","(6.5, 8.2, 8.0125)","(5.5, 6.6, 6.533333333333333)","(7.5, 9.8, 9.661538461538463)","(4.4, 5.2, 5.158666666666667)"
11-01-2023 17:49:02.558146,"(7.5, 9.0, 8.826470588235296)","(4.0, 5.0, 4.909243697478992)","(7.5, 9.2, 9.190624999999999)","(6.5, 8.2, 8.0125)","(5.5, 6.6, 6.533333333333333)","(7.5, 9.8, 9.661538461538463)","(4.4, 5.2, 5.1523076923076925)"
11-01-2023 17:49:04.056689,"(7.5, 9.0, 8.826470588235296)","(4.0, 5.0, 4.909243697478992)","(7.5, 9.2, 9.196)","(6.5, 8.2, 7.816666666666666)","(5.5, 6.6, 6.308247422680413)","(7.5, 9.8, 9.941666666666666)","(4.4, 5.2, 5.140506329113924)"
11-01-2023 17:49:05.107806,"(7.5, 9.0, 8.826470588235296)","(4.0, 5.0, 4.914624505928854)","(7.5, 9.2, 9.196)","(6.5, 8.0, 7.816666666666666)","(5.5, 6.4, 6.308247422680413)","(7.5, 10.0, 9.941666666666666)","(4.4, 5.2, 5.140506329113924)"
11-01-2023 17:49:06.126520,"(7.5, 9.0, 8.842857142857143)","(4.0, 5.0, 4.8976851851851855)","(7.5, 9.4, 9.275)","(6.5, 8.0, 7.8533333333333335)","(5.5, 6.4, 6.304)","(7.5, 10.5, 10.256521739130434)","(4.4, 5.2, 5.151546391752578)"
11-01-2023 17:49:07.220892,"(7.5, 9.0, 8.842857142857143)","(4.0, 5.0, 4.8976851851851855)","(7.5, 9.4, 9.275)","(6.5, 8.0, 7.846511627906977)","(5.5, 6.4, 6.304)","(7.5, 10.5, 10.352631578947369)","(4.4, 5.2, 5.151041666666667)"
11-01-2023 17:49:08.177898,"(7.5, 9.0, 8.842857142857143)","(4.0, 5.0, 4.925423728813559)","(7.5, 9.4, 9.275)","(6.5, 8.0, 7.846511627906977)","(5.5, 6.4, 6.304)","(7.5, 10.5, 10.325)","(4.4, 5.2, 5.148351648351648)"
