,Chilly Bin,Limerance,Mt View Ivy,Clever Trevor,Mt View Ginger,Aston Delight,Balmoral,Audacious Flame
30,"[datetime.datetime(2022, 11, 28, 17, 2, 12, 761700), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 12, 761700), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 12, 761700), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 12, 761700), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 12, 761700), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 12, 761700), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 12, 761700), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 12, 761700), 10.0, 24.0]"
31,"[datetime.datetime(2022, 11, 28, 17, 2, 13, 901616), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 13, 901616), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 13, 901616), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 13, 901616), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 13, 901616), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 13, 901616), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 13, 901616), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 13, 901616), 10.0, 24.0]"
32,"[datetime.datetime(2022, 11, 28, 17, 2, 15, 33045), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 15, 33045), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 15, 33045), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 15, 33045), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 15, 33045), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 15, 33045), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 15, 33045), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 15, 33045), 10.0, 24.0]"
33,"[datetime.datetime(2022, 11, 28, 17, 2, 16, 194235), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 16, 194235), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 16, 194235), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 16, 194235), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 16, 194235), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 16, 194235), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 16, 194235), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 16, 194235), 10.0, 24.0]"
34,"[datetime.datetime(2022, 11, 28, 17, 2, 17, 328771), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 17, 328771), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 17, 328771), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 17, 328771), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 17, 328771), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 17, 328771), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 17, 328771), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 17, 328771), 10.0, 24.0]"
35,"[datetime.datetime(2022, 11, 28, 17, 2, 18, 477200), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 18, 478195), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 18, 478195), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 18, 478195), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 18, 478195), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 18, 478195), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 18, 478195), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 18, 478195), 10.0, 24.0]"
36,"[datetime.datetime(2022, 11, 28, 17, 2, 19, 635584), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 19, 635584), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 19, 635584), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 19, 635584), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 19, 635584), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 19, 635584), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 19, 635584), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 19, 635584), 10.0, 24.0]"
37,"[datetime.datetime(2022, 11, 28, 17, 2, 20, 827667), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 20, 827667), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 20, 827667), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 20, 827667), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 20, 827667), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 20, 827667), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 20, 827667), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 20, 827667), 10.0, 24.0]"
38,"[datetime.datetime(2022, 11, 28, 17, 2, 21, 989322), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 21, 989322), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 21, 989322), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 21, 989322), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 21, 989322), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 21, 989322), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 21, 989322), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 21, 989322), 10.0, 24.0]"
39,"[datetime.datetime(2022, 11, 28, 17, 2, 23, 143123), 2.8, 5.7]","[datetime.datetime(2022, 11, 28, 17, 2, 23, 143123), 19.0, 60.0]","[datetime.datetime(2022, 11, 28, 17, 2, 23, 143123), 61.0, 570.0]","[datetime.datetime(2022, 11, 28, 17, 2, 23, 143123), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 17, 2, 23, 143123), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 2, 23, 143123), 2.1, 3.55]","[datetime.datetime(2022, 11, 28, 17, 2, 23, 143123), 3.8, 8.6]","[datetime.datetime(2022, 11, 28, 17, 2, 23, 143123), 10.0, 24.0]"
