,Go Albino,Hes Iconic,Chi Lin,Im No Princess,Uncle Albert
11-01-2023 11:59:07.122705,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 28.95)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:08.027952,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:08.827262,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:09.611608,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:10.492331,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:11.331326,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:12.160307,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:13.197626,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:14.030394,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:14.879981,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:15.725825,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:16.606939,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:17.453445,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:18.306903,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:19.389200,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:20.317812,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:21.224738,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:22.098587,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:22.944578,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:23.798146,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:24.646051,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:25.455598,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:26.280445,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:27.100121,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:28.017045,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:28.928943,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:29.779308,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:30.608537,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:31.493320,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:32.359936,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:33.267457,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:34.103169,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:34.949272,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:35.824386,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:36.679978,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.333333333333334)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:37.545535,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:38.420050,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:39.223622,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:40.055583,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:40.952596,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:41.817047,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:42.631197,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:43.427779,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:44.343777,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:45.221627,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:46.038473,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:46.849870,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:47.739676,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:48.622532,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:49.482267,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:50.331811,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:51.155487,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:52.070738,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:53.036388,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:53.902390,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:54.710544,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:55.529587,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:56.479840,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:57.337302,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:58.172112,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:58.991084,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 11:59:59.873223,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:00.716975,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:01.553874,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:02.387888,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:03.259047,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:04.141743,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:05.035291,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:05.925868,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 12.666666666666668)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:06.732462,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.1)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:07.563507,"(1.3, 1.38, 1.3642105263157893)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.1)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:08.423275,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.1)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:09.358875,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.1)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:10.208748,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.1)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:11.006810,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.1)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:11.850240,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.1)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:12.789656,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.1)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:13.646731,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.200000000000003)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:14.479489,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.200000000000003)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:15.326078,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.200000000000003)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:16.224424,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 22.200000000000003)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:17.144154,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:18.097347,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:19.003828,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:19.795350,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:20.645483,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:21.557843,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:22.409165,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:23.243404,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:24.092885,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:24.910181,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:25.747294,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:26.631599,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:27.455397,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:28.306327,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:29.154445,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:30.089424,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:30.961820,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:31.762992,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:32.689152,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:33.572985,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:34.469392,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:35.345349,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:36.165278,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:36.979181,"(1.3, 1.38, 1.3663636363636362)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:37.830683,"(1.3, 1.38, 1.3453846153846154)","(14.0, 34.0, 23.25)","(7.5, 36.0, 26.142857142857146)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:38.671009,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:39.559317,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:40.398622,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:41.244843,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:42.209175,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:43.079556,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:43.922100,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:44.747219,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:45.633125,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:46.557921,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:47.462668,"(1.3, 1.38, 1.3626315789473684)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:48.296037,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:49.103178,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:49.975751,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
11-01-2023 12:00:50.910503,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 23.25)","(7.5, 36.0, 13.166666666666666)","(5.0, 20.0, 13.454545454545453)","(10.0, 34.0, 30.246153846153845)"
