,Emperorofthedark,Odie,Savage Nation,Rescue Five,Awesome Miner,Artie My Boy
08-12-2022 12:32:47.753172,"(6.0, 6.6, 6.276190476190476)","(3.3, 4.0, 3.933076923076923)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.671428571428573)","(2.45, 2.74, 2.716393442622951)","(19.0, 40.0, 39.42857142857143)"
08-12-2022 12:32:48.648072,"(6.0, 6.6, 6.4363636363636365)","(3.3, 4.0, 3.933076923076923)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.671428571428573)","(2.45, 2.74, 2.716393442622951)","(19.0, 40.0, 39.42857142857143)"
08-12-2022 12:32:49.581101,"(6.0, 6.4, 6.266666666666667)","(3.3, 4.0, 3.933076923076923)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.671428571428573)","(2.45, 2.74, 2.7241176470588235)","(19.0, 40.0, 39.42857142857143)"
08-12-2022 12:32:50.474626,"(6.0, 6.4, 6.266666666666667)","(3.3, 4.0, 3.933076923076923)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.671428571428573)","(2.45, 2.74, 2.7241176470588235)","(19.0, 40.0, 39.42857142857143)"
08-12-2022 12:32:51.354768,"(6.0, 6.4, 6.266666666666667)","(3.3, 4.0, 3.933076923076923)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.671428571428573)","(2.45, 2.74, 2.7241176470588235)","(19.0, 40.0, 39.42857142857143)"
08-12-2022 12:32:52.222299,"(6.0, 6.6, 6.28)","(3.3, 4.0, 3.960204081632653)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.718181818181819)","(2.45, 2.74, 2.7027586206896554)","(19.0, 40.0, 35.0)"
08-12-2022 12:32:53.155926,"(6.0, 6.6, 6.28)","(3.3, 4.0, 3.960204081632653)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.661538461538463)","(2.45, 2.74, 2.7027586206896554)","(19.0, 40.0, 33.333333333333336)"
08-12-2022 12:32:54.067668,"(6.0, 6.8, 6.4879999999999995)","(3.3, 4.0, 3.9785714285714286)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.661538461538463)","(2.45, 2.74, 2.7014285714285715)","(19.0, 40.0, 33.333333333333336)"
08-12-2022 12:32:55.031354,"(6.0, 6.8, 6.753846153846154)","(3.3, 4.0, 3.9785714285714286)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.620000000000001)","(2.45, 2.74, 2.706376811594203)","(19.0, 40.0, 32.0)"
08-12-2022 12:32:55.915340,"(6.0, 7.0, 6.5200000000000005)","(3.3, 4.1, 3.94375)","(9.0, 10.5, 10.142857142857142)","(7.0, 9.8, 9.620000000000001)","(2.45, 2.74, 2.7192592592592595)","(19.0, 40.0, 38.77777777777778)"
08-12-2022 12:32:56.848269,"(6.0, 7.0, 6.5200000000000005)","(3.3, 4.1, 3.94375)","(9.0, 10.5, 10.083333333333334)","(7.0, 9.8, 9.620000000000001)","(2.45, 2.74, 2.7192592592592595)","(19.0, 40.0, 38.0)"
08-12-2022 12:32:57.787714,"(6.0, 7.0, 6.709090909090909)","(3.3, 4.1, 4.0)","(9.0, 10.5, 10.058823529411764)","(7.0, 9.8, 9.4625)","(2.45, 2.74, 2.7192592592592595)","(19.0, 38.0, 35.0)"
08-12-2022 12:32:58.704456,"(6.0, 7.0, 6.6000000000000005)","(3.3, 4.1, 4.01304347826087)","(9.0, 10.5, 10.058823529411764)","(7.0, 9.8, 9.4625)","(2.45, 2.74, 2.7192592592592595)","(19.0, 38.0, 35.0)"
08-12-2022 12:32:59.632345,"(6.0, 7.0, 6.828571428571428)","(3.3, 4.1, 4.044444444444444)","(9.0, 10.5, 10.058823529411764)","(7.0, 9.8, 9.384615384615385)","(2.45, 2.76, 2.6822857142857144)","(19.0, 38.0, 35.0)"
08-12-2022 12:33:00.603787,"(6.0, 7.0, 6.828571428571428)","(3.3, 4.1, 4.029824561403508)","(9.0, 10.5, 10.058823529411764)","(7.0, 9.8, 9.384615384615385)","(2.45, 2.76, 2.6911392405063292)","(19.0, 38.0, 35.0)"
08-12-2022 12:33:01.565220,"(6.0, 7.2, 6.844444444444445)","(3.3, 4.1, 4.029824561403508)","(9.0, 10.5, 10.058823529411764)","(7.0, 9.8, 9.542857142857143)","(2.45, 2.76, 2.716208530805687)","(19.0, 38.0, 35.0)"
08-12-2022 12:33:02.532222,"(6.0, 7.2, 6.844444444444445)","(3.3, 4.1, 4.029824561403508)","(9.0, 10.5, 10.058823529411764)","(7.0, 9.8, 9.542857142857143)","(2.45, 2.76, 2.716208530805687)","(18.0, 38.0, 35.0)"
08-12-2022 12:33:03.408395,"(6.0, 7.2, 6.933333333333334)","(3.3, 4.1, 4.018367346938775)","(9.0, 10.5, 10.03125)","(7.0, 9.8, 9.384615384615385)","(2.45, 2.76, 2.7298324022346367)","(18.0, 38.0, 35.0)"
08-12-2022 12:33:04.370920,"(6.0, 7.2, 6.933333333333334)","(3.3, 4.1, 4.018367346938775)","(9.0, 10.5, 9.705882352941176)","(7.0, 9.8, 9.605405405405406)","(2.45, 2.76, 2.7298324022346367)","(18.0, 38.0, 33.6)"
08-12-2022 12:33:05.312317,"(6.0, 7.2, 6.933333333333334)","(3.3, 4.1, 4.018367346938775)","(9.0, 10.5, 9.705882352941176)","(7.0, 9.8, 9.567741935483872)","(2.45, 2.76, 2.6986363636363637)","(18.0, 38.0, 33.6)"
08-12-2022 12:33:06.171800,"(6.0, 7.2, 7.0285714285714285)","(3.3, 4.1, 3.9518518518518517)","(9.0, 10.5, 9.705882352941176)","(7.0, 9.8, 9.567741935483872)","(2.45, 2.76, 2.7181818181818183)","(18.0, 38.0, 35.42857142857143)"
08-12-2022 12:33:07.138394,"(6.0, 7.0, 6.85)","(3.3, 4.1, 3.9918918918918918)","(9.0, 10.5, 9.705882352941176)","(7.0, 9.8, 9.421052631578949)","(2.45, 2.76, 2.697837837837838)","(18.0, 36.0, 31.5)"
08-12-2022 12:33:08.026403,"(6.0, 7.0, 6.85)","(3.3, 4.1, 3.9918918918918918)","(9.0, 10.5, 9.705882352941176)","(7.0, 9.8, 9.523076923076923)","(2.45, 2.74, 2.7258823529411766)","(18.0, 36.0, 31.5)"
08-12-2022 12:33:08.919416,"(6.0, 7.0, 6.85)","(3.3, 4.1, 3.9918918918918918)","(9.0, 10.5, 9.705882352941176)","(7.0, 9.8, 9.246153846153847)","(2.45, 2.74, 2.7222222222222223)","(18.0, 36.0, 31.5)"
08-12-2022 12:33:09.851422,"(6.0, 8.0, 7.04)","(3.3, 4.4, 4.090322580645162)","(9.0, 10.5, 9.968181818181819)","(7.0, 11.0, 10.294117647058824)","(2.45, 2.58, 2.518823529411765)","(18.0, 38.0, 35.25)"
08-12-2022 12:33:10.729973,"(6.0, 8.0, 6.9230769230769225)","(3.3, 4.3, 4.090909090909091)","(9.0, 10.5, 10.120833333333334)","(7.0, 11.0, 10.361290322580645)","(2.45, 2.52, 2.508)","(18.0, 38.0, 34.666666666666664)"
08-12-2022 12:33:11.654515,"(6.0, 8.0, 7.04)","(3.3, 4.3, 4.090909090909091)","(9.0, 10.5, 9.824)","(7.0, 11.0, 9.826666666666666)","(2.45, 2.52, 2.502)","(18.0, 38.0, 33.0)"
08-12-2022 12:33:12.579630,"(6.0, 8.0, 7.3125)","(3.3, 4.3, 4.090909090909091)","(9.0, 10.5, 9.73181818181818)","(7.0, 11.0, 9.826666666666666)","(2.45, 2.5, 2.488)","(18.0, 38.0, 33.0)"
08-12-2022 12:33:13.462786,"(6.0, 8.0, 7.175)","(3.3, 4.3, 4.044444444444444)","(9.0, 10.5, 9.874074074074073)","(7.0, 10.5, 9.994444444444444)","(2.45, 2.52, 2.51)","(18.0, 38.0, 33.0)"
08-12-2022 12:33:14.389253,"(6.0, 8.0, 7.175)","(3.3, 4.3, 4.044444444444444)","(9.0, 10.5, 9.874074074074073)","(7.0, 10.5, 9.994444444444444)","(2.45, 2.52, 2.51)","(18.0, 38.0, 33.0)"
08-12-2022 12:33:15.320782,"(6.0, 8.0, 7.3052631578947365)","(3.3, 4.3, 4.044444444444444)","(9.0, 10.5, 9.610526315789473)","(7.0, 10.5, 9.964705882352941)","(2.45, 2.52, 2.515909090909091)","(18.0, 38.0, 32.5)"
08-12-2022 12:33:16.167475,"(6.0, 8.0, 7.3125)","(3.3, 4.3, 4.095555555555555)","(9.0, 10.5, 9.292857142857143)","(7.0, 10.5, 9.672727272727272)","(2.45, 2.52, 2.515909090909091)","(18.0, 38.0, 30.666666666666668)"
08-12-2022 12:33:17.108164,"(6.0, 8.0, 7.3125)","(3.3, 4.3, 4.183333333333334)","(9.0, 10.5, 9.579166666666667)","(7.0, 10.5, 9.672727272727272)","(2.45, 2.52, 2.515909090909091)","(18.0, 38.0, 30.666666666666668)"
08-12-2022 12:33:17.989327,"(6.0, 8.0, 7.428571428571429)","(3.3, 4.3, 4.195)","(9.0, 10.5, 9.572727272727272)","(7.0, 10.5, 9.459999999999999)","(2.45, 2.52, 2.5168421052631578)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:18.904152,"(6.0, 8.0, 7.428571428571429)","(3.4, 4.3, 4.195)","(9.0, 10.5, 9.444827586206896)","(7.0, 10.5, 9.459999999999999)","(2.45, 2.52, 2.5168421052631578)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:19.782706,"(6.0, 8.0, 7.428571428571429)","(3.4, 4.3, 4.2475)","(9.0, 10.5, 9.15)","(7.0, 10.5, 9.98)","(2.45, 2.56, 2.5408695652173914)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:20.660072,"(6.0, 8.0, 7.428571428571429)","(3.4, 4.3, 4.2475)","(9.0, 10.5, 9.15)","(7.0, 10.5, 9.552631578947368)","(2.45, 2.54, 2.5283333333333333)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:21.550051,"(6.0, 8.0, 7.428571428571429)","(3.4, 4.3, 4.2475)","(9.0, 10.5, 9.15)","(7.0, 10.5, 9.552631578947368)","(2.45, 2.54, 2.5283333333333333)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:22.522205,"(6.0, 8.0, 7.428571428571429)","(3.4, 4.3, 4.2475)","(9.0, 10.5, 9.15)","(7.0, 10.5, 9.115384615384615)","(2.45, 2.56, 2.537358490566038)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:23.384260,"(6.0, 8.0, 7.428571428571429)","(3.4, 4.3, 4.2475)","(9.0, 10.5, 9.15)","(7.0, 10.5, 9.115384615384615)","(2.45, 2.56, 2.537358490566038)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:24.269951,"(6.0, 8.0, 7.428571428571429)","(3.4, 4.3, 4.2475)","(9.0, 10.5, 9.461538461538462)","(7.0, 10.5, 9.881818181818183)","(2.45, 2.56, 2.530689655172414)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:25.275021,"(6.0, 8.2, 7.635294117647059)","(3.4, 4.4, 4.241176470588235)","(9.0, 10.5, 9.26842105263158)","(7.0, 10.0, 9.533333333333333)","(2.45, 2.6, 2.476)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:26.279721,"(6.0, 8.2, 7.651612903225806)","(3.4, 4.4, 4.318181818181818)","(9.0, 10.0, 8.879999999999999)","(7.0, 9.8, 9.4)","(2.45, 2.58, 2.535555555555556)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:27.659233,"(6.0, 8.2, 7.651612903225806)","(3.4, 4.4, 4.28)","(9.0, 10.0, 9.8)","(7.0, 9.8, 9.371428571428572)","(2.45, 2.52, 2.5242857142857145)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:28.591078,"(6.0, 8.0, 7.828571428571428)","(3.4, 4.4, 4.318181818181818)","(9.0, 9.8, 9.625)","(7.0, 9.6, 9.371428571428572)","(2.45, 2.58, 2.5242857142857145)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:29.664458,"(6.0, 8.0, 7.828571428571428)","(3.4, 4.4, 4.382352941176471)","(9.0, 9.8, 9.625)","(7.0, 9.6, 9.633333333333335)","(2.45, 2.62, 2.5505)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:30.730769,"(6.0, 8.0, 7.9)","(3.4, 4.4, 4.379069767441861)","(9.0, 9.8, 9.55294117647059)","(7.0, 9.8, 9.633333333333335)","(2.45, 2.6, 2.5505)","(18.0, 38.0, 31.714285714285715)"
08-12-2022 12:33:31.880795,"(6.0, 8.0, 7.9)","(3.4, 4.4, 4.264383561643836)","(9.0, 9.8, 9.08)","(7.0, 10.5, 9.873684210526315)","(2.45, 2.6, 2.578181818181818)","(18.0, 38.0, 32.5)"
08-12-2022 12:33:32.747957,"(6.0, 8.4, 7.930434782608696)","(3.4, 4.5, 4.256862745098039)","(9.0, 10.5, 9.45)","(7.0, 10.5, 10.05925925925926)","(2.45, 2.6, 2.5903703703703704)","(18.0, 38.0, 32.5)"
08-12-2022 12:33:33.902184,"(6.0, 8.4, 7.930434782608696)","(3.4, 4.5, 4.256862745098039)","(9.0, 10.5, 9.975)","(7.0, 10.5, 10.16)","(2.4, 2.6, 2.568695652173913)","(18.0, 38.0, 34.333333333333336)"
08-12-2022 12:33:35.010539,"(6.0, 8.4, 7.930434782608696)","(3.4, 4.5, 4.141791044776119)","(9.0, 10.5, 9.207692307692309)","(7.0, 10.5, 10.022222222222222)","(2.4, 2.6, 2.585)","(18.0, 38.0, 34.333333333333336)"
08-12-2022 12:33:36.078506,"(6.0, 8.4, 8.32)","(3.4, 4.5, 4.236486486486487)","(9.0, 10.5, 9.207692307692309)","(7.0, 11.0, 10.022222222222222)","(2.4, 2.6, 2.5672727272727274)","(18.0, 38.0, 34.333333333333336)"
08-12-2022 12:33:37.302016,"(6.0, 8.4, 8.34)","(3.4, 4.4, 4.2)","(9.0, 10.0, 12.066666666666666)","(7.0, 10.5, 11.92)","(2.4, 2.6, 2.450379746835443)","(18.0, 38.0, 28.0)"
08-12-2022 12:33:38.332918,"(6.0, 12.0, 10.25)","(3.4, 6.2, 5.751304347826087)","(9.0, 15.0, 12.066666666666666)","(7.0, 14.5, 11.92)","(2.4, 2.9, 2.450379746835443)","(18.0, 40.0, 28.0)"
08-12-2022 12:33:39.418383,"(6.0, 12.0, 10.25)","(3.4, 6.2, 5.751304347826087)","(9.0, 12.0, 11.17142857142857)","(7.0, 14.5, 12.154545454545454)","(2.4, 2.9, 2.5)","(18.0, 40.0, 28.0)"
08-12-2022 12:33:40.431864,"(6.0, 12.0, 10.25)","(3.4, 6.2, 5.751304347826087)","(9.0, 12.0, 11.17142857142857)","(7.0, 14.5, 12.154545454545454)","(2.4, 2.9, 2.5)","(18.0, 40.0, 28.0)"
08-12-2022 12:33:41.442477,"(6.0, 12.0, 10.25)","(3.4, 6.2, 5.3)","(9.0, 12.0, 11.17142857142857)","(7.0, 14.5, 12.154545454545454)","(2.4, 2.9, 2.450379746835443)","(18.0, 40.0, 28.0)"
08-12-2022 12:33:42.557538,"(6.0, 12.0, 6.75)","(3.4, 6.2, 5.3)","(9.0, 15.0, 12.066666666666666)","(7.0, 14.5, 12.154545454545454)","(2.4, 2.9, 2.450379746835443)","(18.0, 40.0, 28.0)"
