,Destini Phantom,Leichhardt Roar,Drama Kids,My Joy,Fernando Belle,Prince Jewels,Role Model,Connors Comet
10-01-2023 17:39:43.617285,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:44.748099,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:45.866264,"(5.0, 9.6, 6.08)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:46.970294,"(5.0, 9.6, 6.08)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:48.023196,"(5.0, 9.6, 6.08)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:49.077648,"(5.0, 9.6, 6.08)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:50.173426,"(5.0, 9.6, 6.08)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 172.22222222222223)"
10-01-2023 17:39:51.275896,"(5.0, 9.6, 7.449999999999999)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 8.323076923076922)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 172.22222222222223)"
10-01-2023 17:39:52.364610,"(5.0, 9.6, 7.449999999999999)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 8.323076923076922)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 172.22222222222223)"
10-01-2023 17:39:53.447825,"(5.0, 9.6, 7.449999999999999)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 8.323076923076922)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 172.22222222222223)"
10-01-2023 17:39:54.528217,"(5.0, 9.6, 7.449999999999999)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 8.323076923076922)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 172.22222222222223)"
10-01-2023 17:39:55.692983,"(5.0, 9.6, 7.449999999999999)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 8.323076923076922)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 172.22222222222223)"
10-01-2023 17:39:56.830067,"(5.0, 9.6, 7.449999999999999)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 8.323076923076922)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 172.22222222222223)"
