,Dont Change,Rich Glow,Favashem,Fields Of France,Padstow Polly,Recurrence,Desert Fun,Fortunate Gal,Soos Lavan,Vienna Vixen
06-01-2023 12:18:25.277483,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.5046153846153847)","(61.0, 130.0, 103.75)","(21.0, 29.0, 28.0)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:26.896082,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.5046153846153847)","(61.0, 130.0, 103.75)","(21.0, 29.0, 27.5)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:28.728084,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.5046153846153847)","(61.0, 130.0, 103.75)","(21.0, 28.0, 27.8)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:30.495336,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.468125)","(61.0, 130.0, 103.75)","(21.0, 29.0, 27.8)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:32.295499,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.4657142857142857)","(61.0, 130.0, 103.75)","(21.0, 29.0, 27.8)","(81.0, 440.0, 330.0)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:33.918976,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.4657142857142857)","(61.0, 130.0, 121.42857142857143)","(21.0, 29.0, 27.8)","(81.0, 440.0, 330.0)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:35.484687,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.4657142857142857)","(61.0, 130.0, 113.57142857142857)","(21.0, 29.0, 27.8)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:36.994320,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.4657142857142857)","(61.0, 120.0, 113.57142857142857)","(21.0, 29.0, 27.8)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:38.649129,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.4657142857142857)","(61.0, 120.0, 113.57142857142857)","(21.0, 29.0, 27.8)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:40.426818,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.4657142857142857)","(61.0, 120.0, 113.57142857142857)","(21.0, 29.0, 28.333333333333332)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.8999999999999995)"
06-01-2023 12:18:42.062435,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.4657142857142857)","(61.0, 120.0, 113.57142857142857)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.4, 7.733333333333333)"
06-01-2023 12:18:44.821937,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.4657142857142857)","(61.0, 120.0, 113.57142857142857)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.4, 7.733333333333333)"
06-01-2023 12:18:47.218371,"(3.0, 3.55, 3.635294117647059)","(2.3, 2.54, 2.5)","(61.0, 120.0, 117.5)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.4, 7.733333333333333)"
06-01-2023 12:18:49.856748,"(3.0, 3.65, 3.4976190476190476)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 117.5)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.4, 7.733333333333333)"
06-01-2023 12:18:52.183593,"(3.0, 3.65, 3.3833333333333333)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 117.5)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 7.733333333333333)"
06-01-2023 12:18:53.758381,"(3.0, 3.65, 3.3815789473684212)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 117.5)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.09090909090909)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 7.733333333333333)"
06-01-2023 12:18:55.272053,"(3.0, 3.65, 3.3815789473684212)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 117.5)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.09090909090909)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 8.015384615384615)"
06-01-2023 12:18:56.791748,"(3.0, 3.65, 3.395)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 117.5)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.09090909090909)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 8.015384615384615)"
06-01-2023 12:18:58.319295,"(3.0, 3.65, 3.598780487804878)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 117.5)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.09090909090909)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 8.015384615384615)"
06-01-2023 12:18:59.820662,"(3.0, 3.65, 3.598780487804878)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 117.5)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.09090909090909)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 8.015384615384615)"
06-01-2023 12:19:01.421435,"(3.0, 3.65, 3.598780487804878)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 117.5)","(21.0, 29.0, 28.6)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 140.0)","(13.0, 20.0, 19.09090909090909)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 8.015384615384615)"
06-01-2023 12:19:03.008098,"(3.0, 3.65, 3.598780487804878)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 107.5)","(21.0, 29.0, 32.0)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.09090909090909)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 8.015384615384615)"
06-01-2023 12:19:04.561921,"(3.0, 3.65, 3.594736842105263)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 111.66666666666667)","(21.0, 34.0, 30.0)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.09090909090909)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 8.015384615384615)"
06-01-2023 12:19:06.080420,"(3.0, 3.65, 3.5975)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 111.66666666666667)","(21.0, 32.0, 28.88888888888889)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 18.794117647058822)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.4, 7.577777777777778)"
06-01-2023 12:19:07.549030,"(3.0, 3.65, 3.5975)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 111.66666666666667)","(21.0, 32.0, 28.88888888888889)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 156.66666666666669)","(13.0, 19.5, 18.794117647058822)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.0, 7.577777777777778)"
06-01-2023 12:19:09.076950,"(3.0, 3.65, 3.6053191489361702)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 111.66666666666667)","(21.0, 32.0, 28.88888888888889)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 156.66666666666669)","(13.0, 19.5, 18.794117647058822)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.0, 7.577777777777778)"
06-01-2023 12:19:10.607934,"(3.0, 3.65, 3.6053191489361702)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 111.66666666666667)","(21.0, 32.0, 28.88888888888889)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 156.66666666666669)","(13.0, 19.5, 18.794117647058822)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.0, 7.577777777777778)"
06-01-2023 12:19:12.192722,"(3.0, 3.65, 3.6053191489361702)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 111.66666666666667)","(21.0, 32.0, 28.88888888888889)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 156.66666666666669)","(13.0, 19.5, 18.794117647058822)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.125)","(4.8, 8.0, 7.577777777777778)"
06-01-2023 12:19:13.717438,"(3.0, 3.65, 3.6053191489361702)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 111.66666666666667)","(21.0, 32.0, 28.88888888888889)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 156.66666666666669)","(13.0, 19.5, 18.794117647058822)","(31.0, 110.0, 100.0)","(9.0, 19.5, 19.5)","(4.8, 8.0, 7.577777777777778)"
06-01-2023 12:19:15.414443,"(3.0, 3.65, 3.6053191489361702)","(2.3, 2.52, 2.5023529411764707)","(61.0, 120.0, 111.66666666666667)","(21.0, 32.0, 28.88888888888889)","(81.0, 440.0, 363.33333333333337)","(41.0, 190.0, 156.66666666666669)","(13.0, 19.5, 18.794117647058822)","(31.0, 110.0, 100.0)","(9.0, 21.0, 19.5)","(4.8, 8.0, 7.577777777777778)"
