,Giant Payday,Cleopatras Strike,Bigfoot City,Zumurudee,Bobs All In,Cashanova,My Boy Lollipop,Vintage Kitten,River Rose,Macedonian Ruler,Were Just Sayin
10-01-2023 08:51:05.703182,"(13.0, 26.0, 24.375)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 29.5)","(9.0, 25.0, 15.714285714285715)","(7.5, 8.8, 8.714285714285715)","(51.0, 210.0, 186.125)","(31.0, 200.0, 86.66666666666666)","(10.0, 23.0, 21.875)","(14.0, 29.0, 20.666666666666668)","(26.0, 210.0, 186.0625)"
10-01-2023 08:51:06.869873,"(13.0, 26.0, 21.0)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 29.714285714285715)","(9.0, 25.0, 18.333333333333332)","(7.5, 8.8, 8.714285714285715)","(51.0, 210.0, 171.9)","(31.0, 200.0, 120.0)","(10.0, 23.0, 21.875)","(14.0, 29.0, 20.666666666666668)","(26.0, 210.0, 186.0625)"
10-01-2023 08:51:08.087489,"(13.0, 25.0, 24.0)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 28.450000000000003)","(9.0, 25.0, 20.892857142857142)","(7.5, 8.8, 8.714285714285715)","(51.0, 210.0, 182.85714285714286)","(31.0, 210.0, 105.0)","(10.0, 23.0, 21.875)","(14.0, 29.0, 24.0)","(26.0, 210.0, 171.7)"
10-01-2023 08:51:09.348621,"(13.0, 24.0, 22.571428571428573)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 28.450000000000003)","(9.0, 25.0, 15.714285714285715)","(7.5, 8.8, 8.714285714285715)","(51.0, 210.0, 182.85714285714286)","(31.0, 180.0, 80.0)","(10.0, 23.0, 21.875)","(14.0, 29.0, 24.0)","(26.0, 210.0, 182.71428571428572)"
10-01-2023 08:51:10.582707,"(13.0, 24.0, 22.571428571428573)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 25.0)","(9.0, 25.0, 20.833333333333336)","(7.5, 8.8, 8.56)","(51.0, 210.0, 162.75)","(31.0, 180.0, 80.0)","(10.0, 23.0, 21.875)","(14.0, 29.0, 18.583333333333332)","(26.0, 210.0, 182.71428571428572)"
10-01-2023 08:51:11.792678,"(13.0, 24.0, 21.5)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 28.75)","(9.0, 25.0, 20.833333333333336)","(7.5, 8.8, 8.56)","(51.0, 210.0, 178.66666666666666)","(31.0, 180.0, 80.0)","(10.0, 23.0, 21.875)","(14.0, 29.0, 18.583333333333332)","(26.0, 210.0, 186.0)"
10-01-2023 08:51:12.998176,"(13.0, 24.0, 22.571428571428573)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 28.75)","(9.0, 25.0, 15.714285714285715)","(7.5, 8.8, 8.56)","(51.0, 210.0, 178.66666666666666)","(31.0, 180.0, 76.66666666666666)","(10.0, 23.0, 21.875)","(14.0, 29.0, 24.0)","(26.0, 210.0, 127.80000000000001)"
10-01-2023 08:51:14.177955,"(13.0, 24.0, 22.571428571428573)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 28.75)","(9.0, 25.0, 20.166666666666668)","(7.5, 8.8, 8.56)","(51.0, 210.0, 102.90909090909092)","(31.0, 170.0, 53.33333333333333)","(10.0, 23.0, 21.875)","(14.0, 29.0, 18.583333333333332)","(26.0, 200.0, 87.1875)"
10-01-2023 08:51:15.421540,"(13.0, 24.0, 22.571428571428573)","(2.45, 3.0, 2.9286486486486485)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 28.75)","(9.0, 24.0, 15.428571428571429)","(7.5, 8.8, 8.56)","(51.0, 200.0, 110.0)","(31.0, 170.0, 53.33333333333333)","(10.0, 23.0, 21.875)","(14.0, 29.0, 18.583333333333332)","(26.0, 200.0, 118.18181818181819)"
10-01-2023 08:51:16.709286,"(13.0, 24.0, 22.571428571428573)","(2.45, 3.0, 2.9286486486486485)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 28.0)","(9.0, 24.0, 15.428571428571429)","(7.5, 8.8, 8.56)","(51.0, 200.0, 110.0)","(31.0, 170.0, 42.5)","(10.0, 23.0, 21.875)","(14.0, 29.0, 24.0)","(26.0, 200.0, 118.18181818181819)"
10-01-2023 08:51:17.906369,"(13.0, 24.0, 21.5)","(2.45, 3.0, 2.9286486486486485)","(3.3, 4.5, 4.411111111111111)","(18.0, 34.0, 26.4)","(9.0, 22.0, 17.0)","(7.5, 8.8, 8.56)","(51.0, 200.0, 80.66666666666667)","(31.0, 170.0, 42.5)","(10.0, 23.0, 21.875)","(14.0, 29.0, 19.357142857142858)","(26.0, 200.0, 146.1764705882353)"
10-01-2023 08:51:19.108409,"(13.0, 23.0, 20.25)","(2.45, 3.0, 2.9286486486486485)","(3.3, 4.5, 4.34)","(18.0, 34.0, 30.3)","(9.0, 22.0, 14.857142857142858)","(7.5, 8.8, 8.56)","(51.0, 200.0, 111.0)","(31.0, 170.0, 106.45833333333334)","(10.0, 23.0, 21.875)","(14.0, 29.0, 19.357142857142858)","(26.0, 200.0, 143.125)"
10-01-2023 08:51:20.405931,"(13.0, 23.0, 22.0)","(2.45, 3.0, 2.9286486486486485)","(3.3, 4.5, 4.34)","(18.0, 34.0, 30.11111111111111)","(9.0, 22.0, 18.833333333333332)","(7.5, 8.8, 8.56)","(51.0, 200.0, 110.5)","(31.0, 170.0, 108.80000000000001)","(10.0, 23.0, 19.666666666666668)","(14.0, 29.0, 24.0)","(26.0, 200.0, 158.8181818181818)"
