,Western Belle,Texas Red Nz,Red Fourteen,Cut N Run Nz,Moresco,Speed Of Sound,Sailor Girl,My Ultimate Billy Nz,Gracie Taltoa,Weona Branach
06-01-2023 16:03:33.183248,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.474285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 7.0, 6.25)","(7.5, 13.0, 10.416666666666666)"
06-01-2023 16:03:34.397581,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.474285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 7.0, 6.133333333333333)","(7.5, 12.5, 10.416666666666666)"
06-01-2023 16:03:35.735065,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.364285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 6.8, 6.133333333333333)","(7.5, 12.5, 10.625)"
06-01-2023 16:03:36.914178,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.364285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 6.8, 6.133333333333333)","(7.5, 12.5, 10.625)"
06-01-2023 16:03:38.056089,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.364285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 6.8, 6.133333333333333)","(7.5, 12.5, 10.625)"
06-01-2023 16:03:39.908379,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.364285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 6.8, 6.133333333333333)","(7.5, 12.5, 10.625)"
06-01-2023 16:03:41.618398,"(5.0, 7.0, 6.644444444444444)","(4.6, 99999, 99990)","(3.8, 4.6, 4.416666666666666)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(19.0, 25.0, 20.875)","(9.0, 9.8, 9.309090909090909)","(26.0, 99999, 99990)","(4.4, 6.8, 6.133333333333333)","(7.5, 13.5, 11.5)"
06-01-2023 16:03:42.931143,"(5.0, 7.0, 6.644444444444444)","(4.6, 99999, 99990)","(3.8, 4.6, 4.416666666666666)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(19.0, 25.0, 20.875)","(9.0, 9.8, 9.833333333333334)","(26.0, 99999, 99990)","(4.4, 6.8, 6.2)","(7.5, 13.5, 11.153846153846153)"
06-01-2023 16:03:44.139237,"(5.0, 7.0, 6.733333333333333)","(4.8, 99999, 99990)","(3.8, 4.6, 4.416666666666666)","(21.0, 99999, 99990)","(71.0, 95.0, 87.5)","(19.0, 25.0, 20.875)","(9.0, 10.0, 9.833333333333334)","(26.0, 99999, 99990)","(4.6, 6.6, 6.2)","(7.5, 12.5, 10.909090909090908)"
06-01-2023 16:03:45.337051,"(5.0, 7.0, 6.733333333333333)","(4.8, 99999, 99990)","(3.8, 4.6, 4.416666666666666)","(21.0, 99999, 99990)","(71.0, 95.0, 87.5)","(19.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 6.6, 6.2)","(7.5, 12.5, 10.714285714285714)"
06-01-2023 16:03:46.521378,"(5.0, 7.0, 6.733333333333333)","(4.8, 99999, 99990)","(3.8, 4.6, 4.416666666666666)","(21.0, 99999, 99990)","(71.0, 95.0, 87.5)","(19.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 6.6, 5.121052631578947)","(7.5, 12.5, 10.714285714285714)"
06-01-2023 16:03:47.930756,"(5.0, 7.4, 6.828571428571428)","(4.8, 99999, 99990)","(3.8, 4.6, 4.49090909090909)","(21.0, 99999, 99990)","(71.0, 95.0, 90.0)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 12.5, 10.610000000000001)"
06-01-2023 16:03:49.072371,"(5.0, 7.4, 6.909090909090909)","(4.8, 99999, 99990)","(3.8, 4.6, 4.52)","(21.0, 99999, 99990)","(71.0, 100.0, 90.0)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 12.5, 10.0)"
06-01-2023 16:03:50.315474,"(5.0, 7.4, 6.909090909090909)","(4.8, 99999, 99990)","(3.8, 4.6, 4.52)","(21.0, 99999, 99990)","(71.0, 100.0, 85.0)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 13.0, 10.433333333333334)"
06-01-2023 16:03:51.507383,"(5.0, 7.4, 6.909090909090909)","(4.8, 99999, 99990)","(3.8, 4.6, 4.52)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 12.5, 10.7)"
06-01-2023 16:03:52.682598,"(5.0, 7.4, 6.92)","(4.8, 99999, 99990)","(3.8, 4.6, 4.52)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 12.0, 10.7)"
06-01-2023 16:03:54.071120,"(5.0, 7.4, 7.133333333333334)","(4.8, 99999, 99990)","(3.8, 4.6, 4.52)","(21.0, 99999, 99990)","(71.0, 90.0, 83.33333333333333)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 12.5, 10.95)"
06-01-2023 16:03:55.230228,"(5.0, 7.4, 7.133333333333334)","(4.8, 99999, 99990)","(3.8, 4.6, 4.52)","(21.0, 99999, 99990)","(71.0, 90.0, 83.33333333333333)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 12.5, 10.95)"
06-01-2023 16:03:56.442474,"(5.0, 7.4, 7.133333333333334)","(4.8, 99999, 99990)","(3.8, 4.6, 4.52)","(21.0, 99999, 99990)","(71.0, 90.0, 83.33333333333333)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 12.5, 10.95)"
06-01-2023 16:03:57.697227,"(5.0, 7.4, 6.92)","(4.8, 99999, 99990)","(3.8, 4.6, 4.555555555555555)","(21.0, 99999, 99990)","(71.0, 90.0, 83.33333333333333)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 12.5, 9.916666666666668)"
06-01-2023 16:03:58.878341,"(5.0, 7.4, 6.92)","(4.8, 99999, 99990)","(3.8, 4.6, 4.555555555555555)","(21.0, 99999, 99990)","(71.0, 90.0, 83.33333333333333)","(19.0, 25.0, 22.5)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.6, 5.5, 5.210714285714286)","(7.5, 12.5, 9.916666666666668)"
06-01-2023 16:04:00.211737,"(5.0, 7.4, 7.185714285714286)","(4.8, 99999, 99990)","(3.8, 4.2, 4.161538461538462)","(21.0, 99999, 99990)","(71.0, 90.0, 85.0)","(19.0, 25.0, 24.428571428571427)","(9.0, 10.0, 9.866666666666667)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 12.5, 11.96)"
06-01-2023 16:04:01.818134,"(5.0, 7.4, 7.30625)","(4.8, 99999, 99990)","(3.8, 4.2, 4.161538461538462)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 24.428571428571427)","(9.0, 10.0, 9.866666666666667)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 12.5, 11.96)"
06-01-2023 16:04:03.076214,"(5.0, 7.4, 7.30625)","(4.8, 99999, 99990)","(3.8, 4.2, 4.317647058823529)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 24.428571428571427)","(9.0, 10.0, 9.866666666666667)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 12.5, 11.96)"
06-01-2023 16:04:04.707465,"(5.0, 7.4, 7.30625)","(4.8, 99999, 99990)","(3.8, 4.6, 4.45)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 24.428571428571427)","(9.0, 10.0, 9.8)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 12.5, 11.96)"
06-01-2023 16:04:06.164651,"(5.0, 7.4, 7.30625)","(4.8, 99999, 99990)","(3.8, 4.6, 4.5058823529411764)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 24.428571428571427)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 12.5, 11.2)"
06-01-2023 16:04:07.600739,"(5.0, 7.4, 7.25)","(4.8, 99999, 99990)","(3.8, 4.6, 4.28)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 24.636363636363637)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 12.0, 10.825)"
06-01-2023 16:04:09.194445,"(5.0, 7.4, 6.615384615384615)","(4.8, 99999, 99990)","(3.8, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 24.636363636363637)","(9.0, 10.0, 9.925)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.5, 10.5)"
06-01-2023 16:04:10.757540,"(5.0, 6.8, 6.615384615384615)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 24.636363636363637)","(9.0, 10.0, 9.925)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.0, 9.75)"
06-01-2023 16:04:12.177090,"(5.0, 6.8, 6.616666666666666)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 24.636363636363637)","(9.0, 10.0, 9.925)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.0, 9.75)"
06-01-2023 16:04:13.560379,"(5.0, 6.8, 6.616666666666666)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 24.636363636363637)","(9.0, 10.0, 9.925)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.0, 9.75)"
06-01-2023 16:04:14.905226,"(5.0, 6.8, 6.616666666666666)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 25.0, 38.0)","(9.0, 10.0, 9.925)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.0, 9.75)"
06-01-2023 16:04:16.268097,"(5.0, 6.6, 6.546666666666666)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 46.0, 34.4)","(9.0, 10.0, 10.106666666666666)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.0, 9.75)"
06-01-2023 16:04:17.692670,"(5.0, 6.6, 6.546666666666666)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 42.0, 32.0)","(9.0, 11.5, 10.106666666666666)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 11.0, 9.409090909090908)"
06-01-2023 16:04:19.034649,"(5.0, 6.6, 6.546666666666666)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 38.0, 28.0)","(9.0, 11.5, 10.061538461538461)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 10.5, 9.28125)"
06-01-2023 16:04:20.397238,"(5.0, 6.6, 6.5)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 36.0, 25.25)","(9.0, 11.5, 10.5)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 10.5, 9.28125)"
06-01-2023 16:04:22.171807,"(5.0, 6.6, 6.546666666666666)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 34.0, 26.8)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 10.5, 9.28125)"
06-01-2023 16:04:23.545777,"(5.0, 6.6, 6.527272727272727)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 34.0, 26.8)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 10.5, 9.28125)"
06-01-2023 16:04:24.868184,"(5.0, 6.6, 6.527272727272727)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 34.0, 26.75)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 5.5, 5.336363636363636)","(7.5, 10.5, 9.8125)"
06-01-2023 16:04:26.266742,"(5.0, 6.6, 6.555555555555555)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 82.5)","(19.0, 32.0, 28.5)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 6.4, 5.733333333333333)","(7.5, 10.0, 9.8125)"
06-01-2023 16:04:27.629469,"(5.0, 6.6, 6.555555555555555)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 82.5)","(19.0, 32.0, 28.5)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 6.2, 5.6923076923076925)","(7.5, 10.0, 9.8125)"
06-01-2023 16:04:28.980899,"(5.0, 6.6, 6.555555555555555)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 82.5)","(19.0, 32.0, 28.5)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 6.0, 5.5200000000000005)","(7.5, 10.0, 9.8125)"
06-01-2023 16:04:30.372536,"(5.0, 6.6, 6.555555555555555)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 82.5)","(19.0, 32.0, 28.5)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 6.0, 5.6923076923076925)","(7.5, 10.0, 9.8125)"
06-01-2023 16:04:31.754259,"(5.0, 7.8, 7.7)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 82.5)","(19.0, 32.0, 28.5)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 6.0, 5.6923076923076925)","(7.5, 10.0, 9.8125)"
06-01-2023 16:04:33.261704,"(5.0, 7.8, 7.254545454545454)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 82.5)","(19.0, 32.0, 28.5)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 6.0, 5.569230769230769)","(7.5, 10.0, 13.333333333333332)"
06-01-2023 16:04:34.678846,"(5.0, 7.8, 6.942857142857142)","(5.0, 99999, 99990)","(3.7, 4.6, 4.3999999999999995)","(21.0, 99999, 99990)","(71.0, 95.0, 82.5)","(19.0, 32.0, 28.81818181818182)","(9.0, 11.0, 10.5)","(26.0, 99999, 99990)","(4.6, 5.8, 5.4526315789473685)","(7.5, 14.0, 13.642857142857142)"
06-01-2023 16:04:36.029675,"(5.0, 7.8, 6.942857142857142)","(5.0, 99999, 99990)","(3.7, 4.6, 4.1042253521126755)","(21.0, 99999, 99990)","(71.0, 95.0, 82.14285714285714)","(19.0, 32.0, 28.81818181818182)","(9.0, 11.0, 10.642857142857142)","(26.0, 99999, 99990)","(4.6, 5.8, 5.4526315789473685)","(7.5, 14.0, 12.208333333333332)"
06-01-2023 16:04:37.438727,"(5.0, 7.8, 7.3)","(5.0, 99999, 99990)","(3.7, 4.2, 4.106122448979591)","(21.0, 99999, 99990)","(71.0, 110.0, 90.0)","(19.0, 32.0, 28.81818181818182)","(9.0, 11.0, 10.642857142857142)","(26.0, 99999, 99990)","(4.6, 5.8, 5.585714285714285)","(7.5, 14.5, 11.916666666666668)"
06-01-2023 16:04:38.849935,"(5.0, 7.8, 7.3)","(5.0, 99999, 99990)","(3.7, 4.2, 4.104166666666667)","(21.0, 99999, 99990)","(71.0, 100.0, 84.0)","(19.0, 32.0, 28.81818181818182)","(9.0, 11.0, 10.642857142857142)","(26.0, 99999, 99990)","(4.6, 5.8, 5.585714285714285)","(7.5, 14.0, 12.5)"
06-01-2023 16:04:40.352656,"(5.0, 7.8, 7.085714285714285)","(5.0, 99999, 99990)","(3.7, 4.2, 4.15625)","(21.0, 99999, 99990)","(71.0, 100.0, 84.0)","(19.0, 32.0, 29.8125)","(9.0, 11.0, 10.416666666666666)","(26.0, 99999, 99990)","(4.6, 5.8, 5.585714285714285)","(7.5, 13.5, 12.5)"
06-01-2023 16:04:41.698227,"(5.0, 7.8, 6.966666666666667)","(5.0, 99999, 99990)","(3.7, 4.2, 4.15)","(21.0, 99999, 99990)","(71.0, 100.0, 84.0)","(19.0, 32.0, 29.8125)","(9.0, 11.0, 10.5625)","(26.0, 99999, 99990)","(4.6, 5.8, 5.073684210526316)","(7.5, 13.0, 9.75)"
06-01-2023 16:04:43.026828,"(5.0, 7.8, 7.3)","(5.0, 99999, 99990)","(3.7, 4.2, 4.15)","(21.0, 99999, 99990)","(71.0, 100.0, 84.0)","(19.0, 32.0, 29.8125)","(9.0, 11.0, 10.571428571428571)","(26.0, 99999, 99990)","(4.6, 5.2, 5.04)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:44.384662,"(5.0, 7.8, 7.228571428571429)","(5.0, 99999, 99990)","(3.7, 4.2, 4.15)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 32.0, 27.714285714285715)","(9.0, 11.0, 10.7)","(26.0, 99999, 99990)","(4.6, 5.2, 5.04)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:45.718908,"(5.0, 7.8, 7.228571428571429)","(5.0, 99999, 99990)","(3.7, 4.2, 4.15)","(21.0, 99999, 99990)","(71.0, 95.0, 85.0)","(19.0, 32.0, 27.714285714285715)","(9.0, 11.0, 10.7)","(26.0, 99999, 99990)","(4.6, 5.2, 5.04)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:47.097274,"(5.0, 7.8, 7.228571428571429)","(5.0, 99999, 99990)","(3.7, 4.2, 4.151724137931034)","(21.0, 99999, 99990)","(71.0, 95.0, 75.0)","(19.0, 32.0, 27.714285714285715)","(9.0, 11.0, 10.672727272727274)","(26.0, 99999, 99990)","(4.6, 5.2, 5.04)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:48.445780,"(5.0, 7.8, 7.228571428571429)","(5.0, 99999, 99990)","(3.7, 4.2, 4.152727272727273)","(21.0, 99999, 99990)","(71.0, 95.0, 68.125)","(19.0, 32.0, 27.714285714285715)","(9.0, 11.0, 10.672727272727274)","(26.0, 99999, 99990)","(4.6, 5.2, 5.04)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:49.919508,"(5.0, 7.8, 7.228571428571429)","(5.0, 99999, 99990)","(3.7, 4.6, 4.503703703703703)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(19.0, 32.0, 28.875)","(9.0, 11.0, 10.672727272727274)","(26.0, 99999, 99990)","(4.4, 5.2, 5.04)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:51.289719,"(5.5, 7.8, 7.133333333333333)","(5.5, 99999, 99990)","(3.7, 4.6, 4.19375)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 28.875)","(9.0, 11.0, 10.58)","(21.0, 99999, 99990)","(4.4, 5.2, 5.633333333333334)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:52.621882,"(5.5, 7.8, 6.942857142857142)","(5.5, 99999, 99990)","(3.7, 4.5, 4.246153846153846)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 28.875)","(9.0, 11.0, 10.280000000000001)","(21.0, 99999, 99990)","(4.4, 6.0, 5.233333333333333)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:53.922439,"(5.5, 7.8, 7.5)","(5.5, 99999, 99990)","(3.7, 4.5, 4.246153846153846)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 28.875)","(9.0, 11.0, 10.280000000000001)","(21.0, 99999, 99990)","(4.4, 5.9, 5.176923076923077)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:55.435567,"(5.5, 7.6, 7.539999999999999)","(5.5, 99999, 99990)","(3.7, 4.5, 4.246153846153846)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 28.875)","(9.0, 11.0, 10.280000000000001)","(21.0, 99999, 99990)","(4.4, 5.8, 5.111764705882353)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:56.876991,"(5.5, 7.6, 7.359999999999999)","(5.5, 99999, 99990)","(3.7, 4.5, 4.246153846153846)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 28.875)","(9.0, 11.0, 10.280000000000001)","(21.0, 99999, 99990)","(4.4, 5.8, 5.3)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:58.356461,"(5.5, 7.6, 7.0)","(5.5, 99999, 99990)","(3.7, 4.5, 4.3875)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 28.428571428571427)","(9.0, 11.0, 10.280000000000001)","(21.0, 99999, 99990)","(4.4, 5.8, 5.314285714285714)","(7.5, 10.5, 10.05)"
06-01-2023 16:04:59.753213,"(5.5, 7.6, 7.0)","(5.5, 99999, 99990)","(3.7, 4.5, 4.3875)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 28.428571428571427)","(9.0, 11.0, 10.280000000000001)","(21.0, 99999, 99990)","(4.4, 5.6, 5.266666666666667)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:01.172080,"(5.5, 7.6, 7.0)","(5.5, 99999, 99990)","(3.7, 4.1, 4.049438202247191)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 28.428571428571427)","(9.0, 11.0, 10.25)","(21.0, 99999, 99990)","(4.4, 5.6, 5.375)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:02.546758,"(5.5, 7.6, 7.04)","(5.5, 99999, 99990)","(3.7, 4.1, 4.047674418604651)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 29.0)","(9.0, 10.5, 10.25)","(21.0, 99999, 99990)","(4.4, 5.6, 5.3428571428571425)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:03.986246,"(5.5, 7.6, 7.0)","(5.5, 99999, 99990)","(3.7, 4.0, 3.966935483870968)","(21.0, 99999, 99990)","(71.0, 90.0, 68.125)","(20.0, 32.0, 29.0)","(9.0, 10.5, 10.25)","(21.0, 99999, 99990)","(4.4, 5.6, 5.18)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:05.398905,"(5.5, 7.6, 7.12)","(5.5, 99999, 99990)","(3.7, 4.0, 3.9674603174603176)","(21.0, 99999, 99990)","(71.0, 90.0, 75.0)","(20.0, 32.0, 29.0)","(9.0, 10.5, 10.25)","(21.0, 99999, 99990)","(4.4, 5.6, 5.3)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:06.811643,"(5.5, 7.6, 7.12)","(5.5, 99999, 99990)","(3.7, 4.0, 3.9244444444444446)","(21.0, 99999, 99990)","(71.0, 85.0, 75.0)","(20.0, 32.0, 29.0)","(9.0, 10.5, 10.4)","(21.0, 99999, 99990)","(4.4, 5.5, 5.071428571428572)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:08.131566,"(5.5, 7.4, 7.114285714285715)","(5.5, 99999, 99990)","(3.7, 3.95, 3.9244444444444446)","(21.0, 99999, 99990)","(71.0, 85.0, 75.0)","(20.0, 32.0, 29.0)","(9.0, 11.0, 10.4)","(21.0, 99999, 99990)","(4.4, 5.5, 5.071428571428572)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:09.342333,"(5.5, 7.4, 7.114285714285715)","(5.5, 99999, 99990)","(3.7, 3.95, 3.9244444444444446)","(21.0, 99999, 99990)","(71.0, 85.0, 75.0)","(20.0, 32.0, 29.0)","(9.0, 11.0, 10.142857142857144)","(21.0, 99999, 99990)","(4.4, 5.5, 5.071428571428572)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:10.566816,"(5.5, 7.4, 7.114285714285715)","(5.5, 99999, 99990)","(3.7, 3.95, 3.9244444444444446)","(21.0, 99999, 99990)","(71.0, 85.0, 75.0)","(20.0, 32.0, 29.0)","(9.0, 11.0, 10.142857142857144)","(21.0, 99999, 99990)","(4.4, 5.5, 5.071428571428572)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:11.867511,"(5.5, 7.4, 7.316666666666667)","(5.5, 99999, 99990)","(3.7, 3.95, 3.9244444444444446)","(21.0, 99999, 99990)","(71.0, 85.0, 75.0)","(20.0, 32.0, 29.0)","(9.0, 11.0, 10.142857142857144)","(21.0, 99999, 99990)","(4.4, 5.5, 5.071428571428572)","(7.5, 10.5, 10.05)"
06-01-2023 16:05:13.256044,"(5.5, 7.4, 7.34)","(5.5, 99999, 99990)","(3.7, 3.95, 3.9244444444444446)","(21.0, 99999, 99990)","(71.0, 85.0, 75.0)","(20.0, 55.0, 43.55555555555556)","(9.0, 10.5, 10.4125)","(21.0, 99999, 99990)","(4.4, 5.5, 5.361538461538462)","(7.5, 10.5, 10.05)"
