,Amass,Sonny Maguire,Heez Good,Franco Huntington,Elouisa Dale,Foveaux Strait,Van Liberty,Airwaves
14-12-2022 14:41:01.865647,"(1.8, 1.95, 1.941304347826087)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 174.28571428571428)","(21.0, 46.0, 39.2)","(3.9, 5.5, 5.271428571428571)","(4.4, 5.7, 5.588888888888889)","(21.0, 210.0, 140.0)","(51.0, 360.0, 203.0)"
14-12-2022 14:41:02.985585,"(1.8, 1.95, 1.941304347826087)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.285714285714285)","(3.9, 5.5, 5.35)","(4.4, 5.7, 5.588888888888889)","(21.0, 200.0, 120.0)","(51.0, 360.0, 299.3333333333333)"
14-12-2022 14:41:04.148035,"(1.8, 1.95, 1.941304347826087)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.5, 5.35)","(4.4, 5.7, 5.588888888888889)","(21.0, 200.0, 120.0)","(51.0, 350.0, 299.3333333333333)"
14-12-2022 14:41:05.290622,"(1.8, 1.95, 1.93)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 116.66666666666666)","(21.0, 46.0, 41.75)","(3.9, 5.5, 5.300000000000001)","(4.4, 5.7, 5.588888888888889)","(21.0, 200.0, 120.0)","(51.0, 350.0, 289.2)"
14-12-2022 14:41:06.458108,"(1.8, 1.94, 1.92)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 175.71428571428572)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.7, 5.588888888888889)","(21.0, 200.0, 140.0)","(51.0, 350.0, 289.2)"
14-12-2022 14:41:07.610324,"(1.8, 1.94, 1.92)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.7, 5.588888888888889)","(21.0, 200.0, 140.0)","(51.0, 350.0, 289.2)"
14-12-2022 14:41:08.912559,"(1.8, 1.94, 1.9344827586206896)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.7, 5.588888888888889)","(21.0, 200.0, 140.0)","(51.0, 350.0, 299.3333333333333)"
14-12-2022 14:41:10.124690,"(1.8, 1.94, 1.9344827586206896)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.7, 5.4)","(21.0, 200.0, 140.0)","(51.0, 350.0, 299.3333333333333)"
14-12-2022 14:41:11.411084,"(1.8, 1.94, 1.931578947368421)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.7, 5.4)","(21.0, 200.0, 140.0)","(51.0, 350.0, 299.3333333333333)"
14-12-2022 14:41:12.891104,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 116.66666666666666)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.7, 5.2846153846153845)","(21.0, 200.0, 140.0)","(51.0, 350.0, 299.3333333333333)"
14-12-2022 14:41:14.257368,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.7, 5.35)","(21.0, 200.0, 140.0)","(51.0, 350.0, 299.3333333333333)"
14-12-2022 14:41:15.435081,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.253846153846154)","(21.0, 200.0, 140.0)","(51.0, 350.0, 183.0)"
14-12-2022 14:41:16.532332,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.253846153846154)","(21.0, 200.0, 140.0)","(51.0, 320.0, 266.0)"
14-12-2022 14:41:17.646303,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.253846153846154)","(21.0, 200.0, 140.0)","(51.0, 310.0, 266.0)"
14-12-2022 14:41:18.759819,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.266666666666667)","(21.0, 200.0, 140.0)","(51.0, 310.0, 266.0)"
14-12-2022 14:41:19.903221,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 193.33333333333334)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.266666666666667)","(21.0, 200.0, 140.0)","(51.0, 310.0, 266.0)"
14-12-2022 14:41:21.043697,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 193.33333333333334)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.266666666666667)","(21.0, 200.0, 100.0)","(51.0, 310.0, 266.0)"
14-12-2022 14:41:22.285217,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 193.33333333333334)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.266666666666667)","(21.0, 200.0, 100.0)","(51.0, 310.0, 266.0)"
14-12-2022 14:41:23.481141,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.571428571428573)","(21.0, 220.0, 193.33333333333334)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.266666666666667)","(21.0, 200.0, 100.0)","(51.0, 310.0, 266.0)"
14-12-2022 14:41:24.671108,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.4)","(21.0, 220.0, 174.28571428571428)","(21.0, 46.0, 41.75)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.266666666666667)","(21.0, 200.0, 98.33333333333333)","(51.0, 310.0, 266.0)"
14-12-2022 14:41:25.801413,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.4)","(21.0, 220.0, 185.0)","(21.0, 46.0, 40.25)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.266666666666667)","(21.0, 190.0, 105.0)","(51.0, 310.0, 227.42857142857142)"
14-12-2022 14:41:26.906555,"(1.8, 1.94, 1.9260869565217391)","(14.0, 29.0, 26.75)","(21.0, 210.0, 130.0)","(21.0, 44.0, 40.25)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.266666666666667)","(21.0, 180.0, 102.5)","(51.0, 300.0, 249.33333333333331)"
14-12-2022 14:41:27.982923,"(1.8, 1.94, 1.9260869565217391)","(14.0, 29.0, 26.75)","(21.0, 210.0, 130.0)","(21.0, 44.0, 38.0)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.266666666666667)","(21.0, 170.0, 102.5)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:29.021026,"(1.8, 1.94, 1.9260869565217391)","(14.0, 29.0, 26.75)","(21.0, 210.0, 130.0)","(21.0, 44.0, 38.0)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.3)","(21.0, 170.0, 90.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:30.072407,"(1.8, 1.94, 1.9260869565217391)","(14.0, 29.0, 26.75)","(21.0, 200.0, 125.0)","(21.0, 44.0, 41.27272727272727)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.5, 5.438461538461539)","(21.0, 170.0, 90.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:31.120734,"(1.8, 1.94, 1.9260869565217391)","(14.0, 29.0, 26.75)","(21.0, 200.0, 125.0)","(21.0, 44.0, 42.8)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.5, 5.466666666666666)","(21.0, 170.0, 90.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:32.241072,"(1.8, 1.94, 1.9260869565217391)","(14.0, 29.0, 26.75)","(21.0, 200.0, 125.0)","(21.0, 44.0, 42.8)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.466666666666666)","(21.0, 170.0, 90.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:33.362289,"(1.8, 1.94, 1.9260869565217391)","(14.0, 29.0, 27.5)","(21.0, 200.0, 125.0)","(21.0, 44.0, 42.8)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.466666666666666)","(21.0, 170.0, 90.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:34.406841,"(1.8, 1.94, 1.9260869565217391)","(14.0, 29.0, 27.5)","(21.0, 200.0, 125.0)","(21.0, 44.0, 42.8)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.466666666666666)","(21.0, 170.0, 90.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:35.406524,"(1.8, 1.94, 1.9260869565217391)","(14.0, 29.0, 27.5)","(21.0, 200.0, 125.0)","(21.0, 44.0, 42.8)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.466666666666666)","(21.0, 170.0, 90.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:36.442471,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.4)","(21.0, 200.0, 125.0)","(21.0, 44.0, 41.77777777777778)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.3999999999999995)","(21.0, 170.0, 90.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:37.430810,"(1.8, 1.94, 1.9260869565217391)","(14.0, 30.0, 26.4)","(21.0, 200.0, 125.0)","(21.0, 44.0, 41.77777777777778)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.3999999999999995)","(21.0, 170.0, 90.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:38.455121,"(1.8, 1.94, 1.9211764705882353)","(14.0, 30.0, 26.4)","(21.0, 200.0, 125.0)","(21.0, 44.0, 41.77777777777778)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.451851851851852)","(21.0, 160.0, 106.66666666666667)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:39.472454,"(1.8, 1.94, 1.9211764705882353)","(14.0, 30.0, 26.4)","(21.0, 200.0, 125.0)","(21.0, 44.0, 41.714285714285715)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.451851851851852)","(21.0, 160.0, 115.0)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:40.526569,"(1.8, 1.94, 1.9211764705882353)","(14.0, 30.0, 26.4)","(21.0, 240.0, 145.0)","(21.0, 44.0, 41.714285714285715)","(3.9, 5.4, 5.300000000000001)","(4.4, 5.6, 5.381481481481481)","(21.0, 150.0, 134.125)","(51.0, 290.0, 249.33333333333331)"
14-12-2022 14:41:41.634514,"(1.8, 1.94, 1.9211764705882353)","(14.0, 30.0, 26.4)","(21.0, 240.0, 66.66666666666666)","(21.0, 44.0, 41.714285714285715)","(3.9, 5.4, 5.236363636363636)","(4.4, 5.5, 5.3933333333333335)","(21.0, 150.0, 129.0)","(51.0, 290.0, 241.2)"
14-12-2022 14:41:42.719043,"(1.8, 1.94, 1.9211764705882353)","(14.0, 30.0, 26.4)","(21.0, 240.0, 131.0)","(21.0, 44.0, 41.714285714285715)","(3.9, 5.4, 5.236363636363636)","(4.4, 5.5, 5.3933333333333335)","(21.0, 150.0, 132.14285714285714)","(51.0, 290.0, 241.2)"
14-12-2022 14:41:43.805501,"(1.8, 1.94, 1.9211764705882353)","(14.0, 30.0, 26.4)","(21.0, 230.0, 131.0)","(21.0, 44.0, 41.714285714285715)","(3.9, 5.4, 5.226666666666667)","(4.4, 5.5, 5.3933333333333335)","(21.0, 150.0, 143.05555555555554)","(51.0, 290.0, 202.0)"
14-12-2022 14:41:44.887090,"(1.8, 1.94, 1.9211764705882353)","(14.0, 30.0, 26.4)","(21.0, 220.0, 126.0)","(21.0, 44.0, 43.0)","(3.9, 5.4, 5.236363636363636)","(4.4, 5.5, 5.3933333333333335)","(21.0, 150.0, 57.69230769230769)","(51.0, 280.0, 225.2)"
14-12-2022 14:41:46.005216,"(1.8, 1.94, 1.9211764705882353)","(14.0, 30.0, 26.4)","(21.0, 220.0, 126.0)","(21.0, 44.0, 39.0)","(3.9, 5.4, 5.236363636363636)","(4.4, 5.5, 5.3933333333333335)","(21.0, 75.0, 34.90909090909091)","(51.0, 270.0, 232.66666666666669)"
14-12-2022 14:41:47.104687,"(1.8, 1.94, 1.9247619047619047)","(14.0, 30.0, 26.4)","(21.0, 220.0, 126.0)","(21.0, 44.0, 39.0)","(3.9, 5.4, 5.236363636363636)","(4.4, 5.5, 5.4)","(21.0, 75.0, 55.33333333333333)","(51.0, 270.0, 232.66666666666669)"
14-12-2022 14:41:48.126141,"(1.8, 1.94, 1.9247619047619047)","(14.0, 30.0, 26.4)","(21.0, 220.0, 126.0)","(21.0, 44.0, 41.142857142857146)","(3.9, 5.4, 5.236363636363636)","(4.4, 5.5, 5.34)","(21.0, 70.0, 61.2)","(51.0, 270.0, 232.66666666666669)"
14-12-2022 14:41:49.104417,"(1.8, 1.94, 1.9285714285714286)","(14.0, 30.0, 21.3)","(21.0, 220.0, 126.0)","(21.0, 44.0, 41.714285714285715)","(3.9, 5.4, 5.230769230769231)","(4.4, 5.5, 5.34)","(21.0, 70.0, 55.66666666666667)","(51.0, 270.0, 232.66666666666669)"
14-12-2022 14:41:50.101279,"(1.8, 1.94, 1.9296296296296296)","(14.0, 30.0, 23.36842105263158)","(21.0, 220.0, 199.55555555555554)","(21.0, 75.0, 68.5)","(3.9, 5.4, 5.223529411764706)","(4.4, 5.5, 5.34)","(21.0, 70.0, 55.66666666666667)","(51.0, 270.0, 232.66666666666669)"
14-12-2022 14:41:51.104521,"(1.8, 1.94, 1.9296296296296296)","(14.0, 30.0, 19.363636363636363)","(21.0, 220.0, 199.55555555555554)","(21.0, 75.0, 68.5)","(3.9, 5.4, 5.223529411764706)","(4.4, 5.5, 5.6)","(21.0, 70.0, 55.66666666666667)","(51.0, 270.0, 232.66666666666669)"
14-12-2022 14:41:52.174861,"(1.8, 1.9, 1.891470588235294)","(14.0, 30.0, 22.2)","(21.0, 210.0, 152.0)","(21.0, 75.0, 68.5)","(3.9, 5.4, 5.224242424242425)","(4.4, 5.7, 5.7)","(21.0, 70.0, 55.66666666666667)","(51.0, 270.0, 232.66666666666669)"
14-12-2022 14:41:53.247913,"(1.8, 1.9, 1.8908823529411765)","(14.0, 30.0, 21.346153846153847)","(21.0, 200.0, 36.0)","(21.0, 75.0, 68.5)","(3.9, 5.4, 5.221621621621622)","(4.4, 5.9, 5.609090909090909)","(21.0, 70.0, 46.0)","(51.0, 270.0, 232.66666666666669)"
14-12-2022 14:41:54.364923,"(1.8, 1.9, 1.8333333333333335)","(14.0, 29.0, 24.4)","(21.0, 36.0, 104.66666666666667)","(21.0, 75.0, 68.83333333333334)","(3.9, 5.4, 5.222222222222222)","(4.4, 5.9, 5.728571428571429)","(21.0, 65.0, 55.285714285714285)","(51.0, 270.0, 232.66666666666669)"
14-12-2022 14:41:55.415248,"(1.8, 1.9, 1.8333333333333335)","(14.0, 29.0, 24.6)","(21.0, 140.0, 104.66666666666667)","(21.0, 75.0, 68.83333333333334)","(3.9, 5.4, 5.227586206896552)","(4.4, 5.9, 5.728571428571429)","(21.0, 60.0, 40.333333333333336)","(51.0, 270.0, 238.0)"
14-12-2022 14:41:56.519165,"(1.8, 1.9, 1.8333333333333335)","(14.0, 29.0, 25.5)","(21.0, 140.0, 113.5)","(21.0, 75.0, 68.83333333333334)","(3.9, 5.4, 5.227586206896552)","(4.4, 5.9, 5.728571428571429)","(21.0, 65.0, 46.5)","(51.0, 270.0, 242.0)"
14-12-2022 14:41:57.667820,"(1.8, 1.9, 1.8333333333333335)","(14.0, 29.0, 25.5)","(21.0, 140.0, 97.6)","(21.0, 75.0, 68.83333333333334)","(3.9, 5.4, 5.227586206896552)","(4.4, 5.9, 5.728571428571429)","(21.0, 65.0, 54.42857142857143)","(51.0, 270.0, 159.0)"
14-12-2022 14:41:58.728757,"(1.8, 1.9, 1.835)","(14.0, 29.0, 27.5)","(21.0, 140.0, 109.71428571428571)","(21.0, 75.0, 68.83333333333334)","(3.9, 5.4, 5.229629629629629)","(4.4, 5.9, 5.766666666666667)","(21.0, 65.0, 59.714285714285715)","(51.0, 270.0, 159.0)"
14-12-2022 14:41:59.773618,"(1.8, 1.9, 1.835)","(14.0, 29.0, 27.5)","(21.0, 140.0, 92.88888888888889)","(21.0, 75.0, 68.83333333333334)","(3.9, 5.4, 5.229629629629629)","(4.4, 5.9, 6.122222222222223)","(21.0, 65.0, 59.714285714285715)","(51.0, 270.0, 159.0)"
14-12-2022 14:42:00.771621,"(1.8, 1.9, 1.835)","(14.0, 29.0, 25.666666666666668)","(21.0, 140.0, 92.88888888888889)","(21.0, 75.0, 68.83333333333334)","(3.9, 5.4, 5.229629629629629)","(4.4, 6.2, 6.122222222222223)","(21.0, 65.0, 56.0)","(51.0, 270.0, 159.0)"
14-12-2022 14:42:01.797798,"(1.8, 1.9, 1.8329032258064517)","(14.0, 29.0, 23.57142857142857)","(21.0, 130.0, 114.0)","(21.0, 75.0, 68.83333333333334)","(3.9, 5.4, 5.232)","(4.4, 6.2, 6.0)","(21.0, 70.0, 54.625)","(51.0, 270.0, 159.0)"
14-12-2022 14:42:02.873001,"(1.8, 1.9, 1.8329032258064517)","(14.0, 29.0, 25.833333333333332)","(21.0, 130.0, 114.0)","(21.0, 75.0, 68.83333333333334)","(3.9, 5.4, 5.006896551724138)","(4.4, 6.2, 6.581818181818182)","(21.0, 70.0, 33.46153846153846)","(51.0, 270.0, 159.0)"
14-12-2022 14:42:03.894457,"(1.8, 1.88, 1.8499999999999999)","(14.0, 29.0, 25.727272727272727)","(21.0, 130.0, 114.0)","(21.0, 75.0, 63.33333333333333)","(3.9, 5.2, 4.627272727272727)","(4.4, 6.8, 6.581818181818182)","(21.0, 75.0, 33.46153846153846)","(51.0, 270.0, 159.0)"
14-12-2022 14:42:04.927181,"(1.8, 1.9, 1.822)","(14.0, 29.0, 24.428571428571427)","(21.0, 130.0, 106.0)","(21.0, 75.0, 63.33333333333333)","(3.9, 5.2, 5.1000000000000005)","(4.4, 6.8, 6.581818181818182)","(21.0, 75.0, 46.578947368421055)","(51.0, 270.0, 159.0)"
14-12-2022 14:42:06.090570,"(1.8, 1.9, 1.822)","(14.0, 29.0, 24.428571428571427)","(21.0, 130.0, 110.8)","(21.0, 75.0, 63.33333333333333)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.8, 6.311111111111111)","(21.0, 75.0, 61.111111111111114)","(51.0, 270.0, 118.66666666666667)"
14-12-2022 14:42:07.188658,"(1.8, 1.9, 1.822)","(14.0, 29.0, 24.428571428571427)","(21.0, 130.0, 110.8)","(21.0, 75.0, 63.33333333333333)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.8, 6.3428571428571425)","(21.0, 70.0, 61.111111111111114)","(51.0, 260.0, 149.0)"
14-12-2022 14:42:08.217620,"(1.8, 1.9, 1.822)","(14.0, 29.0, 24.428571428571427)","(21.0, 130.0, 110.8)","(21.0, 75.0, 63.33333333333333)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.6, 6.3428571428571425)","(21.0, 70.0, 61.111111111111114)","(51.0, 250.0, 149.0)"
14-12-2022 14:42:09.287407,"(1.8, 1.9, 1.822)","(14.0, 20.0, 19.510714285714286)","(21.0, 130.0, 110.8)","(21.0, 75.0, 62.66666666666667)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.6, 6.199999999999999)","(21.0, 70.0, 51.0)","(51.0, 250.0, 149.0)"
14-12-2022 14:42:10.369829,"(1.8, 1.9, 1.822)","(14.0, 20.0, 18.532374100719423)","(21.0, 130.0, 110.8)","(21.0, 75.0, 62.0)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.6, 6.199999999999999)","(21.0, 70.0, 46.0)","(51.0, 250.0, 149.0)"
14-12-2022 14:42:11.398969,"(1.8, 1.9, 1.822)","(14.0, 26.0, 22.25)","(21.0, 130.0, 110.8)","(21.0, 75.0, 62.0)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.6, 6.199999999999999)","(21.0, 70.0, 40.0)","(51.0, 250.0, 149.0)"
14-12-2022 14:42:12.502313,"(1.8, 1.88, 1.8592307692307692)","(14.0, 29.0, 25.625)","(21.0, 130.0, 98.0)","(21.0, 75.0, 54.0)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.6, 6.199999999999999)","(21.0, 70.0, 44.333333333333336)","(51.0, 250.0, 112.0)"
14-12-2022 14:42:13.578757,"(1.8, 1.9, 1.8205555555555555)","(14.0, 28.0, 26.88888888888889)","(21.0, 130.0, 98.0)","(21.0, 70.0, 63.2)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.6, 6.199999999999999)","(21.0, 65.0, 49.5)","(51.0, 240.0, 139.0)"
14-12-2022 14:42:14.692428,"(1.8, 1.9, 1.8205555555555555)","(14.0, 28.0, 26.3)","(21.0, 130.0, 98.0)","(21.0, 70.0, 60.85714285714286)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.6, 6.199999999999999)","(21.0, 65.0, 49.5)","(51.0, 230.0, 139.0)"
14-12-2022 14:42:15.763479,"(1.8, 1.9, 1.8205555555555555)","(14.0, 28.0, 26.3)","(21.0, 130.0, 98.0)","(21.0, 65.0, 60.85714285714286)","(3.9, 5.4, 5.227868852459017)","(4.4, 6.6, 6.199999999999999)","(21.0, 65.0, 49.5)","(51.0, 230.0, 139.0)"
14-12-2022 14:42:16.851756,"(1.8, 1.9, 1.8205555555555555)","(14.0, 28.0, 23.75)","(21.0, 130.0, 98.0)","(21.0, 65.0, 60.85714285714286)","(3.9, 5.4, 5.2384615384615385)","(4.4, 6.6, 6.533333333333333)","(21.0, 65.0, 58.111111111111114)","(51.0, 230.0, 139.0)"
14-12-2022 14:42:17.889420,"(1.8, 1.89, 1.8233333333333333)","(14.0, 28.0, 23.75)","(21.0, 130.0, 110.8)","(21.0, 65.0, 60.85714285714286)","(3.9, 5.4, 5.2384615384615385)","(4.4, 6.6, 6.533333333333333)","(21.0, 65.0, 58.111111111111114)","(51.0, 230.0, 139.0)"
14-12-2022 14:42:19.035723,"(1.8, 1.89, 1.8153658536585366)","(14.0, 28.0, 22.666666666666668)","(21.0, 130.0, 98.66666666666666)","(26.0, 65.0, 56.0)","(4.2, 5.4, 5.086956521739131)","(4.4, 7.2, 6.6)","(21.0, 65.0, 53.4)","(51.0, 230.0, 105.0)"
14-12-2022 14:42:20.045178,"(1.75, 1.89, 1.731081081081081)","(16.0, 28.0, 22.666666666666668)","(21.0, 130.0, 98.66666666666666)","(26.0, 65.0, 56.0)","(4.2, 5.4, 5.086956521739131)","(4.6, 7.8, 6.6)","(21.0, 65.0, 53.4)","(51.0, 230.0, 105.0)"
14-12-2022 14:42:21.043005,"(1.75, 1.89, 1.8733112582781457)","(16.0, 28.0, 24.0)","(21.0, 130.0, 83.0)","(26.0, 65.0, 56.0)","(4.2, 5.4, 5.086956521739131)","(4.6, 7.6, 6.666666666666667)","(21.0, 65.0, 53.4)","(51.0, 230.0, 132.77777777777777)"
14-12-2022 14:42:22.070777,"(1.75, 1.89, 1.8574647887323943)","(16.0, 28.0, 24.5)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.4, 5.133333333333334)","(4.6, 7.6, 6.666666666666667)","(21.0, 65.0, 54.2)","(51.0, 230.0, 132.77777777777777)"
14-12-2022 14:42:23.084777,"(1.75, 1.89, 1.8574647887323943)","(16.0, 28.0, 24.5)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.4, 5.156521739130435)","(4.6, 7.6, 6.666666666666667)","(21.0, 65.0, 54.2)","(51.0, 230.0, 132.77777777777777)"
14-12-2022 14:42:24.117472,"(1.7, 1.82, 1.8118181818181818)","(16.0, 28.0, 24.2)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.92)","(4.6, 7.6, 6.666666666666667)","(21.0, 65.0, 56.0)","(51.0, 230.0, 132.77777777777777)"
14-12-2022 14:42:25.208755,"(1.7, 1.89, 1.8105128205128205)","(16.0, 17.5, 16.514388489208635)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.788235294117647)","(4.6, 7.6, 7.303703703703704)","(21.0, 65.0, 56.0)","(51.0, 230.0, 132.77777777777777)"
14-12-2022 14:42:26.292310,"(1.7, 1.9, 1.8158823529411765)","(16.0, 17.5, 16.514388489208635)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.788235294117647)","(4.6, 7.6, 6.514285714285714)","(21.0, 65.0, 56.0)","(51.0, 230.0, 195.0)"
14-12-2022 14:42:27.388574,"(1.7, 1.9, 1.8884641638225255)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.64)","(4.6, 7.6, 6.48)","(21.0, 65.0, 56.0)","(51.0, 230.0, 195.0)"
14-12-2022 14:42:28.418621,"(1.7, 1.83, 1.8293333333333335)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.64)","(4.6, 7.6, 6.514285714285714)","(21.0, 65.0, 56.0)","(51.0, 230.0, 195.0)"
14-12-2022 14:42:29.455133,"(1.7, 1.9, 1.8750399999999998)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.966666666666667)","(4.6, 7.6, 6.3999999999999995)","(26.0, 65.0, 56.0)","(51.0, 230.0, 195.0)"
14-12-2022 14:42:30.471635,"(1.7, 1.9, 1.8750399999999998)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.788235294117647)","(4.6, 7.6, 6.127272727272727)","(26.0, 65.0, 56.0)","(51.0, 230.0, 195.0)"
14-12-2022 14:42:31.510618,"(1.7, 1.9, 1.8182857142857143)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.881818181818182)","(4.6, 7.6, 6.127272727272727)","(26.0, 65.0, 56.0)","(51.0, 230.0, 195.0)"
14-12-2022 14:42:32.555321,"(1.7, 1.9, 1.8182857142857143)","(16.0, 17.5, 16.558823529411764)","(21.0, 130.0, 106.5)","(26.0, 65.0, 56.0)","(4.2, 5.2, 4.811111111111111)","(4.6, 7.6, 6.127272727272727)","(26.0, 65.0, 56.0)","(51.0, 230.0, 195.0)"
