,Smiling Walnut,Chinotto Girl,Jingalong Lotte,Ginger Jess,Shaq Owes,Eris Lucy,Winter Skye,Shrimp Boat
10-01-2023 18:21:02.613865,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:03.693578,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:04.754180,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:05.762209,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:06.812440,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:07.902236,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:08.930895,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:10.042519,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:11.253873,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:12.360745,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
