,Betcha By Golly,Sheriffs Kid,Dulcimer Dame,China Cat,Magic In Me,Sax,Marketability
06-01-2023 09:20:40.132505,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:41.179349,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:42.238522,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:43.216551,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:44.198313,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:45.147903,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:46.070709,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:46.995451,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:47.963770,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:48.939588,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:49.917510,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:50.993468,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:52.031759,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:53.057702,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:54.159794,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:55.198503,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:56.193509,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:57.173397,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:58.110616,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
06-01-2023 09:20:59.004062,"(2.9, 230.0, 173.3375)","(7.0, 12.0, 9.466666666666667)","(2.0, 2.5, 2.2556000000000003)","(10.0, 230.0, 175.0)","(15.0, 230.0, 156.83333333333334)","(26.0, 230.0, 175.125)","(17.0, 150.0, 103.5)"
