,Eight Gifts,Nick The Quick,Dashing Daph,Ferocious Barbie,River Raging,Velocity Lara
07-12-2022 18:46:39.777208,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:41.457974,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:42.804209,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:44.191718,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:45.351186,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:46.971841,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:48.210553,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:49.500068,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:51.390448,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:53.165466,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:54.567766,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:55.958961,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:57.253793,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:58.547022,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:46:59.957326,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.425000000000001)"
07-12-2022 18:47:01.384642,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 5.6000000000000005)"
07-12-2022 18:47:02.718585,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 5.6000000000000005)"
07-12-2022 18:47:04.307996,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.228571428571429)"
07-12-2022 18:47:05.527233,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.228571428571429)"
07-12-2022 18:47:06.829323,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.4)"
07-12-2022 18:47:08.105942,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.4)"
07-12-2022 18:47:09.246821,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.45)"
07-12-2022 18:47:10.479510,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.314285714285714)"
07-12-2022 18:47:11.889318,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.314285714285714)"
07-12-2022 18:47:13.040272,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 5.6000000000000005)"
07-12-2022 18:47:14.272719,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 6.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 5.6000000000000005)"
