,Mammals Destiny,Twin Connection,Sporty Frank,Illawong Phillipa,Golden Jaylet,Im The Mighty Judd,Footlock,Indys Approval,Ima Workinclassman
09-01-2023 16:16:15.669005,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:16.908201,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 56.857142857142854)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:18.226169,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 56.857142857142854)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:19.571905,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:21.017449,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:22.365475,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:23.731641,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:25.140175,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:26.453044,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:27.606621,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:28.783613,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:29.858457,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:30.968640,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:32.085751,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:33.241888,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.375)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
