,On Tilt,Salt Mine Teddy,Bahamian Beat,Cant Glide By Katz,Verrazano Legacy,War Doctor,Payster,No More,Golden Oak,Vaporized
07-12-2022 13:23:11.265837,"(31.0, 230.0, 69.2)","(13.0, 25.0, 23.944444444444443)","(15.0, 29.0, 24.0)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.7)","(5.0, 6.6, 6.230769230769231)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:12.488666,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.208333333333332)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.5, 4.156666666666666)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.8777777777777778)","(5.0, 6.6, 6.230769230769231)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:13.755605,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.208333333333332)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 3.84)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.8777777777777778)","(5.0, 6.6, 6.230769230769231)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:15.154042,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.208333333333332)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 3.84)","(21.0, 70.0, 36.0)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.8777777777777778)","(5.0, 6.6, 6.199999999999999)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:16.516794,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.208333333333332)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 3.84)","(21.0, 70.0, 36.0)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.8777777777777778)","(5.0, 6.6, 6.046153846153846)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:17.824704,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.64814814814815)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 3.853333333333333)","(21.0, 70.0, 36.0)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.8)","(5.0, 6.6, 5.895652173913043)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:19.152476,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.64814814814815)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 3.853333333333333)","(21.0, 70.0, 57.25)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.8625)","(5.0, 6.6, 5.895652173913043)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:20.503807,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.64814814814815)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 3.853333333333333)","(21.0, 70.0, 53.166666666666664)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.8625)","(5.0, 6.6, 5.895652173913043)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:21.746875,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.64814814814815)","(15.0, 29.0, 25.666666666666668)","(4.4, 4.6, 4.152)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.8625)","(5.0, 6.6, 6.1375)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:22.960768,"(31.0, 230.0, 69.2)","(13.0, 25.0, 24.64814814814815)","(15.0, 29.0, 22.666666666666668)","(4.4, 4.6, 4.152)","(21.0, 70.0, 36.66666666666667)","(5.0, 8.8, 8.572727272727274)","(3.3, 4.0, 3.8625)","(5.0, 6.4, 6.1375)","(15.0, 30.0, 21.666666666666668)","(15.0, 29.0, 24.0)"
