,Confusion,Tolkowsky,Valley Of Dreams,Gold Lunar,Silesian,Jumeirah Triangle
15-12-2022 13:33:27.723904,"(2.6, 3.4, 3.32)","(4.8, 5.8, 5.542857142857143)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:28.698617,"(2.6, 3.4, 3.32)","(4.8, 5.8, 5.62)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:29.645766,"(2.6, 3.45, 3.213157894736842)","(4.8, 5.8, 5.62)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:30.649882,"(2.6, 3.45, 3.213157894736842)","(4.8, 6.2, 5.977777777777778)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:31.701530,"(2.6, 3.45, 3.213157894736842)","(4.8, 6.2, 5.977777777777778)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:32.578343,"(2.6, 3.4, 3.2125)","(4.8, 6.2, 5.7384615384615385)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:33.579226,"(2.6, 3.4, 3.2125)","(4.8, 6.2, 5.7384615384615385)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:34.688901,"(2.6, 3.4, 3.2125)","(4.8, 6.2, 5.7384615384615385)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:35.738210,"(2.6, 3.4, 3.2125)","(4.8, 6.2, 5.6000000000000005)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 16.0)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:36.634438,"(2.6, 3.4, 3.1586206896551725)","(4.8, 6.2, 5.6000000000000005)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 16.0)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:37.685689,"(2.6, 3.4, 3.1586206896551725)","(4.8, 6.2, 5.6000000000000005)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 16.0)","(31.0, 80.0, 48.0)"
