,Hello Gorgeous Nz,Abbee Bee,Fleet Of Foot,Justfollowmehome,Ee Jay Why,Krafty Louise,Debrenika,Carmela Domenica,Bettor Be Bucks,My Precious Mama
11-01-2023 20:01:41.739376,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:43.435559,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:45.571784,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:47.308003,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:49.474417,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:51.366648,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.345454545454546)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:53.349090,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.345454545454546)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:55.371607,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:57.258329,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:58.915096,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:02:00.548847,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.345454545454546)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:02:02.247330,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.345454545454546)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:02:03.801536,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:02:05.702762,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:02:07.413953,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:02:09.087361,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:02:10.839240,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:02:12.810386,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.4)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:14.889394,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:17.169088,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:18.967354,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:20.681656,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:22.359454,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:24.043547,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:25.699339,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:27.412168,"(1.75, 99999, 99990)","(6.5, 9.4, 8.422222222222222)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:29.083917,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:30.665659,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.281818181818181)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:32.338746,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666666)","(8.0, 14.0, 12.222222222222221)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:34.041274,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666666)","(8.0, 14.0, 12.222222222222221)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:35.688345,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666666)","(8.0, 14.0, 12.1875)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:37.352302,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666666)","(8.0, 13.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:38.932461,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666666)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:40.519432,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666666)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:42.170935,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666666)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:43.796625,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666666)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:45.347862,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666666)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:47.010634,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.366666666666667)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:48.748109,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:50.322105,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:52.009077,"(1.75, 99999, 99990)","(6.5, 9.4, 8.553846153846154)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.45)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:53.686351,"(1.75, 99999, 99990)","(6.5, 9.4, 7.733333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.45)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:55.373722,"(1.75, 99999, 99990)","(6.5, 9.4, 7.733333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.45)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:57.074103,"(1.75, 99999, 99990)","(6.5, 9.4, 7.733333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:02:59.136862,"(1.75, 99999, 99990)","(6.5, 9.4, 7.733333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:01.024751,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.24)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:02.752353,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.8, 4.24)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:04.327721,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.8, 4.2555555555555555)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:05.987616,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.2555555555555555)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:07.616817,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.2555555555555555)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:09.227865,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.3)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:10.824643,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.3)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:12.405304,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:14.017781,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:15.571903,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:17.148394,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.45)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:18.738767,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.45)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:20.266714,"(1.75, 99999, 99990)","(6.5, 9.4, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.45)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:21.804933,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:23.336873,"(1.75, 99999, 99990)","(6.5, 9.4, 8.066666666666666)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:25.020869,"(1.75, 99999, 99990)","(6.5, 9.4, 8.054545454545455)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.285714285714286)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:26.628508,"(1.75, 99999, 99990)","(6.5, 9.2, 8.054545454545455)","(71.0, 170.0, 120.0)","(4.0, 4.8, 4.26)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:28.464942,"(1.75, 99999, 99990)","(6.5, 9.2, 8.3)","(71.0, 170.0, 120.0)","(4.0, 4.8, 4.26)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:30.102240,"(1.75, 99999, 99990)","(6.5, 9.2, 7.914285714285715)","(71.0, 170.0, 120.0)","(4.0, 4.8, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.558823529411764)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:31.747467,"(1.75, 99999, 99990)","(6.5, 9.2, 7.914285714285715)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.333333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.409090909090908)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:33.284433,"(1.75, 99999, 99990)","(6.5, 9.2, 7.914285714285715)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.45)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.75)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:34.813808,"(1.75, 99999, 99990)","(6.5, 9.2, 7.914285714285715)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.45)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.75)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:36.345117,"(1.75, 99999, 99990)","(6.5, 9.2, 7.914285714285715)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.283333333333333)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.75)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:37.928865,"(1.75, 99999, 99990)","(6.5, 9.2, 7.914285714285715)","(71.0, 170.0, 120.0)","(4.0, 4.7, 4.257142857142857)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.75)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:39.526355,"(1.75, 99999, 99990)","(6.5, 9.2, 7.914285714285715)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.257142857142857)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.75)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:41.024979,"(1.75, 99999, 99990)","(6.5, 9.2, 7.914285714285715)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.28)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.75)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
11-01-2023 20:03:42.499443,"(1.75, 99999, 99990)","(6.5, 9.2, 7.914285714285715)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.28)","(8.0, 12.5, 12.166666666666666)","(71.0, 170.0, 152.5)","(19.0, 36.0, 30.8)","(11.0, 15.0, 13.75)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 168.0)"
