,Bonnies Cam,Three Rivers Nz,King Of Trumps Nz,Arnold Street,Yep Got Chooks,Williewa Lightning,Shadow Minister Nz,Might As Well Nz,Be Rock Hard Nz
06-01-2023 16:09:48.397472,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:09:49.578812,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:09:50.774335,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:09:51.978934,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:09:53.178119,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:09:54.405526,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:09:55.645804,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:09:56.864892,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:09:58.162105,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:09:59.382983,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:00.682534,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 6.675)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:01.903307,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 7.783333333333333)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:03.084649,"(2.7, 4.6, 4.054545454545455)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 7.783333333333333)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:04.313847,"(2.7, 4.5, 4.08)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 7.783333333333333)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:05.480266,"(2.7, 4.5, 4.08)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 7.783333333333333)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:06.562554,"(2.7, 4.5, 3.99375)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 7.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:07.768869,"(2.7, 4.8, 4.5249999999999995)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:08.900772,"(2.7, 4.8, 4.5249999999999995)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:10.004557,"(2.7, 4.8, 4.5249999999999995)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:11.038476,"(2.7, 4.8, 4.5249999999999995)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:12.165974,"(2.7, 4.8, 4.5249999999999995)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:13.301579,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:14.497255,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:15.648501,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:16.839728,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:18.018065,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 196.66666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:19.294945,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:20.545782,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:21.765545,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:23.000000,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:24.210349,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:25.356128,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:26.522704,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:27.673366,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:28.851876,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.2)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:30.022825,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:31.153299,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:32.315472,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:33.479351,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:34.707435,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:35.885531,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:37.065398,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:38.284351,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:39.481968,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:40.770718,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:41.981881,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:43.208436,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:44.506371,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:45.626211,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 200.0)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:46.774803,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 53.33333333333333)","(6.5, 10.0, 8.425)","(71.0, 220.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:47.973918,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:49.086830,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:50.273231,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:51.500477,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:52.700644,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:53.913393,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:55.143574,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:56.373184,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:57.672619,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:10:58.882128,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:00.086552,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:01.272450,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:02.460564,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:03.655705,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:04.833458,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:06.029628,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:07.270337,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:08.484326,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:09.743331,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:11.002347,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:12.220740,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:13.491539,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:14.684912,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:15.892048,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:17.129492,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:18.298800,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:19.510354,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:20.745665,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:21.968539,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:23.314147,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:24.507670,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:25.774698,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:27.025100,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:28.162818,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:11:29.304150,"(2.7, 4.8, 3.9749999999999996)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 80.0, 69.6)","(6.5, 10.0, 8.425)","(71.0, 210.0, 191.42857142857144)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
