,Brienne,Faith In Manchester,Romeo Foxtrot,Emma Frost,Errol D,Kiwitrix,Aldebaran Flame
16-12-2022 15:28:17.650000,"(21.0, 36.0, 33.0)","(4.4, 5.2, 4.908333333333333)","(7.0, 8.4, 8.1)","(10.0, 21.0, 16.0)","(8.5, 11.5, 10.441176470588236)","(3.0, 3.95, 3.89)","(3.6, 4.6, 4.518367346938775)"
16-12-2022 15:28:18.707187,"(21.0, 36.0, 33.0)","(4.4, 5.2, 5.046153846153846)","(7.0, 9.2, 8.6)","(10.0, 21.0, 14.25)","(8.5, 11.5, 10.5625)","(3.0, 3.95, 3.903846153846154)","(3.6, 4.6, 4.518367346938775)"
16-12-2022 15:28:19.737920,"(21.0, 36.0, 33.0)","(4.4, 5.2, 5.046153846153846)","(7.0, 9.0, 8.5)","(10.0, 19.5, 14.5)","(8.5, 11.5, 10.5625)","(3.0, 3.95, 3.903846153846154)","(3.6, 4.6, 4.518367346938775)"
16-12-2022 15:28:20.752581,"(21.0, 36.0, 33.0)","(4.4, 5.2, 5.046153846153846)","(7.0, 9.0, 8.5)","(10.0, 19.5, 14.1)","(8.5, 11.5, 10.5625)","(3.0, 3.95, 3.903846153846154)","(3.6, 4.6, 4.518367346938775)"
16-12-2022 15:28:21.836932,"(21.0, 36.0, 33.0)","(4.4, 5.2, 5.046153846153846)","(7.0, 9.0, 8.5)","(10.0, 19.5, 14.1)","(8.5, 11.5, 10.5625)","(3.0, 3.95, 4.006521739130434)","(3.6, 4.6, 4.518367346938775)"
16-12-2022 15:28:22.906151,"(21.0, 36.0, 33.0)","(4.4, 5.2, 5.046153846153846)","(7.0, 9.0, 8.5)","(10.0, 19.5, 14.1)","(8.5, 11.5, 10.375)","(3.0, 4.3, 3.9113636363636366)","(3.6, 4.6, 4.518367346938775)"
16-12-2022 15:28:23.900759,"(21.0, 36.0, 33.0)","(4.4, 5.2, 4.98125)","(7.0, 9.0, 8.3)","(10.0, 19.5, 14.1)","(8.5, 11.5, 10.375)","(3.0, 4.3, 3.9113636363636366)","(3.6, 4.6, 4.518367346938775)"
16-12-2022 15:28:25.054685,"(21.0, 36.0, 33.0)","(4.4, 5.2, 4.98125)","(7.0, 9.0, 8.3)","(10.0, 19.5, 14.1)","(8.5, 11.5, 9.545)","(3.0, 4.3, 3.9113636363636366)","(3.6, 4.6, 4.534883720930233)"
16-12-2022 15:28:26.240128,"(21.0, 36.0, 33.0)","(4.4, 5.2, 4.98125)","(7.0, 9.0, 8.3)","(10.0, 19.5, 14.1)","(8.5, 11.5, 9.8)","(3.0, 4.3, 3.94)","(3.6, 4.6, 4.534883720930233)"
16-12-2022 15:28:27.493722,"(21.0, 36.0, 34.0)","(4.4, 5.2, 5.046153846153846)","(7.0, 9.0, 8.285714285714286)","(10.0, 19.5, 14.1)","(8.5, 10.0, 9.781818181818181)","(3.0, 4.3, 3.9130434782608696)","(3.6, 4.6, 4.534883720930233)"
16-12-2022 15:28:28.623782,"(21.0, 36.0, 34.0)","(4.4, 5.2, 5.046153846153846)","(7.0, 9.0, 8.285714285714286)","(10.0, 19.5, 14.1)","(8.5, 10.0, 9.781818181818181)","(3.0, 4.0, 3.9130434782608696)","(3.6, 4.6, 4.534883720930233)"
16-12-2022 15:28:29.675294,"(21.0, 36.0, 34.0)","(4.4, 5.2, 5.153846153846154)","(7.0, 9.0, 8.285714285714286)","(10.0, 19.5, 14.1)","(8.5, 10.0, 9.781818181818181)","(3.0, 4.0, 3.9130434782608696)","(3.6, 4.6, 4.627272727272727)"
16-12-2022 15:28:30.844020,"(21.0, 36.0, 33.42857142857143)","(4.4, 5.2, 5.123636363636364)","(7.0, 9.0, 8.285714285714286)","(10.0, 19.5, 15.333333333333334)","(8.5, 10.0, 9.77142857142857)","(3.0, 4.0, 3.9157894736842103)","(3.6, 4.9, 4.461224489795918)"
16-12-2022 15:28:32.021817,"(21.0, 36.0, 33.42857142857143)","(4.4, 5.1, 5.019642857142856)","(7.0, 9.0, 8.0)","(10.0, 19.0, 15.333333333333334)","(8.5, 10.0, 9.76)","(3.0, 4.0, 3.9157894736842103)","(3.6, 4.5, 4.458695652173914)"
16-12-2022 15:28:33.132887,"(21.0, 36.0, 33.42857142857143)","(4.4, 5.1, 4.95)","(7.0, 9.0, 8.5)","(10.0, 19.0, 14.285714285714286)","(8.5, 10.0, 9.76)","(3.0, 4.0, 3.9157894736842103)","(3.6, 4.5, 4.458695652173914)"
16-12-2022 15:28:34.200215,"(21.0, 36.0, 33.42857142857143)","(4.4, 5.1, 4.95)","(7.0, 9.0, 8.363636363636363)","(10.0, 19.0, 13.916666666666666)","(8.5, 10.0, 9.76)","(3.0, 4.0, 3.9157894736842103)","(3.6, 4.5, 4.41)"
16-12-2022 15:28:35.340896,"(21.0, 36.0, 33.42857142857143)","(4.4, 5.1, 4.95)","(7.0, 9.0, 8.28)","(10.0, 18.5, 14.375)","(8.5, 10.0, 9.76)","(3.0, 4.0, 3.936363636363636)","(3.6, 4.5, 4.41)"
16-12-2022 15:28:36.523420,"(21.0, 36.0, 33.42857142857143)","(4.4, 5.1, 4.95)","(7.0, 9.0, 8.28)","(10.0, 18.5, 13.916666666666666)","(8.5, 10.0, 9.76)","(3.0, 4.1, 4.114893617021277)","(3.6, 4.5, 4.41)"
16-12-2022 15:28:37.522976,"(21.0, 36.0, 34.666666666666664)","(4.4, 5.1, 5.069999999999999)","(7.0, 9.0, 8.28)","(10.0, 18.5, 13.916666666666666)","(8.5, 10.0, 9.76)","(3.0, 4.2, 4.102439024390244)","(3.6, 4.5, 4.41)"
16-12-2022 15:28:38.562228,"(21.0, 36.0, 34.0)","(4.4, 5.1, 5.007692307692308)","(7.0, 9.0, 8.533333333333333)","(10.0, 18.5, 13.916666666666666)","(8.5, 10.0, 9.76)","(3.0, 4.2, 4.102439024390244)","(3.6, 4.5, 4.213333333333334)"
16-12-2022 15:28:39.741276,"(21.0, 38.0, 35.0)","(4.4, 5.1, 4.876470588235295)","(7.0, 9.0, 8.127272727272727)","(10.0, 18.5, 13.916666666666666)","(8.5, 10.0, 9.8)","(3.0, 4.2, 3.833333333333333)","(3.6, 4.4, 4.257692307692308)"
16-12-2022 15:28:40.857601,"(21.0, 38.0, 35.0)","(4.4, 5.0, 4.872727272727273)","(7.0, 9.0, 8.127272727272727)","(10.0, 18.5, 15.0)","(8.5, 10.0, 9.8)","(3.0, 4.1, 3.933333333333333)","(3.6, 4.5, 4.332)"
16-12-2022 15:28:42.026610,"(21.0, 38.0, 35.0)","(4.4, 5.4, 5.236363636363636)","(7.0, 9.0, 8.266666666666667)","(10.0, 18.0, 15.25)","(8.5, 10.0, 9.64)","(3.0, 4.0, 3.8214285714285716)","(3.6, 4.5, 5.15)"
16-12-2022 15:28:43.126129,"(21.0, 38.0, 35.0)","(4.4, 5.1, 4.98)","(7.0, 8.4, 8.266666666666667)","(10.0, 17.0, 12.954545454545455)","(8.5, 10.0, 9.63076923076923)","(3.0, 3.85, 3.916666666666667)","(3.6, 5.2, 5.5249999999999995)"
16-12-2022 15:28:44.321414,"(21.0, 38.0, 31.333333333333332)","(4.4, 5.2, 4.825)","(7.0, 9.0, 8.55)","(10.0, 17.5, 14.0)","(8.5, 10.0, 9.622222222222224)","(3.0, 3.95, 3.9214285714285717)","(3.6, 5.6, 5.533333333333333)"
16-12-2022 15:28:45.520329,"(21.0, 38.0, 30.22222222222222)","(4.4, 5.2, 4.825)","(7.0, 9.0, 8.55)","(10.0, 17.0, 14.0)","(8.5, 9.8, 9.553846153846154)","(3.0, 3.95, 3.875)","(3.6, 5.6, 5.574999999999999)"
16-12-2022 15:28:46.718322,"(21.0, 38.0, 30.22222222222222)","(4.4, 5.1, 5.0)","(7.0, 9.0, 8.466666666666667)","(10.0, 16.5, 12.863636363636363)","(8.5, 9.8, 9.566666666666666)","(3.0, 3.95, 3.936764705882353)","(3.6, 5.6, 5.576190476190476)"
16-12-2022 15:28:47.959498,"(21.0, 38.0, 30.22222222222222)","(4.4, 5.1, 4.9)","(7.0, 9.0, 8.355555555555556)","(10.0, 16.5, 12.863636363636363)","(8.5, 9.8, 9.566666666666666)","(3.0, 3.95, 3.931818181818182)","(3.8, 5.6, 5.58955223880597)"
16-12-2022 15:28:49.116644,"(21.0, 38.0, 30.22222222222222)","(4.4, 5.1, 4.9)","(7.0, 8.8, 8.55)","(10.0, 16.5, 12.863636363636363)","(8.5, 9.8, 9.876923076923077)","(3.0, 3.95, 3.9901639344262296)","(3.8, 5.6, 5.6)"
16-12-2022 15:28:50.240441,"(21.0, 38.0, 30.22222222222222)","(4.4, 5.1, 5.06078431372549)","(7.0, 8.8, 8.55)","(10.0, 16.5, 12.863636363636363)","(8.5, 10.0, 9.876923076923077)","(3.0, 4.0, 3.9901639344262296)","(3.8, 5.7, 5.6)"
16-12-2022 15:28:51.438438,"(21.0, 27.0, 26.333333333333332)","(4.4, 5.0, 4.85)","(7.0, 8.4, 8.03076923076923)","(10.0, 16.0, 14.3)","(8.5, 10.0, 9.8)","(3.0, 3.95, 3.87734375)","(3.8, 5.7, 5.74)"
16-12-2022 15:28:52.571980,"(21.0, 27.0, 26.333333333333332)","(4.4, 4.9, 4.878181818181819)","(7.0, 8.4, 8.03076923076923)","(10.0, 15.5, 14.5)","(8.5, 10.0, 9.810526315789474)","(3.0, 3.95, 3.9806451612903224)","(3.8, 5.9, 5.1499999999999995)"
16-12-2022 15:28:53.701542,"(21.0, 27.0, 26.4)","(4.4, 5.1, 5.02)","(7.0, 8.4, 8.03076923076923)","(10.0, 15.5, 14.75)","(8.5, 10.0, 9.810526315789474)","(3.0, 4.0, 3.982857142857143)","(3.8, 5.4, 5.151351351351352)"
16-12-2022 15:28:54.791420,"(21.0, 27.0, 26.4)","(4.4, 5.2, 4.837931034482759)","(7.0, 8.4, 8.03076923076923)","(10.0, 15.5, 14.75)","(8.5, 10.0, 9.810526315789474)","(3.0, 4.0, 3.923809523809524)","(3.8, 5.4, 5.1535714285714285)"
16-12-2022 15:28:56.031866,"(21.0, 27.0, 26.4)","(4.4, 5.1, 5.066666666666666)","(7.0, 8.4, 8.03076923076923)","(10.0, 15.5, 14.875)","(8.5, 10.0, 9.938461538461539)","(3.0, 4.0, 3.855263157894737)","(3.8, 5.4, 5.1535714285714285)"
16-12-2022 15:28:57.351313,"(21.0, 38.0, 30.0)","(4.4, 5.2, 4.992857142857143)","(7.0, 8.4, 8.175)","(10.0, 15.5, 14.875)","(8.5, 10.0, 10.372727272727273)","(3.0, 3.95, 3.765966386554622)","(3.8, 5.4, 5.155555555555555)"
16-12-2022 15:28:58.620530,"(21.0, 36.0, 34.666666666666664)","(4.4, 5.2, 4.818421052631579)","(7.0, 8.4, 8.175)","(10.0, 15.5, 14.944444444444445)","(8.5, 10.5, 10.25)","(3.0, 3.85, 3.7652542372881355)","(3.8, 5.4, 4.996153846153846)"
16-12-2022 15:28:59.840941,"(21.0, 36.0, 32.8421052631579)","(4.4, 5.2, 4.773529411764706)","(7.0, 8.4, 8.175)","(10.0, 15.5, 14.944444444444445)","(8.5, 10.5, 10.25)","(3.0, 3.85, 3.92027027027027)","(3.8, 5.0, 5.078571428571428)"
16-12-2022 15:29:01.014587,"(21.0, 36.0, 32.8421052631579)","(4.4, 5.2, 4.818421052631579)","(7.0, 8.4, 8.22)","(10.0, 15.5, 15.1875)","(8.5, 10.5, 10.345454545454546)","(3.0, 4.1, 4.116666666666666)","(3.8, 5.1, 5.075438596491228)"
16-12-2022 15:29:02.381920,"(21.0, 36.0, 33.142857142857146)","(4.4, 4.9, 4.875)","(7.0, 8.4, 8.325000000000001)","(10.0, 16.5, 16.0625)","(8.5, 11.0, 10.345454545454546)","(3.0, 4.2, 4.116666666666666)","(3.8, 5.1, 5.075438596491228)"
16-12-2022 15:29:03.669907,"(21.0, 36.0, 33.142857142857146)","(4.4, 4.9, 4.875)","(7.0, 8.4, 8.266666666666667)","(10.0, 16.5, 16.0625)","(8.5, 11.0, 10.89090909090909)","(3.0, 4.2, 3.839285714285714)","(3.8, 5.1, 5.078571428571428)"
16-12-2022 15:29:04.882523,"(21.0, 36.0, 33.142857142857146)","(4.4, 5.2, 4.7)","(7.0, 8.8, 8.422222222222222)","(10.0, 16.5, 16.0625)","(8.5, 11.0, 10.372727272727273)","(3.0, 4.0, 3.929411764705882)","(3.8, 5.1, 5.078571428571428)"
16-12-2022 15:29:06.122047,"(21.0, 34.0, 32.666666666666664)","(4.4, 4.7, 4.510309278350515)","(7.0, 8.6, 8.422222222222222)","(10.0, 16.5, 16.0625)","(8.5, 10.5, 10.372727272727273)","(3.0, 4.0, 3.922222222222222)","(3.8, 5.1, 5.08)"
16-12-2022 15:29:07.283728,"(21.0, 34.0, 32.666666666666664)","(4.4, 4.7, 4.510309278350515)","(7.0, 8.6, 8.422222222222222)","(10.0, 16.5, 16.0625)","(8.5, 10.5, 10.372727272727273)","(3.0, 4.0, 3.922222222222222)","(3.8, 5.1, 5.08)"
16-12-2022 15:29:08.536624,"(21.0, 34.0, 32.666666666666664)","(4.4, 4.7, 4.510309278350515)","(7.0, 8.6, 8.454545454545455)","(10.0, 16.5, 16.0625)","(8.5, 10.5, 10.392307692307693)","(3.0, 4.0, 3.9066666666666667)","(3.8, 5.1, 5.079661016949152)"
16-12-2022 15:29:09.818116,"(21.0, 34.0, 32.769230769230774)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.6, 8.422222222222222)","(10.0, 16.5, 16.0625)","(8.5, 10.5, 10.392307692307693)","(3.0, 4.0, 3.9066666666666667)","(3.7, 5.1, 5.079661016949152)"
16-12-2022 15:29:11.014654,"(21.0, 34.0, 32.769230769230774)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.6, 8.422222222222222)","(10.0, 16.5, 16.0625)","(8.5, 10.5, 10.392307692307693)","(3.0, 4.0, 3.9066666666666667)","(3.7, 5.1, 5.079661016949152)"
16-12-2022 15:29:12.185351,"(21.0, 34.0, 32.769230769230774)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.6, 8.422222222222222)","(10.0, 16.5, 16.0625)","(8.5, 10.5, 9.975)","(3.0, 4.0, 3.9066666666666667)","(3.7, 5.1, 5.079661016949152)"
16-12-2022 15:29:13.515259,"(21.0, 34.0, 32.769230769230774)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.6, 8.422222222222222)","(10.0, 16.5, 16.0625)","(8.5, 10.0, 9.976470588235294)","(3.0, 4.0, 3.712280701754386)","(3.7, 5.1, 5.079661016949152)"
16-12-2022 15:29:14.957089,"(21.0, 34.0, 30.5)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.6, 8.422222222222222)","(10.0, 16.5, 13.88888888888889)","(8.5, 10.0, 9.976470588235294)","(3.0, 3.8, 3.7125000000000004)","(3.7, 5.1, 5.273239436619718)"
16-12-2022 15:29:16.283065,"(21.0, 34.0, 30.5)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.6, 8.218181818181819)","(10.0, 15.0, 15.928571428571429)","(8.5, 10.0, 10.040000000000001)","(3.0, 3.8, 3.556164383561644)","(3.7, 5.4, 5.151724137931034)"
16-12-2022 15:29:17.563511,"(21.0, 36.0, 31.2)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.8, 8.48)","(10.0, 16.5, 15.5)","(8.5, 11.0, 9.971428571428572)","(3.0, 3.7, 3.517391304347826)","(3.7, 5.4, 5.151724137931034)"
16-12-2022 15:29:18.798478,"(21.0, 36.0, 31.2)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.8, 8.48)","(10.0, 16.5, 15.5)","(8.5, 11.0, 10.266666666666667)","(3.0, 3.7, 3.5545454545454547)","(3.7, 5.4, 5.175)"
16-12-2022 15:29:20.040429,"(21.0, 36.0, 31.2)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.8, 8.48)","(10.0, 16.5, 15.5)","(8.5, 10.5, 10.066666666666666)","(3.0, 3.65, 3.5545454545454547)","(3.7, 5.4, 5.175)"
16-12-2022 15:29:21.266941,"(21.0, 36.0, 31.2)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.8, 8.48)","(10.0, 16.5, 15.5)","(8.5, 11.0, 10.066666666666666)","(3.0, 3.65, 3.5545454545454547)","(3.7, 5.4, 5.175)"
16-12-2022 15:29:22.570847,"(21.0, 36.0, 31.2)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.8, 8.654545454545454)","(10.0, 16.5, 15.5)","(8.5, 11.0, 10.066666666666666)","(3.0, 3.65, 3.4551724137931035)","(3.7, 5.4, 5.228571428571429)"
16-12-2022 15:29:23.825961,"(21.0, 36.0, 31.2)","(4.2, 4.7, 4.510309278350515)","(7.0, 8.8, 8.654545454545454)","(10.0, 16.5, 15.5)","(8.5, 11.0, 10.066666666666666)","(3.0, 3.6, 3.3454545454545452)","(3.7, 5.4, 5.228571428571429)"
16-12-2022 15:29:25.063752,"(21.0, 36.0, 31.5)","(4.2, 4.5, 4.405494505494506)","(7.0, 8.8, 8.48)","(10.0, 16.5, 15.5)","(8.5, 11.0, 10.066666666666666)","(3.0, 3.6, 3.422727272727273)","(3.7, 5.4, 5.13)"
16-12-2022 15:29:26.346769,"(21.0, 38.0, 28.526315789473685)","(4.2, 4.5, 4.4040983606557385)","(7.0, 8.8, 8.48)","(10.0, 16.5, 15.0)","(8.5, 11.0, 10.066666666666666)","(3.0, 3.55, 3.4566666666666666)","(3.7, 5.4, 5.13)"
16-12-2022 15:29:27.734837,"(21.0, 38.0, 28.526315789473685)","(4.2, 4.5, 4.4040983606557385)","(7.0, 8.8, 8.4)","(10.0, 16.5, 15.25)","(8.5, 11.0, 10.066666666666666)","(3.0, 3.55, 3.45)","(3.7, 5.4, 5.225806451612903)"
16-12-2022 15:29:29.161882,"(21.0, 38.0, 28.526315789473685)","(4.2, 4.5, 8000.08)","(7.0, 8.8, 6667.966666666666)","(10.0, 16.5, 5005.25)","(8.5, 11.0, 6668.533333333334)","(3.0, 3.55, 8570.948571428571)","(3.7, 5.4, 8333.0)"
16-12-2022 15:29:30.643102,"(21.0, 920.0, 470.0)","(4.2, 99999, 704.71)","(7.0, 99999, 6667.966666666666)","(10.0, 99999, 20.5)","(8.5, 99999, 595.8666666666667)","(3.0, 99999, 25.234285714285715)","(3.7, 99999, 733.8333333333333)"
16-12-2022 15:29:32.415270,"(21.0, 920.0, 470.0)","(4.2, 880.0, 704.71)","(7.0, 99999, 6667.966666666666)","(10.0, 27.0, 19.25)","(8.5, 890.0, 595.8666666666667)","(3.0, 29.0, 754.6628571428572)","(3.7, 880.0, 733.8333333333333)"
16-12-2022 15:29:34.447455,"(21.0, 740.0, 380.0)","(4.2, 880.0, 152.71)","(7.0, 99999, 6667.966666666666)","(10.0, 27.0, 19.25)","(8.5, 890.0, 595.8666666666667)","(3.0, 880.0, 25.234285714285715)","(3.7, 880.0, 733.8333333333333)"
16-12-2022 15:29:35.876633,"(21.0, 740.0, 380.0)","(4.2, 190.0, 152.71)","(7.0, 99999, 135.3)","(10.0, 27.0, 19.25)","(8.5, 890.0, 595.8666666666667)","(3.0, 29.0, 25.234285714285715)","(3.7, 880.0, 733.8333333333333)"
16-12-2022 15:29:37.207883,"(21.0, 740.0, 380.0)","(4.2, 190.0, 152.71)","(7.0, 200.0, 468.6333333333333)","(10.0, 27.0, 19.25)","(8.5, 890.0, 469.2)","(3.0, 29.0, 25.234285714285715)","(3.7, 880.0, 8333.0)"
16-12-2022 15:29:38.498456,"(21.0, 740.0, 380.0)","(4.2, 190.0, 152.71)","(7.0, 700.0, 468.6333333333333)","(10.0, 27.0, 19.25)","(8.5, 700.0, 469.2)","(3.0, 29.0, 15.424999999999999)","(3.7, 99999, 575.5)"
16-12-2022 15:29:39.912211,"(21.0, 730.0, 256.66666666666663)","(4.2, 190.0, 152.71)","(7.0, 700.0, 468.6333333333333)","(10.0, 27.0, 19.25)","(8.5, 700.0, 469.2)","(3.0, 27.0, 15.424999999999999)","(3.7, 130.0, 108.83333333333334)"
