,Lucky Fernando,Dewana Scotch,Dewana Burger,Deep Fever,Zippy Audi,Fabriola Yanis,Apache Shout,Arkansas
14-12-2022 19:21:02.430564,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:03.616577,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:04.819532,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:05.974892,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 44.44444444444444)"
14-12-2022 19:21:07.148549,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 75.0, 44.44444444444444)"
14-12-2022 19:21:08.181836,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 75.0, 44.44444444444444)"
14-12-2022 19:21:09.228292,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 75.0, 44.44444444444444)"
14-12-2022 19:21:10.252207,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 75.0, 44.44444444444444)"
14-12-2022 19:21:11.239194,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 75.0, 44.44444444444444)"
14-12-2022 19:21:12.215272,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 75.0, 38.33333333333333)"
