,Tat Yap,Its Luigi,Villanova,Mibin Magic,Over Slips,Aston Gray,Juice,Chloes China
15-12-2022 12:36:43.150021,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:44.354602,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:45.628226,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:46.721386,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:47.833668,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:48.901214,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:50.028881,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:51.191633,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:52.357909,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:53.509546,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:54.722483,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:55.808455,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 158.88888888888889)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
