,Blackwood Johnny,Dewana Natural,Nitro Harvey,Disco Dance,Nitro Cannon,Dewana Boogie,Blitz Danger,Find Doh
30,"[datetime.datetime(2022, 11, 28, 18, 42, 55, 369555), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 55, 369555), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 55, 369555), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 55, 369555), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 55, 369555), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 55, 369555), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 55, 369555), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 55, 369555), 21.0, 70.0]"
31,"[datetime.datetime(2022, 11, 28, 18, 42, 56, 503824), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 56, 503824), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 56, 503824), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 56, 503824), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 56, 503824), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 56, 503824), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 56, 503824), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 56, 503824), 21.0, 70.0]"
32,"[datetime.datetime(2022, 11, 28, 18, 42, 57, 646918), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 57, 646918), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 57, 646918), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 57, 646918), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 57, 646918), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 57, 646918), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 57, 646918), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 57, 646918), 21.0, 70.0]"
33,"[datetime.datetime(2022, 11, 28, 18, 42, 58, 782885), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 58, 782885), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 58, 782885), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 58, 782885), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 58, 782885), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 58, 782885), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 58, 782885), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 58, 782885), 21.0, 70.0]"
34,"[datetime.datetime(2022, 11, 28, 18, 42, 59, 914582), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 59, 914582), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 59, 914582), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 59, 914582), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 59, 914582), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 59, 914582), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 59, 914582), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 59, 914582), 21.0, 70.0]"
35,"[datetime.datetime(2022, 11, 28, 18, 43, 1, 39316), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 43, 1, 39316), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 43, 1, 39316), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 43, 1, 39316), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 43, 1, 39316), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 43, 1, 39316), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 1, 39316), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 1, 39316), 21.0, 70.0]"
36,"[datetime.datetime(2022, 11, 28, 18, 43, 2, 171846), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 43, 2, 171846), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 43, 2, 171846), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 43, 2, 171846), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 43, 2, 171846), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 43, 2, 171846), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 2, 171846), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 2, 171846), 21.0, 70.0]"
37,"[datetime.datetime(2022, 11, 28, 18, 43, 3, 314126), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 43, 3, 314126), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 43, 3, 314126), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 43, 3, 314126), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 43, 3, 314126), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 43, 3, 314126), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 3, 314126), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 3, 314126), 21.0, 70.0]"
38,"[datetime.datetime(2022, 11, 28, 18, 43, 4, 444072), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 43, 4, 444072), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 43, 4, 444072), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 43, 4, 444072), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 43, 4, 444072), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 43, 4, 444072), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 4, 444072), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 4, 444072), 21.0, 70.0]"
39,"[datetime.datetime(2022, 11, 28, 18, 43, 5, 578996), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 43, 5, 578996), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 43, 5, 578996), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 43, 5, 578996), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 43, 5, 578996), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 43, 5, 578996), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 5, 578996), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 43, 5, 578996), 21.0, 70.0]"
