,Fly For Yulong,Demurral,Kings County,Tower Road,Age Of Innocence,Marndarra
16-12-2022 12:44:31.713649,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.25)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:32.715214,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:33.751117,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:34.780235,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:35.960647,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:36.904591,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:37.805459,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:38.856804,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:39.755336,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:40.712163,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:41.693766,"(4.6, 7.4, 7.184615384615385)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:42.785344,"(4.6, 7.4, 7.166666666666667)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:43.838679,"(4.6, 7.4, 7.166666666666667)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.3835772357723577)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:44.818130,"(4.6, 7.4, 7.166666666666667)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.3125)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:45.826435,"(4.6, 7.4, 7.166666666666667)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 23.7)","(10.0, 17.5, 17.0)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:46.858374,"(4.6, 7.4, 7.322222222222223)","(12.0, 19.0, 18.0)","(15.0, 24.0, 22.0)","(10.0, 17.5, 17.0)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:47.801297,"(4.6, 7.4, 7.322222222222223)","(12.0, 19.0, 18.0)","(15.0, 24.0, 22.0)","(10.0, 17.5, 17.0)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:48.719808,"(4.6, 7.4, 7.322222222222223)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 22.0)","(10.0, 17.5, 17.25)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:49.667336,"(4.6, 7.4, 7.322222222222223)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:50.601320,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:51.541769,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:52.540056,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.842105263157894)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:53.554272,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:54.444352,"(4.6, 7.4, 7.322222222222223)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:55.379065,"(4.6, 7.4, 7.322222222222223)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:56.248195,"(4.6, 7.4, 7.322222222222223)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:57.106895,"(4.6, 7.4, 7.322222222222223)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:58.011579,"(4.6, 7.4, 7.322222222222223)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:58.921438,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:44:59.801954,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:00.739506,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:01.683323,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:02.577278,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.383859649122807)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:03.505778,"(4.6, 7.4, 7.2444444444444445)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.75)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:04.476117,"(4.6, 7.4, 7.257894736842106)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 21.333333333333332)","(10.0, 17.5, 16.136363636363637)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:05.392019,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 22.0)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:06.327335,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 23.428571428571427)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:07.337666,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.428571428571427)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:08.222074,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.428571428571427)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:09.194346,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.0)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:10.118211,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:10.994426,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:11.948174,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:12.787842,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:13.708038,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:14.663573,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:15.591406,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:16.465770,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:17.410214,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:18.416850,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:19.264344,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:20.126488,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:21.004763,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:21.867783,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:22.856386,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:23.788319,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3841121495327102)","(101.0, 230.0, 180.0)"
16-12-2022 12:45:24.725976,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.823529411764707)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:25.642659,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.785714285714285)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:26.547891,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.785714285714285)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:27.421651,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.785714285714285)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:28.380726,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.785714285714285)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:29.270838,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.785714285714285)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:30.153106,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.5)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:31.042129,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:31.945420,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:32.790492,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:33.644648,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:34.604626,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:35.541089,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3846846846846845)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:36.494262,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3849056603773584)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:37.474023,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3849056603773584)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:38.341087,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3849056603773584)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:39.191263,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3849056603773584)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:40.259950,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.583333333333332)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3849056603773584)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:41.201223,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.84375)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3849056603773584)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:42.088875,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.333333333333332)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3849056603773584)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:42.920994,"(4.6, 7.4, 7.266666666666667)","(12.0, 19.0, 18.833333333333332)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3849056603773584)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:43.804999,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.0, 18.333333333333332)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.38, 1.3776315789473683)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:44.651572,"(4.6, 7.4, 7.216666666666667)","(12.0, 19.5, 18.0)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.388732394366197)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:45.575657,"(4.6, 7.4, 7.266666666666667)","(12.0, 26.0, 20.333333333333332)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3741935483870968)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:46.437524,"(4.6, 7.4, 7.216666666666667)","(12.0, 25.0, 20.384615384615383)","(15.0, 24.0, 23.4)","(10.0, 17.5, 16.214285714285715)","(1.3, 1.4, 1.3741935483870968)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:47.274172,"(4.6, 7.4, 7.36923076923077)","(12.0, 25.0, 22.272727272727273)","(15.0, 26.0, 22.666666666666668)","(10.0, 21.0, 19.571428571428573)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:48.130034,"(4.6, 7.4, 7.300000000000001)","(12.0, 24.0, 22.289473684210527)","(15.0, 26.0, 22.666666666666668)","(10.0, 21.0, 18.545454545454547)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:49.029150,"(4.6, 7.4, 7.300000000000001)","(12.0, 24.0, 22.289473684210527)","(15.0, 26.0, 22.666666666666668)","(10.0, 21.0, 19.071428571428573)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:49.959282,"(4.6, 7.4, 7.300000000000001)","(12.0, 24.0, 22.289473684210527)","(15.0, 26.0, 22.666666666666668)","(10.0, 21.0, 18.0)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:50.864081,"(4.6, 7.4, 7.300000000000001)","(12.0, 23.0, 22.3125)","(15.0, 26.0, 22.666666666666668)","(10.0, 21.0, 18.0)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:51.820884,"(4.6, 7.4, 7.300000000000001)","(12.0, 23.0, 22.3125)","(15.0, 26.0, 22.666666666666668)","(10.0, 21.0, 18.0)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:52.719178,"(4.6, 7.4, 7.300000000000001)","(12.0, 23.0, 22.3125)","(15.0, 26.0, 22.666666666666668)","(10.0, 21.0, 18.0)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:53.650354,"(4.6, 7.4, 7.300000000000001)","(12.0, 23.0, 22.3125)","(15.0, 26.0, 22.666666666666668)","(10.0, 21.0, 18.0)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:54.617820,"(4.6, 7.4, 7.300000000000001)","(12.0, 23.0, 22.3125)","(15.0, 26.0, 22.666666666666668)","(10.0, 20.0, 17.5)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:55.478938,"(4.6, 7.4, 7.36923076923077)","(12.0, 23.0, 21.35)","(15.0, 26.0, 24.0)","(10.0, 19.5, 17.5)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:56.340458,"(4.6, 7.4, 7.300000000000001)","(12.0, 22.0, 20.81578947368421)","(15.0, 26.0, 24.0)","(10.0, 19.5, 17.833333333333332)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:57.295832,"(4.6, 7.4, 7.36923076923077)","(12.0, 22.0, 20.81578947368421)","(15.0, 26.0, 24.0)","(10.0, 19.5, 17.0)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:58.217340,"(4.6, 7.4, 7.36923076923077)","(12.0, 22.0, 20.81578947368421)","(15.0, 26.0, 25.0)","(10.0, 19.5, 17.0)","(1.3, 1.4, 1.3730337078651687)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:45:59.228231,"(4.6, 7.4, 7.366666666666667)","(12.0, 22.0, 20.81578947368421)","(15.0, 26.0, 25.0)","(10.0, 19.5, 17.0)","(1.3, 1.4, 1.3741935483870968)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:00.157973,"(4.6, 7.4, 7.300000000000001)","(12.0, 22.0, 20.81578947368421)","(15.0, 26.0, 25.0)","(10.0, 19.5, 17.0)","(1.3, 1.4, 1.3741935483870968)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:01.061333,"(4.6, 7.4, 7.300000000000001)","(12.0, 22.0, 20.81578947368421)","(15.0, 26.0, 25.0)","(10.0, 19.5, 17.0)","(1.3, 1.4, 1.3741935483870968)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:01.955791,"(4.6, 7.4, 7.36923076923077)","(12.0, 22.0, 20.81578947368421)","(15.0, 26.0, 25.0)","(10.0, 19.5, 17.0)","(1.3, 1.4, 1.3741935483870968)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:02.919246,"(4.6, 7.4, 7.36923076923077)","(12.0, 22.0, 19.67241379310345)","(15.0, 26.0, 25.0625)","(10.0, 19.5, 16.772727272727273)","(1.3, 1.4, 1.3741935483870968)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:03.808957,"(4.6, 7.4, 7.36923076923077)","(12.0, 22.0, 19.67241379310345)","(15.0, 26.0, 25.0625)","(10.0, 19.5, 16.772727272727273)","(1.3, 1.4, 1.3746428571428573)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:04.730770,"(4.6, 7.4, 7.300000000000001)","(12.0, 21.0, 20.766666666666666)","(15.0, 26.0, 25.0625)","(10.0, 19.0, 17.75)","(1.3, 1.4, 1.3746428571428573)","(101.0, 230.0, 195.0)"
16-12-2022 12:46:05.656914,"(4.6, 7.4, 7.300000000000001)","(12.0, 21.0, 20.07894736842105)","(15.0, 26.0, 25.0625)","(10.0, 19.0, 16.916666666666668)","(1.3, 1.4, 1.3746428571428573)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:06.559119,"(4.6, 7.4, 7.36923076923077)","(12.0, 21.0, 20.07894736842105)","(15.0, 26.0, 25.0625)","(10.0, 19.0, 16.916666666666668)","(1.3, 1.4, 1.3746428571428573)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:07.465605,"(4.6, 7.4, 7.300000000000001)","(12.0, 21.0, 20.38235294117647)","(15.0, 26.0, 25.0625)","(10.0, 19.0, 17.125)","(1.3, 1.4, 1.3746428571428573)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:08.406834,"(4.6, 7.4, 7.300000000000001)","(12.0, 21.0, 20.38235294117647)","(15.0, 26.0, 25.0625)","(10.0, 19.0, 17.125)","(1.3, 1.4, 1.3746428571428573)","(101.0, 230.0, 183.33333333333334)"
16-12-2022 12:46:09.304751,"(4.6, 7.4, 7.36923076923077)","(12.0, 21.0, 19.630434782608695)","(15.0, 26.0, 25.0625)","(10.0, 19.0, 16.8125)","(1.3, 1.4, 1.3746428571428573)","(101.0, 230.0, 195.0)"
