,Cornish Smuggler,Rambunctious,Illawong Danny,Wichita Kansas,Good Feelings,River Patrol Nz,Layden,Spicey Major,Starzzz Destiny
11-01-2023 20:14:41.743911,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:43.022232,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:44.407501,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:45.681845,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:46.951329,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:48.321168,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:49.651425,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:50.996957,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:52.300891,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:53.603136,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:54.913594,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:56.167233,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:57.457037,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.72)","(3.5, 4.9, 4.0)","(2.8, 3.95, 3.8)"
