,Boomsong,Flora,No Statement,Bedtime Stories,Meod,Tsarina Sophia,Upside,Dual Escape,Mr Polar
08-12-2022 15:39:51.334453,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 280.0, 247.79999999999998)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:39:52.820399,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 270.0, 247.79999999999998)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:39:54.345820,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 270.0, 247.79999999999998)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:39:55.831671,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 270.0, 247.79999999999998)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:39:57.212778,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 270.0, 247.79999999999998)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:39:58.605236,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 270.0, 247.79999999999998)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:40:00.030461,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 270.0, 247.79999999999998)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:40:01.476355,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 270.0, 221.45454545454547)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:40:02.967836,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 260.0, 189.33333333333331)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:40:04.543363,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 260.0, 189.33333333333331)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:40:06.018437,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 260.0, 189.33333333333331)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 42.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:40:07.523629,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 260.0, 189.33333333333331)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 48.4)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:40:09.085329,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 260.0, 189.33333333333331)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 67.26315789473685)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 43.75)"
08-12-2022 15:40:10.545653,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 260.0, 189.33333333333331)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 50.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 40.333333333333336)"
08-12-2022 15:40:11.980792,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 36.666666666666664)","(8.0, 12.0, 11.0)","(41.0, 260.0, 189.33333333333331)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 50.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 40.333333333333336)"
08-12-2022 15:40:13.428037,"(2.7, 3.6, 3.5500000000000003)","(31.0, 38.0, 66.85714285714286)","(8.0, 12.0, 11.0)","(41.0, 260.0, 189.33333333333331)","(3.4, 4.1, 3.9680722891566265)","(3.0, 3.65, 3.575)","(31.0, 90.0, 50.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 40.333333333333336)"
08-12-2022 15:40:14.889402,"(2.7, 3.6, 3.4255102040816325)","(31.0, 80.0, 63.285714285714285)","(8.0, 12.0, 11.0)","(41.0, 260.0, 228.0)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 90.0, 62.5)","(31.0, 55.0, 53.333333333333336)","(26.0, 46.0, 35.5)"
08-12-2022 15:40:16.337755,"(2.7, 3.65, 3.4255102040816325)","(31.0, 75.0, 59.714285714285715)","(8.0, 12.0, 11.0)","(41.0, 300.0, 249.66666666666669)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 85.0, 62.5)","(31.0, 55.0, 53.333333333333336)","(26.0, 42.0, 37.333333333333336)"
08-12-2022 15:40:17.705242,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 59.714285714285715)","(8.0, 12.0, 11.0)","(41.0, 290.0, 249.66666666666669)","(3.4, 4.1, 3.975568181818182)","(3.0, 3.65, 3.575)","(31.0, 85.0, 62.5)","(31.0, 55.0, 53.333333333333336)","(26.0, 42.0, 37.333333333333336)"
08-12-2022 15:40:19.088357,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 59.714285714285715)","(8.0, 12.0, 11.0)","(41.0, 290.0, 249.66666666666669)","(3.4, 4.1, 3.9680722891566265)","(3.0, 3.65, 3.575)","(31.0, 85.0, 62.5)","(31.0, 55.0, 53.333333333333336)","(26.0, 42.0, 37.333333333333336)"
08-12-2022 15:40:20.486499,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 59.714285714285715)","(8.0, 12.0, 11.0)","(41.0, 290.0, 249.66666666666669)","(3.4, 4.1, 3.9680722891566265)","(3.0, 3.65, 3.575)","(31.0, 85.0, 60.0)","(31.0, 55.0, 53.333333333333336)","(26.0, 42.0, 37.333333333333336)"
08-12-2022 15:40:22.005381,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 59.714285714285715)","(8.0, 12.0, 11.0)","(41.0, 290.0, 220.85714285714283)","(3.4, 4.1, 3.965625)","(3.0, 3.65, 3.575)","(31.0, 80.0, 57.5)","(31.0, 55.0, 51.714285714285715)","(26.0, 42.0, 37.25)"
08-12-2022 15:40:23.609041,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 59.714285714285715)","(8.0, 12.0, 11.0)","(41.0, 290.0, 220.85714285714283)","(3.4, 4.2, 4.002631578947368)","(3.0, 3.65, 3.575)","(31.0, 75.0, 67.22222222222223)","(31.0, 55.0, 45.5)","(26.0, 42.0, 38.54545454545455)"
08-12-2022 15:40:25.261444,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 53.0)","(8.0, 12.0, 11.0)","(41.0, 290.0, 170.0)","(3.4, 4.2, 4.002631578947368)","(3.0, 3.65, 3.575)","(31.0, 75.0, 58.5)","(31.0, 50.0, 42.0)","(26.0, 42.0, 37.5)"
08-12-2022 15:40:26.824059,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 53.0)","(8.0, 12.0, 11.0)","(41.0, 290.0, 160.0)","(3.4, 4.2, 4.002631578947368)","(3.0, 3.65, 3.575)","(31.0, 75.0, 58.5)","(31.0, 50.0, 42.0)","(26.0, 42.0, 37.5)"
08-12-2022 15:40:28.137705,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 53.0)","(8.0, 12.0, 11.0)","(41.0, 270.0, 160.0)","(3.4, 4.2, 4.002631578947368)","(3.0, 3.65, 3.575)","(31.0, 75.0, 58.5)","(31.0, 50.0, 42.0)","(26.0, 42.0, 37.5)"
08-12-2022 15:40:29.512701,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 53.0)","(8.0, 12.0, 11.0)","(41.0, 270.0, 264.2857142857143)","(3.4, 4.2, 4.002631578947368)","(3.0, 3.65, 3.575)","(31.0, 75.0, 58.5)","(31.0, 50.0, 42.0)","(26.0, 42.0, 36.0)"
08-12-2022 15:40:30.955364,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 53.0)","(8.0, 12.0, 11.0)","(41.0, 300.0, 264.2857142857143)","(3.4, 4.2, 4.002631578947368)","(3.0, 3.65, 3.575)","(31.0, 75.0, 58.5)","(31.0, 50.0, 42.0)","(26.0, 40.0, 36.0)"
08-12-2022 15:40:32.340734,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 53.0)","(8.0, 12.0, 11.0)","(41.0, 300.0, 264.2857142857143)","(3.4, 4.2, 4.002631578947368)","(3.0, 3.65, 3.575)","(31.0, 75.0, 58.5)","(31.0, 50.0, 42.0)","(26.0, 40.0, 34.5)"
08-12-2022 15:40:33.694601,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 53.0)","(8.0, 12.0, 12.0)","(41.0, 300.0, 251.0)","(3.4, 4.2, 4.002631578947368)","(3.0, 3.65, 3.575)","(31.0, 75.0, 67.66666666666666)","(31.0, 50.0, 42.0)","(26.0, 38.0, 35.84615384615385)"
08-12-2022 15:40:35.035445,"(2.7, 3.65, 3.4255102040816325)","(31.0, 70.0, 63.81818181818181)","(8.0, 13.0, 12.4)","(41.0, 300.0, 275.5)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 38.0, 35.84615384615385)"
08-12-2022 15:40:36.491329,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 63.81818181818181)","(8.0, 13.0, 12.4)","(41.0, 300.0, 275.5)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 38.0, 35.84615384615385)"
08-12-2022 15:40:37.830467,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 63.81818181818181)","(8.0, 13.0, 12.4)","(41.0, 300.0, 275.5)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 38.0, 35.84615384615385)"
08-12-2022 15:40:39.189598,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 63.81818181818181)","(8.0, 13.0, 11.666666666666666)","(41.0, 300.0, 275.5)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 38.0, 30.5)"
08-12-2022 15:40:40.517676,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 63.81818181818181)","(8.0, 12.5, 11.666666666666666)","(41.0, 300.0, 275.5)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 36.0, 33.25)"
08-12-2022 15:40:41.894325,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 63.81818181818181)","(8.0, 12.5, 11.666666666666666)","(41.0, 300.0, 275.5)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 36.0, 31.75)"
08-12-2022 15:40:43.308989,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 63.81818181818181)","(8.0, 12.5, 11.666666666666666)","(41.0, 300.0, 275.5)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 34.0, 31.75)"
08-12-2022 15:40:44.724280,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 56.4)","(8.0, 12.5, 11.666666666666666)","(41.0, 300.0, 252.0)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 34.0, 32.61538461538461)"
08-12-2022 15:40:46.139374,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 56.4)","(8.0, 12.5, 11.666666666666666)","(41.0, 300.0, 270.0)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 34.0, 31.714285714285715)"
08-12-2022 15:40:47.479050,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 56.4)","(8.0, 12.5, 11.666666666666666)","(41.0, 300.0, 238.8888888888889)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 34.0, 31.714285714285715)"
08-12-2022 15:40:48.831463,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 56.4)","(8.0, 12.5, 11.666666666666666)","(41.0, 290.0, 238.8888888888889)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 34.0, 31.714285714285715)"
08-12-2022 15:40:50.118480,"(2.7, 3.65, 3.480769230769231)","(31.0, 70.0, 56.4)","(8.0, 12.0, 11.333333333333334)","(41.0, 290.0, 231.1111111111111)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 34.0, 31.714285714285715)"
08-12-2022 15:40:51.440755,"(2.7, 3.65, 3.480769230769231)","(31.0, 190.0, 128.4)","(8.0, 12.0, 11.333333333333334)","(41.0, 280.0, 231.1111111111111)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.575)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 34.0, 31.714285714285715)"
08-12-2022 15:40:52.816011,"(2.7, 3.65, 3.480769230769231)","(31.0, 190.0, 128.4)","(8.0, 12.0, 11.333333333333334)","(41.0, 280.0, 231.1111111111111)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 54.333333333333336)","(31.0, 50.0, 42.0)","(26.0, 34.0, 31.714285714285715)"
08-12-2022 15:40:54.168835,"(2.7, 3.65, 3.480769230769231)","(31.0, 190.0, 87.33333333333334)","(8.0, 12.0, 11.333333333333334)","(41.0, 280.0, 231.1111111111111)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 67.25)","(31.0, 50.0, 47.0)","(26.0, 34.0, 31.714285714285715)"
08-12-2022 15:40:55.438456,"(2.7, 3.65, 3.480769230769231)","(31.0, 190.0, 87.33333333333334)","(8.0, 12.0, 11.333333333333334)","(41.0, 280.0, 236.0)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 67.25)","(31.0, 50.0, 47.0)","(26.0, 34.0, 31.714285714285715)"
08-12-2022 15:40:56.641810,"(2.7, 3.65, 3.480769230769231)","(31.0, 190.0, 113.0)","(8.0, 12.0, 11.333333333333334)","(41.0, 280.0, 189.23076923076923)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 42.0)","(26.0, 34.0, 30.285714285714285)"
08-12-2022 15:40:57.985429,"(2.7, 3.65, 3.480769230769231)","(31.0, 180.0, 77.14285714285714)","(8.0, 12.0, 11.25)","(41.0, 270.0, 189.23076923076923)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 42.0)","(26.0, 32.0, 28.5)"
08-12-2022 15:40:59.310097,"(2.7, 3.65, 3.480769230769231)","(31.0, 180.0, 77.14285714285714)","(8.0, 12.0, 11.25)","(41.0, 270.0, 220.0)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 42.0)","(26.0, 32.0, 30.25)"
08-12-2022 15:41:00.681846,"(2.7, 3.65, 3.480769230769231)","(31.0, 170.0, 103.0)","(8.0, 12.0, 11.25)","(41.0, 260.0, 207.77777777777777)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 42.0)","(26.0, 32.0, 30.25)"
08-12-2022 15:41:02.032172,"(2.7, 3.65, 3.480769230769231)","(31.0, 160.0, 93.0)","(8.0, 12.5, 11.5)","(41.0, 250.0, 126.66666666666666)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 44.666666666666664)","(26.0, 32.0, 30.25)"
08-12-2022 15:41:03.302252,"(2.7, 3.65, 3.480769230769231)","(31.0, 150.0, 93.0)","(8.0, 12.5, 11.5)","(41.0, 250.0, 190.0)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 44.666666666666664)","(26.0, 32.0, 30.25)"
08-12-2022 15:41:04.529285,"(2.7, 3.65, 3.480769230769231)","(31.0, 150.0, 93.0)","(8.0, 12.5, 10.928571428571429)","(41.0, 240.0, 190.0)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 44.666666666666664)","(26.0, 32.0, 38.0)"
08-12-2022 15:41:05.885844,"(2.7, 3.65, 3.480769230769231)","(31.0, 150.0, 93.0)","(8.0, 13.5, 10.928571428571429)","(41.0, 240.0, 123.33333333333334)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 44.666666666666664)","(26.0, 44.0, 34.0)"
08-12-2022 15:41:07.251953,"(2.7, 3.65, 3.480769230769231)","(31.0, 150.0, 68.57142857142857)","(8.0, 13.5, 10.928571428571429)","(41.0, 240.0, 94.16666666666667)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 47.0)","(26.0, 42.0, 38.75)"
08-12-2022 15:41:08.569721,"(2.7, 3.65, 3.480769230769231)","(31.0, 150.0, 68.57142857142857)","(8.0, 13.5, 12.0)","(41.0, 240.0, 147.5)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.475)","(31.0, 75.0, 59.5)","(31.0, 50.0, 47.0)","(26.0, 42.0, 38.75)"
08-12-2022 15:41:09.745173,"(2.7, 3.65, 3.480769230769231)","(31.0, 140.0, 105.33333333333333)","(8.0, 13.0, 11.75)","(41.0, 230.0, 147.5)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.4166666666666665)","(31.0, 75.0, 59.5)","(31.0, 50.0, 47.0)","(26.0, 42.0, 38.75)"
08-12-2022 15:41:11.016969,"(2.7, 3.65, 3.480769230769231)","(31.0, 140.0, 70.66666666666666)","(8.0, 13.0, 11.75)","(41.0, 230.0, 116.66666666666666)","(3.4, 4.2, 4.007692307692308)","(3.0, 3.65, 3.4166666666666665)","(31.0, 75.0, 57.0)","(31.0, 50.0, 47.0)","(26.0, 42.0, 37.25)"
08-12-2022 15:41:12.273747,"(2.7, 3.9, 3.872826086956522)","(31.0, 130.0, 67.33333333333333)","(8.0, 13.0, 11.5)","(41.0, 220.0, 116.66666666666666)","(3.4, 4.2, 4.007692307692308)","(2.9, 3.65, 3.4166666666666665)","(31.0, 70.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 40.0, 35.75)"
08-12-2022 15:41:13.641508,"(2.7, 3.9, 3.872826086956522)","(31.0, 130.0, 67.33333333333333)","(8.0, 12.5, 11.25)","(41.0, 220.0, 116.66666666666666)","(3.4, 4.2, 4.007692307692308)","(2.9, 3.65, 3.4166666666666665)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 38.0, 35.75)"
08-12-2022 15:41:15.012931,"(2.7, 3.9, 3.8208333333333333)","(31.0, 130.0, 67.33333333333333)","(8.0, 12.0, 11.25)","(41.0, 220.0, 116.66666666666666)","(3.4, 4.2, 4.025581395348837)","(2.9, 3.65, 3.4166666666666665)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 38.0, 35.75)"
08-12-2022 15:41:16.352813,"(2.7, 3.9, 3.71)","(31.0, 130.0, 54.8)","(8.0, 12.0, 11.25)","(41.0, 220.0, 103.75)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4166666666666665)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 38.0, 35.75)"
08-12-2022 15:41:17.534017,"(2.7, 3.9, 3.71)","(31.0, 130.0, 54.8)","(8.0, 12.0, 11.25)","(41.0, 220.0, 103.75)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 38.0, 35.75)"
08-12-2022 15:41:18.812195,"(2.7, 3.9, 3.71)","(31.0, 130.0, 62.85714285714286)","(8.0, 12.0, 11.25)","(41.0, 220.0, 103.75)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 38.0, 35.75)"
08-12-2022 15:41:20.134927,"(2.7, 3.9, 3.71)","(31.0, 130.0, 62.85714285714286)","(8.0, 12.0, 11.25)","(41.0, 220.0, 103.75)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 38.0, 34.25)"
08-12-2022 15:41:21.465846,"(2.7, 3.9, 3.71)","(31.0, 130.0, 62.85714285714286)","(8.0, 12.0, 11.555555555555555)","(41.0, 220.0, 182.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:22.865400,"(2.7, 3.9, 3.71)","(31.0, 130.0, 62.85714285714286)","(8.0, 12.0, 11.555555555555555)","(41.0, 300.0, 182.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:24.241392,"(2.7, 3.9, 3.71)","(31.0, 130.0, 62.85714285714286)","(8.0, 12.0, 11.555555555555555)","(41.0, 300.0, 182.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:25.643683,"(2.7, 3.9, 3.71)","(31.0, 130.0, 111.19999999999999)","(8.0, 12.0, 11.289473684210526)","(41.0, 300.0, 182.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:26.933163,"(2.7, 3.9, 3.71)","(31.0, 130.0, 111.19999999999999)","(8.0, 13.5, 11.289473684210526)","(41.0, 300.0, 182.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:28.243424,"(2.7, 3.9, 3.71)","(31.0, 130.0, 111.19999999999999)","(8.0, 13.5, 12.333333333333332)","(41.0, 300.0, 182.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:29.597211,"(2.7, 3.9, 3.71)","(31.0, 130.0, 111.19999999999999)","(8.0, 13.0, 12.333333333333332)","(41.0, 300.0, 182.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4045454545454548)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:30.949510,"(2.7, 3.9, 3.71)","(31.0, 130.0, 111.19999999999999)","(8.0, 13.0, 12.333333333333332)","(41.0, 300.0, 182.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.4536363636363636)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:32.276239,"(2.7, 3.9, 3.71)","(31.0, 130.0, 84.0)","(8.0, 13.0, 12.333333333333332)","(41.0, 300.0, 177.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.128947368421053)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:33.591152,"(2.7, 3.9, 3.71)","(31.0, 130.0, 84.0)","(8.0, 13.0, 12.333333333333332)","(41.0, 300.0, 177.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.2195652173913043)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:35.275097,"(2.7, 3.9, 3.71)","(31.0, 130.0, 84.0)","(8.0, 13.0, 12.333333333333332)","(41.0, 300.0, 177.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.2195652173913043)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
08-12-2022 15:41:36.763698,"(2.7, 3.9, 3.71)","(31.0, 130.0, 65.71428571428572)","(8.0, 13.0, 11.75)","(41.0, 300.0, 177.5)","(3.4, 4.2, 4.101538461538461)","(2.9, 3.65, 3.375)","(31.0, 65.0, 54.5)","(31.0, 50.0, 47.0)","(26.0, 36.0, 34.25)"
