,Anguilla,Skip On Home,No Bribes Thanks,Bodacious Brew,Ernesto,Lord Percy,Sheza Daydreama,Yankee Rockette
06-01-2023 12:45:11.889731,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.255698924731183)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:13.078466,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.022666666666666)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:14.348917,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:15.488122,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:16.689211,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:17.913807,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:19.184646,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:20.282412,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:21.519918,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:22.731561,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:23.847882,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:25.053316,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:26.324219,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:27.441242,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:28.523845,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:29.634237,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:30.698650,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:31.790239,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:33.225164,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:34.329525,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:35.723078,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:36.849565,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:37.959498,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:39.255857,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:40.405789,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:41.461124,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:42.612047,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:43.688537,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:44.798803,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:45.831600,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:46.900635,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:48.049456,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:49.064114,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:50.078012,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:51.130144,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:52.158853,"(16.0, 50.0, 25.666666666666664)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.126666666666667)","(4.0, 6.2, 5.4)"
