,Shes Roses,Lektra Dish,Blazin Cool,Devils Spirit,Mt View Jewel,Dr Earnie,Establishment
07-01-2023 09:55:54.335308,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:55:55.331802,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:55:56.447445,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:55:57.581447,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:55:58.626234,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:55:59.770846,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:00.846270,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:01.816653,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:02.841350,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
07-01-2023 09:56:03.788054,"(2.4, 3.25, 2.4577272727272725)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 60.0, 36.94444444444444)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 17.0, 15.280000000000001)"
