,Aikhal,Keyless Go,Tango And Cash,White Hart Express,Cape Wrath,Kentucky Nick,Prickley Prince,Splendid Chap,Princess Alakhai,Sassolino,Missedthedeel,Poetic Whisper
08-12-2022 13:32:22.201422,"(8.0, 10.0, 9.887084870848708)","(41.0, 65.0, 64.56521739130434)","(4.6, 5.1, 5.089411764705883)","(71.0, 130.0, 122.2)","(101.0, 620.0, 590.0)","(5.0, 6.2, 6.036893203883495)","(41.0, 50.0, 48.58064516129032)","(3.6, 4.2, 4.103857566765578)","(101.0, 400.0, 291.42857142857144)","(4.4, 5.1, 5.193506493506494)","(101.0, 170.0, 154.0)","(18.0, 23.0, 22.78095238095238)"
08-12-2022 13:32:23.935873,"(8.0, 10.0, 9.894845360824743)","(41.0, 65.0, 64.56521739130434)","(4.6, 5.2, 5.120474777448071)","(71.0, 130.0, 122.2)","(101.0, 620.0, 590.0)","(5.0, 6.2, 6.036893203883495)","(41.0, 50.0, 48.58064516129032)","(3.6, 4.2, 4.097383720930233)","(101.0, 360.0, 291.42857142857144)","(4.4, 5.2, 5.182170542635659)","(101.0, 170.0, 154.0)","(18.0, 23.0, 22.86813186813187)"
08-12-2022 13:32:25.577548,"(8.0, 10.0, 9.894845360824743)","(41.0, 65.0, 64.56521739130434)","(4.6, 5.2, 5.117783505154639)","(71.0, 130.0, 122.2)","(101.0, 620.0, 590.0)","(5.0, 6.2, 6.036893203883495)","(41.0, 50.0, 48.58064516129032)","(3.6, 4.1, 4.097383720930233)","(101.0, 360.0, 291.42857142857144)","(4.4, 5.2, 5.182170542635659)","(101.0, 170.0, 154.0)","(18.0, 23.0, 22.86813186813187)"
08-12-2022 13:32:27.242468,"(8.0, 10.0, 9.887084870848708)","(41.0, 65.0, 64.56521739130434)","(4.6, 5.2, 5.117424242424242)","(71.0, 130.0, 122.2)","(101.0, 620.0, 590.0)","(5.0, 6.2, 6.036893203883495)","(41.0, 50.0, 48.26315789473684)","(3.6, 4.1, 4.097383720930233)","(101.0, 360.0, 291.42857142857144)","(4.4, 5.2, 5.110368663594469)","(101.0, 170.0, 154.0)","(18.0, 23.0, 22.86813186813187)"
08-12-2022 13:32:28.953066,"(8.0, 10.0, 9.887084870848708)","(41.0, 65.0, 64.56521739130434)","(4.6, 5.2, 5.110714285714286)","(71.0, 130.0, 122.2)","(101.0, 620.0, 590.0)","(5.0, 6.2, 6.052488687782805)","(41.0, 50.0, 48.26315789473684)","(3.6, 4.1, 4.098245614035087)","(101.0, 360.0, 291.42857142857144)","(4.4, 5.2, 5.038506876227898)","(101.0, 170.0, 154.0)","(18.0, 23.0, 22.86813186813187)"
08-12-2022 13:32:30.662728,"(8.0, 10.0, 9.894845360824743)","(41.0, 65.0, 64.56521739130434)","(4.6, 5.2, 5.0904428904428904)","(71.0, 130.0, 122.2)","(101.0, 620.0, 590.0)","(5.0, 6.2, 6.033507853403141)","(41.0, 50.0, 48.26315789473684)","(3.6, 4.1, 4.099056603773585)","(101.0, 360.0, 291.42857142857144)","(4.4, 5.2, 5.106378132118451)","(101.0, 170.0, 154.0)","(18.0, 23.0, 22.86813186813187)"
08-12-2022 13:32:32.426305,"(8.0, 10.0, 9.7)","(41.0, 65.0, 64.58333333333333)","(4.6, 5.2, 5.14496487119438)","(71.0, 130.0, 122.5)","(101.0, 620.0, 594.2857142857143)","(5.0, 6.2, 6.0738095238095235)","(41.0, 50.0, 48.5)","(3.6, 4.1, 4.099208443271768)","(101.0, 360.0, 294.54545454545456)","(4.4, 5.2, 5.110845986984816)","(101.0, 170.0, 160.0)","(18.0, 23.0, 22.88235294117647)"
08-12-2022 13:32:34.026396,"(8.0, 9.8, 9.687878787878788)","(41.0, 65.0, 64.58333333333333)","(4.6, 5.2, 5.141191709844559)","(71.0, 130.0, 122.5)","(101.0, 620.0, 594.2857142857143)","(5.0, 6.2, 6.0738095238095235)","(41.0, 50.0, 49.12)","(3.6, 4.1, 4.099208443271768)","(101.0, 360.0, 294.54545454545456)","(4.4, 5.2, 5.110845986984816)","(101.0, 170.0, 160.0)","(18.0, 23.0, 22.88235294117647)"
08-12-2022 13:32:35.742505,"(8.0, 9.8, 9.687878787878788)","(41.0, 65.0, 64.58333333333333)","(4.6, 5.2, 5.140355329949238)","(71.0, 130.0, 122.5)","(101.0, 620.0, 594.2857142857143)","(5.0, 6.2, 6.0738095238095235)","(41.0, 50.0, 49.12)","(3.6, 4.1, 4.099208443271768)","(101.0, 360.0, 294.54545454545456)","(4.4, 5.2, 5.110845986984816)","(101.0, 170.0, 160.0)","(18.0, 23.0, 22.88235294117647)"
08-12-2022 13:32:37.500907,"(8.0, 9.8, 9.684375)","(41.0, 65.0, 64.2)","(4.6, 5.2, 5.118560606060606)","(71.0, 130.0, 121.875)","(101.0, 620.0, 594.2857142857143)","(5.0, 6.2, 6.0738095238095235)","(41.0, 50.0, 49.333333333333336)","(3.6, 4.1, 4.0611018363939895)","(101.0, 360.0, 294.54545454545456)","(4.4, 5.2, 5.110845986984816)","(101.0, 170.0, 160.0)","(18.0, 23.0, 22.88235294117647)"
08-12-2022 13:32:39.232332,"(8.0, 9.8, 9.670175438596491)","(41.0, 65.0, 64.2)","(4.6, 5.2, 5.118560606060606)","(71.0, 130.0, 121.875)","(101.0, 620.0, 594.2857142857143)","(5.0, 6.2, 6.078151260504201)","(41.0, 50.0, 49.333333333333336)","(3.6, 4.1, 4.059407665505226)","(101.0, 360.0, 294.54545454545456)","(4.4, 5.2, 5.110845986984816)","(101.0, 170.0, 160.0)","(18.0, 23.0, 22.88235294117647)"
08-12-2022 13:32:40.877552,"(8.0, 9.8, 9.698630136986301)","(41.0, 65.0, 64.2233009708738)","(4.6, 5.2, 5.128807947019867)","(71.0, 130.0, 122.04081632653062)","(101.0, 620.0, 594.2857142857143)","(5.0, 6.2, 6.105228758169935)","(41.0, 50.0, 49.55555555555556)","(3.6, 4.1, 4.074556213017751)","(101.0, 360.0, 294.54545454545456)","(4.4, 5.2, 5.102142857142857)","(101.0, 170.0, 161.11111111111111)","(18.0, 23.0, 22.88888888888889)"
08-12-2022 13:32:42.875796,"(8.0, 9.8, 9.698630136986301)","(41.0, 65.0, 64.2233009708738)","(4.6, 5.2, 5.128807947019867)","(71.0, 130.0, 122.04081632653062)","(101.0, 620.0, 594.2857142857143)","(5.0, 6.2, 6.105228758169935)","(41.0, 50.0, 49.55555555555556)","(3.6, 4.1, 4.074556213017751)","(101.0, 360.0, 294.54545454545456)","(4.4, 5.2, 5.102163461538461)","(101.0, 170.0, 161.11111111111111)","(18.0, 23.0, 22.88785046728972)"
08-12-2022 13:32:44.664493,"(8.0, 9.8, 9.572727272727274)","(41.0, 65.0, 64.2233009708738)","(4.6, 5.2, 5.1387283236994215)","(71.0, 130.0, 122.04081632653062)","(101.0, 620.0, 594.2857142857143)","(5.0, 6.2, 6.105228758169935)","(41.0, 50.0, 49.55555555555556)","(3.6, 4.1, 4.138518518518518)","(101.0, 360.0, 294.54545454545456)","(4.4, 5.2, 5.088255613126079)","(101.0, 170.0, 161.11111111111111)","(18.0, 23.0, 22.88785046728972)"
08-12-2022 13:32:46.594749,"(8.0, 9.8, 9.547916666666666)","(41.0, 65.0, 64.28571428571429)","(4.6, 5.2, 5.13910447761194)","(71.0, 130.0, 122.64150943396227)","(101.0, 620.0, 597.5)","(5.0, 6.2, 6.120293398533008)","(41.0, 50.0, 49.8)","(3.6, 4.2, 4.196428571428571)","(101.0, 360.0, 300.0)","(4.4, 5.1, 5.090014684287811)","(101.0, 170.0, 163.33333333333334)","(18.0, 23.0, 22.907692307692308)"
08-12-2022 13:32:48.442881,"(8.0, 9.6, 9.428571428571429)","(41.0, 65.0, 51.0)","(4.6, 5.2, 6.686153846153847)","(71.0, 130.0, 240.0)","(101.0, 620.0, 906.0)","(5.0, 6.2, 6.748717948717949)","(41.0, 50.0, 69.0)","(3.6, 4.2, 4.438888888888888)","(101.0, 360.0, 533.3333333333334)","(4.4, 5.1, 6.011363636363637)","(101.0, 320.0, 205.0)","(18.0, 28.0, 23.3125)"
08-12-2022 13:32:50.206605,"(8.0, 12.0, 9.428571428571429)","(41.0, 70.0, 44.666666666666664)","(4.6, 7.0, 6.258181818181818)","(71.0, 390.0, 235.0)","(101.0, 1000.0, 898.0)","(5.0, 7.2, 6.748717948717949)","(41.0, 100.0, 59.0)","(3.6, 4.8, 4.264705882352941)","(101.0, 610.0, 533.3333333333334)","(4.4, 6.4, 6.011363636363637)","(101.0, 230.0, 160.0)","(18.0, 28.0, 22.444444444444443)"
08-12-2022 13:32:51.909761,"(8.0, 12.0, 9.428571428571429)","(41.0, 70.0, 48.5)","(4.6, 7.0, 3.7399999999999998)","(71.0, 380.0, 186.66666666666669)","(101.0, 990.0, 906.0)","(5.0, 7.2, 6.748717948717949)","(41.0, 80.0, 59.0)","(3.6, 4.8, 4.279999999999999)","(101.0, 610.0, 533.3333333333334)","(4.4, 6.4, 5.703225806451613)","(101.0, 230.0, 160.0)","(18.0, 28.0, 22.444444444444443)"
08-12-2022 13:32:53.550495,"(8.0, 12.0, 9.428571428571429)","(41.0, 65.0, 52.333333333333336)","(4.6, 4.5, 3.351298701298701)","(71.0, 380.0, 186.66666666666669)","(101.0, 1000.0, 836.6666666666667)","(5.0, 7.2, 5.6090909090909085)","(41.0, 80.0, 99.66666666666667)","(3.6, 4.8, 4.703703703703704)","(101.0, 610.0, 525.0)","(4.4, 6.4, 6.228571428571429)","(101.0, 230.0, 183.33333333333331)","(18.0, 28.0, 25.333333333333332)"
08-12-2022 13:32:55.223168,"(8.0, 12.0, 9.285714285714285)","(41.0, 65.0, 49.5)","(4.6, 3.4, 3.913846153846154)","(71.0, 380.0, 237.5)","(101.0, 990.0, 906.0)","(5.0, 5.7, 6.979220779220779)","(41.0, 100.0, 127.66666666666667)","(3.6, 4.8, 4.373913043478261)","(101.0, 600.0, 533.3333333333334)","(4.4, 6.4, 5.909090909090909)","(101.0, 230.0, 160.0)","(18.0, 28.0, 22.25)"
08-12-2022 13:32:56.849140,"(8.0, 12.0, 9.733333333333333)","(41.0, 65.0, 45.666666666666664)","(4.6, 4.0, 3.838461538461538)","(71.0, 380.0, 237.5)","(101.0, 1000.0, 898.0)","(5.0, 7.0, 7.024175824175824)","(41.0, 130.0, 126.25)","(3.6, 4.8, 4.9393939393939394)","(101.0, 610.0, 533.3333333333334)","(4.4, 6.4, 5.52)","(101.0, 230.0, 160.0)","(18.0, 28.0, 20.666666666666668)"
08-12-2022 13:32:58.529714,"(8.0, 12.0, 9.733333333333333)","(41.0, 65.0, 44.0)","(4.6, 4.3, 3.2591836734693875)","(71.0, 380.0, 186.66666666666669)","(101.0, 990.0, 898.0)","(5.0, 7.2, 7.024175824175824)","(41.0, 130.0, 126.25)","(3.6, 5.0, 4.9399999999999995)","(101.0, 610.0, 471.42857142857144)","(4.4, 6.4, 5.75)","(101.0, 230.0, 160.0)","(18.0, 28.0, 22.5)"
