,Mega Banjo,Tricky Kelvin,Be A Character,Fine Wee Lass,Into The Coffee,Rio Ripley,Donald Lane
07-12-2022 18:21:16.278453,"(6.0, 6.8, 6.746666666666666)","(3.6, 4.4, 4.2)","(7.0, 13.5, 13.464788732394366)","(5.0, 8.8, 8.735135135135137)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.314285714285714)","(5.0, 6.6, 5.742857142857143)"
07-12-2022 18:21:17.481536,"(6.0, 6.8, 6.7555555555555555)","(3.6, 4.4, 4.12)","(7.0, 13.5, 13.464788732394366)","(5.0, 8.8, 8.35)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 5.8307692307692305)"
07-12-2022 18:21:18.673506,"(6.0, 6.8, 6.746666666666666)","(3.6, 4.4, 4.325)","(7.0, 14.0, 13.876712328767123)","(5.0, 8.8, 8.73793103448276)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 5.85)"
07-12-2022 18:21:19.739457,"(6.0, 6.8, 6.746666666666666)","(3.6, 4.4, 4.3500000000000005)","(7.0, 14.0, 13.876712328767123)","(5.0, 8.8, 8.5)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.15)"
07-12-2022 18:21:20.863731,"(6.0, 6.8, 6.5)","(3.6, 4.4, 4.3500000000000005)","(7.0, 14.0, 13.876712328767123)","(5.0, 8.8, 8.5)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.288461538461538)"
07-12-2022 18:21:22.096245,"(6.0, 6.8, 6.5)","(3.6, 4.4, 4.272727272727273)","(7.0, 14.0, 13.666666666666666)","(5.0, 9.0, 8.948275862068966)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.2318181818181815)"
07-12-2022 18:21:23.391819,"(6.0, 6.8, 6.26)","(3.6, 4.4, 4.283333333333333)","(7.0, 14.0, 13.0)","(5.0, 9.0, 8.961538461538462)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.2318181818181815)"
07-12-2022 18:21:24.475632,"(6.0, 6.6, 6.483333333333333)","(3.6, 4.4, 4.283333333333333)","(7.0, 14.0, 13.0)","(5.0, 9.0, 8.961538461538462)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.2318181818181815)"
07-12-2022 18:21:25.680129,"(6.0, 6.6, 6.573076923076923)","(3.6, 4.4, 4.272727272727273)","(7.0, 14.0, 13.0)","(5.0, 9.2, 9.19047619047619)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.4312499999999995)"
07-12-2022 18:21:26.917484,"(6.0, 6.6, 6.566666666666666)","(3.6, 4.3, 4.233333333333333)","(7.0, 14.0, 13.714285714285714)","(5.5, 9.2, 9.192307692307692)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.465)"
07-12-2022 18:21:28.072163,"(6.0, 6.6, 6.577419354838709)","(3.6, 4.3, 4.2)","(7.0, 14.0, 13.714285714285714)","(5.5, 9.2, 9.192307692307692)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.465)"
07-12-2022 18:21:29.328907,"(6.0, 6.6, 6.577419354838709)","(3.6, 4.3, 4.266666666666667)","(7.0, 14.0, 13.789473684210526)","(5.5, 9.2, 9.192307692307692)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.465)"
07-12-2022 18:21:30.477735,"(6.0, 6.6, 6.577419354838709)","(3.6, 4.3, 4.266666666666667)","(7.0, 14.0, 13.789473684210526)","(5.5, 9.2, 9.192307692307692)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.465)"
07-12-2022 18:21:31.507044,"(6.0, 6.6, 6.582926829268293)","(3.6, 4.3, 4.2)","(7.0, 14.0, 13.789473684210526)","(5.5, 9.2, 9.192307692307692)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.3374999999999995)"
07-12-2022 18:21:32.623740,"(6.0, 6.8, 6.16)","(3.6, 4.3, 4.183333333333334)","(7.0, 14.0, 13.438202247191011)","(5.5, 9.2, 9.184466019417474)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.6, 6.15)"
07-12-2022 18:21:33.768098,"(6.0, 6.8, 6.16)","(3.6, 4.3, 4.266666666666667)","(7.0, 15.0, 13.125)","(5.5, 9.2, 9.184466019417474)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.2956521739130435)","(5.0, 6.6, 6.15)"
07-12-2022 18:21:35.017038,"(6.0, 6.8, 6.16)","(3.6, 4.3, 4.266666666666667)","(7.0, 15.0, 13.8)","(5.5, 9.2, 9.162264150943395)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.2956521739130435)","(5.0, 6.6, 6.15)"
07-12-2022 18:21:36.357017,"(6.0, 6.8, 6.16)","(3.6, 4.3, 4.183333333333334)","(7.0, 15.0, 13.8)","(5.5, 9.2, 9.184313725490195)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.228571428571429)","(5.0, 6.6, 6.15)"
07-12-2022 18:21:37.625207,"(6.0, 6.8, 6.16)","(3.6, 4.3, 4.2384615384615385)","(7.0, 15.0, 14.357142857142858)","(5.5, 9.2, 9.08)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.2250000000000005)","(5.0, 6.6, 6.15)"
07-12-2022 18:21:38.777440,"(6.0, 6.8, 6.16)","(3.6, 4.4, 4.2384615384615385)","(7.0, 15.0, 14.357142857142858)","(5.5, 9.2, 9.08)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.2250000000000005)","(5.0, 6.6, 6.15)"
07-12-2022 18:21:40.000305,"(6.0, 6.8, 6.16)","(3.6, 4.3, 4.266666666666667)","(7.0, 15.0, 14.833333333333334)","(5.5, 9.4, 8.714285714285714)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.2250000000000005)","(5.0, 6.6, 6.15)"
07-12-2022 18:21:41.156800,"(6.0, 6.8, 6.631578947368421)","(3.6, 4.3, 4.266666666666667)","(7.0, 15.0, 14.904255319148936)","(5.5, 9.2, 9.179310344827586)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.2250000000000005)","(5.0, 6.6, 6.15)"
07-12-2022 18:21:42.414780,"(6.0, 6.8, 6.64)","(3.6, 4.1, 3.9256410256410255)","(7.0, 15.0, 14.25)","(5.5, 9.4, 9.325925925925926)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.3, 4.213333333333334)","(5.0, 6.6, 6.229411764705882)"
07-12-2022 18:21:43.613228,"(6.0, 6.8, 6.64)","(3.6, 4.1, 3.9256410256410255)","(7.0, 15.0, 14.25)","(5.5, 9.4, 9.1)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.2250000000000005)","(5.0, 6.6, 6.173684210526316)"
07-12-2022 18:21:44.787743,"(6.0, 6.8, 6.64)","(3.6, 4.1, 3.9256410256410255)","(7.5, 15.0, 14.25)","(5.5, 9.2, 9.1)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.2250000000000005)","(5.0, 6.6, 6.173684210526316)"
07-12-2022 18:21:45.976773,"(6.0, 6.8, 6.64)","(3.6, 4.1, 3.9256410256410255)","(7.5, 15.0, 14.25)","(5.5, 9.2, 9.1)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.222222222222222)","(5.0, 6.6, 6.171428571428572)"
07-12-2022 18:21:47.231382,"(6.0, 6.8, 6.618181818181818)","(3.6, 4.1, 3.8569444444444447)","(7.5, 15.0, 14.875)","(5.5, 9.4, 9.2)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.222222222222222)","(5.0, 6.6, 6.1)"
07-12-2022 18:21:48.332938,"(6.0, 6.8, 6.618181818181818)","(3.6, 4.0, 3.9863636363636363)","(7.5, 15.5, 14.75)","(5.5, 9.4, 9.314285714285715)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 3.7875)","(5.0, 6.6, 6.018181818181818)"
07-12-2022 18:21:49.550349,"(6.0, 6.8, 6.666666666666666)","(3.6, 4.1, 3.9555555555555553)","(7.5, 16.0, 15.25)","(5.5, 9.2, 9.133333333333333)","(31.0, 70.0, 66.84210526315789)","(3.7, 4.2, 4.017647058823529)","(5.0, 6.6, 6.199999999999999)"
07-12-2022 18:21:50.765980,"(6.0, 7.0, 6.6)","(3.6, 4.3, 4.133333333333333)","(7.5, 16.0, 15.625)","(5.5, 9.4, 9.387234042553192)","(31.0, 70.0, 67.32876712328768)","(3.7, 4.1, 4.017647058823529)","(5.0, 6.6, 6.08)"
07-12-2022 18:21:51.992206,"(6.0, 7.0, 6.7176470588235295)","(3.6, 4.3, 4.133333333333333)","(7.5, 16.0, 15.892857142857142)","(5.5, 9.6, 9.389473684210527)","(31.0, 70.0, 67.32876712328768)","(3.7, 4.1, 3.9384615384615382)","(5.0, 6.6, 6.08)"
07-12-2022 18:21:53.089797,"(6.0, 7.0, 6.7176470588235295)","(3.6, 4.3, 4.133333333333333)","(7.5, 16.0, 15.892857142857142)","(5.5, 9.4, 9.389473684210527)","(31.0, 70.0, 67.32876712328768)","(3.7, 4.1, 3.9384615384615382)","(5.0, 6.6, 6.08)"
07-12-2022 18:21:54.213671,"(6.0, 7.0, 6.7176470588235295)","(3.6, 4.4, 4.3062499999999995)","(7.5, 16.0, 15.5)","(5.5, 9.4, 9.391044776119404)","(31.0, 70.0, 67.32876712328768)","(3.7, 4.1, 3.9384615384615382)","(5.0, 6.6, 6.033333333333333)"
07-12-2022 18:21:55.362671,"(6.0, 7.0, 6.566666666666666)","(3.5, 4.4, 4.333333333333333)","(7.5, 16.0, 15.5)","(5.5, 9.4, 9.391044776119404)","(31.0, 70.0, 67.32876712328768)","(3.5, 4.0, 3.9285714285714284)","(5.0, 6.6, 6.033333333333333)"
07-12-2022 18:21:56.371580,"(6.0, 7.0, 6.48)","(3.5, 4.4, 4.35)","(7.5, 16.0, 15.5)","(5.5, 9.4, 9.391044776119404)","(31.0, 70.0, 67.32876712328768)","(3.5, 4.0, 3.9285714285714284)","(5.0, 6.6, 6.033333333333333)"
07-12-2022 18:21:57.452717,"(6.0, 7.0, 6.48)","(3.5, 4.4, 4.35)","(7.5, 16.5, 16.125)","(5.5, 9.4, 9.380952380952381)","(31.0, 70.0, 67.32876712328768)","(3.5, 4.0, 3.9285714285714284)","(5.0, 6.6, 6.111111111111111)"
07-12-2022 18:21:58.632622,"(6.0, 7.0, 6.5200000000000005)","(3.5, 4.4, 4.3090909090909095)","(7.5, 16.5, 15.833333333333334)","(5.5, 9.2, 9.193442622950819)","(31.0, 80.0, 78.80952380952381)","(3.5, 3.95, 3.868181818181818)","(5.0, 6.6, 6.111111111111111)"
07-12-2022 18:21:59.765543,"(6.0, 7.0, 6.566666666666666)","(3.5, 4.4, 4.3500000000000005)","(7.5, 16.5, 16.357142857142858)","(5.5, 9.2, 9.193442622950819)","(31.0, 80.0, 65.26315789473684)","(3.5, 3.95, 3.846875)","(5.0, 6.6, 6.111111111111111)"
07-12-2022 18:22:01.299652,"(6.0, 6.8, 6.733333333333333)","(3.5, 4.4, 4.3500000000000005)","(7.5, 16.5, 16.416666666666668)","(5.5, 9.2, 9.193442622950819)","(31.0, 80.0, 68.33333333333333)","(3.5, 3.95, 3.8333333333333335)","(5.0, 6.6, 6.111111111111111)"
07-12-2022 18:22:02.757312,"(6.0, 6.8, 6.733333333333333)","(3.6, 4.4, 4.3500000000000005)","(7.5, 16.5, 16.03846153846154)","(5.5, 9.2, 9.193103448275862)","(31.0, 80.0, 68.33333333333333)","(3.5, 3.85, 3.775)","(5.0, 6.6, 6.247999999999999)"
07-12-2022 18:22:04.055739,"(6.0, 7.0, 6.68)","(3.6, 4.4, 4.3500000000000005)","(7.5, 16.5, 16.192307692307693)","(5.5, 9.2, 9.193103448275862)","(31.0, 80.0, 67.4074074074074)","(3.5, 3.85, 3.738888888888889)","(5.0, 6.6, 6.247999999999999)"
07-12-2022 18:22:05.325923,"(6.0, 7.0, 6.644444444444445)","(3.6, 4.4, 4.3500000000000005)","(8.0, 16.5, 16.192307692307693)","(5.5, 9.2, 9.193103448275862)","(31.0, 80.0, 67.4074074074074)","(3.5, 3.85, 3.8465753424657536)","(5.0, 6.6, 6.333333333333333)"
07-12-2022 18:22:06.763512,"(6.0, 7.0, 6.542857142857143)","(3.6, 4.4, 4.3090909090909095)","(8.0, 16.0, 14.160714285714286)","(5.5, 9.2, 9.381818181818183)","(31.0, 80.0, 76.21621621621622)","(3.5, 3.85, 3.7111111111111112)","(5.0, 6.6, 6.5)"
07-12-2022 18:22:07.984791,"(5.5, 7.0, 6.885714285714285)","(3.6, 4.4, 4.3090909090909095)","(8.0, 15.5, 14.160714285714286)","(5.5, 9.4, 9.381818181818183)","(31.0, 80.0, 76.21621621621622)","(3.5, 3.9, 3.7555555555555555)","(5.0, 6.6, 6.5)"
07-12-2022 18:22:09.199885,"(5.5, 7.0, 6.7)","(3.6, 4.4, 4.333333333333334)","(8.0, 15.5, 13.394736842105264)","(5.5, 9.4, 9.381818181818183)","(31.0, 80.0, 75.58441558441558)","(3.5, 3.8, 3.7416666666666667)","(5.0, 6.6, 6.55)"
07-12-2022 18:22:10.420195,"(5.5, 7.0, 6.709090909090909)","(3.6, 4.4, 4.333333333333334)","(8.0, 15.5, 13.394736842105264)","(5.5, 9.4, 9.381818181818183)","(31.0, 80.0, 75.58441558441558)","(3.5, 3.75, 3.7416666666666667)","(5.0, 6.8, 6.466666666666667)"
07-12-2022 18:22:11.502795,"(5.5, 7.0, 6.786666666666666)","(3.6, 4.4, 4.333333333333334)","(8.0, 15.5, 13.394736842105264)","(5.5, 9.4, 9.381818181818183)","(31.0, 80.0, 77.64705882352942)","(3.5, 3.75, 3.7222222222222223)","(5.0, 6.8, 6.2615384615384615)"
07-12-2022 18:22:12.519707,"(5.5, 7.0, 6.786666666666666)","(3.6, 4.4, 4.292307692307692)","(8.0, 15.5, 14.166666666666666)","(5.5, 9.4, 9.361904761904762)","(31.0, 80.0, 77.64705882352942)","(3.5, 3.75, 3.7222222222222223)","(5.0, 6.8, 6.2615384615384615)"
07-12-2022 18:22:13.645486,"(5.5, 7.0, 6.936)","(3.6, 4.4, 4.283333333333333)","(8.0, 15.5, 14.3)","(5.5, 9.6, 9.571428571428571)","(31.0, 100.0, 96.12903225806451)","(3.5, 3.75, 3.6714285714285713)","(5.0, 6.6, 6.3375)"
07-12-2022 18:22:14.626748,"(5.5, 7.0, 6.936)","(3.6, 4.4, 4.283333333333333)","(8.0, 15.5, 14.642857142857142)","(5.5, 9.6, 9.588461538461537)","(31.0, 100.0, 96.12903225806451)","(3.5, 3.75, 3.6714285714285713)","(5.0, 6.6, 6.3375)"
07-12-2022 18:22:15.646494,"(5.5, 7.0, 6.927272727272728)","(3.6, 4.4, 4.283333333333333)","(8.0, 15.5, 14.642857142857142)","(5.5, 9.6, 9.587755102040816)","(31.0, 100.0, 90.15625)","(3.5, 3.75, 3.725)","(5.0, 6.6, 6.366666666666666)"
07-12-2022 18:22:16.718343,"(5.5, 7.0, 6.927272727272728)","(3.6, 4.4, 4.283333333333333)","(8.0, 15.5, 14.642857142857142)","(5.5, 9.6, 9.587755102040816)","(31.0, 100.0, 92.3170731707317)","(3.5, 3.75, 3.725)","(5.0, 6.6, 6.3999999999999995)"
07-12-2022 18:22:17.865800,"(5.5, 7.0, 6.927272727272728)","(3.6, 4.4, 4.283333333333333)","(8.0, 15.5, 14.642857142857142)","(5.5, 9.6, 9.366666666666667)","(31.0, 100.0, 94.25531914893617)","(3.5, 3.75, 3.725)","(5.0, 6.6, 6.2)"
07-12-2022 18:22:18.940718,"(5.5, 7.0, 6.699999999999999)","(3.6, 4.4, 4.266666666666667)","(8.0, 15.5, 14.794117647058824)","(5.5, 9.4, 9.366666666666667)","(31.0, 100.0, 94.25531914893617)","(3.5, 3.75, 3.7615384615384615)","(5.0, 6.4, 6.142857142857143)"
07-12-2022 18:22:20.019608,"(5.5, 7.0, 6.733333333333333)","(3.6, 4.4, 4.2384615384615385)","(8.0, 15.5, 14.61111111111111)","(5.5, 9.6, 9.584615384615384)","(31.0, 100.0, 94.375)","(3.5, 3.85, 3.786363636363636)","(5.0, 6.4, 6.272)"
07-12-2022 18:22:21.085293,"(5.5, 7.0, 6.791304347826086)","(3.6, 4.3, 4.218518518518518)","(8.0, 15.0, 14.692307692307692)","(5.5, 9.6, 9.584)","(31.0, 100.0, 96.02941176470588)","(3.5, 3.8, 3.786363636363636)","(5.0, 6.4, 6.272)"
07-12-2022 18:22:22.272134,"(5.5, 7.0, 6.791304347826086)","(3.6, 4.3, 4.218518518518518)","(8.0, 15.0, 14.692307692307692)","(5.5, 9.6, 9.58)","(31.0, 100.0, 88.75)","(3.5, 3.8, 3.786363636363636)","(5.0, 6.4, 6.222222222222222)"
07-12-2022 18:22:23.239638,"(5.5, 7.0, 6.791304347826086)","(3.6, 4.3, 4.218518518518518)","(8.0, 15.0, 14.692307692307692)","(5.5, 9.6, 9.58)","(31.0, 100.0, 91.34615384615384)","(3.5, 3.8, 3.786363636363636)","(5.0, 6.4, 6.222222222222222)"
07-12-2022 18:22:24.320130,"(5.5, 7.0, 6.9399999999999995)","(3.6, 4.3, 4.218518518518518)","(8.0, 15.0, 14.692307692307692)","(5.5, 9.6, 9.39)","(31.0, 100.0, 93.79310344827586)","(3.5, 3.8, 3.786363636363636)","(5.0, 6.4, 6.222222222222222)"
07-12-2022 18:22:25.488212,"(5.5, 7.0, 6.9399999999999995)","(3.6, 4.3, 4.218518518518518)","(8.0, 15.0, 14.692307692307692)","(5.5, 9.4, 9.383333333333333)","(31.0, 100.0, 93.79310344827586)","(3.5, 3.8, 3.786363636363636)","(5.0, 6.4, 6.133333333333334)"
07-12-2022 18:22:26.731639,"(5.5, 7.0, 6.940740740740741)","(3.6, 4.3, 4.011764705882353)","(8.0, 15.0, 15.038461538461538)","(5.5, 9.4, 9.383333333333333)","(31.0, 100.0, 93.95348837209302)","(3.5, 3.8, 3.79)","(5.0, 6.4, 6.254545454545455)"
07-12-2022 18:22:27.945618,"(5.5, 7.2, 7.0)","(3.6, 4.2, 4.011764705882353)","(8.0, 15.5, 15.038461538461538)","(5.5, 9.4, 9.380952380952381)","(31.0, 95.0, 93.95348837209302)","(3.5, 3.8, 3.775)","(5.0, 6.4, 6.3500000000000005)"
07-12-2022 18:22:29.108565,"(5.5, 7.2, 6.92)","(3.6, 4.2, 4.0181818181818185)","(8.0, 15.5, 14.794117647058824)","(5.5, 9.4, 9.380952380952381)","(41.0, 95.0, 93.95348837209302)","(3.5, 3.85, 3.775)","(5.0, 6.4, 6.3500000000000005)"
07-12-2022 18:22:30.326546,"(5.5, 7.2, 6.984615384615385)","(3.6, 4.2, 4.0181818181818185)","(8.0, 15.5, 15.071428571428571)","(5.5, 9.4, 9.380952380952381)","(41.0, 95.0, 94.22413793103448)","(3.5, 3.85, 3.72)","(5.0, 6.4, 6.36923076923077)"
07-12-2022 18:22:31.474403,"(5.5, 7.2, 6.984615384615385)","(3.6, 4.2, 4.0181818181818185)","(8.0, 15.5, 14.692307692307692)","(5.5, 9.4, 9.383333333333333)","(41.0, 95.0, 94.28571428571428)","(3.5, 3.8, 3.707692307692308)","(5.0, 6.4, 6.2823529411764705)"
07-12-2022 18:22:32.869719,"(5.5, 7.2, 6.885714285714285)","(3.6, 4.2, 4.046428571428571)","(8.0, 15.0, 14.692307692307692)","(5.5, 9.4, 9.571428571428571)","(41.0, 95.0, 94.28571428571428)","(3.5, 3.8, 3.7653846153846153)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:34.244831,"(6.0, 7.6, 7.05)","(3.6, 4.1, 4.066666666666666)","(9.0, 15.0, 14.692307692307692)","(6.5, 9.6, 9.381818181818183)","(41.0, 95.0, 93.43283582089552)","(3.4, 3.8, 3.723809523809524)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:35.362989,"(6.0, 7.4, 7.08421052631579)","(3.6, 4.1, 4.066666666666666)","(9.0, 15.0, 14.692307692307692)","(6.5, 9.4, 9.381818181818183)","(41.0, 95.0, 93.63636363636364)","(3.4, 3.9, 3.7363636363636363)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:36.628247,"(6.0, 7.4, 7.08421052631579)","(3.6, 4.1, 4.0740740740740735)","(9.0, 15.0, 14.642857142857142)","(6.5, 9.6, 9.555555555555555)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.726470588235294)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:37.909404,"(6.0, 7.4, 7.08421052631579)","(3.6, 4.1, 4.0740740740740735)","(9.0, 15.0, 14.642857142857142)","(6.5, 9.6, 9.555555555555555)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.726470588235294)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:39.071683,"(6.0, 7.4, 6.938461538461539)","(3.6, 4.1, 4.08)","(9.0, 15.0, 14.642857142857142)","(6.5, 9.6, 9.559999999999999)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.8, 3.7857142857142856)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:40.375170,"(6.0, 7.4, 6.938461538461539)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.642857142857142)","(6.5, 9.6, 9.559999999999999)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.8, 3.73)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:41.592262,"(6.0, 7.4, 6.938461538461539)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.642857142857142)","(6.5, 9.6, 9.559999999999999)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.7272727272727275)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:42.619523,"(6.0, 7.4, 6.938461538461539)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.642857142857142)","(6.5, 9.6, 9.559999999999999)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.725531914893617)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:43.681783,"(6.0, 7.4, 6.938461538461539)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.642857142857142)","(6.5, 9.6, 9.703225806451613)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.7272727272727275)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:44.894158,"(6.0, 7.4, 6.828571428571428)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.642857142857142)","(7.0, 9.8, 9.703225806451613)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.716666666666667)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:46.220469,"(6.0, 7.4, 6.828571428571428)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.642857142857142)","(7.0, 9.8, 9.675)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.8, 3.716666666666667)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:47.591820,"(6.0, 7.2, 6.866666666666666)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.642857142857142)","(7.0, 9.8, 9.675)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.8, 3.7115384615384617)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:48.986478,"(6.0, 7.2, 6.866666666666666)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.642857142857142)","(7.0, 9.8, 9.675)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.7115384615384617)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:50.221999,"(6.0, 7.2, 6.866666666666666)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.642857142857142)","(7.0, 9.8, 9.675)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.759090909090909)","(5.0, 6.4, 6.228571428571429)"
07-12-2022 18:22:51.298178,"(6.0, 7.2, 6.866666666666666)","(3.6, 4.1, 4.0814814814814815)","(9.0, 15.0, 14.692307692307692)","(7.0, 9.8, 9.675)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.8, 3.7333333333333334)","(5.0, 6.4, 6.243478260869566)"
07-12-2022 18:22:52.651967,"(6.0, 7.2, 6.866666666666666)","(3.6, 4.1, 4.083870967741936)","(9.0, 15.0, 14.692307692307692)","(7.0, 9.8, 9.703225806451613)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.7452380952380953)","(5.0, 6.4, 6.243478260869566)"
07-12-2022 18:22:54.020710,"(6.0, 7.2, 6.838095238095238)","(3.6, 4.1, 4.083870967741936)","(9.0, 15.0, 14.692307692307692)","(7.0, 9.8, 9.703225806451613)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.7346153846153847)","(5.0, 6.4, 6.243478260869566)"
07-12-2022 18:22:55.456105,"(6.0, 7.2, 6.838095238095238)","(3.6, 4.1, 4.083870967741936)","(9.0, 15.0, 14.428571428571429)","(7.0, 9.8, 9.533333333333333)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.77)","(5.0, 6.4, 6.243478260869566)"
07-12-2022 18:22:56.601537,"(6.0, 7.2, 6.829629629629629)","(3.6, 4.1, 4.083870967741936)","(9.0, 15.0, 14.428571428571429)","(7.0, 9.8, 9.533333333333333)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.7666666666666666)","(5.0, 6.4, 6.243478260869566)"
07-12-2022 18:22:58.051833,"(6.0, 7.2, 6.829629629629629)","(3.6, 4.1, 4.083870967741936)","(9.0, 15.0, 14.142857142857142)","(7.0, 9.8, 9.533333333333333)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.778125)","(5.0, 6.4, 6.243478260869566)"
07-12-2022 18:22:59.194124,"(6.0, 7.2, 6.829629629629629)","(3.6, 4.1, 4.083870967741936)","(9.0, 15.0, 14.2)","(7.0, 9.8, 9.533333333333333)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.775)","(5.0, 6.4, 6.243478260869566)"
07-12-2022 18:23:00.397543,"(6.0, 7.2, 6.829629629629629)","(3.6, 4.1, 4.083870967741936)","(9.0, 15.0, 14.142857142857142)","(7.0, 9.8, 9.700000000000001)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.7785714285714285)","(5.0, 6.4, 6.243478260869566)"
07-12-2022 18:23:01.660845,"(6.0, 7.2, 6.829629629629629)","(3.6, 4.1, 4.078787878787878)","(9.0, 15.0, 14.042553191489361)","(7.0, 9.8, 9.727272727272728)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.791935483870968)","(5.0, 6.4, 6.171428571428572)"
07-12-2022 18:23:02.922011,"(6.0, 7.2, 6.88780487804878)","(3.6, 4.1, 4.057894736842105)","(9.0, 15.0, 14.01923076923077)","(7.0, 9.8, 9.88888888888889)","(41.0, 95.0, 93.79310344827586)","(3.4, 3.85, 3.791935483870968)","(5.0, 6.4, 6.2)"
