,Context,Play Fling,Wreck It Rio,Canya Bellatrix,Been Framed,Couch King,Esmay Nelly,Magic Spry
08-01-2023 17:56:40.349614,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:41.810376,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:43.172361,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:44.379490,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:45.645776,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:46.797637,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:47.930613,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:49.019760,"(5.0, 7.6, 6.8352941176470585)","(8.0, 15.0, 13.0)","(6.5, 12.0, 10.05)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:50.138887,"(5.0, 7.6, 6.8352941176470585)","(8.0, 15.0, 13.0)","(6.5, 12.0, 10.05)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:51.303638,"(5.0, 7.6, 6.8352941176470585)","(8.0, 15.0, 13.0)","(6.5, 12.0, 10.05)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:52.432391,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 12.416666666666666)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:53.518165,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 12.416666666666666)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:54.545060,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 12.416666666666666)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:55.613522,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 13.5, 11.4)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
