,Lightning Luna,Drive The Jack,Gable,Burning Fee,Bailey The Rock,Woodside Bella
11-01-2023 11:11:08.206632,"(5.0, 8.8, 7.28)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:09.250990,"(5.0, 8.8, 7.661538461538462)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:10.178223,"(5.0, 8.8, 7.661538461538462)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:11.142578,"(5.0, 8.8, 7.661538461538462)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:12.081300,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:12.965760,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:13.810632,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:14.720681,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:15.615555,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:16.497023,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:17.446683,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:18.312179,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:19.220185,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:20.119641,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:21.014478,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:21.982646,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:22.881902,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:23.782381,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:24.711981,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:25.776623,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:26.699279,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:27.556130,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:28.483899,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:29.474979,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:30.488722,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:31.510966,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:32.486595,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:33.435382,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:34.378993,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:35.280849,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:36.170293,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:37.028493,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:37.934498,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:38.877452,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:39.793431,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:40.712513,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:41.720442,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:42.639474,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:43.652335,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:44.541960,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:45.434528,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:46.372653,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:47.258215,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:48.180885,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:49.125868,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:49.999115,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:50.894871,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:51.771717,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:52.660027,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:53.646284,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:54.584237,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:55.514509,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:56.430386,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:57.316447,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:58.339150,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:11:59.249573,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:12:00.207589,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:12:01.156995,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:12:02.054369,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:12:02.977474,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:12:03.890393,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.8847058823529412)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:12:04.741625,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0)","(2.5, 3.55, 2.859375)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.133333333333333)"
11-01-2023 11:12:05.665811,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.134615384615385)","(2.5, 3.55, 2.859375)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.528571428571428)"
11-01-2023 11:12:06.591094,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.134615384615385)","(2.5, 3.55, 2.761875)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.528571428571428)"
11-01-2023 11:12:07.542672,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.134615384615385)","(2.5, 3.55, 2.8205555555555555)","(31.0, 170.0, 80.0)","(8.5, 15.5, 11.166666666666666)"
11-01-2023 11:12:08.457948,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0)","(2.5, 3.55, 2.794375)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:09.361357,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0)","(2.5, 3.55, 2.794375)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:10.299494,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0875)","(2.5, 3.55, 2.612142857142857)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:11.210419,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0875)","(2.5, 3.55, 2.8205555555555555)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:12.199623,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0875)","(2.5, 3.55, 2.761875)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:13.135128,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.95625)","(2.5, 3.55, 2.761875)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:14.037457,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.95625)","(2.5, 3.55, 2.761875)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:14.948278,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.112)","(2.5, 3.55, 2.761875)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:15.806320,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.04375)","(2.5, 3.55, 2.745625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:16.700414,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.04375)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:17.647071,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:18.655959,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:19.677231,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0875)","(2.5, 3.55, 2.745625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:20.639669,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0875)","(2.5, 3.55, 2.7929411764705883)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:21.518794,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0875)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:22.383385,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0875)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:23.361214,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:24.308538,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.2379999999999995)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:25.243306,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.175)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:26.194412,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.175)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:27.154355,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.65)","(2.5, 3.55, 2.745625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:28.024455,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.233333333333333)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:28.888578,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.95625)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:29.864779,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.95625)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:30.832016,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.65)","(2.5, 3.55, 2.745625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:31.806328,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.95625)","(2.5, 3.55, 2.745625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:32.802122,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.95625)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:33.704572,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.112)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:34.569533,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.04375)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:35.456905,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.04375)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:36.360610,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.134615384615385)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:37.379065,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.112)","(2.5, 3.55, 2.8388235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:38.391221,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.112)","(2.5, 3.55, 2.794375)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:39.417506,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.04375)","(2.5, 3.55, 2.810625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:40.410214,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.65)","(2.5, 3.55, 2.810625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:41.406135,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.65)","(2.5, 3.55, 2.810625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:42.337554,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.233333333333333)","(2.5, 3.55, 2.810625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:43.221991,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.95625)","(2.5, 3.55, 2.745625)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:44.147737,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.95625)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:45.051655,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 3.95625)","(2.5, 3.55, 2.808235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:46.037057,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.134615384615385)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:46.991285,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.07)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:47.886585,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0)","(2.5, 3.55, 2.778125)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
11-01-2023 11:12:48.856467,"(5.0, 8.8, 7.0)","(3.9, 5.7, 4.3954545454545455)","(3.5, 6.8, 4.0)","(2.5, 3.55, 2.8388235294117647)","(31.0, 170.0, 80.0)","(8.5, 15.5, 13.642857142857142)"
