,Baozun,Eyes On Red,Helluva Life,Victory Stripe,Fort Knox,Charing Cross,Concrete Finisher,Frosted Prayer,Moro Warrior,Great Faces,Hoodoo Brown
16-12-2022 12:47:05.422664,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 18.0, 13.86)"
16-12-2022 12:47:06.653102,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 17.5, 13.86)"
16-12-2022 12:47:07.782717,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 17.5, 13.86)"
16-12-2022 12:47:08.890102,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 17.5, 13.7)"
16-12-2022 12:47:10.471019,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 17.5, 13.7)"
16-12-2022 12:47:11.722540,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.16)","(10.0, 34.0, 22.0)","(26.0, 48.0, 33.0)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 17.5, 14.85)"
16-12-2022 12:47:12.969048,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.0, 7.3428571428571425)","(10.0, 32.0, 22.0)","(26.0, 48.0, 32.0)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 17.0, 14.9)"
16-12-2022 12:47:14.352945,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.6)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 9.2, 7.08)","(10.0, 32.0, 22.0)","(26.0, 46.0, 32.0)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 17.0, 11.399999999999999)"
16-12-2022 12:47:15.653758,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.6)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 9.0, 7.72)","(10.0, 32.0, 22.0)","(26.0, 46.0, 32.0)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 17.0, 14.575)"
16-12-2022 12:47:16.946248,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 9.0, 7.72)","(10.0, 32.0, 22.0)","(26.0, 46.0, 32.0)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.688888888888888)","(7.0, 16.5, 14.625)"
