,Feeling Fancy,Miss June,Homebush Villa,Mitcham Zorro,Homebush Opal,Tammy The Tomboy,Harpoon Bale,Goldstar Smiles
06-01-2023 12:03:06.396455,"(6.5, 12.5, 8.6)","(21.0, 240.0, 54.69230769230769)","(11.0, 24.0, 19.2)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:07.513570,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.2)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:08.649453,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.2)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:09.745353,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.2)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:10.870691,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.2)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:12.110991,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:13.318808,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:14.517613,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:15.662819,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:16.757798,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:17.924908,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:18.992716,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6157142857142859)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:19.997261,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.83)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:21.160083,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6184615384615386)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:22.254903,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6184615384615386)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:23.336306,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6184615384615386)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:24.480377,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.08, 1.6)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:25.595716,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.04, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:26.750316,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:27.928024,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:29.104736,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:30.276069,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:31.398641,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:32.435907,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:33.460762,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:34.547349,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:35.705286,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.8)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:36.852887,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.6114285714285714)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:38.028417,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.6114285714285714)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:39.125022,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.6114285714285714)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:40.244449,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.6114285714285714)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:41.361201,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.266666666666666)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.6114285714285714)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:42.489750,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.942857142857143)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.02, 1.5970833333333334)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:43.598410,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.942857142857143)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.99, 1.5970833333333334)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:44.750679,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.333333333333336)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.99, 1.78)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:46.070090,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.333333333333336)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.78)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:47.427370,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.333333333333336)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.78)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:48.623168,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.333333333333336)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.78)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:49.995541,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.333333333333336)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.78)","(15.0, 130.0, 58.4375)"
06-01-2023 12:03:51.389163,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 19.5)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.78)","(15.0, 130.0, 60.285714285714285)"
06-01-2023 12:03:52.723310,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.6085714285714285)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:03:53.914841,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.6085714285714285)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:03:55.048665,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.6085714285714285)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:03:56.141997,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.6085714285714285)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:03:57.258956,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.6085714285714285)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:03:58.408239,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.6085714285714285)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:03:59.551927,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.6085714285714285)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:00.753670,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.6085714285714285)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:01.930694,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.98, 1.5952000000000002)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:03.077087,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.96, 1.7650000000000001)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:04.255989,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.95, 1.7650000000000001)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:05.471821,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.95, 1.6084615384615386)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:06.686033,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.95, 1.6084615384615386)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:07.856526,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.95, 1.6084615384615386)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:08.935393,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.95, 1.6076923076923078)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:10.068856,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.94, 1.6076923076923078)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:11.287635,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.94, 1.6076923076923078)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:12.576638,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.94, 1.6076923076923078)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:13.871592,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.94, 1.6076923076923078)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:15.234646,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.94, 1.6076923076923078)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:16.564155,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.94, 1.6076923076923078)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:17.871847,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.94, 1.6076923076923078)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:19.238898,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.94, 1.6076923076923078)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:20.631858,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.94, 1.6033333333333335)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:21.775406,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.93, 1.6018750000000002)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:22.945913,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.93, 1.6018750000000002)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:24.107559,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.93, 1.6018750000000002)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:25.325286,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.93, 1.6061538461538463)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:26.561082,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:27.834009,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:29.118399,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:30.426668,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 120.0, 60.285714285714285)"
06-01-2023 12:04:31.673962,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 120.0, 51.714285714285715)"
06-01-2023 12:04:32.891766,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 100.0, 51.714285714285715)"
06-01-2023 12:04:34.079594,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 100.0, 51.714285714285715)"
06-01-2023 12:04:35.219134,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 100.0, 51.714285714285715)"
06-01-2023 12:04:36.381187,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 100.0, 64.57142857142857)"
06-01-2023 12:04:37.530875,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:38.707058,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.6042857142857143)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:39.909988,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.92, 1.602)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:41.046949,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.91, 1.6046153846153848)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:42.281406,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.9, 1.6046153846153848)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:43.438574,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.9, 1.6046153846153848)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:44.634873,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.9, 1.6046153846153848)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:45.803301,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.9, 1.6046153846153848)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:47.050095,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.9, 1.6046153846153848)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:48.323189,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.9, 1.6046153846153848)","(15.0, 130.0, 64.57142857142857)"
06-01-2023 12:04:49.576512,"(6.5, 12.5, 8.6)","(21.0, 240.0, 79.4)","(11.0, 24.0, 15.0)","(8.5, 17.5, 9.9)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 1.9, 1.6046153846153848)","(15.0, 130.0, 64.57142857142857)"
