,Elettrica,Anagain,Black On Beauty,Miss Lenorr,The Storm In Me,Summerbeel,Sebrings Rose,Spanish Pearl,Arranmore
11-01-2023 15:24:40.899801,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.665384615384616)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.63157894736842)","(16.0, 26.0, 20.96875)","(9.0, 13.5, 13.285714285714285)","(16.0, 30.0, 27.5)","(21.0, 60.0, 44.25)","(8.0, 8.2, 7.921739130434783)"
11-01-2023 15:24:42.286502,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.665384615384616)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.63157894736842)","(16.0, 26.0, 21.666666666666668)","(9.0, 13.5, 13.433333333333334)","(16.0, 30.0, 27.5)","(21.0, 60.0, 44.25)","(8.0, 8.2, 7.921739130434783)"
11-01-2023 15:24:43.686862,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.665384615384616)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 25.0, 22.9375)","(9.0, 13.5, 12.75)","(16.0, 30.0, 27.5)","(21.0, 60.0, 44.48275862068966)","(8.0, 8.2, 7.763636363636363)"
11-01-2023 15:24:45.028687,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.625)","(5.0, 7.0, 6.733333333333333)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 20.458333333333336)","(9.0, 13.5, 12.75)","(16.0, 30.0, 27.5)","(21.0, 60.0, 44.48275862068966)","(8.0, 8.2, 8.8)"
11-01-2023 15:24:46.497963,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.625)","(5.0, 7.0, 6.733333333333333)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 12.75)","(16.0, 30.0, 27.5)","(21.0, 60.0, 44.48275862068966)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:24:47.959071,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.625)","(5.0, 7.0, 6.733333333333333)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 12.75)","(16.0, 30.0, 27.5)","(21.0, 60.0, 44.48275862068966)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:24:49.299137,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.625)","(5.0, 7.0, 6.733333333333333)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 12.75)","(16.0, 30.0, 27.5)","(21.0, 60.0, 29.444444444444443)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:24:50.678616,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.625)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 12.75)","(16.0, 30.0, 27.5)","(21.0, 60.0, 30.133333333333333)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:24:52.125722,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.602272727272727)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 12.75)","(16.0, 30.0, 27.5)","(21.0, 60.0, 32.84848484848485)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:24:53.366254,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.602272727272727)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 12.75)","(16.0, 30.0, 27.5)","(21.0, 60.0, 32.84848484848485)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:24:54.749267,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.602272727272727)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 12.75)","(16.0, 30.0, 27.5)","(21.0, 60.0, 32.84848484848485)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:24:56.041181,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.602272727272727)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 13.4)","(16.0, 30.0, 27.5)","(21.0, 60.0, 32.84848484848485)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:24:57.553393,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.602272727272727)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 13.4)","(16.0, 30.0, 27.5)","(21.0, 60.0, 32.84848484848485)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:24:59.206625,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.602272727272727)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 13.4)","(16.0, 30.0, 27.5)","(21.0, 60.0, 32.84848484848485)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:25:01.489628,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.504545454545455)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 19.0)","(9.0, 13.5, 13.4)","(16.0, 30.0, 27.5)","(21.0, 60.0, 33.64705882352941)","(8.0, 9.8, 8.843478260869565)"
11-01-2023 15:25:03.148398,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.504545454545455)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 24.0, 20.285714285714285)","(9.0, 13.5, 13.4)","(16.0, 30.0, 27.5)","(21.0, 60.0, 35.78378378378378)","(8.0, 9.8, 8.985185185185186)"
11-01-2023 15:25:04.885230,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.504545454545455)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 22.0, 19.0)","(9.0, 13.5, 13.4)","(16.0, 30.0, 27.5)","(21.0, 60.0, 50.09090909090909)","(8.0, 9.8, 8.985185185185186)"
11-01-2023 15:25:06.564340,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.504545454545455)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(16.0, 22.0, 18.5)","(9.0, 13.5, 13.4)","(16.0, 30.0, 27.5)","(21.0, 55.0, 42.14285714285714)","(8.0, 9.8, 8.985185185185186)"
11-01-2023 15:25:08.123234,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.503703703703704)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(17.0, 21.0, 19.125)","(9.0, 13.5, 13.0)","(15.0, 30.0, 26.333333333333332)","(21.0, 50.0, 36.666666666666664)","(7.5, 9.8, 8.529411764705882)"
11-01-2023 15:25:09.572862,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.503703703703704)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(17.0, 21.0, 19.125)","(9.0, 13.5, 13.0)","(15.0, 29.0, 27.0)","(21.0, 50.0, 40.769230769230774)","(7.5, 9.8, 8.529411764705882)"
11-01-2023 15:25:10.892698,"(4.4, 5.3, 5.16)","(4.8, 5.7, 5.55)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(17.0, 21.0, 18.3)","(9.0, 13.5, 12.4)","(15.0, 29.0, 27.0)","(21.0, 50.0, 40.769230769230774)","(7.5, 9.8, 8.529411764705882)"
11-01-2023 15:25:12.244877,"(4.4, 5.3, 5.16)","(4.8, 5.6, 5.5249999999999995)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(17.0, 21.0, 18.0)","(9.0, 14.0, 12.4)","(15.0, 29.0, 27.0)","(21.0, 50.0, 40.769230769230774)","(7.5, 9.8, 8.323076923076922)"
11-01-2023 15:25:13.767847,"(4.4, 5.3, 5.183333333333333)","(4.8, 5.6, 5.5249999999999995)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(17.0, 21.0, 18.0)","(9.0, 14.0, 12.4)","(15.0, 29.0, 27.0)","(21.0, 50.0, 40.769230769230774)","(7.5, 9.8, 8.323076923076922)"
11-01-2023 15:25:15.093692,"(4.4, 5.3, 5.183333333333333)","(4.8, 5.6, 5.5249999999999995)","(5.0, 7.0, 6.8)","(4.8, 5.8, 5.647619047619047)","(17.0, 21.0, 19.8)","(9.0, 14.0, 12.4)","(15.0, 29.0, 25.26923076923077)","(21.0, 50.0, 44.285714285714285)","(7.5, 9.8, 8.399999999999999)"
11-01-2023 15:25:16.504343,"(4.4, 5.3, 5.183333333333333)","(4.8, 5.6, 5.4399999999999995)","(5.0, 7.0, 6.709090909090909)","(4.8, 5.8, 5.647619047619047)","(17.0, 21.0, 19.8)","(10.0, 14.0, 12.8)","(15.0, 32.0, 25.833333333333332)","(21.0, 50.0, 32.857142857142854)","(7.5, 9.8, 8.399999999999999)"
11-01-2023 15:25:17.848883,"(4.4, 5.3, 5.183333333333333)","(4.8, 5.6, 5.4399999999999995)","(5.0, 7.0, 6.709090909090909)","(4.8, 5.8, 5.647619047619047)","(17.0, 21.0, 19.8)","(10.0, 14.0, 12.8)","(15.0, 30.0, 25.833333333333332)","(21.0, 50.0, 33.0)","(7.5, 9.8, 8.399999999999999)"
11-01-2023 15:25:19.209081,"(4.4, 5.3, 5.183333333333333)","(4.8, 5.7, 5.166666666666666)","(5.0, 7.0, 6.709090909090909)","(4.8, 5.8, 5.647619047619047)","(17.0, 21.0, 19.8)","(10.0, 14.0, 12.8)","(15.0, 30.0, 26.666666666666668)","(21.0, 48.0, 35.333333333333336)","(7.5, 9.8, 8.399999999999999)"
11-01-2023 15:25:20.573339,"(4.4, 5.3, 5.183333333333333)","(4.8, 5.7, 5.166666666666666)","(5.0, 7.0, 6.709090909090909)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.90909090909091)","(10.0, 14.0, 12.8)","(15.0, 30.0, 26.666666666666668)","(21.0, 46.0, 32.666666666666664)","(7.5, 9.8, 8.866666666666667)"
11-01-2023 15:25:21.892099,"(4.4, 5.3, 5.192307692307692)","(4.8, 5.6, 5.389473684210526)","(5.0, 7.0, 6.733333333333333)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.90909090909091)","(10.0, 14.0, 12.8)","(15.0, 30.0, 26.666666666666668)","(21.0, 46.0, 34.0)","(7.5, 9.8, 8.927272727272728)"
11-01-2023 15:25:23.245372,"(4.4, 5.3, 5.192307692307692)","(5.0, 5.6, 5.364705882352941)","(5.0, 7.0, 6.822222222222222)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 18.9)","(10.0, 14.0, 12.8)","(17.0, 30.0, 26.666666666666668)","(21.0, 46.0, 34.0)","(7.5, 9.8, 8.927272727272728)"
11-01-2023 15:25:24.556807,"(4.4, 5.4, 5.164285714285714)","(5.0, 5.6, 5.260714285714285)","(5.0, 7.0, 6.833333333333333)","(4.8, 5.8, 5.6117647058823525)","(17.0, 21.0, 18.9)","(10.0, 14.0, 12.8)","(17.0, 30.0, 26.666666666666668)","(21.0, 46.0, 34.0)","(7.5, 9.8, 8.927272727272728)"
11-01-2023 15:25:25.864126,"(4.4, 5.4, 5.164285714285714)","(5.0, 5.6, 5.260714285714285)","(5.0, 7.0, 6.833333333333333)","(4.8, 5.8, 5.6117647058823525)","(17.0, 21.0, 18.9)","(10.0, 14.0, 12.8)","(17.0, 30.0, 26.666666666666668)","(21.0, 46.0, 34.0)","(7.5, 9.8, 8.927272727272728)"
11-01-2023 15:25:27.155250,"(4.4, 5.4, 5.164285714285714)","(5.0, 5.6, 5.260714285714285)","(5.0, 7.0, 6.833333333333333)","(4.8, 5.8, 5.6117647058823525)","(17.0, 21.0, 18.9)","(10.0, 14.0, 12.8)","(17.0, 30.0, 25.833333333333332)","(21.0, 46.0, 34.0)","(7.5, 9.8, 8.927272727272728)"
11-01-2023 15:25:28.564418,"(4.4, 5.4, 5.164285714285714)","(5.0, 5.6, 5.334883720930232)","(5.0, 7.0, 6.909090909090909)","(4.8, 5.8, 5.6117647058823525)","(17.0, 21.0, 18.9)","(10.0, 14.0, 12.8)","(17.0, 30.0, 25.833333333333332)","(21.0, 46.0, 34.0)","(7.5, 9.8, 8.799999999999999)"
11-01-2023 15:25:29.946931,"(4.4, 5.4, 5.237037037037037)","(5.0, 5.6, 5.334883720930232)","(5.0, 7.0, 6.909090909090909)","(4.8, 5.8, 5.6117647058823525)","(17.0, 21.0, 18.9)","(10.0, 14.0, 12.8)","(17.0, 30.0, 25.833333333333332)","(21.0, 46.0, 34.0)","(7.5, 9.6, 9.3)"
11-01-2023 15:25:31.265185,"(4.4, 5.4, 5.237037037037037)","(5.0, 5.6, 5.33)","(5.0, 7.0, 6.909090909090909)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 18.75)","(10.0, 14.0, 13.2)","(17.0, 30.0, 26.666666666666668)","(21.0, 46.0, 36.4)","(7.5, 9.0, 8.914285714285715)"
11-01-2023 15:25:32.574598,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.252)","(5.0, 7.6, 7.129411764705882)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.2)","(10.0, 14.0, 13.2)","(17.0, 30.0, 25.833333333333332)","(21.0, 46.0, 36.4)","(7.5, 9.0, 8.666666666666666)"
11-01-2023 15:25:33.978833,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.252)","(5.0, 7.6, 7.129411764705882)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.2)","(10.0, 14.0, 13.2)","(17.0, 30.0, 25.833333333333332)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.666666666666666)"
11-01-2023 15:25:35.613343,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.247058823529412)","(5.0, 7.6, 7.129411764705882)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.2)","(10.0, 14.0, 13.2)","(17.0, 30.0, 25.833333333333332)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.666666666666666)"
11-01-2023 15:25:37.147496,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.247058823529412)","(5.0, 7.6, 7.129411764705882)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.2)","(10.0, 14.0, 13.2)","(17.0, 30.0, 25.833333333333332)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.666666666666666)"
11-01-2023 15:25:38.673781,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.247058823529412)","(5.0, 7.6, 7.129411764705882)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.2)","(10.0, 14.0, 13.2)","(17.0, 30.0, 25.833333333333332)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.666666666666666)"
11-01-2023 15:25:40.478885,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.247058823529412)","(5.0, 7.6, 7.247058823529412)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.875)","(10.0, 14.0, 13.2)","(17.0, 30.0, 26.875)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.666666666666666)"
11-01-2023 15:25:42.247516,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.2437499999999995)","(5.0, 7.6, 7.247058823529412)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.8)"
11-01-2023 15:25:43.666540,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.2437499999999995)","(5.0, 7.6, 7.266666666666667)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.8)"
11-01-2023 15:25:45.118731,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.2437499999999995)","(5.0, 7.6, 7.266666666666667)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.8)"
11-01-2023 15:25:46.522626,"(4.4, 5.4, 5.248275862068966)","(5.0, 5.3, 5.2437499999999995)","(5.0, 7.6, 7.266666666666667)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.8)"
11-01-2023 15:25:47.900807,"(4.4, 5.4, 5.069230769230769)","(5.0, 5.3, 5.2437499999999995)","(5.0, 7.6, 7.266666666666667)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.8)"
11-01-2023 15:25:49.279433,"(4.4, 5.3, 5.133333333333333)","(5.0, 5.3, 5.2437499999999995)","(5.0, 7.6, 7.266666666666667)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.8)"
11-01-2023 15:25:50.673770,"(4.4, 5.3, 5.133333333333333)","(5.0, 5.3, 5.2437499999999995)","(5.0, 7.6, 7.266666666666667)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.8)"
11-01-2023 15:25:52.192890,"(4.4, 5.3, 5.133333333333333)","(5.0, 5.3, 5.2437499999999995)","(5.0, 7.6, 7.266666666666667)","(4.8, 5.8, 5.654545454545454)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.8)"
11-01-2023 15:25:53.666803,"(4.4, 5.3, 5.1)","(5.0, 5.3, 5.2437499999999995)","(5.0, 7.6, 7.364705882352941)","(4.8, 5.8, 5.705882352941177)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.866666666666667)"
11-01-2023 15:25:55.079350,"(4.4, 5.3, 5.1)","(5.0, 5.3, 5.069642857142857)","(5.0, 7.6, 7.364705882352941)","(4.8, 5.8, 5.705882352941177)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.866666666666667)"
11-01-2023 15:25:56.592680,"(4.4, 5.3, 5.1)","(5.0, 5.3, 5.159183673469388)","(5.0, 7.6, 7.377777777777777)","(4.8, 5.8, 5.705882352941177)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.866666666666667)"
11-01-2023 15:25:58.095567,"(4.4, 5.3, 5.1)","(5.0, 5.2, 5.1625000000000005)","(5.0, 7.6, 7.377777777777777)","(4.8, 5.8, 5.705882352941177)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 28.88888888888889)","(21.0, 46.0, 36.4)","(7.5, 9.0, 8.866666666666667)"
11-01-2023 15:25:59.578529,"(4.4, 5.3, 5.1)","(5.0, 5.2, 5.1625000000000005)","(5.0, 7.6, 7.345454545454546)","(4.8, 5.8, 5.705882352941177)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.2)","(17.0, 30.0, 26.53125)","(21.0, 46.0, 36.4)","(7.5, 9.0, 8.866666666666667)"
11-01-2023 15:26:01.053712,"(4.4, 5.3, 5.1)","(5.0, 5.2, 5.1625000000000005)","(5.0, 7.4, 7.314285714285715)","(4.8, 5.8, 5.705882352941177)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.285714285714286)","(17.0, 32.0, 26.4)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.866666666666667)"
11-01-2023 15:26:02.521248,"(4.4, 5.3, 5.133333333333333)","(5.0, 5.2, 5.1625000000000005)","(5.0, 7.4, 7.314285714285715)","(4.8, 5.8, 5.705882352941177)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.285714285714286)","(17.0, 32.0, 26.4)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.866666666666667)"
11-01-2023 15:26:04.000586,"(4.4, 5.3, 5.133333333333333)","(5.0, 5.2, 5.152941176470589)","(5.0, 7.4, 7.314285714285715)","(4.8, 5.8, 5.705882352941177)","(17.0, 21.0, 19.125)","(10.0, 14.0, 13.285714285714286)","(17.0, 32.0, 26.4)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.866666666666667)"
11-01-2023 15:26:05.395580,"(4.4, 5.3, 5.133333333333333)","(5.0, 5.2, 5.079591836734694)","(5.0, 7.4, 7.233333333333333)","(4.8, 5.8, 6.55)","(17.0, 21.0, 19.125)","(10.0, 14.0, 16.954545454545453)","(17.0, 32.0, 27.88235294117647)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9625)"
11-01-2023 15:26:06.843462,"(4.4, 5.2, 5.05)","(5.0, 5.0, 4.994805194805195)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.8, 6.639285714285714)","(17.0, 21.0, 19.125)","(10.0, 17.5, 14.5)","(17.0, 32.0, 27.88235294117647)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.968421052631578)"
11-01-2023 15:26:08.224763,"(4.4, 5.2, 5.0344827586206895)","(5.0, 5.0, 5.057142857142857)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.8, 6.741176470588235)","(17.0, 21.0, 19.125)","(10.0, 17.5, 14.45)","(17.0, 32.0, 27.88235294117647)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.968421052631578)"
11-01-2023 15:26:09.606710,"(4.4, 5.2, 5.0344827586206895)","(5.0, 5.1, 5.057142857142857)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.8, 6.6536585365853655)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.45)","(17.0, 32.0, 27.88235294117647)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.968421052631578)"
11-01-2023 15:26:11.052225,"(4.4, 5.2, 5.0344827586206895)","(5.0, 5.1, 5.057142857142857)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.8, 6.6536585365853655)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.45)","(17.0, 32.0, 27.967741935483872)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.968421052631578)"
11-01-2023 15:26:12.423213,"(4.4, 5.2, 5.0344827586206895)","(5.0, 5.1, 5.057142857142857)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.8, 6.6378378378378375)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.45)","(17.0, 32.0, 27.967741935483872)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.957142857142857)"
11-01-2023 15:26:13.836926,"(4.4, 5.2, 5.0344827586206895)","(5.0, 5.1, 5.057142857142857)","(5.0, 7.4, 7.233333333333333)","(4.8, 6.8, 6.488888888888889)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.45)","(17.0, 32.0, 27.967741935483872)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.957142857142857)"
11-01-2023 15:26:15.367197,"(4.4, 5.2, 5.0344827586206895)","(5.0, 5.1, 5.057142857142857)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.6, 6.25)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.333333333333334)","(17.0, 32.0, 28.296296296296298)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:16.944668,"(4.4, 5.2, 5.0344827586206895)","(5.0, 5.1, 5.064705882352941)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.6, 6.666666666666667)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.333333333333334)","(17.0, 32.0, 28.296296296296298)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:18.388135,"(4.4, 5.2, 5.0344827586206895)","(5.0, 5.1, 5.064705882352941)","(5.0, 7.4, 7.230769230769231)","(4.8, 7.0, 6.857142857142857)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.333333333333334)","(17.0, 32.0, 28.296296296296298)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:19.912564,"(4.4, 5.2, 4.987301587301587)","(5.0, 5.1, 5.168098159509203)","(5.0, 7.4, 7.230769230769231)","(4.8, 7.0, 6.3999999999999995)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.333333333333334)","(17.0, 32.0, 28.296296296296298)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:21.400124,"(4.4, 5.0, 4.987301587301587)","(5.0, 5.2, 5.168098159509203)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.6, 6.42)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.333333333333334)","(17.0, 32.0, 29.0)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:22.818002,"(4.4, 5.0, 4.987301587301587)","(5.0, 5.2, 5.168098159509203)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.6, 6.42)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.333333333333334)","(17.0, 30.0, 29.0)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:24.221959,"(4.4, 5.0, 4.987301587301587)","(5.0, 5.2, 5.168098159509203)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.6, 6.42)","(17.0, 21.0, 19.125)","(10.0, 14.5, 14.333333333333334)","(17.0, 30.0, 29.0)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:25.686100,"(4.4, 5.0, 4.987301587301587)","(5.0, 5.2, 5.168098159509203)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.6, 6.42)","(17.0, 21.0, 19.4375)","(10.0, 14.5, 14.333333333333334)","(17.0, 30.0, 29.0)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:27.137174,"(4.4, 5.0, 4.987301587301587)","(5.0, 5.2, 5.109302325581395)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.6, 6.42)","(17.0, 26.0, 19.583333333333332)","(10.0, 14.5, 14.333333333333334)","(17.0, 30.0, 29.0)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:28.596876,"(4.4, 5.0, 4.987301587301587)","(4.8, 5.2, 5.109302325581395)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.6, 6.428571428571429)","(17.0, 25.0, 19.583333333333332)","(10.0, 14.5, 14.333333333333334)","(17.0, 30.0, 29.0)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
11-01-2023 15:26:30.013060,"(4.4, 5.0, 4.987301587301587)","(4.8, 5.2, 5.109302325581395)","(5.0, 7.4, 7.230769230769231)","(4.8, 6.6, 6.49090909090909)","(17.0, 25.0, 19.428571428571427)","(10.0, 14.5, 14.333333333333334)","(17.0, 30.0, 29.0)","(21.0, 46.0, 34.0)","(7.5, 9.0, 8.9)"
