,Emmas Portrait,Pyrenees Blazer,Cruising Loren,Philip Marlowe,Another Six,Ranger Ricksen,Jellybean Jam,Aston Zabbar
16-12-2022 13:15:39.476523,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.55)"
16-12-2022 13:15:40.565684,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 89.6)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:41.700696,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 89.6)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:42.721701,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 89.6)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:43.734714,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 89.6)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:44.768091,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 89.6)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:45.790981,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 89.6)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 11.5, 10.2875)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:46.871845,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 12.5, 10.2875)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:47.964772,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 12.5, 10.2875)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
16-12-2022 13:15:49.048555,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 101.5)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 19.25)","(6.0, 12.5, 10.2875)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 11.125)"
