,Ebony Riot,Fast Milkman,Acclaimed,Barbara Ann,Town Rocker,Coach Beard,Mohinga Chase
07-12-2022 13:21:59.518656,"(3.5, 4.2, 4.084313725490196)","(2.05, 2.66, 2.641714285714286)","(8.5, 13.5, 12.794117647058824)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 61.52173913043478)","(61.0, 160.0, 152.10526315789474)"
07-12-2022 13:22:00.615590,"(3.5, 4.2, 4.084313725490196)","(2.05, 2.66, 2.641714285714286)","(8.5, 13.5, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.110526315789474)","(31.0, 65.0, 61.52173913043478)","(61.0, 160.0, 152.10526315789474)"
07-12-2022 13:22:01.687145,"(3.5, 4.2, 4.081904761904762)","(2.05, 2.66, 2.641714285714286)","(8.5, 13.0, 12.954545454545455)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.110526315789474)","(31.0, 65.0, 61.52173913043478)","(61.0, 160.0, 145.0)"
07-12-2022 13:22:02.754754,"(3.5, 4.2, 4.081904761904762)","(2.05, 2.66, 2.641714285714286)","(8.5, 13.5, 13.147058823529411)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.110526315789474)","(31.0, 65.0, 61.52173913043478)","(61.0, 160.0, 146.36363636363637)"
07-12-2022 13:22:03.916763,"(3.5, 4.1, 4.042307692307692)","(2.05, 2.66, 2.638666666666667)","(8.5, 13.5, 13.17123287671233)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.109523809523809)","(31.0, 65.0, 61.52173913043478)","(61.0, 160.0, 138.57142857142858)"
07-12-2022 13:22:04.952543,"(3.5, 4.1, 4.044736842105263)","(2.05, 2.66, 2.6382857142857143)","(8.5, 13.5, 13.246268656716417)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 146.36363636363637)"
07-12-2022 13:22:05.984101,"(3.5, 4.1, 4.055)","(2.05, 2.66, 2.6393939393939396)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:07.053464,"(3.5, 4.1, 4.055)","(2.05, 2.66, 2.6393939393939396)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 138.57142857142858)"
07-12-2022 13:22:08.132638,"(3.5, 4.1, 4.055)","(2.05, 2.66, 2.6393939393939396)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.94736842105263)","(61.0, 160.0, 128.0)"
07-12-2022 13:22:09.186961,"(3.5, 4.1, 4.032258064516129)","(2.05, 2.66, 2.6393939393939396)","(8.5, 13.5, 13.318181818181818)","(21.0, 40.0, 34.42857142857143)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.94736842105263)","(61.0, 160.0, 141.8181818181818)"
07-12-2022 13:22:10.230397,"(3.5, 4.1, 4.008695652173913)","(2.05, 2.66, 2.6394285714285717)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.54545454545455)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.94736842105263)","(61.0, 160.0, 143.33333333333334)"
07-12-2022 13:22:11.197004,"(3.5, 4.1, 4.039423076923077)","(2.05, 2.66, 2.6394285714285717)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 35.0)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.94736842105263)","(61.0, 160.0, 143.33333333333334)"
07-12-2022 13:22:12.198434,"(3.5, 4.1, 4.04)","(2.05, 2.66, 2.6436363636363636)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.54545454545455)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.94736842105263)","(61.0, 160.0, 136.47058823529412)"
07-12-2022 13:22:13.190402,"(3.5, 4.1, 3.9956521739130433)","(2.05, 2.68, 2.6542857142857144)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.54545454545455)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.94736842105263)","(61.0, 160.0, 136.47058823529412)"
07-12-2022 13:22:14.208287,"(3.5, 3.95, 3.896153846153846)","(2.05, 2.74, 2.718823529411765)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:15.236602,"(3.5, 3.95, 3.9320512820512823)","(2.05, 2.72, 2.716)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:16.275212,"(3.5, 3.95, 3.9320512820512823)","(2.05, 2.72, 2.7163636363636368)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:17.367772,"(3.5, 3.95, 3.9320512820512823)","(2.05, 2.74, 2.72)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:18.372418,"(3.5, 3.95, 3.9320512820512823)","(2.05, 2.72, 2.7163636363636368)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:19.470486,"(3.5, 3.85, 3.8285714285714287)","(2.05, 2.76, 2.737142857142857)","(8.5, 13.0, 12.988636363636363)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:20.594325,"(3.4, 3.85, 3.80625)","(2.05, 2.76, 2.737142857142857)","(8.5, 13.0, 12.98913043478261)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 136.47058823529412)"
07-12-2022 13:22:21.776357,"(3.4, 3.85, 3.815)","(2.05, 2.76, 2.7411764705882353)","(8.5, 13.0, 12.98913043478261)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 136.47058823529412)"
07-12-2022 13:22:22.829488,"(3.4, 3.85, 3.815)","(2.05, 2.76, 2.7411764705882353)","(8.5, 13.0, 12.982758620689655)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 136.47058823529412)"
07-12-2022 13:22:23.846461,"(3.4, 3.85, 3.815)","(2.1, 2.78, 2.7416)","(8.5, 13.0, 12.979166666666666)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.097297297297297)","(31.0, 65.0, 63.25)","(61.0, 160.0, 136.47058823529412)"
07-12-2022 13:22:25.031253,"(3.4, 3.85, 3.815)","(2.1, 2.78, 2.7416)","(8.5, 13.0, 12.979166666666666)","(21.0, 40.0, 34.375)","(3.6, 4.2, 4.079166666666667)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:26.327545,"(3.4, 3.8, 3.773913043478261)","(2.1, 2.8, 2.775)","(9.0, 12.5, 12.666666666666666)","(21.0, 40.0, 32.69565217391305)","(3.6, 4.1, 4.1000000000000005)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:27.606492,"(3.4, 3.8, 3.768421052631579)","(2.1, 2.8, 2.775)","(9.0, 13.0, 12.666666666666666)","(21.0, 40.0, 32.69565217391305)","(3.6, 4.2, 4.1000000000000005)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:28.629116,"(3.4, 3.8, 3.7590909090909093)","(2.1, 2.82, 2.772)","(9.0, 13.0, 12.944444444444445)","(21.0, 40.0, 34.0)","(3.6, 4.2, 4.1000000000000005)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:29.625508,"(3.4, 3.8, 3.7590909090909093)","(2.1, 2.82, 2.772)","(9.0, 13.0, 12.944444444444445)","(21.0, 40.0, 34.0)","(3.6, 4.2, 4.1000000000000005)","(31.0, 65.0, 63.25)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:30.581828,"(3.4, 3.8, 3.757142857142857)","(2.2, 2.8, 2.784)","(10.0, 13.0, 12.944444444444445)","(21.0, 40.0, 36.18181818181818)","(3.6, 4.2, 4.1000000000000005)","(31.0, 65.0, 63.09090909090909)","(61.0, 160.0, 135.0)"
07-12-2022 13:22:31.686247,"(3.4, 3.8, 3.7625)","(2.2, 2.8, 2.8179310344827586)","(10.0, 13.0, 12.944444444444445)","(21.0, 40.0, 33.53846153846154)","(3.6, 4.2, 4.1000000000000005)","(31.0, 65.0, 63.09090909090909)","(61.0, 160.0, 136.47058823529412)"
07-12-2022 13:22:32.832276,"(3.4, 3.8, 3.73)","(2.2, 2.84, 2.837142857142857)","(10.0, 13.0, 12.88888888888889)","(21.0, 40.0, 34.75)","(3.6, 4.2, 4.064705882352941)","(31.0, 85.0, 78.125)","(61.0, 160.0, 136.47058823529412)"
07-12-2022 13:22:34.128513,"(3.4, 3.85, 3.8285714285714287)","(2.2, 2.82, 2.815833333333333)","(10.0, 13.0, 12.463302752293577)","(21.0, 40.0, 34.90909090909091)","(3.6, 4.1, 4.038888888888889)","(31.0, 90.0, 78.47457627118644)","(61.0, 160.0, 136.47058823529412)"
07-12-2022 13:22:35.377963,"(3.4, 3.85, 3.7875)","(2.2, 2.82, 2.819)","(10.0, 12.5, 12.485576923076923)","(21.0, 40.0, 34.90909090909091)","(3.6, 4.1, 4.038888888888889)","(31.0, 85.0, 71.25)","(61.0, 160.0, 123.63636363636364)"
07-12-2022 13:22:36.565014,"(3.4, 3.85, 3.772222222222222)","(2.2, 2.82, 2.819)","(10.0, 12.5, 12.485576923076923)","(21.0, 40.0, 34.90909090909091)","(3.6, 4.1, 4.038888888888889)","(31.0, 85.0, 73.21428571428572)","(61.0, 160.0, 114.54545454545455)"
07-12-2022 13:22:37.683575,"(3.4, 3.9, 3.819230769230769)","(2.2, 2.84, 2.8084210526315787)","(10.0, 12.5, 12.476635514018692)","(21.0, 40.0, 35.05882352941177)","(3.6, 4.1, 4.063157894736842)","(31.0, 85.0, 73.21428571428572)","(61.0, 160.0, 127.77777777777777)"
07-12-2022 13:22:38.941008,"(3.4, 3.95, 3.854)","(2.2, 2.82, 2.816190476190476)","(10.0, 13.5, 12.866666666666667)","(21.0, 40.0, 35.05882352941177)","(3.6, 3.9, 3.875)","(31.0, 85.0, 70.65217391304348)","(61.0, 150.0, 130.0)"
07-12-2022 13:22:40.089102,"(3.4, 3.95, 3.870833333333333)","(2.2, 2.8, 2.79)","(10.0, 13.5, 13.474285714285715)","(21.0, 40.0, 34.90909090909091)","(3.6, 3.9, 3.875)","(31.0, 85.0, 74.81481481481481)","(61.0, 150.0, 130.0)"
07-12-2022 13:22:41.410199,"(3.4, 3.95, 3.870833333333333)","(2.2, 2.8, 2.7849999999999997)","(10.0, 13.5, 13.954022988505747)","(21.0, 40.0, 37.333333333333336)","(3.6, 3.9, 3.875)","(31.0, 85.0, 73.54166666666667)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:42.649278,"(3.4, 3.95, 3.8636363636363638)","(2.2, 2.8, 2.789565217391304)","(10.0, 14.0, 13.692307692307692)","(21.0, 40.0, 37.333333333333336)","(3.6, 3.9, 3.89)","(31.0, 85.0, 57.5)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:43.851174,"(3.4, 4.1, 3.989)","(2.2, 2.72, 2.710769230769231)","(10.0, 14.0, 13.909090909090908)","(21.0, 40.0, 35.642857142857146)","(3.6, 3.95, 3.8488372093023253)","(31.0, 85.0, 57.5)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:44.875249,"(3.4, 4.1, 4.02741935483871)","(2.2, 2.72, 2.710526315789474)","(10.0, 14.0, 13.8)","(21.0, 38.0, 35.642857142857146)","(3.6, 3.9, 3.8488372093023253)","(31.0, 85.0, 57.5)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:46.037181,"(3.4, 4.1, 4.069230769230769)","(2.2, 2.7, 2.695555555555556)","(10.0, 14.0, 13.821428571428571)","(21.0, 38.0, 36.166666666666664)","(3.6, 3.85, 3.846341463414634)","(31.0, 85.0, 76.25)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:47.131005,"(3.4, 4.1, 4.091304347826086)","(2.2, 2.7, 2.695555555555556)","(10.0, 14.0, 13.615384615384615)","(21.0, 38.0, 36.166666666666664)","(3.6, 3.9, 3.8541666666666665)","(31.0, 80.0, 76.05263157894737)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:48.309407,"(3.4, 4.1, 4.091304347826086)","(2.2, 2.7, 2.6950000000000003)","(10.0, 14.0, 13.615384615384615)","(21.0, 38.0, 35.45454545454545)","(3.6, 3.9, 3.8)","(31.0, 80.0, 76.05263157894737)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:49.531916,"(3.4, 4.1, 4.088888888888889)","(2.2, 2.7, 2.6950000000000003)","(10.0, 14.0, 13.607142857142858)","(21.0, 42.0, 35.45454545454545)","(3.6, 3.85, 3.779166666666667)","(31.0, 80.0, 71.1764705882353)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:50.659478,"(3.4, 4.1, 4.05)","(2.2, 2.76, 2.757142857142857)","(10.0, 14.0, 13.565217391304348)","(21.0, 40.0, 39.14285714285714)","(3.6, 3.8, 3.779166666666667)","(31.0, 80.0, 71.1764705882353)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:51.741105,"(3.4, 4.1, 4.06875)","(2.2, 2.74, 2.7231707317073175)","(10.0, 14.0, 13.578947368421053)","(21.0, 40.0, 39.45454545454545)","(3.5, 3.75, 3.7607142857142857)","(31.0, 80.0, 70.27777777777777)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:52.975127,"(3.4, 4.1, 4.0874999999999995)","(2.2, 2.72, 2.6923076923076925)","(10.0, 14.0, 13.607142857142858)","(21.0, 40.0, 39.2)","(3.5, 3.8, 3.77)","(31.0, 80.0, 70.27777777777777)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:54.044996,"(3.4, 4.2, 4.023376623376623)","(2.2, 2.7, 2.665714285714286)","(10.0, 14.0, 13.607142857142858)","(21.0, 40.0, 39.2)","(3.5, 3.85, 3.768181818181818)","(31.0, 80.0, 70.27777777777777)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:55.107276,"(3.4, 4.2, 4.04047619047619)","(2.2, 2.7, 2.6733333333333333)","(10.0, 14.0, 13.607142857142858)","(21.0, 40.0, 39.2)","(3.5, 3.85, 3.768181818181818)","(31.0, 80.0, 70.27777777777777)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:56.314607,"(3.4, 4.2, 4.055913978494623)","(2.2, 2.7, 2.676)","(10.0, 14.0, 13.615384615384615)","(21.0, 40.0, 39.14285714285714)","(3.5, 3.85, 3.8704545454545456)","(31.0, 75.0, 67.22222222222223)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:57.460799,"(3.4, 4.2, 4.055913978494623)","(2.2, 2.7, 2.676)","(10.0, 14.0, 13.578947368421053)","(21.0, 40.0, 39.14285714285714)","(3.5, 3.95, 3.8704545454545456)","(31.0, 75.0, 63.333333333333336)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:58.593329,"(3.4, 4.2, 4.087234042553192)","(2.2, 2.68, 2.6533333333333333)","(10.0, 14.0, 13.547619047619047)","(21.0, 40.0, 35.333333333333336)","(3.5, 3.95, 3.885897435897436)","(31.0, 75.0, 69.75)","(61.0, 150.0, 114.0)"
07-12-2022 13:22:59.729793,"(3.4, 4.1, 4.068421052631579)","(2.2, 2.68, 2.6523076923076925)","(10.0, 14.0, 13.547619047619047)","(21.0, 40.0, 35.333333333333336)","(3.5, 3.95, 3.8807692307692307)","(31.0, 75.0, 69.75)","(61.0, 150.0, 114.0)"
07-12-2022 13:23:00.859013,"(3.4, 4.1, 4.078378378378378)","(2.2, 2.68, 2.6545454545454548)","(10.0, 14.0, 13.58695652173913)","(21.0, 40.0, 35.714285714285715)","(3.5, 3.95, 3.9603174603174605)","(31.0, 75.0, 69.75)","(61.0, 150.0, 114.0)"
07-12-2022 13:23:02.022391,"(3.4, 4.1, 4.078378378378378)","(2.2, 2.68, 2.6470588235294117)","(10.0, 14.0, 13.75)","(21.0, 40.0, 35.90909090909091)","(3.5, 4.0, 3.9139534883720932)","(31.0, 75.0, 71.75925925925927)","(61.0, 150.0, 124.28571428571429)"
07-12-2022 13:23:03.346744,"(3.4, 4.1, 4.061224489795918)","(2.2, 2.66, 2.6422727272727276)","(10.0, 14.5, 13.951612903225806)","(21.0, 40.0, 36.11764705882353)","(3.5, 3.95, 3.9157894736842107)","(31.0, 75.0, 72.08333333333334)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:04.733170,"(3.4, 4.1, 4.067796610169491)","(2.2, 2.66, 2.637272727272727)","(10.0, 14.5, 14.088235294117647)","(21.0, 38.0, 34.44444444444444)","(3.5, 3.95, 3.915)","(31.0, 75.0, 72.08333333333334)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:06.032012,"(3.4, 4.2, 4.074074074074074)","(2.2, 2.66, 2.637272727272727)","(10.0, 14.5, 14.017241379310345)","(21.0, 38.0, 35.214285714285715)","(3.5, 3.95, 3.9255555555555555)","(31.0, 75.0, 69.27272727272728)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:07.225735,"(3.5, 4.1, 4.062264150943396)","(2.2, 2.66, 2.635609756097561)","(10.0, 14.5, 14.0)","(21.0, 38.0, 35.214285714285715)","(3.5, 3.95, 3.9362500000000002)","(31.0, 70.0, 69.24528301886792)","(61.0, 150.0, 127.5)"
07-12-2022 13:23:08.375072,"(3.5, 4.1, 4.034328358208955)","(2.2, 2.66, 2.645)","(10.0, 14.5, 13.833333333333334)","(21.0, 38.0, 35.0)","(3.5, 3.95, 3.916)","(31.0, 70.0, 68.21428571428572)","(61.0, 150.0, 127.5)"
07-12-2022 13:23:09.494505,"(3.5, 4.2, 4.0633333333333335)","(2.2, 2.64, 2.619737991266376)","(10.0, 14.5, 13.935897435897436)","(21.0, 38.0, 36.53658536585366)","(3.5, 4.0, 3.913839285714286)","(31.0, 70.0, 68.27586206896552)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:10.569092,"(3.5, 4.2, 4.0837606837606835)","(2.2, 2.64, 2.620242914979757)","(10.0, 14.5, 14.1)","(21.0, 38.0, 36.53658536585366)","(3.5, 4.0, 3.913839285714286)","(31.0, 70.0, 64.72222222222223)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:11.712169,"(3.5, 4.2, 4.084745762711864)","(2.2, 2.64, 2.6149806949806953)","(10.0, 14.5, 14.122641509433961)","(21.0, 38.0, 36.53658536585366)","(3.5, 4.0, 3.913478260869565)","(31.0, 65.0, 64.72222222222223)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:12.765924,"(3.5, 4.2, 4.088524590163934)","(2.2, 2.62, 2.615126050420168)","(10.0, 14.5, 14.1)","(21.0, 38.0, 36.810810810810814)","(3.5, 4.0, 3.913716814159292)","(31.0, 65.0, 64.33333333333333)","(61.0, 150.0, 127.5)"
07-12-2022 13:23:13.873244,"(3.5, 4.2, 4.12089552238806)","(2.2, 2.58, 2.5728)","(10.0, 14.5, 14.16)","(21.0, 38.0, 37.15151515151515)","(3.5, 4.0, 3.914090909090909)","(31.0, 65.0, 64.33333333333333)","(61.0, 150.0, 127.5)"
07-12-2022 13:23:15.010904,"(3.5, 4.2, 4.106451612903226)","(2.2, 2.58, 2.5735849056603772)","(10.0, 15.0, 14.305555555555555)","(21.0, 38.0, 37.42857142857143)","(3.5, 4.0, 3.890625)","(31.0, 65.0, 64.33333333333333)","(61.0, 150.0, 127.5)"
07-12-2022 13:23:16.117736,"(3.5, 4.2, 4.1158730158730155)","(2.2, 2.6, 2.583448275862069)","(10.0, 15.0, 14.404761904761905)","(21.0, 38.0, 38.285714285714285)","(3.5, 3.95, 3.8993333333333333)","(31.0, 65.0, 64.41176470588235)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:17.064700,"(3.5, 4.2, 4.148387096774194)","(2.2, 2.6, 2.583917525773196)","(10.0, 15.0, 14.517857142857142)","(21.0, 40.0, 38.285714285714285)","(3.5, 3.95, 3.8993333333333333)","(31.0, 65.0, 64.41176470588235)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:18.080411,"(3.5, 4.2, 4.14375)","(2.2, 2.6, 2.583917525773196)","(10.0, 15.0, 14.508771929824562)","(21.0, 40.0, 37.95744680851064)","(3.5, 3.95, 3.8993333333333333)","(31.0, 65.0, 64.41176470588235)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:19.156477,"(3.5, 4.2, 4.150561797752809)","(2.2, 2.6, 2.582666666666667)","(10.0, 15.0, 14.391304347826086)","(21.0, 40.0, 37.95744680851064)","(3.5, 3.95, 3.8941176470588235)","(31.0, 65.0, 64.33333333333333)","(61.0, 150.0, 127.5)"
07-12-2022 13:23:20.299597,"(3.5, 4.2, 4.146575342465753)","(2.2, 2.6, 2.5840963855421686)","(10.0, 15.0, 14.5)","(21.0, 40.0, 36.31578947368421)","(3.5, 3.95, 3.9172268907563024)","(31.0, 65.0, 64.33333333333333)","(61.0, 150.0, 127.5)"
07-12-2022 13:23:21.450540,"(3.5, 4.2, 4.1551282051282055)","(2.2, 2.58, 2.5670588235294116)","(10.0, 15.0, 14.38888888888889)","(21.0, 38.0, 35.875)","(3.5, 4.0, 3.915111111111111)","(31.0, 65.0, 64.54545454545455)","(61.0, 150.0, 127.5)"
07-12-2022 13:23:22.563696,"(3.5, 4.3, 4.22463768115942)","(2.2, 2.58, 2.563125)","(10.0, 15.0, 14.38888888888889)","(21.0, 38.0, 35.76470588235294)","(3.5, 4.0, 3.8777777777777778)","(31.0, 65.0, 64.6)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:23.717490,"(3.5, 4.3, 4.2303030303030305)","(2.2, 2.62, 2.590212765957447)","(10.0, 15.0, 14.54)","(21.0, 38.0, 35.76470588235294)","(3.5, 3.9, 3.8635135135135137)","(31.0, 65.0, 64.6)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:24.789873,"(3.5, 4.2, 4.173770491803278)","(2.2, 2.62, 2.6054545454545455)","(10.0, 15.0, 14.54)","(21.0, 38.0, 35.76470588235294)","(3.5, 3.9, 3.8598039215686275)","(31.0, 65.0, 64.6)","(61.0, 150.0, 128.8235294117647)"
07-12-2022 13:23:25.862600,"(3.5, 4.2, 4.109999999999999)","(2.2, 2.62, 2.6034146341463416)","(10.0, 15.0, 14.551020408163264)","(21.0, 38.0, 35.76470588235294)","(3.5, 3.95, 3.8579787234042553)","(31.0, 65.0, 69.31818181818181)","(61.0, 150.0, 132.0)"
07-12-2022 13:23:26.897746,"(3.5, 4.1, 4.066666666666666)","(2.2, 2.6, 2.592)","(10.0, 15.5, 15.105263157894736)","(21.0, 38.0, 36.51428571428571)","(3.5, 4.0, 3.960989010989011)","(31.0, 70.0, 69.31818181818181)","(61.0, 150.0, 132.0)"
07-12-2022 13:23:27.968911,"(3.5, 4.1, 4.066666666666666)","(2.2, 2.58, 2.576)","(10.0, 15.5, 15.016129032258064)","(21.0, 38.0, 36.51428571428571)","(3.5, 4.0, 3.960989010989011)","(31.0, 70.0, 74.0909090909091)","(61.0, 150.0, 132.0)"
07-12-2022 13:23:29.088826,"(3.5, 4.1, 4.062790697674418)","(2.2, 2.62, 2.6100000000000003)","(10.0, 15.5, 15.016129032258064)","(21.0, 38.0, 36.303030303030305)","(3.5, 4.0, 4.066666666666666)","(31.0, 75.0, 74.2)","(61.0, 150.0, 132.69230769230768)"
07-12-2022 13:23:30.034994,"(3.5, 4.1, 4.04)","(2.2, 2.56, 2.5571929824561406)","(10.0, 15.5, 14.746376811594203)","(21.0, 38.0, 36.303030303030305)","(3.5, 4.1, 4.066666666666666)","(31.0, 75.0, 74.2)","(61.0, 150.0, 132.69230769230768)"
07-12-2022 13:23:31.047413,"(3.5, 4.0, 3.9685483870967744)","(2.2, 2.6, 2.5805263157894736)","(10.0, 15.5, 14.7)","(21.0, 36.0, 35.368421052631575)","(3.5, 4.1, 4.063380281690141)","(31.0, 75.0, 70.23809523809524)","(61.0, 150.0, 132.69230769230768)"
07-12-2022 13:23:32.166633,"(3.5, 4.0, 3.981034482758621)","(2.2, 2.58, 2.563783783783784)","(10.0, 15.5, 14.838028169014084)","(21.0, 36.0, 35.27272727272727)","(3.5, 4.2, 4.126190476190476)","(31.0, 75.0, 69.73684210526315)","(61.0, 150.0, 123.33333333333333)"
07-12-2022 13:23:33.404930,"(3.5, 4.1, 4.011320754716981)","(2.2, 2.56, 2.5408823529411766)","(10.0, 15.5, 14.862068965517242)","(21.0, 36.0, 35.0)","(3.5, 4.2, 4.065217391304348)","(31.0, 75.0, 57.77777777777778)","(61.0, 150.0, 138.0)"
07-12-2022 13:23:34.525712,"(3.5, 4.1, 4.012686567164179)","(2.15, 2.58, 2.5757894736842104)","(10.0, 15.5, 14.89344262295082)","(21.0, 36.0, 34.2)","(3.5, 4.1, 4.081081081081081)","(31.0, 60.0, 57.77777777777778)","(61.0, 150.0, 138.0)"
07-12-2022 13:23:35.623618,"(3.5, 4.1, 4.014772727272727)","(2.15, 2.58, 2.5672463768115943)","(10.0, 15.5, 14.98611111111111)","(21.0, 36.0, 34.18181818181818)","(3.5, 4.1, 4.073170731707317)","(31.0, 60.0, 57.93103448275862)","(61.0, 150.0, 138.46153846153845)"
07-12-2022 13:23:36.659643,"(3.5, 4.1, 4.024242424242424)","(2.15, 2.58, 2.5672463768115943)","(10.0, 15.5, 14.98611111111111)","(21.0, 36.0, 33.714285714285715)","(3.5, 4.1, 4.082926829268293)","(31.0, 60.0, 57.93103448275862)","(61.0, 150.0, 138.0)"
07-12-2022 13:23:37.728666,"(3.5, 4.1, 4.023529411764706)","(2.15, 2.58, 2.566938775510204)","(10.0, 15.5, 14.98611111111111)","(21.0, 36.0, 32.61538461538461)","(3.5, 4.1, 4.053125)","(31.0, 60.0, 57.93103448275862)","(61.0, 150.0, 141.66666666666669)"
07-12-2022 13:23:38.809820,"(3.5, 4.1, 4.047826086956522)","(2.15, 2.58, 2.56)","(10.0, 15.5, 14.921875)","(21.0, 34.0, 33.833333333333336)","(3.5, 4.1, 4.04)","(31.0, 60.0, 57.77777777777778)","(61.0, 150.0, 140.9090909090909)"
07-12-2022 13:23:39.938413,"(3.3, 4.1, 4.0962499999999995)","(2.2, 2.58, 2.56)","(11.0, 15.5, 14.921875)","(26.0, 36.0, 33.833333333333336)","(3.6, 4.1, 4.037931034482758)","(41.0, 60.0, 57.77777777777778)","(71.0, 150.0, 140.9090909090909)"
