,Shes Our Cruze,Piazza Farnese,Urana Lot,Cry Wolf,Shanes Pick,Perfect Pacific,Tarantula
07-12-2022 19:55:54.229128,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.40909090909091)"
07-12-2022 19:55:55.356928,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.40909090909091)"
07-12-2022 19:55:56.565363,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.40909090909091)"
07-12-2022 19:55:57.693836,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.40909090909091)"
07-12-2022 19:55:58.804167,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.40909090909091)"
07-12-2022 19:55:59.883476,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.40909090909091)"
07-12-2022 19:56:01.022189,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.40909090909091)"
07-12-2022 19:56:02.161499,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 22.0, 20.055555555555557)"
07-12-2022 19:56:03.210977,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 20.055555555555557)"
07-12-2022 19:56:04.327591,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 20.055555555555557)"
07-12-2022 19:56:05.466967,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 20.055555555555557)"
07-12-2022 19:56:06.529151,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.6805882352941175)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 20.055555555555557)"
07-12-2022 19:56:07.589264,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.6805882352941175)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 20.055555555555557)"
07-12-2022 19:56:08.732499,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.6805882352941175)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 20.055555555555557)"
07-12-2022 19:56:09.964415,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.6805882352941175)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.125)"
07-12-2022 19:56:11.057156,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.6805882352941175)","(21.0, 140.0, 71.0)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.25)"
07-12-2022 19:56:12.191828,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.25)"
07-12-2022 19:56:13.258363,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:14.390331,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:15.611133,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:16.786882,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:17.941471,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:19.122690,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:20.223739,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:21.369045,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
07-12-2022 19:56:22.570895,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 2.085)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.375)"
