,Filly Thirteen,Back To Betoota,Gwyneth P Nz,Reds Star Deal,Hurrikane King,Swooping Eagle,Blue Bloodz,Moonan Nina,Nineteenthirtyfour,Sarasun
06-01-2023 12:19:03.550857,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:05.035141,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:06.517824,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:08.041598,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:09.541643,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:11.068793,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:12.548493,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:14.048096,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:15.703970,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:17.138157,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:18.628056,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:20.069200,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:21.369802,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:22.805428,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:24.154650,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:25.481158,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:26.780837,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:28.258767,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 2.7333333333333334)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:29.590467,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 2.7333333333333334)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:30.932581,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 2.7333333333333334)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:32.234853,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 2.7333333333333334)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:33.553901,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 2.7333333333333334)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:34.941126,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 2.7333333333333334)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
06-01-2023 12:19:36.228499,"(9.0, 19.5, 18.083333333333336)","(2.45, 3.4, 2.7333333333333334)","(1.9, 99999, 99990)","(18.0, 30.0, 25.714285714285715)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 21.875)","(20.0, 36.0, 25.0)"
