,Electric Heidi,Claretown Ann,Aston Jasper,Smiling Quartile,Mythical Queen,Stopped Short,Aston Esme,Caesars Palace
16-12-2022 14:48:34.251105,"(4.4, 5.5, 5.390909090909091)","(2.7, 3.2, 3.098529411764706)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.6, 6.60952380952381)","(8.5, 9.8, 9.157142857142857)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:35.333637,"(4.4, 5.5, 5.307142857142857)","(2.7, 3.2, 3.098529411764706)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.6, 7.28888888888889)","(8.5, 9.8, 9.157142857142857)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:36.437850,"(4.4, 5.5, 5.307142857142857)","(2.7, 3.2, 3.1233333333333335)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.4, 7.015384615384615)","(8.5, 9.8, 8.981818181818182)","(21.0, 60.0, 48.46153846153846)","(5.5, 7.0, 6.5285714285714285)"
16-12-2022 14:48:37.533035,"(4.4, 5.5, 5.33125)","(2.7, 3.2, 3.1233333333333335)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.4, 7.015384615384615)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5285714285714285)"
16-12-2022 14:48:38.620017,"(4.4, 5.6, 5.431111111111111)","(2.7, 3.2, 3.1233333333333335)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.4, 6.590476190476191)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5285714285714285)"
16-12-2022 14:48:39.611145,"(4.4, 5.6, 5.41)","(2.7, 3.2, 3.108)","(8.5, 14.5, 14.048387096774194)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.4, 6.590476190476191)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5285714285714285)"
16-12-2022 14:48:40.702500,"(4.4, 5.6, 5.38076923076923)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 16.3)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.4, 6.490909090909091)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:41.803188,"(4.4, 5.6, 5.3625)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.913793103448276)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.4, 6.490909090909091)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:42.935549,"(4.4, 5.8, 5.3568181818181815)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.95)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.4, 6.571428571428572)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5875)"
16-12-2022 14:48:44.135432,"(4.4, 5.8, 5.379545454545454)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.95)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.2, 6.571428571428572)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5875)"
16-12-2022 14:48:45.383062,"(4.4, 5.8, 5.325641025641025)","(2.7, 3.2, 3.108)","(8.5, 17.0, 15.95)","(41.0, 100.0, 75.83333333333333)","(4.6, 8.2, 6.571428571428572)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.45)"
16-12-2022 14:48:46.546713,"(4.4, 5.8, 5.535714285714286)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.95)","(41.0, 100.0, 88.375)","(4.6, 8.2, 6.538461538461538)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.45)"
16-12-2022 14:48:47.772943,"(4.4, 5.8, 5.535714285714286)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.95)","(41.0, 95.0, 58.875)","(4.6, 8.2, 6.933333333333334)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.45)"
16-12-2022 14:48:49.001835,"(4.4, 6.0, 5.560975609756097)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.95)","(41.0, 95.0, 56.75)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.45)"
16-12-2022 14:48:50.124842,"(4.4, 6.0, 5.336842105263158)","(2.7, 3.2, 3.108)","(8.5, 17.0, 15.95)","(41.0, 95.0, 56.75)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.45)"
16-12-2022 14:48:51.257167,"(4.4, 6.0, 5.336842105263158)","(2.7, 3.2, 3.108)","(8.5, 17.0, 15.95)","(41.0, 95.0, 56.75)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5875)"
16-12-2022 14:48:52.381237,"(4.4, 6.0, 5.560975609756097)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.95)","(41.0, 95.0, 63.5)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5875)"
16-12-2022 14:48:53.530106,"(4.4, 6.0, 5.560975609756097)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.95)","(41.0, 95.0, 63.5)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5875)"
16-12-2022 14:48:54.689559,"(4.4, 6.0, 5.560975609756097)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.95)","(41.0, 95.0, 63.5)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:55.836351,"(4.4, 6.0, 5.336842105263158)","(2.7, 3.2, 3.108)","(8.5, 17.0, 15.65)","(41.0, 95.0, 63.5)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:56.976607,"(4.4, 6.0, 5.560975609756097)","(2.7, 3.2, 3.108)","(8.5, 17.0, 15.392857142857142)","(41.0, 95.0, 63.5)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:58.133329,"(4.4, 6.0, 5.560975609756097)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.125)","(41.0, 95.0, 63.5)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:48:59.226554,"(4.4, 6.0, 5.560975609756097)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 15.75)","(41.0, 95.0, 63.5)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.536842105263158)"
16-12-2022 14:49:00.335172,"(4.4, 6.0, 5.560975609756097)","(2.7, 3.2, 3.1589285714285715)","(8.5, 17.0, 16.25)","(41.0, 95.0, 63.5)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5875)"
16-12-2022 14:49:01.500041,"(4.4, 6.0, 5.336842105263158)","(2.7, 3.2, 3.108)","(8.5, 17.0, 16.25)","(41.0, 95.0, 63.5)","(4.6, 8.0, 6.720000000000001)","(8.5, 9.8, 8.9)","(21.0, 60.0, 46.55172413793103)","(5.5, 7.0, 6.5875)"
