,Vidris Bale,Scarlett Express,Malibu Bale,She Devil,Riverdale Bud,Judys Redeemer,Tiggerlong Egg
10-01-2023 14:23:17.635277,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:18.915573,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:20.213109,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:21.469246,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.233333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 104.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:22.752068,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.233333333333333)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 190.0, 109.5)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:23.997613,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 79.33333333333334)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:25.176159,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 79.33333333333334)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:26.353980,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 79.33333333333334)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:27.597206,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 79.33333333333334)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
10-01-2023 14:23:28.686462,"(3.6, 8.0, 6.533333333333333)","(7.5, 15.5, 10.366666666666667)","(13.0, 28.0, 15.625)","(3.9, 8.6, 6.9833333333333325)","(20.0, 200.0, 79.33333333333334)","(3.0, 4.1, 3.2493333333333334)","(5.0, 9.0, 6.6000000000000005)"
