,Missczech,Curlin Blessing,Taking Charge Desi,Kynlies Empire,Tiz A Macho Girl,Joy In The Battle,Miss Hard Knocks,Lucy K
10-01-2023 08:05:33.890741,"(11.0, 16.5, 16.26923076923077)","(16.0, 24.0, 22.6)","(31.0, 150.0, 125.0)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.78, 2.7459016393442623)","(5.0, 5.7, 5.703759398496241)","(2.6, 2.94, 2.8849606299212596)","(26.0, 150.0, 94.0)"
10-01-2023 08:05:34.957855,"(11.0, 16.5, 16.4)","(16.0, 24.0, 22.470588235294116)","(31.0, 150.0, 125.0)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.78, 2.7935135135135134)","(5.0, 5.8, 5.66)","(2.6, 2.94, 2.9146153846153844)","(26.0, 150.0, 94.0)"
10-01-2023 08:05:35.987938,"(11.0, 17.0, 15.875)","(16.0, 24.0, 23.333333333333332)","(31.0, 150.0, 131.66666666666666)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.8, 2.7935135135135134)","(5.0, 5.9, 5.66)","(2.6, 2.92, 2.9107692307692306)","(26.0, 150.0, 94.0)"
10-01-2023 08:05:37.049582,"(11.0, 17.0, 16.266666666666666)","(16.0, 24.0, 23.05263157894737)","(31.0, 150.0, 112.5)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.78, 2.7818181818181817)","(5.0, 5.9, 5.704511278195489)","(2.6, 2.92, 2.9016949152542373)","(26.0, 150.0, 94.0)"
10-01-2023 08:05:38.053003,"(11.0, 17.0, 16.476190476190474)","(16.0, 24.0, 23.142857142857142)","(31.0, 150.0, 112.5)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.8, 2.80695652173913)","(5.0, 5.9, 5.7030612244897965)","(2.6, 2.92, 2.8867692307692305)","(26.0, 150.0, 94.0)"
10-01-2023 08:05:39.027538,"(11.0, 17.0, 16.476190476190474)","(16.0, 24.0, 23.142857142857142)","(31.0, 150.0, 112.5)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.82, 2.7968421052631576)","(5.0, 5.9, 5.702051282051282)","(2.6, 2.92, 2.892957746478873)","(26.0, 150.0, 104.5)"
10-01-2023 08:05:40.063416,"(11.0, 17.0, 16.38888888888889)","(16.0, 24.0, 23.0)","(31.0, 150.0, 112.5)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.82, 2.7968421052631576)","(5.0, 5.9, 5.702051282051282)","(2.6, 2.92, 2.8855555555555554)","(26.0, 150.0, 104.5)"
10-01-2023 08:05:41.099149,"(11.0, 17.0, 16.38888888888889)","(16.0, 24.0, 22.941176470588236)","(31.0, 150.0, 112.5)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.82, 2.7885714285714283)","(5.0, 5.9, 5.702051282051282)","(2.6, 2.92, 2.8891666666666667)","(26.0, 150.0, 104.5)"
10-01-2023 08:05:42.186048,"(11.0, 17.0, 16.35)","(16.0, 24.0, 22.941176470588236)","(31.0, 150.0, 112.5)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.82, 2.7807407407407405)","(5.0, 5.9, 5.726829268292683)","(2.6, 2.92, 2.9039130434782607)","(26.0, 150.0, 104.5)"
10-01-2023 08:05:43.264918,"(11.0, 17.0, 16.4375)","(16.0, 24.0, 22.941176470588236)","(31.0, 150.0, 126.0)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.8, 2.7895999999999996)","(5.0, 5.8, 5.723076923076923)","(2.6, 2.92, 2.901333333333333)","(26.0, 150.0, 115.0)"
10-01-2023 08:05:44.290867,"(11.0, 17.0, 16.466666666666665)","(16.0, 24.0, 22.941176470588236)","(31.0, 150.0, 126.0)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.8, 2.7895999999999996)","(5.0, 5.8, 5.713043478260869)","(2.6, 2.92, 2.9035294117647057)","(26.0, 140.0, 115.0)"
10-01-2023 08:05:45.317213,"(11.0, 17.0, 16.466666666666665)","(16.0, 24.0, 22.941176470588236)","(31.0, 150.0, 133.33333333333331)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.8, 2.777333333333333)","(5.0, 5.8, 5.890000000000001)","(2.6, 2.92, 2.8904761904761904)","(26.0, 140.0, 132.14285714285714)"
10-01-2023 08:05:46.332877,"(11.0, 17.0, 16.466666666666665)","(16.0, 24.0, 22.941176470588236)","(31.0, 150.0, 133.33333333333331)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.78, 2.777333333333333)","(5.0, 5.9, 5.890000000000001)","(2.6, 2.9, 2.8917241379310346)","(26.0, 140.0, 133.125)"
10-01-2023 08:05:47.341137,"(11.0, 17.0, 16.5)","(16.0, 24.0, 22.818181818181817)","(31.0, 80.0, 66.66666666666667)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.78, 2.7513513513513512)","(5.0, 6.0, 5.954166666666667)","(2.6, 2.9, 2.907142857142857)","(26.0, 140.0, 132.14285714285714)"
10-01-2023 08:05:48.397091,"(11.0, 17.0, 16.571428571428573)","(16.0, 24.0, 22.842105263157894)","(31.0, 85.0, 80.71428571428571)","(31.0, 200.0, 180.71428571428572)","(2.6, 2.76, 2.773170731707317)","(5.0, 6.0, 5.968478260869565)","(2.6, 2.92, 2.897333333333333)","(26.0, 140.0, 80.0)"
10-01-2023 08:05:49.455342,"(11.0, 17.0, 16.571428571428573)","(16.0, 24.0, 23.157894736842106)","(31.0, 85.0, 80.83333333333333)","(31.0, 230.0, 211.53846153846155)","(2.6, 2.78, 2.777333333333333)","(5.0, 6.2, 5.943478260869566)","(2.6, 2.9, 2.897333333333333)","(26.0, 120.0, 84.44444444444444)"
10-01-2023 08:05:50.523396,"(11.0, 17.0, 16.571428571428573)","(16.0, 24.0, 23.263157894736842)","(31.0, 85.0, 72.5)","(31.0, 230.0, 211.53846153846155)","(2.6, 2.78, 2.776923076923077)","(5.0, 6.0, 5.943478260869566)","(2.6, 2.9, 2.896595744680851)","(26.0, 120.0, 93.33333333333334)"
10-01-2023 08:05:51.569962,"(11.0, 17.0, 16.571428571428573)","(16.0, 24.0, 22.96)","(31.0, 85.0, 75.38461538461539)","(31.0, 230.0, 211.53846153846155)","(2.6, 2.78, 2.799)","(5.0, 6.0, 5.933333333333334)","(2.6, 2.9, 2.8877966101694916)","(26.0, 120.0, 80.0)"
10-01-2023 08:05:52.613332,"(11.0, 17.0, 16.3)","(16.0, 24.0, 22.88888888888889)","(31.0, 85.0, 77.0)","(31.0, 230.0, 211.53846153846155)","(2.6, 2.8, 2.801951219512195)","(5.0, 6.0, 5.86923076923077)","(2.6, 2.9, 2.8925)","(26.0, 120.0, 84.0)"
10-01-2023 08:05:53.623062,"(11.0, 17.0, 16.583333333333332)","(16.0, 24.0, 22.941176470588236)","(31.0, 85.0, 76.0)","(31.0, 230.0, 211.53846153846155)","(2.6, 2.82, 2.8122916666666664)","(5.0, 5.9, 5.864285714285714)","(2.6, 2.9, 2.8959183673469386)","(26.0, 120.0, 78.88888888888889)"
10-01-2023 08:05:54.679502,"(11.0, 17.0, 16.772727272727273)","(16.0, 24.0, 23.307692307692307)","(31.0, 85.0, 80.0)","(31.0, 230.0, 156.66666666666666)","(2.6, 2.82, 2.8048979591836734)","(5.0, 6.0, 5.8914285714285715)","(2.6, 2.9, 2.8957142857142855)","(26.0, 110.0, 90.0)"
10-01-2023 08:05:55.759823,"(11.0, 17.0, 16.772727272727273)","(16.0, 24.0, 23.4)","(31.0, 85.0, 80.0)","(31.0, 230.0, 156.66666666666666)","(2.6, 2.82, 2.8048979591836734)","(5.0, 6.0, 5.9)","(2.6, 2.9, 2.893469387755102)","(26.0, 110.0, 88.46153846153847)"
10-01-2023 08:05:56.787789,"(11.0, 17.0, 16.772727272727273)","(16.0, 24.0, 23.4)","(31.0, 85.0, 80.0)","(31.0, 230.0, 138.33333333333334)","(2.6, 2.82, 2.8048979591836734)","(5.0, 6.0, 5.906172839506173)","(2.6, 2.9, 2.875135135135135)","(26.0, 110.0, 88.46153846153847)"
10-01-2023 08:05:57.835737,"(11.0, 17.0, 16.954545454545453)","(17.0, 24.0, 23.4)","(31.0, 85.0, 80.0)","(31.0, 230.0, 138.33333333333334)","(2.5, 2.82, 2.807241379310345)","(5.0, 6.0, 5.866666666666667)","(2.5, 2.88, 2.875909090909091)","(26.0, 110.0, 88.46153846153847)"
10-01-2023 08:05:58.841555,"(11.0, 17.0, 16.954545454545453)","(17.0, 24.0, 23.4)","(31.0, 85.0, 80.0)","(31.0, 230.0, 138.33333333333334)","(2.5, 2.82, 2.8057692307692306)","(5.0, 5.9, 5.861904761904762)","(2.5, 2.88, 2.878421052631579)","(26.0, 110.0, 88.46153846153847)"
10-01-2023 08:05:59.831721,"(11.0, 17.0, 16.954545454545453)","(17.0, 24.0, 23.4375)","(31.0, 85.0, 80.0)","(31.0, 230.0, 138.33333333333334)","(2.5, 2.82, 2.8057692307692306)","(5.0, 5.9, 5.8428571428571425)","(2.5, 2.88, 2.8851851851851853)","(26.0, 110.0, 83.33333333333333)"
10-01-2023 08:06:00.817897,"(11.0, 17.0, 16.954545454545453)","(17.0, 24.0, 23.4)","(31.0, 85.0, 80.0)","(31.0, 230.0, 138.33333333333334)","(2.5, 2.82, 2.807017543859649)","(5.0, 5.9, 5.8428571428571425)","(2.5, 2.9, 2.8859649122807016)","(26.0, 110.0, 88.46153846153847)"
10-01-2023 08:06:01.846064,"(11.0, 17.0, 16.958333333333332)","(17.0, 24.0, 23.4)","(31.0, 85.0, 80.0)","(31.0, 230.0, 138.33333333333334)","(2.5, 2.82, 2.804390243902439)","(5.0, 5.9, 5.8428571428571425)","(2.5, 2.9, 2.889333333333333)","(26.0, 110.0, 88.46153846153847)"
10-01-2023 08:06:02.919686,"(11.0, 17.0, 16.958333333333332)","(17.0, 24.0, 23.4)","(31.0, 85.0, 75.625)","(31.0, 230.0, 138.33333333333334)","(2.5, 2.82, 2.8085714285714283)","(5.0, 5.9, 5.863636363636364)","(2.5, 2.9, 2.8921951219512194)","(26.0, 110.0, 88.46153846153847)"
10-01-2023 08:06:04.003870,"(11.0, 16.0, 15.631455399061032)","(17.0, 24.0, 23.571428571428573)","(31.0, 85.0, 75.625)","(31.0, 230.0, 138.33333333333334)","(2.5, 2.82, 2.826153846153846)","(5.0, 5.9, 5.875)","(2.5, 2.9, 2.8904761904761904)","(26.0, 110.0, 94.0)"
10-01-2023 08:06:05.093836,"(11.0, 16.0, 15.595360824742269)","(17.0, 24.0, 23.608695652173914)","(31.0, 85.0, 76.66666666666667)","(31.0, 230.0, 180.0)","(2.5, 2.86, 2.8486792452830185)","(5.0, 5.9, 5.877777777777778)","(2.5, 2.9, 2.876)","(26.0, 110.0, 91.53846153846153)"
10-01-2023 08:06:06.143039,"(11.0, 16.0, 15.602777777777778)","(17.0, 24.0, 23.59090909090909)","(31.0, 85.0, 76.66666666666667)","(31.0, 230.0, 180.0)","(2.5, 2.86, 2.851020408163265)","(5.0, 5.9, 5.877777777777778)","(2.5, 2.88, 2.876)","(26.0, 110.0, 90.0)"
10-01-2023 08:06:07.162609,"(11.0, 16.0, 15.602777777777778)","(16.0, 24.0, 23.59090909090909)","(31.0, 85.0, 76.66666666666667)","(41.0, 230.0, 180.0)","(2.45, 2.86, 2.86)","(5.0, 5.9, 5.861538461538462)","(2.5, 2.88, 2.876)","(41.0, 110.0, 94.61538461538461)"
10-01-2023 08:06:08.157114,"(11.0, 16.0, 15.602777777777778)","(16.0, 24.0, 23.59090909090909)","(31.0, 85.0, 76.66666666666667)","(41.0, 230.0, 180.0)","(2.45, 2.88, 2.8552941176470585)","(5.0, 5.9, 5.861538461538462)","(2.5, 2.88, 2.8794285714285714)","(41.0, 110.0, 91.81818181818181)"
10-01-2023 08:06:09.163901,"(11.0, 16.0, 15.602777777777778)","(16.0, 24.0, 23.59090909090909)","(31.0, 85.0, 76.66666666666667)","(41.0, 230.0, 180.0)","(2.45, 2.86, 2.857377049180328)","(5.0, 5.9, 5.861538461538462)","(2.5, 2.9, 2.8808)","(41.0, 110.0, 91.81818181818181)"
10-01-2023 08:06:10.179728,"(11.0, 15.5, 15.081395348837209)","(16.0, 24.0, 23.59090909090909)","(31.0, 85.0, 76.66666666666667)","(41.0, 230.0, 180.0)","(2.45, 2.86, 2.8643478260869566)","(5.0, 5.9, 5.857142857142858)","(2.5, 2.9, 2.883888888888889)","(41.0, 110.0, 94.0)"
10-01-2023 08:06:11.268471,"(11.0, 15.5, 15.0125)","(16.0, 24.0, 23.65)","(31.0, 85.0, 76.0)","(41.0, 230.0, 180.0)","(2.45, 2.88, 2.8547368421052632)","(5.0, 5.9, 5.895238095238096)","(2.5, 2.9, 2.886746987951807)","(41.0, 110.0, 96.875)"
10-01-2023 08:06:12.303559,"(11.0, 15.5, 15.013157894736842)","(16.0, 24.0, 23.8125)","(31.0, 85.0, 76.0)","(41.0, 230.0, 180.0)","(2.45, 2.86, 2.835384615384615)","(5.0, 5.9, 5.896)","(2.5, 2.92, 2.896875)","(41.0, 110.0, 93.66666666666667)"
10-01-2023 08:06:13.342177,"(11.0, 15.5, 14.597560975609756)","(16.0, 24.0, 23.8125)","(31.0, 85.0, 76.0)","(41.0, 230.0, 180.0)","(2.45, 2.86, 2.8386666666666667)","(5.0, 5.9, 5.896)","(2.45, 2.92, 2.9035555555555557)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:14.379138,"(11.0, 15.0, 14.8)","(16.0, 24.0, 23.8125)","(31.0, 85.0, 76.0)","(41.0, 230.0, 180.0)","(2.45, 2.86, 2.8386666666666667)","(5.0, 5.9, 5.896)","(2.45, 2.92, 2.8975757575757575)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:15.377784,"(11.0, 15.0, 14.827586206896552)","(16.0, 24.0, 23.8125)","(31.0, 85.0, 77.5)","(41.0, 230.0, 180.0)","(2.45, 2.86, 2.8386666666666667)","(5.0, 5.9, 5.896)","(2.45, 2.92, 2.896875)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:16.423680,"(11.0, 15.0, 14.88)","(16.0, 24.0, 23.8125)","(31.0, 85.0, 77.5)","(41.0, 230.0, 202.5)","(2.45, 2.86, 2.835384615384615)","(5.0, 5.9, 5.896)","(2.45, 2.92, 2.896875)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:17.479644,"(11.0, 15.0, 14.88)","(16.0, 24.0, 23.8125)","(31.0, 85.0, 77.5)","(41.0, 230.0, 189.23076923076923)","(2.45, 2.86, 2.828)","(5.0, 5.9, 5.907547169811321)","(2.45, 2.92, 2.895737704918033)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:18.521942,"(11.0, 15.0, 14.89655172413793)","(16.0, 24.0, 23.842105263157894)","(31.0, 85.0, 77.5)","(41.0, 210.0, 189.23076923076923)","(2.45, 2.86, 2.828)","(5.0, 6.0, 5.908)","(2.45, 2.92, 2.895737704918033)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:19.562221,"(11.0, 15.0, 14.88)","(16.0, 24.0, 23.842105263157894)","(31.0, 85.0, 86.66666666666667)","(41.0, 210.0, 189.23076923076923)","(2.45, 2.86, 2.8658823529411763)","(5.0, 6.0, 5.9275)","(2.45, 2.92, 2.834285714285714)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:20.582947,"(11.0, 15.0, 14.954545454545455)","(16.0, 25.0, 24.17241379310345)","(31.0, 95.0, 86.66666666666667)","(41.0, 210.0, 189.23076923076923)","(2.45, 2.88, 2.8728571428571428)","(5.0, 6.0, 5.903333333333333)","(2.45, 2.84, 2.865846153846154)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:21.587912,"(11.0, 15.0, 14.952380952380953)","(16.0, 25.0, 24.142857142857142)","(31.0, 95.0, 86.66666666666667)","(41.0, 210.0, 189.23076923076923)","(2.45, 2.88, 2.8728571428571428)","(5.0, 6.0, 5.902702702702703)","(2.45, 2.88, 2.868)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:22.666824,"(11.0, 15.0, 14.952380952380953)","(16.0, 25.0, 24.181818181818183)","(31.0, 95.0, 72.5)","(41.0, 210.0, 189.23076923076923)","(2.45, 2.88, 2.793333333333333)","(5.0, 6.0, 5.97)","(2.45, 2.88, 2.8783529411764706)","(41.0, 110.0, 93.66666666666667)"
10-01-2023 08:06:23.750014,"(11.0, 15.5, 14.669117647058824)","(16.0, 25.0, 24.36842105263158)","(31.0, 100.0, 73.0)","(41.0, 210.0, 189.23076923076923)","(2.45, 2.8, 2.8351724137931034)","(5.0, 6.0, 5.9259259259259265)","(2.45, 2.92, 2.8899999999999997)","(41.0, 110.0, 93.66666666666667)"
10-01-2023 08:06:24.824013,"(11.0, 15.5, 14.66546762589928)","(16.0, 24.0, 23.565217391304348)","(31.0, 100.0, 73.0)","(41.0, 210.0, 189.23076923076923)","(2.45, 2.84, 2.8329999999999997)","(5.0, 6.2, 5.9225)","(2.45, 2.9, 2.8899999999999997)","(41.0, 110.0, 93.66666666666667)"
10-01-2023 08:06:25.910393,"(11.0, 15.5, 14.67142857142857)","(16.0, 24.0, 23.565217391304348)","(31.0, 100.0, 73.0)","(41.0, 210.0, 187.5)","(2.45, 2.84, 2.8337777777777777)","(5.0, 6.2, 6.128301886792453)","(2.45, 2.9, 2.8899999999999997)","(41.0, 110.0, 92.5)"
10-01-2023 08:06:26.961566,"(11.0, 15.5, 14.67142857142857)","(16.0, 24.0, 23.523809523809526)","(31.0, 100.0, 73.0)","(41.0, 210.0, 187.5)","(2.45, 2.84, 2.817894736842105)","(5.0, 6.2, 6.304385964912281)","(2.45, 2.9, 2.872)","(41.0, 110.0, 96.875)"
10-01-2023 08:06:27.985621,"(11.0, 15.0, 14.9)","(16.0, 24.0, 23.523809523809526)","(31.0, 100.0, 73.0)","(41.0, 210.0, 187.5)","(2.45, 2.82, 2.83)","(5.0, 6.4, 6.413664596273292)","(2.45, 2.88, 2.857142857142857)","(41.0, 110.0, 83.23529411764706)"
10-01-2023 08:06:28.984528,"(11.0, 15.0, 14.934782608695652)","(16.0, 24.0, 23.523809523809526)","(31.0, 100.0, 73.0)","(41.0, 210.0, 187.5)","(2.45, 2.84, 2.8069642857142854)","(5.0, 6.6, 6.414193548387097)","(2.45, 2.86, 2.8543749999999997)","(41.0, 95.0, 87.85714285714286)"
10-01-2023 08:06:29.996148,"(11.0, 15.0, 14.934782608695652)","(16.0, 24.0, 23.523809523809526)","(31.0, 100.0, 73.0)","(41.0, 210.0, 187.5)","(2.45, 2.82, 2.8069642857142854)","(5.0, 6.6, 6.414193548387097)","(2.45, 2.86, 2.863076923076923)","(41.0, 90.0, 82.5)"
10-01-2023 08:06:31.076097,"(11.0, 15.0, 14.928571428571429)","(16.0, 23.0, 22.714285714285715)","(31.0, 100.0, 64.78260869565217)","(41.0, 210.0, 165.0)","(2.45, 2.82, 2.8037433155080214)","(5.0, 6.6, 6.398360655737705)","(2.45, 2.88, 2.863076923076923)","(41.0, 90.0, 82.5)"
10-01-2023 08:06:32.136696,"(11.0, 15.0, 14.928571428571429)","(16.0, 23.0, 22.714285714285715)","(31.0, 100.0, 68.69565217391305)","(41.0, 210.0, 165.0)","(2.45, 2.82, 2.804301075268817)","(5.0, 6.4, 6.430303030303031)","(2.45, 2.88, 2.8642105263157895)","(41.0, 90.0, 82.5)"
10-01-2023 08:06:33.212020,"(11.0, 15.5, 14.634328358208956)","(16.0, 23.0, 22.666666666666668)","(31.0, 100.0, 77.5)","(41.0, 210.0, 163.0769230769231)","(2.45, 2.82, 2.798928571428571)","(5.0, 6.6, 6.64931506849315)","(2.45, 2.88, 2.867246376811594)","(41.0, 90.0, 82.5)"
10-01-2023 08:06:34.286524,"(11.0, 15.5, 14.634328358208956)","(16.0, 23.0, 22.0)","(31.0, 95.0, 77.5)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.8, 2.798928571428571)","(5.0, 6.8, 6.662337662337662)","(2.45, 2.88, 2.8663636363636362)","(41.0, 90.0, 82.5)"
10-01-2023 08:06:35.287390,"(11.0, 15.5, 14.634328358208956)","(16.0, 22.0, 20.42105263157895)","(31.0, 95.0, 78.33333333333334)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.82, 2.8079338842975203)","(5.0, 6.8, 6.648648648648648)","(2.45, 2.88, 2.884516129032258)","(41.0, 90.0, 87.5)"
10-01-2023 08:06:36.339791,"(11.0, 15.5, 15.076642335766424)","(16.0, 21.0, 20.2)","(31.0, 95.0, 65.0)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.82, 2.8079338842975203)","(5.0, 6.8, 6.648648648648648)","(2.45, 2.9, 2.884516129032258)","(41.0, 90.0, 78.57142857142857)"
10-01-2023 08:06:37.389792,"(11.0, 15.5, 15.06993006993007)","(16.0, 21.0, 20.0625)","(31.0, 95.0, 77.0)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.82, 2.8070796460176988)","(5.0, 6.8, 6.64931506849315)","(2.45, 2.9, 2.885)","(41.0, 80.0, 76.42857142857143)"
10-01-2023 08:06:38.454082,"(11.0, 15.0, 14.926470588235293)","(16.0, 21.0, 20.076923076923077)","(31.0, 95.0, 68.75)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.82, 2.8070796460176988)","(5.0, 6.8, 6.64931506849315)","(2.45, 2.9, 2.885)","(41.0, 80.0, 77.0)"
10-01-2023 08:06:39.526586,"(11.0, 15.0, 14.919354838709678)","(16.0, 21.0, 19.615384615384617)","(31.0, 95.0, 68.75)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.82, 2.8070796460176988)","(5.0, 6.8, 6.606060606060606)","(2.45, 2.9, 2.885)","(41.0, 80.0, 77.0)"
10-01-2023 08:06:40.545820,"(11.0, 15.0, 14.919354838709678)","(16.0, 21.0, 19.615384615384617)","(31.0, 95.0, 68.75)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.82, 2.807304347826087)","(5.0, 6.8, 6.588888888888889)","(2.45, 2.9, 2.8965)","(41.0, 80.0, 77.0)"
10-01-2023 08:06:41.553591,"(11.0, 15.0, 14.926470588235293)","(16.0, 21.0, 19.615384615384617)","(31.0, 95.0, 68.75)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.82, 2.807304347826087)","(5.0, 6.6, 6.588888888888889)","(2.45, 2.92, 2.902608695652174)","(41.0, 80.0, 84.0)"
10-01-2023 08:06:42.590241,"(11.0, 15.0, 14.926470588235293)","(16.0, 21.0, 19.615384615384617)","(31.0, 95.0, 68.75)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.82, 2.807304347826087)","(5.0, 6.6, 6.588888888888889)","(2.45, 2.92, 2.9051851851851853)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:43.642108,"(11.0, 15.0, 14.926470588235293)","(15.0, 21.0, 19.615384615384617)","(31.0, 95.0, 68.75)","(41.0, 200.0, 163.0769230769231)","(2.45, 2.82, 2.806262626262626)","(5.0, 6.6, 6.588888888888889)","(2.45, 2.92, 2.8965)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:44.696027,"(11.0, 15.0, 14.926470588235293)","(15.0, 21.0, 20.0)","(31.0, 95.0, 71.66666666666667)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.82, 2.801111111111111)","(5.0, 6.6, 6.555555555555555)","(2.45, 2.92, 2.8995652173913045)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:45.767754,"(11.0, 15.0, 14.926470588235293)","(15.0, 21.0, 20.38235294117647)","(31.0, 95.0, 80.0)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.82, 2.7967164179104476)","(5.0, 6.6, 6.555555555555555)","(2.45, 2.92, 2.8995652173913045)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:46.751590,"(11.0, 15.0, 14.926470588235293)","(15.0, 21.0, 20.38235294117647)","(31.0, 95.0, 80.0)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.8, 2.806262626262626)","(5.0, 6.6, 6.538028169014084)","(2.45, 2.92, 2.8976470588235292)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:47.760795,"(11.0, 15.0, 14.926470588235293)","(15.0, 21.0, 20.5)","(31.0, 95.0, 71.66666666666667)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.82, 2.8116129032258064)","(5.0, 6.6, 6.5225)","(2.45, 2.9, 2.896923076923077)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:48.740198,"(11.0, 15.0, 14.926470588235293)","(15.0, 22.0, 20.666666666666668)","(31.0, 95.0, 80.0)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.82, 2.8116129032258064)","(5.0, 6.6, 6.5225)","(2.45, 2.9, 2.9088235294117646)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:49.728432,"(11.0, 15.0, 14.926470588235293)","(15.0, 22.0, 21.09090909090909)","(31.0, 95.0, 71.66666666666667)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.8, 2.7928571428571427)","(5.0, 6.6, 6.534246575342466)","(2.45, 2.92, 2.8923577235772355)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:50.722553,"(11.0, 15.0, 14.926470588235293)","(15.0, 22.0, 21.043478260869566)","(31.0, 95.0, 80.0)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.8, 2.7772602739726024)","(5.0, 6.6, 6.571929824561403)","(2.45, 2.92, 2.888421052631579)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:51.812972,"(11.0, 15.5, 14.711538461538462)","(15.0, 22.0, 21.043478260869566)","(31.0, 95.0, 80.0)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.78, 2.7772602739726024)","(5.0, 6.6, 6.548484848484848)","(2.45, 2.9, 2.893333333333333)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:52.892928,"(11.0, 15.5, 14.711538461538462)","(15.0, 22.0, 21.153846153846153)","(31.0, 95.0, 80.0)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.8, 2.788817204301075)","(5.0, 6.6, 6.548484848484848)","(2.45, 2.9, 2.893333333333333)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:53.976583,"(11.0, 15.5, 14.711538461538462)","(15.0, 22.0, 21.153846153846153)","(31.0, 95.0, 85.9090909090909)","(41.0, 200.0, 173.33333333333334)","(2.45, 2.8, 2.788817204301075)","(5.0, 6.6, 6.5633333333333335)","(2.45, 2.9, 2.895238095238095)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:55.068663,"(11.0, 15.5, 14.711538461538462)","(15.0, 22.0, 21.153846153846153)","(31.0, 95.0, 85.9090909090909)","(41.0, 200.0, 173.33333333333334)","(2.45, 2.8, 2.7870967741935484)","(5.0, 6.6, 6.578181818181818)","(2.45, 2.9, 2.895238095238095)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:56.066069,"(11.0, 15.5, 14.711538461538462)","(15.0, 22.0, 21.153846153846153)","(31.0, 95.0, 85.9090909090909)","(41.0, 200.0, 173.33333333333334)","(2.45, 2.8, 2.7870967741935484)","(5.0, 6.6, 6.578181818181818)","(2.45, 2.9, 2.903)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:57.071724,"(11.0, 15.5, 14.711538461538462)","(15.0, 22.0, 21.153846153846153)","(31.0, 95.0, 85.9090909090909)","(41.0, 200.0, 173.33333333333334)","(2.45, 2.8, 2.786470588235294)","(5.0, 6.6, 6.586666666666667)","(2.45, 2.92, 2.8896969696969697)","(41.0, 90.0, 76.875)"
10-01-2023 08:06:58.062672,"(11.0, 15.5, 15.004032258064516)","(15.0, 22.0, 21.153846153846153)","(31.0, 95.0, 85.9090909090909)","(41.0, 200.0, 170.9090909090909)","(2.45, 2.8, 2.7749206349206346)","(5.0, 6.8, 6.586666666666667)","(2.45, 2.9, 2.8910344827586205)","(41.0, 90.0, 76.875)"
