,Shonas Fury,Blue Bathers,Prince Danube,Last Date,Double Tara,Step Up
06-01-2023 11:01:49.651694,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:50.551815,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:51.506334,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:52.385331,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:53.319522,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:54.237304,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:55.099639,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:55.952467,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:56.844004,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:57.757417,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:58.642187,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:01:59.610423,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
06-01-2023 11:02:00.542002,"(4.6, 8.2, 7.566666666666666)","(1.8, 2.34, 1.9180555555555556)","(11.0, 22.0, 16.75)","(4.8, 11.0, 9.211764705882352)","(17.0, 55.0, 38.958333333333336)","(6.0, 10.0, 9.266666666666666)"
