,Magic Bertie,Yankee Banner,Lumin,My Gal Val,Rich Paris,Toffee Street,Alesha Lily,Atlanna,Lady Merchant,World Action
08-12-2022 12:55:36.892660,"(10.0, 15.0, 14.85)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.575)","(26.0, 38.0, 37.85)","(2.7, 3.45, 3.4260204081632653)","(3.6, 3.9, 3.8533783783783786)","(19.0, 24.0, 22.09090909090909)","(61.0, 120.0, 97.5)","(31.0, 65.0, 50.535714285714285)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:38.407312,"(10.0, 15.0, 14.85)","(101.0, 440.0, 435.55555555555554)","(9.0, 11.0, 10.575)","(26.0, 38.0, 37.85)","(2.7, 3.45, 3.4260204081632653)","(3.6, 3.9, 3.8533783783783786)","(18.0, 24.0, 22.09090909090909)","(61.0, 120.0, 97.5)","(31.0, 65.0, 50.535714285714285)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:39.928513,"(10.0, 15.0, 14.85)","(101.0, 440.0, 433.84615384615387)","(9.0, 11.0, 10.590361445783133)","(26.0, 38.0, 37.94736842105263)","(2.7, 3.45, 3.430722891566265)","(3.6, 3.9, 3.8301587301587303)","(18.0, 24.0, 22.09090909090909)","(61.0, 120.0, 97.5)","(31.0, 65.0, 50.535714285714285)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:41.538695,"(10.0, 15.0, 14.763157894736842)","(101.0, 440.0, 433.84615384615387)","(9.0, 11.0, 10.606060606060606)","(26.0, 38.0, 37.94736842105263)","(2.7, 3.45, 3.4252475247524754)","(3.6, 3.85, 3.8280701754385964)","(18.0, 24.0, 22.09090909090909)","(61.0, 120.0, 97.5)","(31.0, 65.0, 51.666666666666664)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:42.949315,"(10.0, 15.0, 14.763157894736842)","(101.0, 440.0, 433.84615384615387)","(9.0, 11.0, 10.606060606060606)","(26.0, 38.0, 37.94736842105263)","(2.7, 3.45, 3.4280219780219783)","(3.6, 3.85, 3.8162162162162163)","(18.0, 24.0, 22.09090909090909)","(61.0, 120.0, 97.5)","(31.0, 60.0, 56.84210526315789)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:44.323763,"(10.0, 15.0, 14.763157894736842)","(101.0, 440.0, 433.84615384615387)","(9.0, 11.0, 10.596774193548388)","(26.0, 38.0, 37.94736842105263)","(2.7, 3.45, 3.440909090909091)","(3.6, 3.85, 3.8105263157894735)","(18.0, 24.0, 22.09090909090909)","(61.0, 120.0, 97.5)","(31.0, 60.0, 52.30769230769231)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:45.689935,"(10.0, 15.0, 14.82)","(101.0, 440.0, 433.84615384615387)","(9.0, 11.0, 10.596774193548388)","(26.0, 38.0, 37.94736842105263)","(2.7, 3.45, 3.4279411764705885)","(3.6, 3.85, 3.810732984293194)","(18.0, 24.0, 21.8)","(61.0, 120.0, 97.5)","(31.0, 60.0, 50.0)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:47.112628,"(10.0, 15.0, 14.82)","(101.0, 440.0, 433.84615384615387)","(9.0, 11.0, 10.706896551724139)","(26.0, 38.0, 37.95348837209302)","(2.7, 3.45, 3.4279411764705885)","(3.6, 3.85, 3.810732984293194)","(18.0, 23.0, 21.8)","(61.0, 120.0, 97.5)","(31.0, 60.0, 51.891891891891895)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:48.554696,"(10.0, 15.0, 14.8)","(101.0, 520.0, 497.5)","(9.0, 11.0, 10.74)","(26.0, 38.0, 37.95348837209302)","(2.7, 3.45, 3.4279411764705885)","(3.6, 3.85, 3.810732984293194)","(18.0, 23.0, 21.8)","(61.0, 120.0, 97.5)","(31.0, 60.0, 51.891891891891895)","(4.2, 5.5, 5.446153846153846)"
08-12-2022 12:55:50.015653,"(10.0, 15.0, 14.795454545454545)","(101.0, 520.0, 500.0)","(9.0, 11.0, 10.74)","(26.0, 38.0, 39.698113207547166)","(2.7, 3.45, 3.42289156626506)","(3.6, 3.85, 3.810732984293194)","(18.0, 23.0, 21.8)","(61.0, 120.0, 102.5)","(31.0, 60.0, 48.888888888888886)","(4.2, 5.5, 5.472549019607843)"
08-12-2022 12:55:51.486996,"(10.0, 15.0, 14.76086956521739)","(101.0, 520.0, 500.0)","(9.0, 11.0, 10.74)","(26.0, 40.0, 39.698113207547166)","(2.7, 3.45, 3.4383561643835616)","(3.6, 3.85, 3.810732984293194)","(18.0, 23.0, 21.8)","(61.0, 120.0, 101.07142857142857)","(31.0, 60.0, 48.888888888888886)","(4.2, 5.5, 5.472549019607843)"
08-12-2022 12:55:52.967480,"(10.0, 15.0, 14.76086956521739)","(101.0, 520.0, 500.0)","(9.0, 11.0, 10.74)","(26.0, 40.0, 39.666666666666664)","(2.7, 3.45, 3.44041095890411)","(3.5, 3.85, 3.810732984293194)","(18.0, 23.0, 21.8)","(61.0, 110.0, 101.07142857142857)","(31.0, 60.0, 48.888888888888886)","(4.2, 5.5, 5.472549019607843)"
08-12-2022 12:55:54.798900,"(10.0, 15.0, 14.76086956521739)","(101.0, 520.0, 463.75)","(9.0, 11.0, 10.785714285714286)","(26.0, 40.0, 39.666666666666664)","(2.7, 3.5, 3.4725978647686833)","(3.5, 3.85, 3.8178362573099416)","(18.0, 24.0, 22.8)","(61.0, 110.0, 101.07142857142857)","(31.0, 60.0, 51.42857142857143)","(4.2, 5.4, 5.382352941176471)"
08-12-2022 12:55:56.239675,"(10.0, 15.0, 14.76086956521739)","(101.0, 520.0, 460.0)","(9.0, 11.0, 10.785714285714286)","(26.0, 40.0, 39.666666666666664)","(2.7, 3.5, 3.5181666666666667)","(3.5, 3.85, 3.7953124999999996)","(18.0, 24.0, 22.555555555555557)","(61.0, 110.0, 101.07142857142857)","(31.0, 60.0, 49.714285714285715)","(4.2, 5.4, 5.377777777777778)"
08-12-2022 12:55:57.934791,"(10.0, 15.0, 14.76086956521739)","(101.0, 510.0, 460.0)","(9.0, 11.0, 11.02)","(26.0, 40.0, 39.666666666666664)","(2.7, 3.55, 3.5162544169611305)","(3.5, 3.8, 3.789189189189189)","(18.0, 23.0, 22.81818181818182)","(61.0, 110.0, 97.5)","(31.0, 50.0, 49.80952380952381)","(4.2, 5.4, 5.381818181818182)"
08-12-2022 12:55:59.850666,"(10.0, 15.0, 14.78)","(101.0, 510.0, 460.0)","(9.0, 11.5, 11.105263157894736)","(26.0, 40.0, 38.857142857142854)","(2.7, 3.55, 3.518213058419244)","(3.5, 3.8, 3.6914634146341463)","(18.0, 23.0, 22.80952380952381)","(61.0, 110.0, 101.66666666666667)","(31.0, 50.0, 49.714285714285715)","(4.2, 5.2, 5.1339999999999995)"
08-12-2022 12:56:01.609755,"(10.0, 15.0, 14.810344827586206)","(101.0, 510.0, 460.0)","(9.0, 11.5, 11.25)","(26.0, 40.0, 39.42857142857143)","(2.7, 3.55, 3.655128205128205)","(3.5, 3.7, 3.6414141414141414)","(18.0, 23.0, 22.5)","(61.0, 110.0, 101.07142857142857)","(31.0, 50.0, 49.714285714285715)","(4.2, 5.2, 5.153521126760563)"
08-12-2022 12:56:03.243180,"(10.0, 15.0, 14.652777777777779)","(101.0, 510.0, 443.3333333333333)","(9.0, 11.5, 11.232558139534884)","(26.0, 40.0, 39.39622641509434)","(2.7, 3.7, 3.7107843137254903)","(3.5, 3.65, 3.62875)","(18.0, 23.0, 22.733333333333334)","(61.0, 110.0, 91.66666666666667)","(31.0, 48.0, 47.857142857142854)","(4.2, 5.2, 5.118965517241379)"
08-12-2022 12:56:04.679202,"(10.0, 15.5, 14.782608695652174)","(101.0, 510.0, 466.25)","(9.0, 11.5, 10.909090909090908)","(26.0, 40.0, 39.39622641509434)","(2.7, 3.75, 3.80625)","(3.5, 3.65, 3.591666666666667)","(18.0, 23.0, 21.5531914893617)","(61.0, 100.0, 98.26086956521739)","(31.0, 48.0, 47.89473684210526)","(4.2, 5.2, 5.141071428571428)"
08-12-2022 12:56:06.060841,"(10.0, 15.0, 14.782608695652174)","(101.0, 510.0, 466.25)","(9.0, 11.0, 10.88888888888889)","(26.0, 40.0, 39.42857142857143)","(2.7, 3.85, 3.8101123595505615)","(3.5, 3.6, 3.546710526315789)","(18.0, 23.0, 21.5531914893617)","(61.0, 100.0, 97.14285714285714)","(31.0, 48.0, 49.333333333333336)","(4.2, 5.2, 5.146774193548387)"
08-12-2022 12:56:07.510325,"(10.0, 15.0, 14.803921568627452)","(101.0, 510.0, 466.25)","(9.0, 11.0, 10.88888888888889)","(26.0, 40.0, 39.42857142857143)","(2.7, 3.85, 3.8084415584415585)","(3.5, 3.55, 3.546710526315789)","(18.0, 23.0, 21.5531914893617)","(61.0, 100.0, 97.14285714285714)","(31.0, 50.0, 49.714285714285715)","(4.2, 5.2, 5.146774193548387)"
08-12-2022 12:56:08.941600,"(10.0, 15.0, 14.803921568627452)","(101.0, 510.0, 466.25)","(9.0, 11.5, 10.761682242990654)","(26.0, 40.0, 39.42857142857143)","(2.8, 3.85, 3.8084415584415585)","(3.5, 3.55, 3.546710526315789)","(18.0, 23.0, 21.5531914893617)","(61.0, 100.0, 97.14285714285714)","(31.0, 50.0, 49.714285714285715)","(4.2, 5.2, 5.146774193548387)"
08-12-2022 12:56:10.242027,"(10.0, 15.0, 14.803921568627452)","(101.0, 510.0, 466.25)","(9.0, 11.5, 10.780701754385966)","(26.0, 40.0, 39.42857142857143)","(2.8, 3.9, 3.854761904761905)","(3.5, 3.55, 3.5256097560975608)","(18.0, 23.0, 21.5531914893617)","(61.0, 100.0, 97.14285714285714)","(31.0, 50.0, 49.714285714285715)","(4.2, 5.1, 5.095774647887324)"
08-12-2022 12:56:11.800815,"(10.0, 15.0, 14.803921568627452)","(101.0, 510.0, 466.25)","(9.0, 11.5, 10.773504273504274)","(26.0, 40.0, 39.42857142857143)","(2.8, 3.9, 3.889473684210526)","(3.5, 3.55, 3.5296511627906977)","(18.0, 23.0, 21.642857142857142)","(61.0, 100.0, 97.14285714285714)","(31.0, 50.0, 49.6)","(4.2, 5.1, 5.062222222222222)"
08-12-2022 12:56:13.371389,"(10.0, 15.0, 14.803921568627452)","(101.0, 510.0, 466.25)","(9.0, 11.5, 10.747787610619469)","(26.0, 40.0, 39.42857142857143)","(2.8, 3.9, 3.8845238095238095)","(3.5, 3.55, 3.542173913043478)","(18.0, 23.0, 21.642857142857142)","(61.0, 100.0, 97.14285714285714)","(31.0, 50.0, 49.6)","(4.2, 5.1, 4.99375)"
08-12-2022 12:56:14.989203,"(10.0, 15.0, 14.803921568627452)","(101.0, 510.0, 431.42857142857144)","(9.0, 11.5, 10.773504273504274)","(26.0, 40.0, 39.25423728813559)","(2.8, 3.95, 3.896031746031746)","(3.5, 3.55, 3.496875)","(18.0, 23.0, 21.642857142857142)","(61.0, 100.0, 96.5)","(31.0, 50.0, 49.6)","(4.2, 5.0, 5.0346153846153845)"
08-12-2022 12:56:16.509557,"(10.0, 15.0, 14.803921568627452)","(101.0, 510.0, 431.42857142857144)","(9.0, 11.5, 10.705607476635514)","(26.0, 40.0, 39.25423728813559)","(2.8, 3.95, 3.896031746031746)","(3.5, 3.5, 3.5151785714285713)","(18.0, 23.0, 21.70769230769231)","(61.0, 100.0, 114.77272727272727)","(31.0, 50.0, 49.6)","(4.2, 5.1, 5.023076923076923)"
08-12-2022 12:56:17.978560,"(10.0, 15.0, 14.803921568627452)","(101.0, 510.0, 460.0)","(9.0, 11.5, 10.705607476635514)","(26.0, 40.0, 39.25423728813559)","(2.7, 3.95, 3.896031746031746)","(3.5, 3.55, 3.508490566037736)","(18.0, 23.0, 21.70769230769231)","(61.0, 120.0, 115.1219512195122)","(31.0, 50.0, 49.6)","(4.2, 5.1, 5.02093023255814)"
08-12-2022 12:56:19.402954,"(10.0, 15.0, 14.803921568627452)","(101.0, 520.0, 460.0)","(9.0, 11.5, 10.705607476635514)","(26.0, 40.0, 39.62264150943396)","(2.7, 3.95, 3.896031746031746)","(3.5, 3.55, 3.497333333333333)","(18.0, 23.0, 21.70769230769231)","(61.0, 120.0, 115.1219512195122)","(31.0, 50.0, 49.6)","(4.2, 5.1, 4.958461538461538)"
08-12-2022 12:56:20.833561,"(10.0, 15.0, 14.803921568627452)","(101.0, 520.0, 483.3333333333333)","(9.0, 11.5, 10.705607476635514)","(26.0, 40.0, 39.285714285714285)","(2.7, 3.95, 3.8367021276595743)","(3.5, 3.5, 3.5172268907563025)","(18.0, 23.0, 21.70769230769231)","(61.0, 120.0, 115.1219512195122)","(31.0, 50.0, 49.6)","(4.2, 5.0, 4.964935064935065)"
08-12-2022 12:56:22.289928,"(10.0, 15.0, 14.803921568627452)","(101.0, 520.0, 516.3333333333334)","(9.0, 11.5, 10.741071428571429)","(26.0, 40.0, 39.8)","(2.7, 3.9, 3.8941558441558444)","(3.5, 3.55, 3.48921568627451)","(18.0, 23.0, 21.714285714285715)","(61.0, 120.0, 112.96296296296296)","(31.0, 50.0, 52.8)","(4.2, 5.0, 4.991428571428571)"
