,Idol First,Goldstar Noodle,Know Ego,Broken Bonds,Irish Coffee,Know Will,Infinity One,Got Faith
09-01-2023 10:22:06.560409,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:07.640305,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:08.761905,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:09.827550,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:10.900583,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:12.053570,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:13.192507,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:14.365243,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:15.483377,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:16.586753,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:17.668628,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 95.0)"
09-01-2023 10:22:18.753638,"(7.5, 29.0, 22.529411764705884)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:19.799293,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:20.878100,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:21.981541,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:22.985329,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:24.014549,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:24.969696,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:25.945435,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:26.947010,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:27.966421,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:28.977535,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:30.042002,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:31.096049,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
09-01-2023 10:22:32.194214,"(7.5, 32.0, 24.647058823529413)","(19.0, 220.0, 106.94444444444444)","(10.0, 44.0, 31.5)","(3.7, 11.5, 4.7921875)","(3.5, 8.8, 4.488888888888889)","(2.5, 6.2, 3.5031578947368422)","(26.0, 390.0, 206.0)","(26.0, 230.0, 100.76923076923077)"
