,In Chevron We Trust Nz,Motu Amethyst Nz,Yogi,Precious Cullen Nz,Lifeinheaven,Miss Pau,Tell Me This Nz,Tracer Bullet,The Harris Hawk
11-01-2023 18:07:00.149655,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 530.0, 315.7142857142857)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 10.2)"
11-01-2023 18:07:01.468570,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 530.0, 315.7142857142857)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 12.0, 11.8)"
11-01-2023 18:07:02.732729,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 530.0, 315.7142857142857)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:04.030429,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 530.0, 315.7142857142857)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:05.299662,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.220000000000001)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 530.0, 315.7142857142857)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:06.494572,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 530.0, 315.7142857142857)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:07.697143,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 530.0, 483.33333333333337)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:08.871969,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 610.0, 470.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:10.107282,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 590.0, 470.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:11.398314,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 590.0, 405.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:12.679661,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 405.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:14.018805,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 405.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:15.320822,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:16.637226,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:17.959755,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:19.250078,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:20.508407,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:21.694466,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:22.944942,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:24.195204,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:25.444494,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:26.678063,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:27.875239,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.16)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:29.054876,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.6, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 580.0, 443.33333333333337)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:30.208668,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 550.0, 385.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:31.396302,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:32.523998,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:33.761055,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:34.927622,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 326.6666666666667)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:36.002360,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 520.0, 423.33333333333337)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:37.178265,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 520.0, 310.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:38.377754,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 510.0, 370.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:39.598176,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 510.0, 310.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:40.763304,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 510.0, 342.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:41.940286,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 510.0, 342.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:43.109633,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 510.0, 342.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:44.409313,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 510.0, 324.2857142857143)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:45.578989,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 560.0, 385.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:46.782212,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 385.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:47.938904,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 385.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:49.141566,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:50.332957,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:51.503292,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:52.704990,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:53.957433,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.4)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:55.195652,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 540.0, 483.33333333333337)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:56.401512,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 610.0, 415.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:57.640629,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 600.0, 415.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:07:59.069632,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 600.0, 415.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:00.449677,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 600.0, 415.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:01.697835,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 600.0, 415.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:02.973616,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 600.0, 415.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:04.199730,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 600.0, 415.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:05.694800,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.014285714285714)","(31.0, 99999, 99990)","(21.0, 40.0, 29.75)","(101.0, 600.0, 415.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:07.028753,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.7, 5.1)","(31.0, 99999, 99990)","(21.0, 40.0, 25.75)","(101.0, 600.0, 470.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:08.290402,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 590.0, 405.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:09.617719,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 580.0, 405.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:11.273179,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:12.560658,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.6)","(7.5, 13.5, 11.8)"
11-01-2023 18:08:13.842633,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 36.0, 24.5)","(7.5, 13.5, 9.422222222222222)"
11-01-2023 18:08:15.227713,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 580.0, 330.0)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:16.594402,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 580.0, 443.33333333333337)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:17.738476,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 550.0, 385.0)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:18.862131,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 540.0, 385.0)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:20.132469,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 540.0, 385.0)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:21.466714,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 540.0, 385.0)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:22.744996,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:24.035782,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:25.263419,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:26.710426,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:28.120078,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.1)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 540.0, 318.57142857142856)","(4.6, 99999, 99990)","(19.0, 30.0, 25.666666666666664)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:29.468214,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.25)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 540.0, 366.0)","(4.6, 99999, 99990)","(19.0, 30.0, 29.875)","(7.5, 12.5, 10.45)"
11-01-2023 18:08:30.756253,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 32.0, 25.75)","(101.0, 570.0, 395.0)","(4.6, 99999, 99990)","(19.0, 34.0, 28.833333333333336)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:32.062876,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 32.0, 23.0)","(101.0, 560.0, 395.0)","(4.6, 99999, 99990)","(19.0, 34.0, 31.785714285714285)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:33.264378,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 560.0, 395.0)","(4.6, 99999, 99990)","(19.0, 34.0, 28.884615384615387)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:34.509277,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 560.0, 395.0)","(4.6, 99999, 99990)","(19.0, 32.0, 28.884615384615387)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:35.750832,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 560.0, 436.66666666666663)","(4.6, 99999, 99990)","(19.0, 32.0, 27.57142857142857)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:36.996927,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 540.0, 380.0)","(4.6, 99999, 99990)","(19.0, 34.0, 27.2)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:38.310853,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 530.0, 380.0)","(4.6, 99999, 99990)","(19.0, 32.0, 29.333333333333332)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:39.503191,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 530.0, 380.0)","(4.6, 99999, 99990)","(19.0, 32.0, 28.0)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:40.791114,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 530.0, 380.0)","(4.6, 99999, 99990)","(19.0, 32.0, 28.0)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:42.068338,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 530.0, 346.6666666666667)","(4.6, 99999, 99990)","(19.0, 32.0, 28.0)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:43.349312,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 580.0, 307.77777777777777)","(4.6, 99999, 99990)","(19.0, 32.0, 28.0)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:44.565825,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 580.0, 307.77777777777777)","(4.6, 99999, 99990)","(19.0, 32.0, 28.0)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:45.772732,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 580.0, 366.0)","(4.6, 99999, 99990)","(19.0, 32.0, 28.0)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:47.032943,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 570.0, 450.0)","(4.6, 99999, 99990)","(19.0, 32.0, 28.0)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:48.283130,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 560.0, 390.0)","(4.6, 99999, 99990)","(19.0, 32.0, 28.0)","(7.5, 12.5, 11.32857142857143)"
11-01-2023 18:08:49.525090,"(2.8, 99999, 99990)","(5.0, 99999, 99990)","(3.8, 5.5, 5.375)","(31.0, 99999, 99990)","(21.0, 30.0, 20.8125)","(101.0, 550.0, 390.0)","(4.6, 99999, 99990)","(19.0, 32.0, 28.0)","(7.5, 12.5, 11.32857142857143)"
