,Choir Boy,Dixon Bay,Sarodec,Liability,Elected,Hokahey,Ready For Better,Wickedn Lovinit
08-01-2023 13:44:41.075149,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 116.5)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:42.285034,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 116.5)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:43.487455,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 116.5)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:44.646574,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 116.5)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 9.342857142857143)"
08-01-2023 13:44:45.763143,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 116.5)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 9.56)"
08-01-2023 13:44:46.857174,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 116.5)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.56)"
08-01-2023 13:44:48.098951,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 116.5)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.725)"
08-01-2023 13:44:49.288492,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 116.5)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.333333333333334)"
08-01-2023 13:44:50.623473,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 116.5)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.83157894736842)","(3.3, 5.0, 4.8961538461538465)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.923076923076923)"
08-01-2023 13:44:51.878934,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 78.66666666666667)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.054545454545455)","(3.3, 5.0, 4.6)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.0, 9.923076923076923)"
