,Delightful Mia,Jilliby Willow,Ajay Breezy Rose,Story To Tell,Gossip Girl Nz,Lady Lani,Ruby Wingate,Celestialfragrance,Sassyola,Orbie
07-01-2023 17:11:56.576156,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.0, 5.916666666666667)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:57.842972,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.0, 5.916666666666667)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:11:59.084324,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.0, 5.916666666666667)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:12:00.377204,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 88.33333333333333)","(5.0, 8.6, 8.1125)","(6.5, 99999, 99990)","(41.0, 130.0, 114.33333333333333)","(14.0, 32.0, 16.142857142857142)","(4.8, 7.0, 5.916666666666667)","(6.0, 10.5, 9.375)","(14.0, 27.0, 15.0)"
07-01-2023 17:12:01.592372,"(41.0, 120.0, 106.0)","(2.8, 4.5, 3.1437500000000003)","(31.0, 100.0, 86.0)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 17.4)"
07-01-2023 17:12:02.866099,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 17.4)"
07-01-2023 17:12:04.195349,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 17.4)"
07-01-2023 17:12:05.532251,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.555555555555555)"
07-01-2023 17:12:06.826888,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
07-01-2023 17:12:08.065073,"(41.0, 120.0, 65.33333333333333)","(2.8, 4.5, 3.182352941176471)","(31.0, 100.0, 86.4)","(5.0, 8.6, 6.699999999999999)","(6.5, 99999, 99990)","(41.0, 130.0, 111.6)","(14.0, 32.0, 19.666666666666664)","(4.8, 7.0, 5.055555555555555)","(6.0, 10.5, 9.0)","(14.0, 27.0, 14.2)"
