,Rachmaninov,Jesper Fast,Vertigo,Annas Boy,Sonoma Tyron,Martha Stuart,Lauries Legacy,Salvo,Boss Kenny
16-12-2022 15:02:24.190526,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 26.0, 21.0)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 21.125)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:25.405680,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 25.0, 20.09090909090909)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 21.125)","(5.0, 9.2, 8.533333333333333)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:26.635433,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 25.0, 20.09090909090909)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 16.333333333333332)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:27.925294,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 25.0, 20.09090909090909)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:29.176207,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 25.0, 20.09090909090909)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:30.434817,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 25.0, 20.09090909090909)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:31.788359,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 25.0, 20.09090909090909)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 5.78)","(10.0, 28.0, 24.11111111111111)","(5.0, 9.6, 8.799999999999999)"
16-12-2022 15:02:33.132347,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 25.0, 20.09090909090909)","(3.5, 4.8, 4.29375)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 16.333333333333332)","(5.0, 9.6, 7.449999999999999)"
16-12-2022 15:02:34.439016,"(14.0, 46.0, 30.25)","(20.0, 140.0, 115.8)","(12.0, 26.0, 23.142857142857142)","(3.5, 4.8, 4.7)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 28.0, 14.2)","(5.0, 9.6, 7.449999999999999)"
16-12-2022 15:02:35.633770,"(14.0, 46.0, 30.25)","(21.0, 140.0, 115.8)","(12.0, 26.0, 23.142857142857142)","(3.4, 4.8, 4.7)","(12.0, 24.0, 16.0)","(5.0, 9.2, 7.1499999999999995)","(3.9, 6.2, 4.829166666666667)","(10.0, 29.0, 14.2)","(5.0, 9.6, 7.449999999999999)"
