,Zip Up Andy,Rigg,Smokin Charlie,Berns Ability,Nangar Troy,Gypsy Yankee,Rev Up Freddy
06-01-2023 15:24:06.017331,"(8.5, 16.0, 13.15)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:07.073232,"(8.5, 16.0, 13.15)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:08.118767,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:09.293173,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:10.481073,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:11.749705,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:12.938525,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:14.147698,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:15.348517,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:16.506709,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:17.658917,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:18.845106,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:19.963263,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:21.167968,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:22.309249,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.552380952380952)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:23.315224,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.6, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:24.439802,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:25.555441,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:26.713097,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:28.081659,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:29.380253,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:30.559070,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:31.852882,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:32.954327,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:34.336754,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:35.541175,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
06-01-2023 15:24:36.689628,"(8.5, 16.0, 12.82857142857143)","(3.8, 6.4, 3.780952380952381)","(5.0, 8.8, 8.283870967741937)","(3.8, 5.4, 3.69)","(16.0, 42.0, 30.958333333333336)","(2.9, 4.5, 3.511904761904762)","(21.0, 160.0, 81.71428571428572)"
