,Buddys Tale,Harmony Nation,Damreel,Chayse N Storms,Renault,Friend Of God,The Houseman,Hes Viral,It Must Be Love,Alaltun,Nitroglycerine,The Angels Kiss
12-01-2023 16:49:25.183230,"(10.0, 15.5, 13.833333333333334)","(17.0, 25.0, 23.5)","(6.5, 9.2, 9.1)","(8.5, 10.0, 9.826086956521738)","(21.0, 50.0, 39.875)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.25581395348837)","(21.0, 30.0, 29.6)","(18.0, 23.0, 21.833333333333332)","(41.0, 75.0, 69.54545454545455)","(8.0, 11.0, 9.889655172413793)","(21.0, 29.0, 28.428571428571427)"
12-01-2023 16:49:26.744802,"(10.0, 15.5, 13.833333333333334)","(17.0, 25.0, 23.5)","(6.5, 9.2, 9.1)","(8.5, 10.0, 9.826086956521738)","(21.0, 50.0, 39.875)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.25581395348837)","(21.0, 30.0, 29.6)","(18.0, 23.0, 22.73076923076923)","(41.0, 75.0, 68.33333333333333)","(8.0, 11.0, 9.879999999999999)","(21.0, 29.0, 28.714285714285715)"
12-01-2023 16:49:28.419340,"(10.0, 15.5, 15.394736842105264)","(17.0, 25.0, 23.5)","(6.5, 9.0, 8.794117647058824)","(8.5, 10.0, 9.497674418604651)","(21.0, 50.0, 39.875)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.26153846153846)","(21.0, 30.0, 28.421052631578945)","(18.0, 23.0, 22.73076923076923)","(41.0, 75.0, 67.5)","(8.0, 11.0, 9.879999999999999)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:29.896417,"(10.0, 15.5, 15.394736842105264)","(17.0, 25.0, 23.5)","(6.5, 9.0, 8.70857142857143)","(8.5, 10.0, 9.497674418604651)","(21.0, 50.0, 39.875)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.26153846153846)","(21.0, 30.0, 28.125)","(18.0, 23.0, 22.73076923076923)","(41.0, 75.0, 67.5)","(8.0, 11.0, 9.879999999999999)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:31.783361,"(10.0, 15.5, 15.2)","(17.0, 25.0, 23.5)","(6.5, 8.8, 8.72258064516129)","(8.5, 10.0, 9.497674418604651)","(21.0, 50.0, 39.875)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.26153846153846)","(21.0, 30.0, 28.125)","(18.0, 23.0, 22.73076923076923)","(41.0, 75.0, 67.6470588235294)","(8.0, 11.0, 9.879999999999999)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:33.554542,"(10.0, 15.5, 15.2)","(17.0, 25.0, 23.5)","(6.5, 8.8, 8.72258064516129)","(8.5, 10.0, 9.497674418604651)","(21.0, 50.0, 39.2)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.26153846153846)","(21.0, 30.0, 28.125)","(18.0, 23.0, 22.73076923076923)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.0, 9.879999999999999)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:35.411546,"(10.0, 15.5, 15.366666666666667)","(17.0, 25.0, 23.5)","(6.5, 8.8, 9.164285714285713)","(8.5, 10.0, 9.497674418604651)","(21.0, 50.0, 31.1)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.26153846153846)","(21.0, 30.0, 28.125)","(18.0, 23.0, 22.73076923076923)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.0, 9.879999999999999)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:37.057091,"(10.0, 15.5, 15.40909090909091)","(17.0, 25.0, 23.5)","(6.5, 9.2, 9.164285714285713)","(8.5, 10.0, 9.497674418604651)","(21.0, 50.0, 31.1)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.26153846153846)","(21.0, 30.0, 28.125)","(18.0, 23.0, 22.73076923076923)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.0, 9.879999999999999)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:38.646940,"(10.0, 15.5, 15.40909090909091)","(17.0, 25.0, 23.5)","(6.5, 9.2, 8.733333333333334)","(8.5, 10.0, 9.497674418604651)","(21.0, 50.0, 36.15384615384615)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.26153846153846)","(21.0, 30.0, 28.125)","(18.0, 23.0, 21.833333333333332)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.0, 9.84)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:40.329931,"(10.0, 15.5, 15.2)","(17.0, 25.0, 23.5)","(6.5, 9.0, 8.929411764705883)","(8.5, 10.0, 9.485714285714286)","(21.0, 50.0, 38.8)","(2.6, 3.2, 3.1069767441860465)","(7.0, 9.0, 8.5)","(21.0, 30.0, 27.5)","(18.0, 23.0, 22.733333333333334)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.0, 9.84)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:41.773331,"(10.0, 15.5, 14.5)","(17.0, 25.0, 23.5)","(6.5, 9.0, 8.8)","(8.5, 10.0, 9.485714285714286)","(21.0, 46.0, 37.0)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 28.61111111111111)","(18.0, 23.0, 22.733333333333334)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.0, 9.711111111111112)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:43.209910,"(10.0, 15.5, 14.5)","(17.0, 25.0, 23.5)","(6.5, 9.2, 8.8)","(8.5, 10.0, 9.485714285714286)","(21.0, 46.0, 30.7)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.642857142857142)","(18.0, 23.0, 22.75)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.0, 9.895238095238096)","(21.0, 29.0, 28.666666666666668)"
12-01-2023 16:49:44.667880,"(10.0, 15.5, 14.973684210526315)","(17.0, 25.0, 23.5)","(6.5, 9.2, 9.166666666666666)","(8.5, 10.0, 9.328)","(21.0, 46.0, 30.7)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.555555555555557)","(18.0, 23.0, 22.75)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.0, 9.895238095238096)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:46.286170,"(10.0, 15.5, 15.1)","(17.0, 25.0, 22.8)","(6.5, 9.2, 9.17037037037037)","(8.5, 10.0, 9.320754716981131)","(21.0, 46.0, 30.7)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.4)","(18.0, 23.0, 22.75)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.0, 10.48)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:47.730477,"(10.0, 15.5, 14.666666666666666)","(17.0, 26.0, 24.0)","(6.5, 9.2, 9.17037037037037)","(8.5, 10.0, 9.320754716981131)","(21.0, 46.0, 30.7)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.4)","(18.0, 23.0, 22.75)","(41.0, 80.0, 67.6470588235294)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:49.225088,"(10.0, 15.5, 14.666666666666666)","(17.0, 26.0, 24.0)","(6.5, 9.2, 9.17037037037037)","(8.5, 10.0, 9.320754716981131)","(21.0, 46.0, 30.7)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.4)","(18.0, 23.0, 22.75)","(41.0, 80.0, 64.78260869565217)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:50.739912,"(10.0, 15.5, 13.833333333333334)","(17.0, 26.0, 25.0)","(6.5, 9.2, 9.17037037037037)","(8.5, 10.0, 9.320754716981131)","(21.0, 46.0, 30.7)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.666666666666668)","(18.0, 23.0, 22.75)","(41.0, 80.0, 68.8)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:52.158984,"(10.0, 15.5, 15.065217391304348)","(17.0, 26.0, 25.0)","(6.5, 9.2, 9.17037037037037)","(8.5, 10.0, 9.320754716981131)","(21.0, 46.0, 30.7)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.57142857142857)","(18.0, 23.0, 22.75)","(41.0, 80.0, 67.8125)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:53.622808,"(10.0, 15.5, 15.394736842105264)","(17.0, 26.0, 25.0)","(6.5, 9.2, 9.17037037037037)","(8.5, 10.0, 9.320754716981131)","(21.0, 46.0, 30.7)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.4)","(18.0, 23.0, 22.75)","(41.0, 80.0, 69.73684210526315)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:55.096940,"(10.0, 15.5, 15.2)","(17.0, 26.0, 24.5)","(6.5, 9.2, 9.17037037037037)","(8.5, 10.0, 9.112676056338028)","(21.0, 46.0, 34.23076923076923)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.4)","(18.0, 23.0, 22.75)","(41.0, 80.0, 68.52941176470588)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:56.680534,"(10.0, 15.5, 15.2)","(17.0, 26.0, 24.5)","(6.5, 9.2, 9.17037037037037)","(8.5, 10.0, 8.92)","(21.0, 46.0, 38.35)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.4)","(18.0, 23.0, 22.75)","(41.0, 80.0, 68.52941176470588)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:58.159903,"(10.0, 15.5, 15.2)","(17.0, 26.0, 24.5)","(6.5, 9.2, 9.17037037037037)","(8.5, 10.0, 9.17142857142857)","(21.0, 46.0, 38.35)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.4)","(18.0, 23.0, 22.75)","(41.0, 80.0, 68.52941176470588)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:49:59.598544,"(10.0, 15.5, 14.973684210526315)","(17.0, 26.0, 24.5)","(6.5, 9.2, 9.17037037037037)","(8.5, 9.6, 9.12)","(21.0, 46.0, 41.69230769230769)","(2.6, 3.2, 3.1069767441860465)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.789473684210527)","(18.0, 23.0, 22.75)","(41.0, 80.0, 68.52941176470588)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:50:01.090773,"(10.0, 15.5, 15.366666666666667)","(17.0, 26.0, 24.5)","(6.5, 9.2, 9.17037037037037)","(8.5, 9.6, 9.12)","(21.0, 44.0, 41.69230769230769)","(2.6, 3.2, 3.1148936170212767)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.57142857142857)","(18.0, 23.0, 22.75)","(41.0, 80.0, 68.52941176470588)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:50:02.722450,"(10.0, 15.5, 15.366666666666667)","(17.0, 26.0, 24.5)","(6.5, 9.2, 9.17037037037037)","(8.5, 9.6, 9.066666666666666)","(21.0, 44.0, 41.69230769230769)","(2.6, 3.2, 3.1148936170212767)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.555555555555557)","(18.0, 23.0, 22.75)","(41.0, 80.0, 68.52941176470588)","(8.0, 11.5, 10.65)","(21.0, 29.0, 28.8125)"
12-01-2023 16:50:04.258731,"(10.0, 15.5, 15.2)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.17037037037037)","(8.5, 9.6, 8.833333333333334)","(21.0, 44.0, 34.0)","(2.6, 3.2, 3.109545454545455)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.692307692307693)","(18.0, 23.0, 22.125)","(41.0, 80.0, 68.52941176470588)","(8.0, 11.5, 10.715384615384616)","(21.0, 29.0, 28.36842105263158)"
12-01-2023 16:50:05.789511,"(10.0, 15.5, 15.3125)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.17037037037037)","(8.5, 9.0, 9.2)","(21.0, 42.0, 34.0)","(2.6, 3.25, 3.1136363636363638)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.57142857142857)","(18.0, 23.0, 22.73076923076923)","(41.0, 80.0, 72.5)","(8.0, 11.5, 10.715384615384616)","(21.0, 29.0, 28.36842105263158)"
12-01-2023 16:50:07.296745,"(10.0, 15.5, 15.3125)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.04)","(8.5, 9.6, 9.244444444444445)","(21.0, 42.0, 40.0)","(2.6, 3.25, 3.1098130841121496)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.555555555555557)","(18.0, 23.0, 22.555555555555557)","(41.0, 80.0, 91.25)","(8.0, 11.5, 10.9375)","(21.0, 29.0, 28.36842105263158)"
12-01-2023 16:50:09.041854,"(10.0, 15.5, 14.973684210526315)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.17037037037037)","(8.5, 9.6, 8.966666666666667)","(21.0, 42.0, 36.44444444444444)","(2.6, 3.25, 3.1098130841121496)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.8)","(18.0, 23.0, 22.65)","(41.0, 100.0, 84.0909090909091)","(8.0, 11.5, 11.153846153846153)","(21.0, 29.0, 28.36842105263158)"
12-01-2023 16:50:10.609711,"(10.0, 15.5, 14.46551724137931)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.17037037037037)","(8.5, 9.0, 8.966666666666667)","(21.0, 40.0, 34.666666666666664)","(2.6, 3.25, 3.1966417910447764)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.625)","(18.0, 23.0, 22.73076923076923)","(41.0, 100.0, 75.0)","(8.0, 11.5, 11.125)","(21.0, 29.0, 28.36842105263158)"
12-01-2023 16:50:12.167295,"(10.0, 15.5, 14.4)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.17037037037037)","(8.5, 9.0, 8.966666666666667)","(21.0, 40.0, 32.94117647058823)","(2.6, 3.2, 3.146153846153846)","(7.0, 8.8, 8.35)","(21.0, 30.0, 29.764705882352942)","(18.0, 23.0, 22.73076923076923)","(41.0, 100.0, 75.0)","(8.0, 11.5, 11.05)","(26.0, 29.0, 28.36842105263158)"
12-01-2023 16:50:13.733918,"(10.0, 15.5, 14.4)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.17037037037037)","(8.5, 9.0, 8.966666666666667)","(21.0, 40.0, 30.76923076923077)","(2.6, 3.2, 3.146153846153846)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.8)","(18.0, 23.0, 22.73076923076923)","(41.0, 100.0, 81.25)","(8.5, 11.5, 11.05)","(26.0, 29.0, 28.36842105263158)"
12-01-2023 16:50:15.286238,"(10.0, 15.5, 13.666666666666666)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.174193548387096)","(8.5, 9.0, 8.971428571428572)","(21.0, 40.0, 30.76923076923077)","(2.6, 3.2, 3.15625)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.75)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.0)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.36842105263158)"
12-01-2023 16:50:16.704631,"(10.0, 15.5, 14.653846153846153)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.174193548387096)","(8.5, 9.0, 8.971428571428572)","(21.0, 40.0, 30.76923076923077)","(2.6, 3.2, 3.15625)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.4)","(18.0, 23.0, 22.75)","(41.0, 100.0, 85.0)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:18.129236,"(10.0, 15.5, 14.653846153846153)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.174193548387096)","(8.5, 9.0, 8.971428571428572)","(21.0, 40.0, 30.76923076923077)","(2.6, 3.2, 3.15625)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.4)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:19.746411,"(10.0, 15.5, 14.4)","(17.0, 26.0, 23.666666666666668)","(6.5, 9.2, 9.174193548387096)","(8.5, 9.0, 8.971428571428572)","(21.0, 40.0, 31.333333333333332)","(2.6, 3.2, 3.15625)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.6)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:21.364108,"(10.0, 15.5, 14.4)","(17.0, 26.0, 24.333333333333332)","(6.5, 9.2, 9.174193548387096)","(8.5, 9.0, 8.971428571428572)","(21.0, 38.0, 32.30769230769231)","(2.6, 3.2, 3.15625)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:23.013387,"(10.0, 15.5, 14.4)","(17.0, 26.0, 24.333333333333332)","(6.5, 9.2, 9.174193548387096)","(8.5, 9.0, 8.971428571428572)","(21.0, 36.0, 30.8)","(2.6, 3.2, 3.15625)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.125)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:24.588166,"(10.0, 15.5, 14.865384615384615)","(17.0, 26.0, 24.333333333333332)","(6.5, 9.2, 9.174193548387096)","(8.5, 9.0, 8.971428571428572)","(21.0, 34.0, 30.7)","(2.6, 3.2, 3.15625)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.666666666666668)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.125)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:26.224103,"(10.0, 15.5, 14.653846153846153)","(17.0, 26.0, 24.333333333333332)","(6.5, 9.2, 9.174193548387096)","(8.5, 9.0, 8.9625)","(21.0, 34.0, 30.05263157894737)","(2.6, 3.2, 3.1206896551724137)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:27.860005,"(10.0, 15.5, 14.4)","(17.0, 26.0, 24.333333333333332)","(6.5, 9.2, 9.174193548387096)","(8.5, 9.0, 8.968421052631578)","(21.0, 34.0, 30.666666666666668)","(2.6, 3.25, 3.1280487804878048)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:29.453119,"(10.0, 15.5, 14.4)","(17.0, 26.0, 24.333333333333332)","(6.5, 9.2, 9.17142857142857)","(8.5, 9.0, 8.972727272727273)","(21.0, 32.0, 31.2)","(2.6, 3.25, 3.1280487804878048)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:31.037276,"(10.0, 15.5, 14.4)","(17.0, 26.0, 24.333333333333332)","(6.5, 9.2, 9.17142857142857)","(8.5, 9.0, 8.82)","(21.0, 32.0, 31.2)","(2.6, 3.25, 3.129032258064516)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:32.676941,"(10.0, 15.5, 14.4)","(17.0, 26.0, 24.333333333333332)","(6.5, 9.2, 9.17142857142857)","(8.5, 9.0, 9.428571428571429)","(21.0, 32.0, 30.25)","(2.6, 3.25, 3.142857142857143)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:34.371328,"(10.0, 15.5, 14.653846153846153)","(17.0, 26.0, 24.333333333333332)","(6.5, 9.2, 9.17142857142857)","(8.5, 9.6, 9.12)","(21.0, 32.0, 30.25)","(2.6, 3.25, 3.1405109489051095)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.09090909090909)","(26.0, 29.0, 28.25)"
12-01-2023 16:50:36.065009,"(10.0, 15.5, 14.25)","(17.0, 26.0, 23.571428571428573)","(6.5, 9.2, 9.173333333333332)","(8.5, 9.6, 8.82857142857143)","(21.0, 32.0, 28.928571428571427)","(2.6, 3.25, 3.150990099009901)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.3)","(26.0, 29.0, 27.142857142857142)"
12-01-2023 16:50:37.602360,"(10.0, 14.5, 14.25)","(17.0, 25.0, 23.571428571428573)","(6.5, 9.2, 9.173333333333332)","(8.5, 9.4, 8.68421052631579)","(21.0, 30.0, 28.928571428571427)","(2.6, 3.25, 3.150990099009901)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.3125)","(26.0, 28.0, 26.875)"
12-01-2023 16:50:39.150141,"(10.0, 14.5, 14.46875)","(17.0, 25.0, 23.571428571428573)","(6.5, 9.2, 9.173333333333332)","(8.5, 9.4, 8.719999999999999)","(21.0, 30.0, 28.384615384615383)","(2.6, 3.25, 3.1529126213592233)","(7.0, 8.8, 8.44)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.323529411764707)","(26.0, 28.0, 26.875)"
12-01-2023 16:50:40.703274,"(10.0, 14.5, 14.46875)","(17.0, 25.0, 22.636363636363637)","(6.5, 9.2, 9.4)","(8.5, 9.4, 8.51764705882353)","(21.0, 29.0, 28.384615384615383)","(2.6, 3.25, 3.143617021276596)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.35)","(26.0, 28.0, 26.77777777777778)"
12-01-2023 16:50:42.349727,"(10.0, 14.5, 13.833333333333334)","(17.0, 25.0, 22.636363636363637)","(6.5, 9.6, 9.4)","(8.5, 9.4, 8.622222222222222)","(21.0, 29.0, 28.384615384615383)","(2.6, 3.25, 3.143617021276596)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.625)","(18.0, 23.0, 22.75)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.35)","(26.0, 28.0, 26.77777777777778)"
12-01-2023 16:50:43.950098,"(10.0, 14.5, 13.833333333333334)","(17.0, 25.0, 23.0)","(6.5, 9.6, 9.05)","(8.5, 9.4, 8.953846153846154)","(21.0, 29.0, 28.333333333333332)","(2.6, 3.25, 3.143617021276596)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.0)","(18.0, 23.0, 22.0)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.35)","(26.0, 28.0, 26.77777777777778)"
12-01-2023 16:50:45.557674,"(10.0, 14.5, 13.833333333333334)","(17.0, 25.0, 22.5625)","(6.5, 9.6, 9.05)","(8.5, 9.2, 8.9)","(21.0, 30.0, 28.333333333333332)","(2.6, 3.25, 3.143617021276596)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.0)","(18.0, 23.0, 22.0)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.35)","(26.0, 28.0, 26.77777777777778)"
12-01-2023 16:50:47.118575,"(10.0, 14.5, 13.833333333333334)","(17.0, 25.0, 22.5625)","(6.5, 9.6, 9.05)","(8.5, 9.4, 8.9)","(21.0, 30.0, 28.333333333333332)","(2.6, 3.25, 3.143617021276596)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.0)","(18.0, 23.0, 22.0)","(41.0, 100.0, 87.5)","(8.5, 11.5, 11.35)","(21.0, 28.0, 26.77777777777778)"
12-01-2023 16:50:48.757516,"(10.0, 14.5, 13.833333333333334)","(17.0, 25.0, 22.5625)","(6.5, 9.6, 9.05)","(8.5, 9.4, 8.9)","(21.0, 30.0, 28.333333333333332)","(2.6, 3.25, 3.143617021276596)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.333333333333332)","(18.0, 23.0, 22.416666666666668)","(41.0, 100.0, 87.5)","(8.5, 11.5, 11.35)","(21.0, 28.0, 26.77777777777778)"
12-01-2023 16:50:50.317870,"(10.0, 14.5, 13.833333333333334)","(17.0, 25.0, 22.5625)","(6.5, 9.6, 9.05)","(8.5, 9.4, 8.9)","(21.0, 30.0, 28.333333333333332)","(2.6, 3.25, 3.143617021276596)","(7.0, 8.8, 8.35)","(26.0, 30.0, 29.333333333333332)","(18.0, 23.0, 22.766666666666666)","(41.0, 100.0, 91.66666666666666)","(8.5, 11.5, 11.323529411764707)","(21.0, 28.0, 26.77777777777778)"
12-01-2023 16:50:51.951505,"(10.0, 14.5, 13.948275862068966)","(17.0, 25.0, 22.923076923076923)","(6.5, 9.6, 9.100000000000001)","(8.5, 9.4, 9.15)","(21.0, 30.0, 29.333333333333332)","(2.6, 3.25, 3.0734234234234235)","(7.0, 8.8, 8.266666666666667)","(26.0, 30.0, 34.857142857142854)","(18.0, 23.0, 21.75)","(41.0, 100.0, 90.0)","(8.5, 11.5, 11.192307692307692)","(21.0, 28.0, 27.11111111111111)"
12-01-2023 16:50:53.583474,"(10.0, 14.0, 14.112903225806452)","(17.0, 25.0, 22.923076923076923)","(6.5, 9.4, 9.100000000000001)","(8.5, 9.4, 9.044444444444444)","(21.0, 32.0, 28.666666666666668)","(2.6, 3.25, 3.1044554455445543)","(7.0, 8.8, 8.177777777777777)","(26.0, 36.0, 34.857142857142854)","(18.0, 24.0, 22.363636363636363)","(41.0, 100.0, 90.0)","(8.5, 12.0, 11.192307692307692)","(21.0, 28.0, 26.933333333333334)"
12-01-2023 16:50:55.239647,"(10.0, 14.5, 14.071428571428571)","(17.0, 25.0, 22.923076923076923)","(6.5, 9.4, 9.100000000000001)","(8.5, 9.4, 9.044444444444444)","(21.0, 32.0, 28.666666666666668)","(2.6, 3.25, 3.1569620253164556)","(7.0, 8.8, 8.177777777777777)","(26.0, 36.0, 34.93333333333334)","(18.0, 24.0, 22.666666666666668)","(41.0, 95.0, 128.0)","(8.5, 12.0, 11.045454545454545)","(21.0, 28.0, 26.933333333333334)"
